MAT.1.1	Tíhi mé chrónka nkexro kꞌuaxrjeníxin Jesucristo. Jesucristo mé kꞌuaxrjeníxin David la ko Abraham.
MAT.1.2	Abraham mé itꞌé Isaac
MAT.1.2	la ko Isaac mé itꞌé Jacob
MAT.1.2	la Jacob mé itꞌé Judá
MAT.1.2	la ko kaín ti kícho Judá.
MAT.1.3	Judá mé itꞌé Fares
MAT.1.3	la ko Zara la ti ìñé sin mé itꞌin Tamar.
MAT.1.3	Fares mé itꞌé ti Esrom
MAT.1.3	la Esrom mé itꞌé Aram.
MAT.1.4	Aram mé itꞌé Aminadab
MAT.1.4	la jehe mé itꞌé Naasón
MAT.1.4	la jehe mé Salmón.
MAT.1.5	Salmón mé itꞌé Booz la ìñé mé tjan Rahab.
MAT.1.5	Booz mé itꞌé ti Obed la ìñé ti Obed mé tjan Rut.
MAT.1.5	Obed mé itꞌé Isaí.
MAT.1.6	la jehe la ko ti tjan kꞌuéchjién Urías mé táha itꞌé la ko ìñé Salomón.
MAT.1.7	Salomón mé itꞌé Roboam
MAT.1.7	la Roboam mé itꞌé Abías
MAT.1.7	la Abías mé itꞌé Asa.
MAT.1.8	Asa mé itꞌé Josafat
MAT.1.8	la Josafat mé itꞌé Joram
MAT.1.8	la Joram mé itꞌé Uzías.
MAT.1.9	Uzías mé itꞌé Jotam
MAT.1.9	la Jotam mé itꞌé Acaz
MAT.1.9	la Acaz mé itꞌé Ezequías.
MAT.1.10	Ezequías mé itꞌé Manasés
MAT.1.10	la Manasés mé itꞌé Amón
MAT.1.10	la Amón mé itꞌé Josías.
MAT.1.11	Josías mé itꞌé Jeconías la ko ti sin kícho.
MAT.1.11	Ti ña̱o ikui ti sin Babilonia sákjuíko ti sin israelita kixin tsꞌejóchjina sin ti chjasin Babilonia.
MAT.1.12	Ndá kjuixin sákjuí sin mé Jeconías mé itꞌé Salatiel
MAT.1.12	mé itꞌé ti Zorobabel.
MAT.1.13	Zorobabel mé itꞌé Abiud
MAT.1.13	la Abiud mé itꞌé Eliaquim
MAT.1.13	la ko Eliaquim mé itꞌé Azor.
MAT.1.14	Azor mé itꞌé Sadoc
MAT.1.14	la ko Sadoc mé itꞌé Aquim
MAT.1.14	la ko Aquim mé itꞌé Eliud.
MAT.1.15	Eliud mé itꞌé Eleazar
MAT.1.15	la Eleazar mé itꞌé Matán
MAT.1.15	la Matán mé itꞌé Jacob.
MAT.1.16	Jacob mé itꞌé José
MAT.1.16	la José mé kꞌóna xìi tjan María
MAT.1.16	la tjan María mé ìñé Jesús nchekꞌin sin Cristo.
MAT.1.17	Mé xi̱kaha catorce tꞌáchri̱i kꞌuaxrjeníxin chꞌin Abraham ndá kjuákꞌe chꞌin David la íjnko catorce tꞌáchri̱i kꞌuaxrjeníxin chꞌin David, landá ti sin Babilonia sákjuíko ti sin israelita chjasén sin, landá íjnko catorce tꞌáchri̱i kꞌuejó landá kokjíhi Cristo.
MAT.1.19	Chꞌin José, ti nkexro tsꞌóna xìi tjan María, mé ijnko chojni jína, la kjuénka̱yáxin chꞌan imó chrókjuáke̱he̱ chꞌan tjan kixin tjinkakonhña chꞌan kixin ninkexró tso̱noehña. 
MAT.1.20	Ndá na̱xa̱ tjenka̱yáxin chꞌin José nkexrín chrókóhen, ndá kotáchrién chꞌan chrónkaxín kixin kꞌuíkon chꞌan ikui ijnko ángel kuènté Ìnchéni, la ndáchro:
MAT.1.20	―José, jaha kꞌuaxrjeníxian David. Tóxakuanhña la ko chrakonhña chrókuákjá tjan María tsꞌóna ichjián kixin ti ixjan tsochónta tjan la kjuachaxíen Ncha̱kuén Díos kꞌónaxín ti ixjan. 
MAT.1.21	*Ti tjan María mé sinchekꞌokjíhi ijnko xjan ndoa la itsꞌin xjan Jesús; kixin jehe xjan tsakjìin iji̱é kaín chojni ―ichro ti ángel.
MAT.1.22	Kaín tíhi kóhen kixin xiteyá ti nkehe tsíndáchro Díos kꞌuénixja ti sin kꞌuéchronka itén Díos ósé. Mé ndáchro:
MAT.1.23	la sinchekꞌin sin xjan Emanuel,
MAT.1.23	mé tíha tꞌaxrjexín Díos tjejókoni.
MAT.1.24	Ndá ti ó kꞌuàya chꞌin José la kjuíchꞌe éxi ti nkehe kꞌue̱to̱an ti ángel kuènté Ìnchéni, la kuákja chꞌan tjan María, kꞌóna ichjién chꞌan. 
MAT.1.25	*Ndá kjónté xi̱kaha, la na̱xa̱ kónkojiéhya sin hasta kꞌokjíejia ti xjan sa̱o, la kjuínchekꞌin sin xjan Jesús.
MAT.2.1	Ti kꞌokjíexín Jesús ti chjasin Belén estado Judea ti kꞌue̱to̱an ti rey Herodes, mé ikjui iso chojnindoa, kjui̱xi̱n nó tji̱to̱xin ña̱o, la kjuíji sin Jerusalén. Jehe sin mé chojni mago tónoexín sin konotsé. 
MAT.2.2	La kjuanchankí sin:
MAT.2.2	―¿Nketí itjen ti xjan na̱ntá tsíkokjíhi tsꞌóna rey kuènté ti sin judío? Kixin kꞌuíkoni ti konotsé kuènté chꞌan nó tji̱to̱xin ña̱o la ikjuini tsjikosáyeheni xjan ―ichro sin.
MAT.2.3	A̱ndá ti ó kuíhin ti rey Herodes xi̱kaha ichro sin, la imá kóxakohen chꞌan la ko kaín ti sin tjejó Jerusalén. 
MAT.2.4	Ndá kꞌue̱to̱an ti rey kixin tsíxrakoa kaín ti sin ncha̱tꞌá tꞌe̱to̱an la ko kaín ti sin tjako ley, ndá kjuanchankí chꞌan nketí tsokjíexín ti nkexro itꞌin Cristo. 
MAT.2.5	Ndá jehe sin ndáchro sin:
MAT.2.5	―Ti ixjan la tsokjíexín ti chjasin Belén estado Judea, kixin xi̱kaha ichro ti xroon itén Díos tsíkjin sin ósé:
MAT.2.6	jaha la jehya ijnko chjasin imá intsí;
MAT.2.6	kixin jaha tsꞌaxrjéníxian ti nkexro a̱ntsí tsꞌe̱to̱an,
MAT.2.6	la jehe chꞌan tsꞌayakohen chꞌan ti chjasin kuénta̱na Israel.
MAT.2.7	A̱ndá ómó kꞌuéye̱he̱ ti rey Herodes ti sin mago la kjuanchankí chꞌan ndesi nkesá kꞌuíkon sin ti konotsé. 
MAT.2.8	Ndá kꞌue̱to̱an chꞌan kixin sátsji sin ti chjasin Belén la ndáchro chꞌan:
MAT.2.8	―Sátjira ntiha tikjéyára ti ixjan la ti ó tsꞌitjára la ikjanra ntihi tso̱chro̱nkara kixin kja̱xin janhan itsjia tsjikosáyaha̱ xjan ―ichro chꞌan.
MAT.2.9	Ndá ti ó kuíhin ti sin mago nkehe ichro ti rey la sákjuí sin la xíkꞌikon sin ti konotsé a ínaá la kuitaón nti̱a la chréhe̱ sin hasta kjuákꞌe chritaón ti nchia itjen ti ixjan. 
MAT.2.10	Ndá ti ó kꞌuíkon sin nketí kjuákꞌe ti konotsé la imá kóchéhe̱ sin. 
MAT.2.11	Ndá kꞌuíxehen sin ti nchia la kꞌuíkon sin ti ixjan tjeko ti tjan María, ti ìñé xjan. La kꞌuejóxin sin tochꞌin sin la kjuikosáyehe sin ti ixjan, la kuakitje̱he̱ sin ti nkehe kjui̱ka̱o sin la kjuajon sin oro, chi̱nko̱ la ko xro̱a̱n xraxé náxrjón. 
MAT.2.12	Ndá kotáchrién sin kꞌue̱tua̱nxín Díos kixin tsokjanhña sin ti itjen ti rey Herodes. La ókjé nti̱a kja̱nxi̱n sin, sákjuí sin chjasén sin.
