MAT.1.1	Oto rodowód Jezusa Chrystusa, pochodzącego z rodu króla Dawida, potomka Abrahama: 
MAT.1.2	Abraham był ojcem Izaaka, Izaak—ojcem Jakuba, a Jakub—ojcem Judy i jego braci. 
MAT.1.3	Kolejni potomkowie Judy to: Fares i jego brat Zara (ich matką była Tamar), Ezrom, Aram, 
MAT.1.4	Aminadab, Naasson, Salmon, 
MAT.1.5	Booz (jego matką była Rachab), Jobed (jego matką była Rut), Jesse 
MAT.1.6	i król Dawid.
MAT.1.6	Dawid był ojcem króla Salomona (jego matką była dawna żona Uriasza), a po nim byli: 
MAT.1.7	Roboam, Abiasz, Asa, 
MAT.1.8	Jozafat, Joram, Ozjasz, 
MAT.1.9	Joatam, Achaz, Ezechiasz, 
MAT.1.10	Manasses, Amos i Jozjasz. 
MAT.1.11	Jozjasz był ojcem Jechoniasza i jego braci (był to czas przesiedlenia Żydów do Babilonu).
MAT.1.12	Potomkowie Jechoniasza po przesiedleniu to: Salatiel, Zorobabel, 
MAT.1.13	Abijud, Eliakim, Azor, 
MAT.1.14	Sadok, Achim, Eliud, 
MAT.1.15	Eleazar, Mattan i Jakub. 
MAT.1.16	Jakub zaś był ojcem Józefa, męża Marii, która urodziła Jezusa, zwanego Chrystusem.
MAT.1.17	Tak więc wszystkich pokoleń, od Abrahama do Dawida, było czternaście, od Dawida do przesiedlenia babilońskiego—czternaście, i od przesiedlenia do Chrystusa—również czternaście.
MAT.1.18	Jezus Chrystus urodził się w takich oto okolicznościach: Jego matka, Maria, była zaręczona z Józefem. Ale zanim wspólnie zamieszkali, za sprawą Ducha Świętego zaszła w ciążę. 
MAT.1.19	Józef, jej narzeczony, był prawym człowiekiem. Postanowił zerwać zaręczyny, ale chciał to uczynić potajemnie, by nie narażać Marii na publiczne oskarżenia. 
MAT.1.20	Gdy już to postanowił, we śnie ukazał mu się anioł Pana, który rzekł:
MAT.1.20	—Józefie, potomku króla Dawida! Nie bój się ożenić z Marią, twoją narzeczoną! Bo to Duch Święty sprawił, że poczęła dziecko. 
MAT.1.21	Urodzi syna, któremu nadasz imię Jezus (czyli „Bóg zbawia”), bo to On wybawi od grzechów swój naród.
MAT.1.22	Stało się tak, aby wypełniło się to, co Pan przepowiedział przez proroka: 
MAT.1.23	„Oto dziewica pocznie i urodzi Syna i nazwą Go Emmanuel” (co znaczy: „Bóg jest z nami”). 
MAT.1.24	Gdy Józef się obudził, zgodnie z poleceniem anioła przyjął Marię, jako żonę, do swojego domu. 
MAT.1.25	Nie współżył z nią jednak aż do czasu, gdy urodziła Syna. I dał Mu na imię Jezus.
MAT.2.1	Jezus urodził się w miasteczku Betlejem, w Judei, za panowania króla Heroda. Właśnie w tym czasie przybyli do Jerozolimy mędrcy ze Wschodu.
MAT.2.2	—Gdzie znajduje się nowo narodzony Król Żydów?—pytali. —Ujrzeliśmy u nas, na Wschodzie, Jego gwiazdę i przybyliśmy złożyć Mu hołd.
MAT.2.3	Wiadomość o tym bardzo zaniepokoiła Heroda i całą Jerozolimę. 
MAT.2.4	Zwołał więc wszystkich najwyższych kapłanów oraz przywódców religijnych i pytał, gdzie ma się narodzić Mesjasz.
MAT.2.5	—W Betlejem w Judei—odpowiedzieli mu. —Bo tak napisał prorok
MAT.2.6	„A ty, Betlejem w Judzie,
MAT.2.6	wcale nie jesteś najgorsze wśród miast Judy,
MAT.2.6	gdyż z ciebie pochodzić będzie Władca,
MAT.2.6	który będzie pasterzem mojego ludu—Izraela”.
MAT.2.7	Wtedy Herod potajemnie wezwał do siebie mędrców i dowiedział się, kiedy ujrzeli gwiazdę. 
MAT.2.8	Następnie skierował ich do Betlejem mówiąc:
MAT.2.8	—Idźcie i dokładnie wypytujcie o dziecko. Gdy je znajdziecie, powiadomcie mnie, abym i ja mógł złożyć mu hołd.
MAT.2.9	Po rozmowie z królem mędrcy wyruszyli w drogę. Znowu ukazała się im gwiazda, którą zobaczyli na Wschodzie, i prowadziła ich. W końcu zatrzymała się nad miejscem, gdzie znajdowało się Dziecko. 
MAT.2.10	Widok gwiazdy napełnił ich ogromną radością. 
MAT.2.11	Gdy weszli do domu, zobaczyli Dziecko i Jego matkę, Marię. Pokłonili Mu się nisko, otworzyli szkatułki z kosztownościami i ofiarowali Mu w darze złoto, kadzidło oraz mirrę. 
MAT.2.12	Później we śnie otrzymali nakaz, by nie wracać do Heroda. Dlatego inną drogą udali się do swojego kraju.
MAT.2.13	Gdy oddalili się, również Józefowi we śnie ukazał się anioł Pana:
MAT.2.13	—Wstawaj, Józefie!—powiedział. —Weź Dziecko oraz Jego matkę i uciekaj do Egiptu. Czekaj tam, aż dam ci znać. Herod bowiem szuka Jezusa i chce Go zabić.
MAT.2.14	Jeszcze tej nocy Józef wstał i wyruszył razem z Marią i Dzieckiem do Egiptu. 
MAT.2.15	Pozostał tam aż do śmierci króla Heroda—w ten sposób miały się spełnić słowa Pana wypowiedziane przez proroka: „Z Egiptu wezwałem mojego Syna”.
MAT.2.16	Herod zorientował się, że mędrcy go zawiedli, i wpadł w gniew. Wysłał żołnierzy, którzy w Betlejem i całej okolicy pozabijali wszystkich chłopców do drugiego roku życia—od mędrców bowiem wiedział, w jakim wieku jest dziecko. 
MAT.2.17	Tak spełniło się proroctwo Jeremiasza:
MAT.2.18	„Krzyk rozlega się w Rama,
MAT.2.18	słychać tam płacz i rozpacz.
MAT.2.18	To Rachel opłakuje swoje dzieci
MAT.2.18	i nie daje się pocieszyć,
