PSA.1.1	 Błogosławiony człowiek, który nie idzie za radą niegodziwych, nie stoi na drodze grzeszników i nie zasiada w gronie szyderców;
PSA.1.2	 Lecz ma upodobanie w prawie PANA i nad jego prawem rozmyśla we dnie i w nocy.
PSA.1.3	 Będzie on bowiem jak drzewo zasadzone nad strumieniami wód, które wydaje swój owoc w swoim czasie; jego liść nie zwiędnie i wszystko, co robi, powiedzie się.
PSA.1.4	 Nie tak niegodziwi; oni są jak plewa, którą wiatr rozmiata.
PSA.1.5	 Dlatego niegodziwi nie ostoją się na sądzie ani grzesznicy w zgromadzeniu sprawiedliwych.
PSA.1.6	 PAN bowiem zna drogę sprawiedliwych, ale droga niegodziwych zaginie.
PSA.2.1	 Dlaczego poganie się buntują, a narody knują próżne zamysły?
PSA.2.2	 Królowie ziemscy powstają, a władcy naradzają się wspólnie przeciwko PANU i jego pomazańcowi, mówiąc:
PSA.2.3	 Zerwijmy ich więzy i zrzućmy z siebie ich pęta.
PSA.2.4	 Lecz ten, który mieszka w niebie, będzie się śmiał, Pan będzie z nich szydził.
PSA.2.5	 Wtedy przemówi do nich w swoim gniewie i swą zapalczywością ich zatrwoży:
PSA.2.6	 Ja ustanowiłem mojego króla na Syjonie, mojej świętej górze.
PSA.2.7	 Ogłoszę dekret: PAN powiedział do mnie: Ty jesteś moim Synem, ja ciebie dziś zrodziłem.
PSA.2.8	 Poproś mnie, a dam ci narody w dziedzictwo i krańce ziemi na własność.
PSA.2.9	 Potłuczesz je laską żelazną, jak naczynie gliniane je pokruszysz.
PSA.2.10	 Teraz więc, królowie, zrozumcie, przyjmijcie pouczenie, sędziowie ziemi!
PSA.2.11	 Służcie PANU z bojaźnią i radujcie się z drżeniem.
PSA.2.12	 Pocałujcie Syna, by się nie rozgniewał i abyście nie zginęli w drodze, gdyby jego gniew choć trochę się zapalił. Błogosławieni wszyscy, którzy mu ufają.
PSA.3.1	 PANIE, jakże się namnożyło moich nieprzyjaciół, jak wielu powstaje przeciwko mnie!
PSA.3.2	 Wielu mówi o mojej duszy: Nie ma dla niego ratunku u Boga. Sela.
PSA.3.3	 Ale ty, PANIE, jesteś moją tarczą, moją chwałą, tym, który podnosi moją głowę.
PSA.3.4	 Swym głosem wołałem do PANA i wysłuchał mnie ze swojej świętej góry. Sela.
PSA.3.5	 Położyłem się i zasnąłem, i obudziłem się, bo PAN mnie podtrzymał.
PSA.3.6	 Nie przestraszę się dziesiątków tysięcy ludzi, którzy zewsząd na mnie nastają.
PSA.3.7	 Powstań, PANIE! Wybaw mnie, mój Boże! Uderzyłeś bowiem w szczękę wszystkich moich wrogów i połamałeś zęby niegodziwych.
PSA.3.8	 Od PANA jest zbawienie. Twoje błogosławieństwo jest nad twoim ludem. Sela.
PSA.4.1	 Wysłuchaj mnie, gdy cię wzywam, Boże mojej sprawiedliwości! Ty wyzwoliłeś mnie w czasie ucisku. Zmiłuj się nade mną i wysłuchaj mojej modlitwy.
PSA.4.2	 Synowie ludzcy, jak długo będziecie znieważać moją chwałę? Jak długo będziecie miłować marność i szukać kłamstwa? Sela.
PSA.4.3	 Wiedzcie, że PAN oddzielił dla siebie pobożnego. PAN wysłucha, gdy zawołam do niego.
PSA.4.4	 Zadrżyjcie i nie grzeszcie. Rozmyślajcie w swym sercu na łożu i zamilczcie. Sela.
PSA.4.5	 Składajcie ofiary sprawiedliwości i ufajcie PANU.
PSA.4.6	 Wielu mówi: Któż pokaże nam dobro? PANIE, wznieś nad nami światło twego oblicza.
PSA.4.7	 Wlałeś w moje serce więcej radości niż w czasie obfitości ich zboża i wina.
PSA.4.8	 W spokoju się położę i zasnę, bo ty sam, PANIE, sprawiasz, że mieszkam bezpiecznie.
PSA.5.1	 Nakłoń ucha ku moim słowom, PANIE, zważ na moje westchnienie.
PSA.5.2	 Słuchaj pilnie głosu mego wołania, mój Królu i mój Boże, bo się do ciebie modlę.
PSA.5.3	 PANIE, z rana usłyszysz mój głos, z rana zaniosę do ciebie modlitwę i będę czekał.
PSA.5.4	 Ty bowiem nie jesteś Bogiem, który miłuje nieprawość, zły z tobą nie zamieszka.
PSA.5.5	 Głupcy nie ostoją się przed twymi oczyma. Nienawidzisz wszystkich czyniących nieprawość.
PSA.5.6	 Wytracisz tych, którzy mówią kłamstwa. PAN brzydzi się człowiekiem krwawym i podstępnym.
PSA.5.7	 Lecz ja dzięki obfitości twego miłosierdzia wejdę do twego domu, oddam pokłon przed twoim świętym przybytkiem w twojej bojaźni.
PSA.5.8	 Prowadź mnie, PANIE, w swojej sprawiedliwości ze względu na moich wrogów; wyprostuj przede mną twoją drogę.
PSA.5.9	 Bo w ich ustach nie ma szczerości, ich wnętrze pełne przewrotności, ich gardło jest grobem otwartym, swoim językiem pochlebiają.
PSA.5.10	 Spustosz ich, Boże! Niech upadną przez własne zamiary. Z powodu ich licznych występków odtrąć ich, ponieważ buntują się przeciwko tobie.
PSA.5.11	 Lecz niech się radują wszyscy, którzy tobie ufają; niech zawsze wykrzykują z radości, bo ty będziesz ich osłaniał. Niech rozradują się w tobie ci, którzy miłują twoje imię.
PSA.5.12	 Ty bowiem, PANIE, będziesz błogosławił sprawiedliwego, osłonisz go dobrocią jak tarczą.
PSA.6.1	 PANIE, nie karć mnie w swoim gniewie i nie karz mnie w swojej zapalczywości.
PSA.6.2	 Zmiłuj się nade mną, PANIE, bo jestem słaby; uzdrów mnie, PANIE, bo moje kości drżą;
PSA.6.3	 I moja dusza bardzo się zatrwożyła; lecz ty, PANIE, jak długo jeszcze?
PSA.6.4	 Zawróć, PANIE, ocal moją duszę; wybaw mnie ze względu na twe miłosierdzie.
PSA.6.5	 W śmierci bowiem nie ma pamięci o tobie, a w grobie któż cię będzie wysławiać?
PSA.6.6	 Zmęczyłem się moim wzdychaniem, co noc zalewam łzami moje posłanie, moje łoże jest mokre od płaczu.
PSA.6.7	 Moje oko zaćmiło się od smutku, zestarzało się z powodu wszystkich moich wrogów.
PSA.6.8	 Odstąpcie ode mnie, wszyscy czyniący nieprawość, bo PAN usłyszał głos mego płaczu.
PSA.6.9	 Usłyszał PAN moją prośbę, PAN przyjął moją modlitwę.
PSA.6.10	 Niech się zawstydzą i bardzo zatrwożą wszyscy moi wrogowie, niech uciekną i będą pohańbieni w jednej chwili.
PSA.7.1	 PANIE, mój Boże, tobie ufam, wybaw mnie od wszystkich moich prześladowców i ocal mnie;
PSA.7.2	 By ktoś jak lew nie porwał mojej duszy i nie rozszarpał, gdy nie będzie nikogo, kto by ją ocalił.
PSA.7.3	 PANIE, mój Boże, jeśli to zrobiłem, jeśli nieprawość jest na moich rękach;
PSA.7.4	 Jeśli złem odpłaciłem temu, kto żył ze mną w pokoju, jeśli nie wyratowałem tego, który mnie dręczył bez przyczyny;
PSA.7.5	 To niech wróg prześladuje moją duszę i niech pochwyci i wdepcze w ziemię moje życie, niech moją godność w proch obróci. Sela.
PSA.7.6	 Powstań, PANIE, w swoim gniewie; podnieś się przeciwko wściekłości moich wrogów. Przebudź się w mojej obronie, bo ustanowiłeś sąd.
PSA.7.7	 Wtedy otoczy cię zgromadzenie narodów, a ty zasiądź na wysokości ze względu na nich.
PSA.7.8	 PAN będzie sądził narody. Osądź mnie, PANIE, według mojej sprawiedliwości i według mojej uczciwości, która jest we mnie.
PSA.7.9	 Niech skończy się zło niegodziwych, a umocnij sprawiedliwego, Boże sprawiedliwy, ty, który badasz serca i nerki.
PSA.7.10	 Moją tarczą jest Bóg, który wybawia ludzi prawego serca.
PSA.7.11	 Bóg jest sędzią sprawiedliwym, Bóg codziennie gniewa się na bezbożnego.
PSA.7.12	 Jeśli się nie nawróci, on swój miecz naostrzy; swój łuk napiął i przygotował go.
PSA.7.13	 Przygotował na niego broń śmiertelną, a swoje strzały sporządził na prześladowców.
PSA.7.14	 Oto bezbożny rodzi nieprawość, jest brzemienny krzywdą i zrodził kłamstwo.
PSA.7.15	 Wykopał dół i pogłębił go, lecz sam wpadnie do jamy, którą przygotował.
PSA.7.16	 Krzywda, którą wyrządzał, obróci się przeciwko niemu, a jego nieprawość spadnie mu na głowę.
PSA.7.17	 Będę wysławiał PANA według jego sprawiedliwości, będę śpiewał imieniu PANA Najwyższego.
PSA.8.1	 O PANIE, nasz Panie, jak sławne jest twoje imię na całej ziemi! Ty, który swoją chwałę wyniosłeś nad niebiosa.
PSA.8.2	 Przez usta niemowląt i ssących ugruntowałeś swą potęgę z powodu twoich wrogów, aby poskromić nieprzyjaciela i mściciela.
PSA.8.3	 Gdy przypatruję się twoim niebiosom, dziełu twoich palców, księżycowi i gwiazdom, które utwierdziłeś;
PSA.8.4	 Wtedy mówię: Czymże jest człowiek, że o nim pamiętasz, albo syn człowieczy, że troszczysz się o niego?
PSA.8.5	 Uczyniłeś go bowiem niewiele mniejszym od aniołów, chwałą i czcią go ukoronowałeś.
PSA.8.6	 Dałeś mu panowanie nad dziełami twoich rąk, wszystko poddałeś pod jego stopy:
PSA.8.7	 Owce i wszelkie bydło, a także zwierzęta polne;
PSA.8.8	 Ptactwo niebieskie i ryby morskie, i wszystko, co przemierza szlaki mórz.
PSA.8.9	 O PANIE, nasz Panie, jak sławne jest twoje imię na całej ziemi!
PSA.9.1	 Będę cię wysławiał, PANIE, całym mym sercem; będę opowiadał o wszystkich twoich cudach.
PSA.9.2	 Będę się cieszył i radował tobą, będę śpiewał twemu imieniu, o Najwyższy!
PSA.9.3	 Gdy cofną się moi nieprzyjaciele, upadną i znikną sprzed twego oblicza.
PSA.9.4	 Ty bowiem przeprowadziłeś mój sąd i moją sprawę, zasiadłeś na tronie jako sędzia sprawiedliwy.
PSA.9.5	 Skarciłeś pogan, wytraciłeś niegodziwych, wymazałeś ich imię na wieki wieków.
PSA.9.6	 O nieprzyjacielu, twoje spustoszenia skończyły się na zawsze, zburzyłeś miasta, ich pamięć przepadła razem z nimi.
PSA.9.7	 Ale PAN trwa na wieki, ustawił swój tron, by sądzić.
