GEN.1.1	No princípio, Deus criou os céus e a terra.
GEN.1.2	A terra era sem forma e vazia; havia trevas sobre a face do abismo, e o Espírito de Deus se movia sobre as águas.
GEN.1.3	Então Deus disse:
GEN.1.3	— Haja luz!
GEN.1.3	E houve luz. 
GEN.1.4	E Deus viu que a luz era boa e fez separação entre a luz e as trevas. 
GEN.1.5	Deus chamou à luz “dia” e chamou às trevas “noite”. Houve tarde e manhã, o primeiro dia.
GEN.1.6	E Deus disse:
GEN.1.6	— Haja um firmamento no meio das águas e separação entre águas e águas.
GEN.1.7	E Deus fez o firmamento e a separação entre as águas debaixo do firmamento e as águas acima do firmamento. E assim aconteceu. 
GEN.1.8	E Deus chamou ao firmamento “céus”. Houve tarde e manhã, o segundo dia.
GEN.1.9	E Deus disse:
GEN.1.9	— Ajuntem-se as águas debaixo dos céus num só lugar, e apareça a porção seca.
GEN.1.9	E assim aconteceu. 
GEN.1.10	Deus chamou à porção seca “terra” e ao ajuntamento de águas chamou “mares”.
GEN.1.11	E Deus disse:
GEN.1.11	— Que a terra produza relva, ervas que deem semente e árvores frutíferas que deem fruto segundo a sua espécie, cuja semente esteja no fruto sobre a terra.
GEN.1.11	E assim aconteceu. 
GEN.1.12	E a terra produziu relva, ervas que davam semente segundo a sua espécie e árvores que davam fruto, cuja semente estava nele, conforme a sua espécie. E Deus viu que isso era bom. 
GEN.1.13	Houve tarde e manhã, o terceiro dia.
GEN.1.14	E Deus disse:
GEN.1.14	— Que haja luzeiros no firmamento dos céus, para fazerem separação entre o dia e a noite; e sejam eles para sinais, para estações, para dias e anos.
GEN.1.15	E sirvam de luzeiros no firmamento dos céus, para iluminar a terra.
GEN.1.15	E assim aconteceu. 
GEN.1.16	Deus fez os dois grandes luzeiros: o maior para governar o dia, e o menor para governar a noite; e fez também as estrelas.
GEN.1.17	E os colocou no firmamento dos céus para iluminarem a terra, 
GEN.1.18	para governarem o dia e a noite e fazerem separação entre a luz e as trevas. E Deus viu que isso era bom. 
GEN.1.19	Houve tarde e manhã, o quarto dia.
GEN.1.20	E Deus disse:
GEN.1.20	— Que as águas sejam povoadas de enxames de seres vivos; e as aves voem sobre a terra, sob o firmamento dos céus.
GEN.1.21	Assim Deus criou as grandes criaturas marinhas e todos os seres vivos que se movem, os quais povoam as águas, segundo as suas espécies; e todas as aves, segundo as suas espécies. E Deus viu que isso era bom. 
GEN.1.22	E Deus os abençoou, dizendo:
GEN.1.22	— Sejam fecundos, multipliquem-se e encham as águas dos mares; e, na terra, se multipliquem as aves.
GEN.1.23	Houve tarde e manhã, o quinto dia.
GEN.1.24	E Deus disse:
GEN.1.24	— Que a terra produza seres vivos, conforme a sua espécie: animais domésticos, animais que rastejam e animais selvagens, segundo a sua espécie.
GEN.1.24	E assim aconteceu. 
GEN.1.25	E Deus fez os animais selvagens, segundo a sua espécie, e os animais domésticos, conforme a sua espécie, e todos os animais que rastejam sobre a terra, segundo a sua espécie. E Deus viu que isso era bom.
GEN.1.26	E Deus disse:
GEN.1.26	— Façamos o ser humano à nossa imagem,
GEN.1.27	Assim Deus criou o ser humano à sua imagem,
GEN.1.28	E Deus os abençoou e lhes disse:
GEN.1.28	— Sejam fecundos, multipliquem-se, encham a terra e sujeitem-na. Tenham domínio sobre os peixes do mar, sobre as aves dos céus e sobre todo animal que rasteja pela terra.
GEN.1.29	E Deus disse ainda:
GEN.1.29	— Eis que lhes tenho dado todas as ervas que dão semente e se acham na superfície de toda a terra e todas as árvores em que há fruto que dê semente; isso servirá de alimento para vocês. 
GEN.1.30	E para todos os animais da terra, todas as aves dos céus e todos os animais que rastejam sobre a terra, em que há fôlego de vida, toda erva verde lhes servirá de alimento.
GEN.1.30	E assim aconteceu. 
GEN.1.31	Deus viu tudo o que havia feito, e eis que era muito bom.
GEN.2.1	Assim, pois, foram acabados os céus e a terra e tudo o que neles há. 
GEN.2.2	E, havendo Deus terminado no sétimo dia
GEN.2.3	E Deus abençoou o sétimo dia e o santificou; porque nele descansou de toda a obra que, como Criador, tinha feito.
GEN.2.4	Esta é a gênese dos céus e da terra quando foram criados, quando o 
GEN.2.5	Não havia ainda nenhuma planta do campo na terra, pois ainda nenhuma erva do campo havia brotado; porque o 
GEN.2.6	Mas uma neblina subia da terra e regava toda a superfície do solo.
GEN.2.7	Então o 
GEN.2.8	E o 
GEN.2.9	Do solo o 
GEN.2.10	E um rio saía do Éden para regar o jardim e de lá se dividia, repartindo-se em quatro braços. 
GEN.2.11	O nome do primeiro é Pisom, que rodeia a terra de Havilá, onde há ouro. 
GEN.2.12	O ouro dessa terra é bom; também se encontram lá o bdélio e a pedra de ônix. 
GEN.2.13	O nome do segundo rio é Giom; é o que rodeia a terra de Cuxe. 
GEN.2.14	O nome do terceiro rio é Tigre; é o que corre pelo leste da Assíria. E o quarto rio é o Eufrates.
GEN.2.15	O 
GEN.2.16	E o 
GEN.2.16	— De toda árvore do jardim você pode comer livremente, 
GEN.2.17	mas da árvore do conhecimento do bem e do mal você não deve comer; porque, no dia em que dela comer, você certamente morrerá.
GEN.2.18	O 
GEN.2.18	— Não é bom que o homem esteja só; farei para ele uma auxiliadora que seja semelhante a ele.
GEN.2.19	Havendo, pois, o 
GEN.2.20	O homem deu nome a todos os animais domésticos, às aves dos céus e a todos os animais selvagens; mas para o homem não se achava uma auxiliadora que fosse semelhante a ele.
GEN.2.21	Então o 
