GEN.1.1	No princípio Deus criou os céus e a terra.
GEN.1.2	Era a terra sem forma e vazia; trevas cobriam a face do abismo, e o Espírito de Deus se movia sobre a face das águas.
GEN.1.3	Disse Deus: “Haja luz”, e houve luz.
GEN.1.4	Deus viu que a luz era boa, e separou a luz das trevas. 
GEN.1.5	Deus chamou à luz dia, e às trevas chamou noite. Passaram-se a tarde e a manhã; esse foi o primeiro dia.
GEN.1.6	Depois disse Deus: “Haja entre as águas um firmamento que separe águas de águas”. 
GEN.1.7	Então Deus fez o firmamento e separou as águas que ficaram abaixo do firmamento das que ficaram por cima. E assim foi. 
GEN.1.8	Ao firmamento, Deus chamou céu. Passaram-se a tarde e a manhã; esse foi o segundo dia.
GEN.1.9	E disse Deus: “Ajuntem-se num só lugar as águas que estão debaixo do céu, e apareça a parte seca”. E assim foi. 
GEN.1.10	À parte seca Deus chamou terra, e chamou mares ao conjunto das águas. E Deus viu que ficou bom.
GEN.1.11	Então disse Deus: “Cubra-se a terra de vegetação: plantas que deem sementes e árvores cujos frutos produzam sementes de acordo com as suas espécies”. E assim foi. 
GEN.1.12	A terra fez brotar a vegetação: plantas que dão sementes de acordo com as suas espécies, e árvores cujos frutos produzem sementes de acordo com as suas espécies. E Deus viu que ficou bom. 
GEN.1.13	Passaram-se a tarde e a manhã; esse foi o terceiro dia.
GEN.1.14	Disse Deus: “Haja luminares no firmamento do céu para separar o dia da noite. Sirvam eles de sinais para marcar estações, dias e anos, 
GEN.1.15	e sirvam de luminares no firmamento do céu para iluminar a terra”. E assim foi. 
GEN.1.16	Deus fez os dois grandes luminares: o maior para governar o dia e o menor para governar a noite; fez também as estrelas. 
GEN.1.17	Deus os colocou no firmamento do céu para iluminar a terra, 
GEN.1.18	governar o dia e a noite, e separar a luz das trevas. E Deus viu que ficou bom. 
GEN.1.19	Passaram-se a tarde e a manhã; esse foi o quarto dia.
