GEN.1.1	No princípio, quando Deus criou o céu e a terra
GEN.1.2	a terra estava sem forma e sem ordem. Era um mar profundo coberto de escuridão; mas sobre as águas pairava o 
GEN.1.3	Então Deus disse: «Que a luz exista!» E a luz começou a existir. 
GEN.1.4	Deus achou que a luz era uma coisa boa e separou-a da escuridão. 
GEN.1.5	E Deus chamou à luz dia e à escuridão, noite. Passou uma tarde e veio a manhã: o dia um.
GEN.1.6	Depois Deus disse: «Que exista um firmamento entre as águas, para as separar umas das outras.» 
GEN.1.7	E Deus fez então o firmamento, separando assim as águas que estão do lado de baixo das que estão do lado de cima
GEN.1.8	Deus chamou céu a este firmamento. Passou uma tarde e veio a manhã: o segundo dia.
GEN.1.9	Deus disse então: «Que as águas que estão debaixo do céu se juntem num único lugar e que fique à vista a terra firme.» E assim aconteceu. 
GEN.1.10	Deus chamou terra à terra firme e chamou mar às águas assim reunidas. E achou que tudo aquilo eram coisas boas. 
GEN.1.11	Deus disse ainda: «Que a terra produza ervas e plantas que deem semente e árvores que deem fruto, cada uma conforme a sua qualidade e que o fruto contenha a semente própria.» E assim aconteceu. 
GEN.1.12	A terra produziu toda a espécie de ervas, que dão semente, conforme a sua qualidade, e árvores de fruto, com a semente própria de cada uma. E Deus achou que aquilo eram coisas boas. 
GEN.1.13	Passou uma tarde e veio a manhã: o terceiro dia.
GEN.1.14	Deus disse então: «Que existam luzeiros no firmamento, para distinguirem o dia da noite; e que eles sirvam de sinal para marcar as divisões do tempo, os dias e os anos. 
GEN.1.15	E que esses luzeiros, colocados no céu
GEN.1.16	Deus fez os dois grandes luzeiros: o maior deles, o Sol, para presidir ao dia, e o mais pequeno, a Lua, para presidir à noite, e ainda as estrelas. 
GEN.1.17	Colocou-os no firmamento, para iluminarem a terra 
GEN.1.18	e presidirem ao dia e à noite, fazendo assim a separação entre a luz e a escuridão. E Deus achou que aquilo eram coisas boas. 
GEN.1.19	Passou uma tarde e veio a manhã: o quarto dia.
GEN.1.20	Deus disse depois: «Que as águas sejam povoadas de seres vivos e que entre a terra e o firmamento haja aves a voar.» 
GEN.1.21	E Deus criou os grandes cetáceos
GEN.1.22	e abençoou-os desta maneira: «Sejam férteis e cresçam; encham as águas do mar e que, em terra, as aves se multipliquem também.» 
GEN.1.23	Passou uma tarde e veio a manhã: o quinto dia.
GEN.1.24	Depois Deus disse: «Que a terra produza toda a espécie de seres vivos: animais domésticos, animais selvagens e todos os bichos, conforme as suas diferentes espécies.» E assim aconteceu. 
GEN.1.25	Deus criou todas as espécies de animais selvagens, de animais domésticos e todos os bichos. E achou que todos eram coisas boas.
GEN.1.26	Deus disse ainda: «Façamos o ser humano à nossa imagem e semelhança. Que ele tenha poder sobre os peixes do mar e as aves do céu; sobre os animais domésticos e selvagens e sobre todos os bichos que andam sobre a terra.» 
GEN.1.27	Deus criou então o ser humano à sua imagem; criou-o como verdadeira imagem de Deus
GEN.1.28	Deus abençoou-os desta maneira: «Sejam férteis e cresçam; encham a terra e dominem-na; dominem sobre os peixes do mar e as aves do céu e sobre todos os animais que andam sobre a terra.» 
GEN.1.29	Deus continuou: «Dou-vos todas as plantas que produzem semente e que existem em qualquer parte da terra e todas as árvores de fruto, com a sua semente própria. É isso que devem comer. 
GEN.1.30	Dou todas as verduras como alimento aos animais e aves, a todos os seres vivos que andam sobre a terra.» E assim aconteceu.
GEN.1.31	E Deus achou que tudo aquilo que tinha feito era muito bom. Passou uma tarde e veio a manhã: o sexto dia.
GEN.2.1	Assim ficaram completos o céu e a terra, com tudo aquilo que contêm. 
GEN.2.2	No sétimo dia, Deus tinha completado a sua obra e nesse sétimo dia Deus descansou dos trabalhos que tinha vindo a fazer. 
GEN.2.3	Deus abençoou o sétimo dia e fez dele um dia sagrado, pois foi o dia em que ele descansou
GEN.2.4	É esta a história da criação do céu e da terra.
GEN.2.4	Quando o 
GEN.2.5	ainda não havia plantas na terra nem tinha brotado a erva. É que o 
GEN.2.6	mas uma corrente de água começava a brotar da terra e regava os campos.
GEN.2.7	O 
GEN.2.8	O 
GEN.2.9	Da terra, fez nascer toda a espécie de árvores que eram agradáveis à vista e davam bons frutos para comer. No meio do jardim estava a árvore da vida e a árvore do conhecimento do bem e do mal
GEN.2.10	Em Éden nasce um rio que rega o jardim e depois se divide em quatro rios diferentes. 
GEN.2.11	O nome do primeiro é o Pichon, que rodeia a terra de Havilá, onde há muito ouro. 
GEN.2.12	O ouro daquela terra é muito bom e há lá também âmbar e lápis-lazúli. 
GEN.2.13	O segundo rio chama-se Guion, que rodeia toda a terra de Cuche
