MAT.1.1	Yesu Kristu kaweriti mwiwuka gwa Dawudi na mwiwuka gwa Aburahamu. Ayi ndo walanga ya ukowu wakuwi,
MAT.1.2	Aburahamu kamwiwuliti Isaka na Isaka kamwiwuliti Yakobu na Yakobu kamwiwuliti Yuda na walongu wakuwi, 
MAT.1.3	Yuda kamwiwuliti Peresi na Zera mawu gwawu kaweriti Tamari na Peresi kamwiwuliti Hesironi na Hesironi kamwiwuliti Rami, 
MAT.1.4	Rami kamwiwuliti Aminadabu na Aminadabu kamwiwuliti Nashoni na Nashoni kamwiwuliti Salumoni 
MAT.1.5	na Salumoni kamwiwuliti Boazi mawu gwakuwi kaweriti Rahabu, Boazi na Rutu waweriti walera wa Obedi na Obedi kamwiwuliti Yese.
MAT.1.6	Na Yese kamwiwuliti Mfalumi Dawudi na Dawudi kamwiwuliti Selemani mawu gwakuwi kaweriti mdala gwa Uriya, 
MAT.1.7	Selemani kamwiwuliti Rehobowamu na Rehobowamu kamwiwuliti Abiya na Abiya kamwiwuliti Asa. 
MAT.1.8	Asa kamwiwuliti Yehoshafati na Yehoshafati kamwiwuliti Uziya 
MAT.1.9	na Uziya kamwiwuliti Yosamu na Yosamu kamwiwuliti Ahazi na Ahazi kamwiwuliti Hezekiya. 
MAT.1.10	Hezekiya kamwiwuliti Manasi na Manasi kamwiwuliti Amoni na Amoni kamwiwuliti Yosiya 
MAT.1.11	na Yosiya kamwiwuliti Yekoniya na walongu wakuwi. Ashi shiweriti shipindi Wayawudi pawawajegiti kugenda muluhamiru Babiloni.
MAT.1.12	Pa Wayawudi kuwatola kugenda muluhamiru Babiloni na Yekoniya kamwiwuliti Sheatiyeli na Sheatiyeli kamwiwuliti Zerubabeli, 
MAT.1.13	Zerubabeli kamwiwuliti Abiyudi na Abiyudi kamwiwuliti Eliyakimu na Eliyakimu kamwiwuliti Azori. 
MAT.1.14	Azori kamwiwuliti Sadoki na Sadoki kamwiwuliti Akimu na Akimu kamwiwuliti Eliwudi. 
MAT.1.15	Eliwudi kamwiwuliti Eleyazari na Eliyazari kamwiwuliti Matati na Matati kamwiwuliti Yakobu. 
MAT.1.16	Yakobu kamwiwuliti Yosefu, mpalu gwa Mariya mawu gwakuwi Yesu yawamshema Kristu.
MAT.1.17	Su kuweriti na nyiwuku lilongu na msheshi kwanjira Aburahamu mpaka Dawudi na nyiwuku lilongu na msheshi kwanjira Dawudi mpaka Wayawudi pawawalopoliti kugenda Babiloni na nyiwuku lilongu na msheshi kwanjira pawawatoliti lopola mpaka shipindi sha Kristu.
MAT.1.18	Hangu ndo Yesu Kristu ntambu yakiwukiti, Mariya mawu gwakuwi Yesu kaweriti kahetitwi na Yosefu. Kumbiti pamberi pa kulikala pamuhera gambira mpalu na mdala, kawonikaniti kana yinda kwa uwezu wa Rohu Mnanagala. 
