MAT.1.1	Ísti karakata Jesukristueri sïrukueri, enga Dabidi ka Abrani uájpeka:
MAT.1.2	Abrani Isakiri tátjembespti ka Isaki Jakobueri ka Jakobu Juderi, ka imeri erachi jémbecheri. 
MAT.1.3	Ka Juda Tamari jingunksï Fáresini ka Sérani kángorheaspti ka Fáresi Esromueri tátjembespti ka Esromu Aramueri. 
MAT.1.4	Aramu Aminadabiri tátjembespti ka Aminadabi Naasoniri ka Naasoni Salmoniri. 
MAT.1.5	Ka Salmoni Raabini jinguni Bóosinksï kángorhespti ka Bóosi Rutini jingunksï Obedini kángorhespti ka Obedi Isairi tátjembespti, 
MAT.1.6	ka Isai irecha Dabiri tátjembespti.
MAT.1.6	Ka irecha Dabi Salomoniri tátjembespti ka ima enga Uriasiri uarhitipka ima amambespti. 
MAT.1.7	Salomoni Roboamiri tátjembespti ka Roboami Abiasiri ka Abiasi Asari. 
MAT.1.8	Asa Josafatiri tátjembespti ka Josafati Joramueri ka Joramu Usiasiri. 
MAT.1.9	Ka Usiasi Jotamueri ka Jotamu Akasiri ka Akasi Esekiasiri. 
MAT.1.10	Ka Esekiasi Manasesiri tátjembespti ka Manasesi Amoniri ka Amoni Josiasiri. 
MAT.1.11	Ka Josiasi Jekoniasïri tátjembespti ka imeri erachi jémbecheri, jiájkani isï engaksï Babilonia pánhapka k'atakata.
MAT.1.12	Tátsekua engaksï Babilonia uératini k'uanhatsentapka, Jekoniasï Salatielini kángorhespti ka Salatieli Sorobabelini.
MAT.1.13	Ka Sorobabeli Abiudini ka Abiudi Eliakimuni ka Eliakimu Asorini, 
MAT.1.14	ka Asori Sadokini ka Sadoki Akimuni ka Akimu Eliudini. 
MAT.1.15	Eliudi Eleasarini kángorhespti ka Eleasari Matanini ka Matani Jakobueri tátjembespti, 
MAT.1.16	ka Jakobu Joseri tátjembespti, enga Mariaueri uámbepka engaksï Jesusini kángorhepka enga Krístu arhinhajka.
MAT.1.17	Ísï jimbo jiájkani uératini enga Abranika ka enga jamberi Dabika témbeni t'ámu sïrurichesptiksï. Ka máteru xánderu Dabi jinguni uénani ka jiájkani jamberi engaksï Babilonia k'atakata pánhapka, ka máteru xánderu jiájkani engaksï Babilonia uératini k'uanhatsentapka ka enga jamberi Krístuekia.
MAT.1.18	Jesukristueri andajpenukua arisï úkorhespti: Jose Mariani, imani enga Jesusiri nánde jémbeka kurhajkorhetixaptia, ka engaksï nótki márku irekani jápka, Maria Espiritu Sántuni jimbo sapini erokorhexaptia. 
MAT.1.19	Jose kaxumbespti ka no uékasïrempti uandantani, ka Mariani úekaspti sïpatekuarhku jurajkuni. 
MAT.1.20	Enga Jose íni ambe eratseni jápka, Acheri ánjeli ma tsánharhikuarhu xarhakuspti ka arhispti: “Jose, Dabi uájpa, ásï jáma chéni Mariani tembuni, jimboka Espiritu Sántueriska enga inde kóndenhatini jaka. 
MAT.1.21	Ka Maria sapini ma kángorheati ka Jesusiri arhiratarkorheaka jimboka inde, inderi iretani k'amanharhintskuarhu p'ímutantaaka.”
MAT.1.22	Iámendu i ambe ísï úkorhesti eskamendu Acha imeri uandarini jimbo na uandarini jápka:
MAT.1.23	“Iurhitskiri ma ixu jarhasti
MAT.1.23	enga uájpani ma kángorheaka,
MAT.1.23	ka Emanueli arhinhaati.”
MAT.1.23	(Enga arhikuekajka: “Diósï juchantsïni jingunisti”).
MAT.1.24	Ka enga Jose tsínharhipka ísï jámaspti eska Acheri ánjeli na juramukupka ka Mariani tembuspti. 
MAT.1.25	K'óru no p'árhespti enga jamberi ima uájpa urhetini kángorhepka ka Jesusi arhiratarkorhespti.
MAT.2.1	Enga Jesusi andajpenupka Beleni enga Judea jaka, imani jurhiatekuechani isï enga irecha Erodesi juramuni jápka. Jerusalenksï niáraspti máru jóskuecheri mímixeticha, tata jurhiata andarakuarhu uératini 
MAT.2.2	kurhangorheparinksï:
MAT.2.2	–¿Nani jarhaski ima enga andajpenuka ima enga judiuechani irechekuauaka? Jucha imeri jóskuani tata jurhiata andarakuarhu exeska ka k'éri ambeksï arhini jurhaska.
MAT.2.3	Íni ambe irecha Erodesi kurharini ka Jerusaleni anapuechaksï uandanheaspti. 
MAT.2.4	Ka tánantaaspti iámendu tátecheri urhejtsïkurichani ka juramukua jurhentpirichani ka iretarhu anapuechani ka kurhamarheaspti:
MAT.2.4	–¿Krístu nanisï andajpenupirinki? 
MAT.2.5	Ka imaksï arhispti:
MAT.2.5	–Beleni enga Judea jaka, jimboka Diósïri uandari ísï karaska:
MAT.2.6	“Ka t'u Beleni engari Judea jaka,
