MAT.1.1	Jesús caran rey Davidpa ayllun. David caran Abrahampa ayllun. Chaymi Abrahampita galaycur Jesuspa unay aylluncuna caycuna caran:
MAT.1.2	Abrahampa wamran caran Isaac.
MAT.1.2	Isaacpa wamran caran Jacob.
MAT.1.2	Jacobpa wamran caran Judá y waquin wauguincunapis.
MAT.1.3	Judäpa wamrancunam caran Fareswan Zara.
MAT.1.3	Paycunapa maman caran Tamar.
MAT.1.3	Farespa wamran Esrom.
MAT.1.3	Esrompa wamran Aram.
MAT.1.4	Arampa wamran Aminadab.
MAT.1.4	Aminadabpa wamran Naasón.
MAT.1.4	Naasonpa wamran Salmón.
MAT.1.5	Salmonpa wamran caran Booz.
MAT.1.5	Boozpa maman caran Rahab.
MAT.1.5	Boozpa wamran caran Obed.
MAT.1.5	Obedpa maman caran Rut.
MAT.1.5	Obedpa wamran caran Isaí.
MAT.1.6	Isaïpa wamran caran rey David.
MAT.1.6	Rey Davidpa wamran caran Salomón.
MAT.1.6	Salomón yuriran Uriaspa viudanchru.
MAT.1.7	Salomonpa wamran Roboam.
MAT.1.7	Roboampa wamran Abías.
MAT.1.7	Abiaspa wamran Asa.
MAT.1.8	Asapa wamran Josafat.
MAT.1.8	Josafatpa wamran Joram.
MAT.1.8	Jorampa wamran Uzías.
MAT.1.9	Uziaspa wamran Jotam.
MAT.1.9	Jotampa wamran Acaz.
MAT.1.9	Acazpa wamran Ezequías.
MAT.1.10	Ezequiaspa wamran Manasés.
MAT.1.10	Manasespa wamran Amón.
MAT.1.10	Amonpa wamran Josías.
MAT.1.11	Josiaspa wamran caran Jeconías y waquin wauguincunapis.
MAT.1.11	Jeconías yurinan wichan Israel runacunata Babilonia soldäducuna prësu charircur Babilonia naciunman aparan.
MAT.1.12	Chaychrünam Jeconiaspa wamran Salatiel yuriran.
MAT.1.12	Salatielpa wamran Zorobabel.
MAT.1.13	Zorobabelpa wamran Abiud.
MAT.1.13	Abiudpa wamran Eliaquim.
MAT.1.13	Eliaquimpa wamran Azor.
MAT.1.14	Azorpa wamran Sadoc.
MAT.1.14	Sadocpa wamran Aquim.
MAT.1.14	Aquimpa wamran Eliud.
MAT.1.15	Eliudpa wamran Eleazar.
MAT.1.15	Eleazarpa wamran Matán.
MAT.1.15	Matanpa wamran Jacob.
MAT.1.16	Jacobpa wamran José Mariapa gosan caran. Mariana Jesuspa maman caran. Paymi Dios cachramungan Salvador caran.
MAT.1.17	Chauraga Abraham cawanganpita pacha David cawangancama chrunca chruscu (14) generacion caran. David cawanganpita pacha Israel runacuna Babiloniaman apanan wichancama chrunca chruscu generacion caran. Babiloniaman apanganpita pacha Tayta Dios cachramungan Salvador yuringancama chrunca chruscu generacion caran.
MAT.1.18	Jesús yurinanpag caynuy caran: Mariawan tiyananpag José parlashana caycaran. Ichanga mana majachacaranrächu. Manaräpis majachacar Santu Espiritupa munayninwan María gueshyag ricacuran. 
MAT.1.19	Gueshyag ricacaruptin Josëga ali runa car pitapis mana musyachilar jaguiriycuyta yarparan. 
MAT.1.20	Ichanga jaguiriycunanpag yarpachracusha caycaptin Tayta Diospa angilnin Josëta suyñuyninchru niran: “Rey Davidpa ayllun José, mana manchacuypa Mariata majayquipag shuntay. Pay gueshyag ricacusha Santu Espíritu munayninpam. 
MAT.1.21	Mariapa wamran olgum canga. Jutinta chrurapanqui Jesús
MAT.1.22	Chaynuy caran Tayta Diosninchi willacogninwan caynuy willacachingan cumplinanpämi:
MAT.1.23	“Doncëlla jipashmi gueshyag ricacunga y olgum wamran canga.
MAT.1.23	Jutinta ‘Emanuel’ jutin cananpag chrurapäpäcunga”.
MAT.1.23	(Emanuel ninanga “Tayta Dios noganchiwanmi caycan” ninanmi.)
MAT.1.24	Chaynuy niptinmi José puñuycanganpita ricchapacarimur Tayta Diosninchipa angilnin ningannuyla Mariawan tiyaran. 
MAT.1.25	Mariawan José mana puñuranrächu olgu wamranta gueshyacungancama. Gueshyacururna chay wamrapa jutinta Jesús jutin cananpag José chruraparan.
MAT.2.1+MAT.2.2	Jesús yuriran Judea provincia Belén marcachrümi. Chay wichan Jerusalenchru rey Herodes caycaran. Chaymanmi inti yargamunan lädu naciunpita estrëllacunapita musyagcuna Jerusalenman chrayaran. Chrayaycurna tapucäriran: “Israel runacunapa mandagnin rey cananpag yureg wamra ¿maychrütag caycan? Marcäpitam ricapäcamushcä estrëllanta. Chaymi shapäcamushcä payta adoräpäcunäpag”.
MAT.2.3	Chayta mayar rey Herodes pasaypa yarpachracuyman chrayaran. Chaynuy captinmi Jerusalén runacunapis pasaypa yarpachracuyman chrayapäcuran. 
