MAT.1.1	Caigunami Jesucristohua huañuc apayaya shutiguna, paiga Davidmandas ñaupa Abrahanmandahuas mirai ara.
MAT.1.2	Abrahanba churi Isaac ara,
MAT.1.2	Isaacpa churi Jacobo,
MAT.1.2	Jacobohua churi Judá paihua huauquigunandi.
MAT.1.3	Judága ishcai (2) churita charira Fares Zaro nishcaguna, chi churigunahua mama Tamar ara.
MAT.1.3	Farespa churi Esrón,
MAT.1.3	Esrónba churi Aram.
MAT.1.4	Aramba churi Aminadab,
MAT.1.4	Aminadabba churi Nasón,
MAT.1.4	Nasónba churi Salmon.
MAT.1.5	Salmon Rahabhuan Boozta charira,
MAT.1.5	Booz Ruthuan Obedta charira.
MAT.1.5	Obedpa churi Isaí,
MAT.1.6	Isaíba churi mandac rey amu David,
MAT.1.6	mandac Davidpa churi Salomon,
MAT.1.6	Salomonba mamaga Uriaspa huarmi ara.
MAT.1.7	Salomonba churi Roboan,
MAT.1.7	Roboanba churi Abías,
MAT.1.7	Abíaspa churi Asa.
MAT.1.8	Asahua churi Josafat,
MAT.1.8	Josafatpa churi Jorán,
MAT.1.8	Joranba churi Uzias.
MAT.1.9	Uziaspa churi Jotan,
MAT.1.9	Jotanba churi Acaz,
MAT.1.9	Acazpa churi Ezequias.
MAT.1.10	Ezequiaspa churi Manases,
MAT.1.10	Manasespa churi Amón,
MAT.1.10	Amónba churi Josias.
MAT.1.11	Josiaspa churi Jeconias paihua huauquigunandi, israel runaguna Babilonia nishca llactama apai tucuushca uras pagaric anaushca.
MAT.1.12	Israelguna lugaryashcahuasha Jeconias shuc
MAT.1.12	huahuata tupara Salatiel nishcata.
MAT.1.12	Salatielba churi Zorobabel.
MAT.1.13	Zorobabelba churi Abiud,
MAT.1.13	Abiudba churi Eliaquín,
MAT.1.13	Eliaquínba churi Azor.
MAT.1.14	Azorba churi Sadoc,
MAT.1.14	Sadocpa churi Aquin,
MAT.1.14	Aquinba churi Eliud.
MAT.1.15	Eliudba churi Eleazar,
MAT.1.15	Eleazarba churi Matán,
MAT.1.15	Matanba churi Jacobo.
MAT.1.16	Jacobohua churi Jose,
MAT.1.16	Josega Mariahua cari ara,
MAT.1.16	Mariami Cristo nishca Jesuspa mama ara.
MAT.1.17	Chasna acpi Abrahanmanda Davidgama chunga chuscu (14) miraiguna anaura, chasnallata David mandashca urasmanda israelguna Babiloniama apaitucushca urascama chunga chuscu (14) miraiguna anaura. Chi apai tucushca urasmanda Cristo pagarishca urascama chunga chuscu (14) miraiguna anaushca.
MAT.1.18	Jesucristo pagarishcaga casna mara: Paihua mama Mariaga Jose tapushca asha paihuan chara mana llutariushcallaita Diospa Samai ushaihuan huicsayara. 
MAT.1.19	Ñáa paihua cari tucuna Josega Diospacpi ali runa ara. Alita pactachic asha pai tapushca huarmi Maria huicsayuc tucushcata yachasha paita saquinata yuyarira. Chasna ashallata tucui runa ñaupacpi paita pingachinata mana munasha, chunllamanda saquinata yuyarira. 
MAT.1.20	Chasna pai yuyariushcai shu tuta muscuibi Diospa angel ricurimusha paita nira, mandac rey amu Davidmanda mirai Jose, ama manzhaichu camba huarmi Mariata japingahua. Chi paihua huicsaibi tiyac huahuaga Diospa Samaimandami. 
MAT.1.21	Paiga shuc cari huahuata pagarichingami. Chi huahuataga Jesus nishcata shutichingui, paihua runagunata juchamanda quishpichingaraushcamanda chasna shutichingui, nira.
MAT.1.22	Yaya Dios chasna yuyaita cucpi Dios rimashcata shuc pasachic runa ñaupallata caimandami quillcashca. Chimi cunanga ña pactamushca:
MAT.1.23	Shuc malta huarmi huicsayuc tucunga,
MAT.1.23	cari huahuata pagarichinga.
MAT.1.23	Chi huahuata Emanuel nisha rimangauna, nira.
MAT.1.23	Runa shimibi Emanuel nisha nin Dios ñucanchihuanmi.
MAT.1.24	Jose puñushcamanda niccharisha Diospa angel rimashcata pactachisha Mariata japira paihua huarmi tucuchun nisha. 
MAT.1.25	Paihuan chara mana llutarishca agllaita Maria punda cari huahuata pagarichira, paitaga Jesus nishcata shutichira.
MAT.2.1	Jesus Judea provincia Belen llactai pagarishca uras Herodes chibi mandac amu ara. Chi uras shuc punzha indi llucshina partimanda estrellasta ricuusha yachac runaguna Jerusalen llactama shamunaura. 
MAT.2.2	Pactamusha tapunaura, Israelgunata mandac jatun amu cunanlla pagarishcaga maibitaun. Indi llucshina partibi paihua estrellasta ricushcanchi. Chimandami paita alabangahua shamunchi ninaura.
MAT.2.3	Herodes chita uyasha ashcata manzharira, Jerusalenbi tiyaucunahuas chasnallata manzharinaura. 
MAT.2.4	Chasna manzharisha Herodes tucui pagrita mandaccunatas israel mandashcagunata yachachiccunatahuas cayasha paigunata tapura, Quishpichic Cristo nishcaga maican llactai pagarina tan.
MAT.2.5	Tapucpi cuintanaura, Judea provincia Belen llactaimi. Casnami Dios rimashcata shuc pasachic runa quillcara:
MAT.2.6	Judea provinciai Belen llacta,
MAT.2.6	tucui llactagunamanda mana pishicchangui.
MAT.2.6	Canmandami shuc jatun mandac runa llucshingarauc.
MAT.2.6	Paimi ñuca israel runagunataga ali cuirac amu tucunga,
MAT.2.6	nisha Dios paihua runata rimara.
MAT.2.7	Chita uyasha Herodes yachaccunata pacalla cayasha, Ima urasmandata chi estrellas ricurimushcata ricuranguichi, nisha tapura. 
MAT.2.8	Tapushcahuasha paigunata Belen llactama cachara chasna mandasha, Chi huahuata mascagrichi. Paita tupasha ucta cuintahuac shamunguichi ñucahuas paita alabagringahua.
MAT.2.9	Pai rimacta uyasha chi yachaccuna rinaura. Paiguna ñaupa ricushca estrellasca cutillata ricurisha paigunata ñaupasha rira, huahua aushca huasi cuscai shayarira. 
MAT.2.10	Paiguna estrellasta ricushami yapa cushiyanaura. 
