MAT.1.1	'E 'akapapa'anga nō te 'ui tupuna o Iēsū Mesia, 'e tamaiti nā Dāvida, 'e tamaiti nā Āberahāma.
MAT.1.2	'Ānau akera tā Āberahāma ko Īsā'aka; 'ānau akera tā Īsā'aka ko Iākōba, 'ānau akera tā Iākōba ko Iūda ē tōna au tuakana ē te au teina; 
MAT.1.3	'ānau akera tā Iūda ko Phāreza ē ko Zara i a Tāmara; 'ānau akera tā Phāreza ko Ēserōna, 'ānau akera tā Ēserōna ko Rama; 
MAT.1.4	'ānau akera tā Rama ko Āmīnādaba; 'ānau akera tā Āmīnādaba ko Na'asona; 'ānau akera tā Na'asona ko Salamona; 
MAT.1.5	'ānau akera tā Salamona ko Boāza i a Rā'aba; 'ānau akera tā Boāza ko Ōbeda i a Ruta; 'ānau akera tā Ōbeda ko Iēse; 
MAT.1.6	'ānau akera tā Iēse ko Dāvida te ariki ra.
MAT.1.6	'Ānau akera tā Dāvida ko Sōlomona i te va'ine a Ūria ra; 
MAT.1.7	'ānau akera tā Sōlomona ko Rēhōboāma; 'ānau akera tā Rēhōboāma ko Ābia; 'ānau akera tā Ābia ko Asa; 
MAT.1.8	'ānau akera tā Asa ko Iēhōsāphata; 'ānau akera tā Iēhōsāphata ko Iōrama; 'ānau akera tā Iōrama ko Ūzia; 
MAT.1.9	'ānau akera tā Ūzia ko Iōtama; 'ānau akera tā Iōtama ko Āhaza; 'ānau akera tā Āhaza ko Hēzekia; 
MAT.1.10	'ānau akera tā Hēzekia ko Manāse; 'ānau akera tā Manāse ko Āmona; 'ānau akera tā Āmona ko Iōsia; 
MAT.1.11	'ānau akera tā Iōsia ko Iēkōnia ē tōna 'ai taeake i te tuātau i riro tuika'a atu ei ki Bābulōnia ra.
MAT.1.12	Ē kia riro tuika'a atu ei rātou ki Bābulōnia, 'ānau akera tā Iēkōnia ko Salatiela; 'ānau akera tā Salatiela ko Zērūbābela; 
MAT.1.13	'ānau akera tā Zērūbābela ko Ābiūda; 'ānau akera tā Ābiūda ko Ēliākima; 'ānau akera tā Ēliākima ko Āzora; 
MAT.1.14	'ānau akera tā Āzora ko Sādoka; 'ānau akera tā Sādoka ko Ākima; 'ānau akera tā Ākima ko Ēliuda; 
MAT.1.15	'ānau akera tā Ēliuda ko Ēleāzara; 'ānau akera tā Ēleāzara ko Mātana; 'ānau akera tā Mātana ko Iākōba; 
MAT.1.16	'ānau akera tā Iākōba ko Iōsēpha, te tāne a Māria, nāna i 'ānau i a Iēsū ra ko tei karanga'ia ē ko te Mesia.
MAT.1.17	Ko te au uki kātoatoa i reira mei a Āberahāma maira e tae rava akera ki a Dāvida e rau nga'uru mā 'ā ia uki; mei a Dāvida maira e tae akera ki te riro'anga tuika'a ki Bābulōnia ra e rau nga'uru mā 'ā ia uki; ē mei te riro'anga tuika'a ki Bābulōnia e tae akera ki te Mesia e rau nga'uru mā 'ā ia uki.
MAT.1.19	Nō te mea 'oki ē 'e tangata tuatua tika a Iōsēpha tāna tāne ē kāre i 'inangaro i te 'akakite 'aere i tāna va'ine, kua manako i'ora aia i te 'akaruke pōiri 'ua i a Māria. 
MAT.1.20	Tē mā'ara'ara ra aia i te reira, ē inā, kua mama maira tēta'i 'āngela a te 'Atu ki aia nā roto i te moemoeā, kua nā kō maira, “E Iōsēpha, te tamaiti a Dāvida, auraka koe e mataku i te arataki mai i tō va'ine i a Māria ki ō'ou na, nō te mea, nō te Vaerua Tapu i nui ei aia. 
MAT.1.21	'E tamaiti tāna e 'ānau, ē ko Iēsū te ingoa tā'au e tapa nōna. E 'akaora 'oki aia i tōna 'iti tangata i tā rātou au 'ara.”
MAT.1.22	I pērā taua au mea katoa nei kia tupu tei 'akakite'ia mai e te 'Atu nā roto i te peroveta i te nā kō'anga ē, 
MAT.1.23	“Inā, 'e nui te pāretēnia, ē 'e tamaiti tāna e 'ānau, ē e tapa'ia tōna ingoa ko Īmānuela.” Tēia 'oki te 'akatau'anga, “Te Atua ki ō tātou nei.”
MAT.1.24	Kua ara akera a Iōsēpha i tāna moe ra, rave i'ora i tā te 'āngela a te 'Atu i 'akaue mai ki aia ra, ē kua arataki maira i tāna va'ine ki ōna ra. 
MAT.1.25	Kāre rā a Iōsēpha i rave atu i aia i mua ake ka 'ānau mai ei tāna tama, e tapa atura aia i tōna ingoa ko Iēsū.
MAT.2.1	Ē kia 'ānau a Iēsū i Bētelehēma i Iūdea ra, i te au rā o te ariki ra o Heroda, inā, 'e au tangata pakari tei 'aere mai ki Iērūsalēma mei te 'itinga o te rā mai, ē kua ui maira, 
MAT.2.2	“Tei 'ea te ariki 'ānau 'ōu o te Ngāti Iūda nei? Kite ake nei 'oki mātou i tōna 'ētū i te 'itinga o te rā, ē e 'aere mai nei mātou kia 'akangāteitei atu i aia.”
MAT.2.3	Ē kia 'akarongo akera te ariki ko Heroda i te reira, kua taitaiā akera aia ma tō Iērūsalēma katoa. 
MAT.2.4	E 'akaputuputu maira aia i te kau ta'unga nunui katoa ē te au Pū'āpi'i Ture o te 'iti tangata, kua ui atura aia ki a rātou, “Tei 'ea te ngā'i i 'ānau ei te Mesia?”
MAT.2.5	“'Ei Bētelehēma i Iūdea nei,” kua pa'u maira rātou. “Tē pērā maira 'oki te tātā'anga'ia mai e te peroveta:
MAT.2.6	kāre koe i te meangiti rava i rotopū i te au tūtara o Iūda;
MAT.2.6	nō roto mai i a koe tēta'i tūtara,
MAT.2.6	ē nāna e arataki i tōku nei 'iti tangata i a Īserā'ela.’ ”
MAT.2.7	I reira, kua tiki pōiri atura a Heroda i te au tangata pakari, ē kua ui mārie atura ki a rātou i te tuātau o te mama'anga mai o taua 'ētū ra. 
MAT.2.8	Kua 'akaunga atura aia i a rātou ki Bētelehēma, nā kō atura, “Ka 'aere, ka kimi mārie i taua tamaiti iti ra, ē kia kitea aia e kōtou, e 'akakite mai ki āku, kia 'aere katoa atu au e 'ara'ara atu i aia.”
MAT.2.9	Ē kia 'akarongo akera rātou i te tuatua a te ariki ra, 'aere atura. Ē inā, te 'ētū tā rātou i kite ana i te 'itinga o te rā, kua nā mua atura i a rātou e tae 'ua atu ki runga a'o i te ngā'i tei reira taua tamaiti ra, 'akano'o i'ora. 
MAT.2.10	Ra'i rava akera tō rātou rekareka i tō rātou kite'anga i taua 'ētū ra. 
MAT.2.11	E tae atura rātou ki roto i te 'are, kite atura rātou i taua tamaiti ra, ē tōna metua va'ine ko Māria, tuturi i'ora rātou ki raro, 'ara'ara atura i aia. Tatara akera i tā rātou 'apinga, tuku atura i te tao'ongā rima, te 'auro, te tāpou kakara ē te manongi.
MAT.2.12	Ē i ako'ia maira rātou nā roto i te moemoeā ē, auraka e 'oki ki a Heroda ra, 'aere atura rātou ki tō rātou 'ua'orāi 'enua nā tēta'i mataara kē.
MAT.2.13	E riro atura te aronga pakari, mama maira tēta'i 'āngela a te 'Atu ki a Iōsēpha nā roto i te moemoeā, nā kō maira, “Ka tū, ka rave i te tamaiti ē tōna metua va'ine, e 'oro ki Aiphiti. E no'o ki reira e tae 'ua atu ki te tuātau e 'akakite atu ei au ki a koe; nō te mea, tē kimi ra a Heroda i te tamaiti e tā.”
MAT.2.14	Kua tū akera aia, rave i'ora i te tamaiti ē tōna metua va'ine, 'aere atura ki Aiphiti i te pō. 
MAT.2.15	No'o atura ki reira e tae akera ki te matenga o Heroda. Tupu atura tā te 'Atu i tuatua maira nā roto i te peroveta, “I tikina'ia e au taku tamaiti mei Aiphiti mai.”
MAT.2.16	E kite atura a Heroda i reira ē, kua tāpikipiki'ia aia e te au tangata pakari ra, mākitakita rava akera aia, 'akaue atura, e tā i te tamariki tamāroa kātoatoa i Bētelehēma ē te au ngā'i i reira a'o, mei tē 'ānau maira e tae 'ua atu ki te rua mata'iti ra, mei te tuātau maira tāna i ui mārie ki te au tangata pakari ra.
MAT.2.17	I reira te tupu'anga o te tuatua a te peroveta a Iēremia i te nā kō'anga mai ē,
MAT.2.18	'e auē ē te tangi ē te mi'i ma'ata;
MAT.2.18	ko Rā'ela i te 'iri'ea'anga i tāna au tamariki,
MAT.2.18	ē kāre rava akera aia i anoano kia 'akapūma'ana'ia, nō te mea, kāre ake nei rātou.”
MAT.2.19	Ē kia mate a Heroda, inā, kua mama maira tēta'i 'āngela a te 'Atu ki a Iōsēpha i Aiphiti nā roto i te moemoeā, 
MAT.2.20	nā kō maira, “Ka tū, ka rave i te tamaiti ē tōna metua va'ine, ē ka 'oki ki te 'enua o Īserā'ela, nō te mea, kua mate te aronga i umuumu e tā i te tamaiti nei.” 
MAT.2.21	Kua tū akera aia, kua rave i'ora i te tamaiti ra ē tōna metua va'ine, 'oki maira ki te 'enua ra o Īserā'ela.
MAT.2.22	Kia 'akarongo rā aia ē, tei a Ārekelau te 'au 'ei tūpa'u i tōna metua i a Heroda i Iūdea ra, mataku i'ora aia kia 'aere ki reira. Ē i ako'ia maira aia nā roto i te moemoeā, 'aere atura aia ki te tu'anga 'enua ra ko Galilea. 
MAT.2.23	E tae atura aia, kua no'o i'ora ki tēta'i 'ōire ko Nāzarēta te ingoa, tupu atura tei tuatua'ia nā roto i te au peroveta ra ē, “E karanga'ia aia 'e tangata Nāzarēta.”
MAT.3.1	I te reira tuātau, kua 'aere maira a Ioane Bāpetīto i te tūtū 'aere'anga i te mēdēbara o Iūdea ra, 
MAT.3.2	i te nā kō'anga ē, “E tatarā'ara kōtou, tē vaitata mai nei 'oki te bāsileia o te ao!” 
MAT.3.3	Ko ia 'oki tēia tei tuatua'ia mai nā roto i a Īsaia peroveta i te nā kō'anga ē,
MAT.3.3	“'E reo nō tēta'i i te tūtū 'aere'anga i te mēdēbara,
MAT.3.3	‘Ka 'akate'ate'amamao i te arāta'a o te 'Atu,
MAT.3.3	e 'akatikatika i tōna au mataara.’ ”
MAT.3.5	I reira, kua 'aere atura tō Iērūsalēma ki aia ra ma tō Iūdea kātoatoa, ē tō te 'enua kātoatoa i te pae i Iōrīdāna ra, 
MAT.3.6	ē kua bāpetīto'ia i'ora rātou e ia ki roto i te kauvai ko Iōrīdāna ra, i a rātou e 'a'aki ra i tā rātou au 'ara.
MAT.3.8	Ē tēnā na, ka tuku maina i te 'ākono'anga e tau i te tatarā'ara. 
MAT.3.9	Ē auraka kōtou e manako i roto i a kōtou 'ua'orāi ē, ‘'E metua tō mātou ko Āberahāma.’ E karanga atu 'oki au ki a kōtou, ka tika i te Atua i te 'akatupu i te tamariki nā Āberahāma mei roto mai i ēia nei toka! 
MAT.3.10	Tei te aka takere te tārapa o te au pū rākau i tēianei. Ē te au rākau katoa ra kāre i 'ua mai i te 'ua meitaki ra, ka tīpū'ia ia ē ka titiri'ia atu ki roto i te a'i. 
MAT.3.11	Ko au nei, tē bāpetīto nei i a kōtou ki te vai kia tatarā'ara kōtou. Ko te ka 'aere mai i muri ake i āku nei, 'e ma'ata atu tōna mana i tōku, ē kāre au e tau kia 'apai i tōna tāmaka. Ka bāpetīto aia i a kōtou ki te Vaerua Tapu ē te a'i. 
