GEN.1.2	Te vai utonga kore ua te enua, kare e marikonga; e te poiri oki ki rungao i te moana. Kua akakoukou iora te 
GEN.1.4	Akara akera te Atua i te mārama, e te meitaki ra: e kua akataka iora te Atua i te mārama e te poiri. 
GEN.1.5	E tapa iora te Atua i te mārama, 
GEN.1.6	Kua tuatua iora te Atua, 
GEN.1.7	Kua anga iora oki te Atua i taua reva ra, 
GEN.1.8	E tapa iora te Atua i taua reva ra, E rangi. E aiai iora, e ao akera, ko te rā rua ïa.
GEN.1.9	Kua tuatua iora te Atua, 
GEN.1.10	Tapa iora te Atua i te one marō ra, E enua; e taua vai i uipa ra tapa iora aia, E tai: akara akera te Atu 
GEN.1.11	Kua tuatua iora te Atua, 
GEN.1.12	Kua akatupu akera oki te enua i te ngangaere, 
GEN.1.13	E aiai iora, e ao akera, ko te rā toru ïa.
GEN.1.14	Kua tuatua iora te Atua, 
GEN.1.15	E ei turama to roto i te reva i te rangi ra, ei akamārama i te enua nei; e koia tika atura. 
GEN.1.16	Kua anga iora te Atua i nga turama mamaata e rua ra; ko te turama maata ra, ei tutara i te ao, 
GEN.1.17	E kua tuku iora te Atua i te reira ki roto i te reva i te rangi ra, ei akamārama i te enua nei; 
GEN.1.18	Ei tutara i te po e te ao, e ei akataka i te mārama e te poiri: akara akera te Atua 
GEN.1.19	E aiai iora, e ao akera, ko te rā a ïa.
GEN.1.20	Kua tuatua iora te Atua, Kia maata te au mea ora totoro aere ua ki raro i te moana, e te au manu kia rere ki runga ake i te enua, ki roto i te reva i te rangi nei. 
GEN.1.21	Anga iora oki te Atua i te au ika mamaata ra, e te au mea ora katoa o te moana e totoro aere ua e manganui, i to ratou tu; e te au manu peau katoa i to ratou tu: akara akera te Atua 
GEN.1.22	E kua akameitaki atura te Atua ia ratou, na ko atura, 
GEN.1.23	E aiai iora, e ao akera, ko te rā rima ïa.
GEN.1.24	Kua tuatua iora te Atua, Kia akatupu mai te enua i te au mea ora i to ratou tu, te au puaka, e te au mea totoro, e te au manu vaevae ā o te enua i to ratou tu; e koia tika atura. 
GEN.1.25	Anga iora oki te Atua i te au manu vaevae ā o te enua i to ratou tu, e te au puaka i to ratou tu, e te au mea totoro katoa ki raro i te one i to ratou tu: akara akera te Atua 
GEN.1.26	Kua tuatua iora te Atua, 
GEN.1.27	Kua anga iora oki te Atua i te tangata i tona uaorai tu; i anga aia iaia 
GEN.1.28	E kua akameitaki atura te Atua ia raua, e kua tuatua maira te Atua kia raua, 
GEN.1.29	Kua tuatua iora te Atua, I na, te oronga atu nei au na kotou, i te rakau rikiriki katoa e ua ki runga i te enua katoa nei, e te au rakau mamaata ravarai e ua ra, tei roto iaia uaorai tona ua; 
GEN.1.30	E na te au puaka katoa o te enua nei, e na te 
GEN.1.31	Akara akera te Atua i te au mea katoa tana i anga, e i na, te meitaki roa ra. E aiai iora, e ao akera, ko te rā ono ïa.
GEN.2.1	OTI roa akera te rangi, e te enua e to reira katoa 
GEN.2.2	Akaoti iora oki te Atua i tana angaanga i te rā itu ra, i tana i anga ra; e noo ua iora aia i te rā itu i tana katoa ra angaanga, i tana i anga ra. 
GEN.2.3	E kua akameitaki iora te Atua i te rā itu, e akatapu atura i te reira; no te mea i reira tona noo ua anga i tana katoa ra angaanga, i ta te Atua i anga e i rave.
GEN.2.5	Kare oki te au 
GEN.2.6	I pupu mai ana ra te kou no roto i te enua, e akamauu katoatoaia iora te enua. 
GEN.2.7	E kua anga iora te Atua ra ko Iehova i te tangata i te 
GEN.2.8	Kua tanu oki te Atua ko Iehova i 
GEN.2.9	Kua akatupu oki te Atua ra ko Iehova i te au 
GEN.2.10	E kua taʼe maira tetai vai mei roto mai i Edene, e akamauu i taua kainga ra; ei reira atura te manga anga, e a atura manga. 
GEN.2.11	Ko Pisona te ingoa o tetai; ko tei akapini i te 
GEN.2.12	E auro meitaki to te reira enua; 
GEN.2.13	E te ingoa o te rua o te vai, ko Gihona ïa; ko tei akapini i te enua katoa o Kusa ra. 
GEN.2.14	E te ingoa o te toru o te vai, ko 
GEN.2.15	E kua rave iora te Atua ra ko Iehova i 
GEN.2.16	E kua tuatua maira te Atua ra ko Iehova ki te tangata, na ko maira, E kai ua koe i to te au rakau katoa o te kainga nei: 
GEN.2.17	Kareka i to te rakau e kite ei i te meitaki e te kino, 
GEN.2.18	E kua tuatua iora te Atua ra ko Iehova, Kare ïa e meitaki kia noo ua te tangata koia anake ra; 
GEN.2.19	Kua anga oki te Atua ra ko Iehova i te au puaka katoa ra o te enua nei i te 
GEN.2.20	I tapa ua rā Adamu i te ingoa no te au puaka katoa, e to te au manu katoa o te reva, e to te au manu vaevae ā katoa o te enua nei; kare roa ra o Adamu tauturu tau i kitea. 
GEN.2.21	E kua akatopa iora te Atua ra ko Iehova i te moe 
GEN.2.22	E taua kaokao o te tangata, ta te Atua ra ta Iehova i rave ra, anga iora ei vaine, e kua 
GEN.2.23	E kua karanga iorā Adamu, I teianei 
GEN.2.24	E akaruke ei te tangata i tona metua tane e tona metua vaine, ka piri atu ei ki tana vaine; e ka riro oki raua ei kopapa okotai. 
GEN.2.25	Te vai taaka ua rā Adamu, raua katoa ko te vaine, kare ra raua i akama.
GEN.3.1	E 
GEN.3.2	E kua karanga atura te vaine ki taua ovi ra, E kai maua i to te au rakau o te kainga nei; 
