MAT.1.1	O lil cai sicavel catar țîrdel‐pe o Iisus Hristos, o ciao le Davidosco, o ciao le Avraamosco. 
MAT.1.2	O Avraamo cherdea le Isaacos; o Isaac cherdea le Iacovos; o Iacovo cherdea le Iudas hai lesche phralen; 
MAT.1.3	O Iuda cherdea le Faresos hai le Zaras anda‐i Tamar; o Fares cherdea le Esromos; o Esrom cherdea le Aramos; 
MAT.1.4	O Aramo cherdea le Aminadavos; o Aminadav cherdea le Naasonos; o Naason cherdea le Salmonos; 
MAT.1.5	O Salmon cherdea le Boozos anda‐i Rahav; o Booz cherdea le Iobedos anda‐i Rut; o Iobed cherdea le Iesos; 
MAT.1.6	O Iese cherdea le thagares o David; o David cherdea le Solomonos anda‐i phivli le Uriaschi; 
MAT.1.7	O Solomon cherdea le Roboamos; o Roboam cherdea le Abias; o Abia cherdea le Asas; 
MAT.1.8	O Asa cherdea le Iosafatos; o Iosafat cherdea le Ioramos; o Ioram cherdea le Ozias; 
MAT.1.9	O Ozia cherdea le Iotamos; o Iotam cherdea le Ahazias; o Ahaz cherdea le Iezechias; 
MAT.1.10	O Iezechia cherdea le Manases; o Manase cherdea le Amonos; o Amon cherdea le Iosias; 
MAT.1.11	O Iosia cherdea le Iehonias hai lesche phralen, cana muchisaile and‐o Babilono. 
MAT.1.12	Pala so muchisaile and‐o Babilono, o Iehonia cherdea le Salatielos; o Salatiel cherdea le Zorobabelos; 
MAT.1.13	O Zorobabel cherdea le Abiudas; o Abiud cherdea le Eliachimos; o Eliachim cherdea le Azoros; 
MAT.1.14	O Azor cherdea le Sadocos; o Sadoc cherdea le Achimos; o Achim cherdea le Eliudas; 
MAT.1.15	O Eliud cherdea Eliazaros; o Eliazar cherdea le Matanos; o Matan cherdea le Iacovos; 
MAT.1.16	O Iacovo cherdea le Iosifos, o murș le Mariaco, cai cherdea le Iisusos, cai buciol Hristoso. 
MAT.1.17	Catar o Avraamo gi c‐o David si dă sea deșuștar neamuri; catar o David gi cai na muchisaile and‐o Babilono si deșuștar neamuri; hai dă cana muchisaile and‐o Babilono gi c‐o Hristoso si deșuștar neamuri. 
MAT.1.18	Cana cherdilo o Iisus sas cadea: e Maria, Leschi dei, sas logodime le Iosifosa; gi cai te beșăn on and‐ăch than, oi acili chamni catar o Duho Ujo. 
MAT.1.19	O Iosifo, laco murș, sas ăc manuș ujo, hai ni camelas te cherel‐lan lagiaveschi mașcar ăl manuș. Codolasche camelas te muchel‐lan cioreal. 
MAT.1.20	Sar beșălas ou hai gîndilas cadala bucheande, sicadilo‐pes and‐o suno că avilo ăc îngero catar o Del, ta phendea‐lesche: Iosife, Ciao le Davidosco, na dara te les‐tute le Maria che logodnica, că so astardilo andă late si catar o Duho Ujo. 
MAT.1.21	Oi si te cherel ăc Ciaves, hai va ciosa Lesco anau Iisus, că Ou astrala pe neamos lesche bezehăstar. 
MAT.1.22	Sea cada‐l buchea cherdile caște maladiol so phendea o Del mai anglal and‐o mui le prooroco, cai phendea: 
MAT.1.23	«Eta, e Cei e Bari aciola chamni ta cherela ăc Ciaves, ciola Lesco anau Emanuel, cai phenindos and‐aver felo avel cadea: O Del si amența.» 
MAT.1.24	Cana uștilo o Iosifo anda‐i lindri, cherdea sar phendea‐lesche o îngero le Devlesco hai lea pe giuvlea chere. 
MAT.1.25	Ta ni pringiandea‐lan gi cana cherdilo o Ciao, hai ciute Lesco anau Iisus.
MAT.2.1	Pala so cherdilo o Iisus and‐o Betleemo le Iudeiaco, p‐o timpo cana sas thagar o Irod, ita că avile dural ăl magi cathar inclel o cham c‐o Ierusalimo, hai pușle: 
MAT.2.2	Cai si o thagar le Iudeiengo, Cai acana biandilo? Că othe catar avileam ame dichleam Leschi cerhan hai avileam te das‐Lesche cocea. 
MAT.2.3	Cana așundea o thagar o Irod anda cadaia, holeailo hai sea o Ierusalimo holeailo lesa. 
MAT.2.4	Hai chidindos sauără rașan, save sas mai ciutine sama, hai aver manuș cai si sicadine lilesche anda o them, rodelas te gianel lendar: Cai trăbulas te cherdol‐pe o Hristoso? 
MAT.2.5	Ta on phende‐lesche: And‐o Betleemo le Iudeiaco, si hramome catar o prooroco: 
