MAT.1.1	Cartea genealogiei lui Iisus Hristos, fiul lui David, fiul lui Avraam:
MAT.1.2	Din Avraam s-a născut Isaac, din Isaac s-a născut Iacov, din Iacov s-au născut Iuda şi fraţii lui 
MAT.1.3	din Iuda s-au născut Fares şi Zara, născuţi de Tamar, din Fares s-a născut Esrom, din Esrom s-a născut Aram, 
MAT.1.4	din Aram s-a născut Aminadab, din Aminadab s-a născut Naason, din Naason s-a născut Salmon, 
MAT.1.5	din Salmon Booz, născut de Rahab, din Booz Obed, născut de Rut, din Obed s-a născut Iese, 
MAT.1.6	din Iese s-a născut regele David. Din regele David s-a născut Solomon, din soţia lui Urie, 
MAT.1.7	din Solomon s-a născut Roboam, din Roboam s-a născut Abia, din Abia s-a născut Asa, 
MAT.1.8	din Asa s-a născut Iosafat, din Iosafat s-a născut Ioram, din Ioram s-a născut Ozia, 
MAT.1.9	din Ozia s-a născut Ioatam, din Ioatam s-a născut Ahaz, din Ahaz s-a născut Ezechia, 
MAT.1.10	din Ezechia s-a născut Manase, din Manase s-a născut Amon, din Amon s-a născut Iosia, 
MAT.1.11	din Iosia s-au născut Iehonia şi fraţii lui, pe vremea strămutării în Babilon.
MAT.1.12	După strămutarea în Babilon, din Iehonia s-a născut Salatiel, din Salatiel s-a născut Zorobabel, 
MAT.1.13	din Zorobabel s-a născut Abiud, din Abiud s-a născut Eliachim, din Eliachim s-a născut Azor, 
MAT.1.14	din Azor s-a născut Ţadoc, din Ţadoc s-a născut Achim, din Achim s-a născut Eliud, 
MAT.1.15	din Eliud s-a născut Eleazar, din Eleazar s-a născut Matan, din Matan s-a născut Iacov, 
MAT.1.16	din Iacov s-a născut Iosif, soţul Mariei, din care s-a născut Iisus, care se cheamă Hristos.
MAT.1.17	Aşadar, de la Avraam până la David sunt paisprezece generaţii; de la David până la strămutarea în Babilon sunt paisprezece generaţii; şi de la strămutarea în Babilon până la Hristos sunt paisprezece generaţii.
MAT.1.18	Iar naşterea lui Hristos a fost aşa: Maria, mama lui, fiind logodită cu Iosif, şi înainte ca ei să locuiască împreună, a aflat că poartă în pântece un prunc de la Duhul Sfânt. 
MAT.1.19	Iosif, bărbatul ei, era un om drept şi nu dorea să o dea în vileag, ci voia s-o lase pe ascuns.
MAT.1.20	Pe când el se gândea la aceste lucruri, iată că un înger al Domnului i-a apărut în vis şi i-a zis: „Iosif, fiul lui David, nu te teme să o iei pe Maria, femeia ta, căci ce s-a zămislit în ea este de la Duhul Sfânt. 
MAT.1.21	Ea va naşte un Fiu şi-I vei pune numele Iisus, pentru că El va mântui poporul Său de păcatele lui.”
