GEN.1.1	La început
GEN.1.2	Pământul era pustiu și gol; peste faţa adâncului de ape era întuneric, și Duhul
GEN.1.3	Dumnezeu
GEN.1.4	Dumnezeu a văzut că lumina era bună și Dumnezeu a despărţit lumina de întuneric. 
GEN.1.5	Dumnezeu a numit lumina zi
GEN.1.6	Dumnezeu a zis: „Să fie
GEN.1.7	Și Dumnezeu a făcut întinderea, și ea a despărţit
GEN.1.8	Dumnezeu a numit întinderea cer. Astfel, a fost o seară și apoi a fost o dimineaţă: aceasta a fost ziua a doua.
GEN.1.9	Dumnezeu a zis: „Să se strângă
GEN.1.10	Dumnezeu a numit uscatul pământ, iar grămada de ape a numit-o mări. Dumnezeu a văzut că lucrul acesta era bun. 
GEN.1.11	Apoi Dumnezeu a zis: „Să dea
GEN.1.12	Pământul a dat verdeaţă, iarbă cu sămânţă după soiul ei și pomi care fac rod și care își au sămânţa în ei, după soiul lor. Dumnezeu a văzut că lucrul acesta era bun. 
GEN.1.13	Astfel, a fost o seară și apoi a fost o dimineaţă: aceasta a fost ziua a treia.
GEN.1.14	Dumnezeu a zis: „Să fie niște luminători
GEN.1.15	și să slujească de luminători în întinderea cerului, ca să lumineze pământul.” Și așa a fost. 
GEN.1.16	Dumnezeu
GEN.1.17	Dumnezeu i-a așezat în întinderea cerului, ca să lumineze pământul, 
GEN.1.18	să stăpânească
GEN.1.19	Astfel, a fost o seară și apoi a fost o dimineaţă: aceasta a fost ziua a patra.
GEN.1.20	Dumnezeu a zis: „Să mișune apele de vieţuitoare și să zboare păsări deasupra pământului pe întinderea cerului.” 
GEN.1.21	Dumnezeu
GEN.1.22	Dumnezeu le-a binecuvântat și a zis: „Creșteţi
GEN.1.23	Astfel a fost o seară și apoi a fost o dimineaţă: aceasta a fost ziua a cincea.
GEN.1.24	Dumnezeu a zis: „Să dea pământul vieţuitoare după soiul lor; vite, târâtoare și fiare pământești după soiul lor.” Și așa a fost. 
GEN.1.25	Dumnezeu a făcut fiarele pământului după soiul lor, vitele după soiul lor și toate târâtoarele pământului după soiul lor. Dumnezeu a văzut că erau bune. 
GEN.1.26	Apoi Dumnezeu a zis: „Să facem
GEN.1.27	Dumnezeu a făcut pe om după chipul
GEN.1.28	Dumnezeu i-a binecuvântat și Dumnezeu le-a zis: „Creșteţi
GEN.1.29	Și Dumnezeu a zis: „Iată că v-am dat orice iarbă care face sămânţă și care este pe faţa întregului pământ și orice pom care are în el rod cu sămânţă: aceasta să fie hrana
GEN.1.30	Iar tuturor
GEN.1.31	Dumnezeu S-a uitat
GEN.2.1	Astfel au fost sfârșite cerurile și pământul și toată
GEN.2.2	În ziua
GEN.2.3	Dumnezeu a binecuvântat
GEN.2.4	Iată
GEN.2.5	În ziua când a făcut Domnul Dumnezeu un pământ și ceruri, nu era încă pe pământ niciun copăcel
GEN.2.6	Ci un abur se ridica de pe pământ și uda toată faţa pământului. 
GEN.2.7	Domnul Dumnezeu a făcut pe om din ţărâna
GEN.2.8	Apoi, Domnul Dumnezeu a sădit o grădină
GEN.2.9	Domnul Dumnezeu a făcut să răsară din pământ tot felul
