GEN.1.1	La
GEN.1.2	Și pământul era pustiu și gol și era întuneric peste fața adâncului
GEN.1.3	Și Dumnezeu a zis
GEN.1.4	Și Dumnezeu a văzut că lumina era bună și Dumnezeu a despărțit lumina de întuneric. 
GEN.1.5	Și Dumnezeu a numit lumina
GEN.1.6	Și Dumnezeu a zis
GEN.1.7	Și Dumnezeu a făcut întinderea
GEN.1.8	Și Dumnezeu a numit întinderea ceruri. Și a fost seară și a fost dimineață: ziua a doua.
GEN.1.9	Și Dumnezeu a zis
GEN.1.10	Și Dumnezeu a numit uscatul pământ, iar strângerea apelor a numit‐o mări. Și Dumnezeu a văzut că era bine. 
GEN.1.11	Și Dumnezeu a zis
GEN.1.12	Și pământul a dat verdeață, ierburi care fac sămânță după soiul lor și pomi care fac roade în care este sămânța lor după soiul lor. Și Dumnezeu a văzut că era bine. 
GEN.1.13	Și a fost seară și a fost dimineață: ziua a treia.
GEN.1.14	Și Dumnezeu a zis: Să fie
GEN.1.15	Și ei să fie ca luminători în întinderea cerului ca să lumineze pe pământ. Și așa a fost. 
GEN.1.16	Și Dumnezeu a
GEN.1.17	Și Dumnezeu i‐a pus în întinderea cerurilor ca să lumineze pe pământ 
GEN.1.18	și să
GEN.1.19	Și a fost seară și a fost dimineață: ziua a patra.
GEN.1.20	Și Dumnezeu a zis: Să mișune apele cu mulțimi de viețuitoare și să zboare păsări deasupra pământului pe fața întinderii cerurilor. 
GEN.1.21	Și
GEN.1.22	Și Dumnezeu le‐a binecuvântat, zicând
GEN.1.23	Și a fost seară și a fost dimineață: ziua a cincea.
GEN.1.24	Și Dumnezeu a zis: Să dea pământul vietate după soiul său, dobitoace și târâtoare și viețuitoare a pământului după soiul său. Și așa a fost. 
GEN.1.25	Și Dumnezeu a făcut viețuitoarea pământului după soiul său și dobitoacele după soiul lor și orice se târăște pe pământ după soiul său. Și Dumnezeu a văzut că era bine. 
GEN.1.26	Și Dumnezeu a zis
GEN.1.27	Și Dumnezeu a făcut pe om după
GEN.1.28	Și Dumnezeu i‐a binecuvântat și Dumnezeu le‐a zis
GEN.1.29	Și Dumnezeu a zis: Iată v‐am dat orice iarbă care face sămânță care este pe fața întregului pământ și orice pom în care este rodul unui pom care face sămânță: să
GEN.1.30	Și oricărei
GEN.1.31	Și
GEN.2.1	Și cerurile și pământul și
GEN.2.2	Și în
GEN.2.3	Și Dumnezeu a
GEN.2.5	Și
GEN.2.6	Ci un abur se ridica de pe pământ și uda toată fața pământului. 
GEN.2.7	Și Domnul Dumnezeu a întocmit pe om din
GEN.2.8	Și Domnul Dumnezeu a sădit o
GEN.2.9	Și din pământ Domnul Dumnezeu a făcut să crească
GEN.2.10	Și un râu ieșea din Eden ca să ude grădina și de acolo se împărțea și se făcea patru brațe. 
GEN.2.11	Numele unuia este Pison; el înconjoară
GEN.2.12	Și aurul din țara aceea este bun; acolo este
GEN.2.13	Și numele râului al doilea este Ghidon; el înconjoară toată țara lui Cuș. 
GEN.2.14	Și numele râului al treilea este
GEN.2.15	Și Domnul Dumnezeu a luat pe om și l‐a
GEN.2.16	Și Domnul Dumnezeu a poruncit omului zicând: Din orice pom din grădină poți să mănânci în voie. 
GEN.2.17	 Dar din pomul cunoștinței binelui și răului
