MAT.1.1+MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	От Авраама до царя Давида: Авраам, Исаак, Иаков, Иуда и его братья, Па́рец и его брат Зе́рах (их матерью была Тама́р), Хецро́н, Рам, Амминада́в, Нахшо́н, Салмо́н, Бо́аз (его матерью была Раа́в), Ове́д (его матерью была Руфь), Иессе́й, царь Давид.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	После выселения в Вавилон и до рождения Иисуса: Иехо́ния, Шеалтиэ́л, Зороваве́ль, Авиу́д, Элиаки́м, Азо́р, Цадо́к, Ахи́м, Элиу́д, Элеаза́р, Матта́н, Иаков, Иосиф, муж Марии, матери Иисуса, называемого Христом, то есть Помазанником.
MAT.1.17	Всех поколений от Авраама до Давида было четырнадцать, от Давида до выселения в Вавилон — четырнадцать, и от выселения в Вавилон до рождения Помазанника — четырнадцать.
MAT.1.19	Иосиф, ее нареченный, как человек праведный, решил разорвать помолвку, но тайно, чтобы не выставлять ее на позор. 
MAT.1.20	Когда же он это задумал, явился ему во сне ангел от Господа. «Иосиф, сын Давида, не бойся взять Марию в жены, — сказал он. — Ребенок, которого она носит, зачат от Духа Святого. 
MAT.1.21	Она родит сына, и ты назовешь Его Иисусом, потому что Он спасет Свой народ от грехов». 
MAT.1.22	Все это произошло, чтобы исполнилось то, что сказал Господь через пророка:
MAT.1.23	Его назовут Эммануи́л»,
MAT.1.23	что значит «С нами Бог».
MAT.1.24	Иосиф, пробудившись ото сна, поступил так, как велел ему ангел Господень: взял Марию как жену к себе в дом. 
MAT.1.25	Но он не прикасался к ней до тех пор, пока она не родила Сына. Он назвал Его Иисусом.
MAT.2.2	«Где новорожденный царь иудеев? — спрашивали они. — Мы видели, как взошла Его звезда, и пришли воздать Ему почести». 
MAT.2.3	Царь Ирод, услышав об этом, пришел в смятение, а с ним и весь Иерусалим. 
MAT.2.4	Собрав всех старших священников и учителей Закона, он спросил у них, где надлежит родиться Помазаннику. 
MAT.2.5	«В иудейском городе Вифлееме, — ответили они. — Потому что так написано пророком:
MAT.2.6	не самый малый средь главных городов Иуды:
MAT.2.6	из тебя произойдет вождь,
MAT.2.6	пастырь народа Моего Израиля“».
MAT.2.7	Тогда Ирод, тайно призвав к себе звездочетов, выведал у них точное время появления звезды 
MAT.2.8	и направил их в Вифлеем, сказав им: «Ступайте и все в точности разузнайте о Ребенке. А когда найдете Его, дайте мне знать, я тоже приду воздать Ему почести». 
MAT.2.9	Выслушав царя, они отправились в путь. И вдруг звезда, восход которой они видели, стала двигаться перед ними, пока не остановилась над тем местом, где был Ребенок. 
MAT.2.10	Когда они увидели звезду, они очень сильно обрадовались. 
MAT.2.11	Войдя в дом, они увидели Ребенка и Марию, Его мать, и, встав на колени, склонились перед Ним ниц, а потом, достав ларцы с сокровищами, преподнесли Ему в дар золото, ладан и смирну. 
MAT.2.12	Получив во сне повеление не возвращаться к Ироду, они отправились в свои края другой дорогой.
MAT.2.13	После того как они ушли, ангел Господень является во сне Иосифу и говорит: «Встань, возьми Ребенка с матерью и беги в Египет. Оставайся там до тех пор, пока не скажу тебе, ведь Ирод собирается разыскать Ребенка и убить Его». 
MAT.2.14	Тот встал, взял Ребенка с матерью и ночью отправился в Египет. 
MAT.2.15	Там он оставался до смерти Ирода. Это произошло, чтобы исполнилось то, что сказал Господь через пророка: «Из Египта призвал Я Сына Моего».
MAT.2.16	Когда Ирод увидел, что звездочеты его провели, он пришел в ярость. Он приказал убить в Вифлееме и его окрестностях всех мальчиков в возрасте до двух лет, то есть рожденных в то время, о котором он узнал от звездочетов.
MAT.2.17	И так исполнилось сказанное через пророка Иереми́ю:
MAT.2.18	То Рахи́ль о детях своих рыдает
MAT.2.18	и не хочет утешиться,
MAT.2.18	потому что их больше нет».
MAT.2.19	После смерти Ирода Иосифу в Египте является во сне ангел Господень 
MAT.2.20	и говорит: «Встань, возьми Ребенка с матерью и возвращайся в израильскую землю. Тех, кто хотел погубить Ребенка, уже нет в живых». 
MAT.2.21	Иосиф встал, взял Ребенка с матерью и отправился в израильскую землю. 
MAT.2.22	Но когда он узнал, что вместо царя Ирода в Иудее правит его сын Архела́й, он побоялся идти туда. Получив во сне повеление, он отправился в Галилейскую область 
MAT.2.23	и, придя туда, поселился в городе под названием Назаре́т. Так исполнилось сказанное Господом через пророков, что Его назовут Назоре́ем. 
MAT.3.2	Он возвещает: «Покайтесь! Ведь Царство Небес уже близко!» 
MAT.3.3	Ведь он был тот, о котором сказал пророк Иса́йя:
MAT.3.3	«Голос глашатая в пустыне:
MAT.3.3	„Приготовьте дорогу Господу,
MAT.3.3	проложите для Него прямые пути“».
