MAT.1.1	Книга о рождении Иисуса Христа, сына Давидова, сына Авраамова.
MAT.1.2	Авраам родил Исаака; Исаак родил Иакова; Иаков родил Иуду и братьев его; 
MAT.1.3	Иуда родил Фареса и Зару от Фамари; Фарес родил Есрома; Есром родил Арама; 
MAT.1.4	Арам родил Аминадава; Аминадав родил Наасона; Наасон родил Салмона; 
MAT.1.5	Салмон родил Вооза от Рахавы; Вооз родил Овида от Руфи; Овид родил Иессея; 
MAT.1.6	Иессей родил Давида царя;
MAT.1.6	Давид родил Соломона от бывшей за Урией; 
MAT.1.7	Соломон родил Ровоама; Ровоам родил Авию; Авия родил Асу; 
MAT.1.8	Аса родил Иосафата; Иосафат родил Иорама; Иорам родил Озию; 
MAT.1.9	Озия родил Иоафама; Иоафам родил Ахаза; Ахаз родил Езекию; 
MAT.1.10	Езекия родил Манассию; Манассия родил Амона; Амон родил Иосию; 
MAT.1.11	Иосия родил Иехонию и братьев его, во время переселения в Вавилон.
MAT.1.12	По переселении же в Вавилон Иехония родил Салафиила; Салафиил родил Зоровавеля; 
MAT.1.13	Зоровавель родил Авиуда; Авиуд родил Елиакима; Елиаким родил Азора; 
MAT.1.14	Азор родил Садока; Садок родил Ахима; Ахим родил Елиуда; 
MAT.1.15	Елиуд родил Елеазара; Елеазар родил Матфана; Матфан родил Иакова; 
MAT.1.16	Иаков родил Иосифа, мужа Марии, от Которой родился Иисус, называемый Христос.
MAT.1.17	Итак, всех родов от Авраама до Давида четырнадцать родов; и от Давида до переселения в Вавилон четырнадцать родов; и от переселения в Вавилон до Христа четырнадцать родов.
MAT.1.18	Рождение же Иисуса Христа было так: по обручении Матери Его Марии с Иосифом, прежде чем сочетались они, оказалось, что Она имеет во чреве от Духа Святого. 
MAT.1.19	Иосиф же, муж Ее, будучи праведен и не желая Ее обесславить, решил тайно отпустить Ее. 
MAT.1.20	Но когда он помыслил это, — вот, ангел Господень явился ему в сновидении и сказал: Иосиф, сын Давидов, не бойся принять Мариам, жену твою, ибо рожденное в Ней — от Духа Святого. 
MAT.1.21	И родит Она Сына, и наречешь имя Ему: Иисус, ибо Он спасет народ Свой от грехов их. 
MAT.1.22	А это всё произошло, чтобы исполнилось сказанное Господом чрез пророка:
MAT.1.23	Вот, Дева зачнет во чреве и родит Сына,
MAT.1.23	и нарекут имя Ему: Еммануил,
MAT.1.23	что в переводе значит: с нами Бог. 
MAT.1.24	Пробудившись от сна, Иосиф поступил, как повелел ему ангел Господень, и принял жену свою. 
MAT.1.25	И не знал Ее, доколе не родила Она Сына, и он нарек имя Ему: Иисус.
