MAT.1.1	ibrAhImaH santAnO dAyUd tasya santAnO yIzukhrISTastasya pUrvvapuruSavaMzazrENI|
MAT.1.2	ibrAhImaH putra ishAk tasya putrO yAkUb tasya putrO yihUdAstasya bhrAtarazca|
MAT.1.3	tasmAd yihUdAtastAmarO garbhE pErassErahau jajnjAtE, tasya pErasaH putrO hiSrON tasya putrO 'rAm|
MAT.1.4	tasya putrO 'mmInAdab tasya putrO nahazOn tasya putraH salmOn|
MAT.1.5	tasmAd rAhabO garbhE bOyam jajnjE, tasmAd rUtO garbhE ObEd jajnjE, tasya putrO yizayaH|
MAT.1.6	tasya putrO dAyUd rAjaH tasmAd mRtOriyasya jAyAyAM sulEmAn jajnjE|
MAT.1.7	tasya putrO rihabiyAm, tasya putrO'biyaH, tasya putra AsA:|
MAT.1.8	tasya sutO yihOzAphaT tasya sutO yihOrAma tasya suta uSiyaH|
MAT.1.9	tasya sutO yOtham tasya suta Aham tasya sutO hiSkiyaH|
MAT.1.10	tasya sutO minaziH, tasya suta AmOn tasya sutO yOziyaH|
MAT.1.11	bAbilnagarE pravasanAt pUrvvaM sa yOziyO yikhaniyaM tasya bhrAtRMzca janayAmAsa|
MAT.1.12	tatO bAbili pravasanakAlE yikhaniyaH zaltIyElaM janayAmAsa, tasya sutaH sirubbAvil|
MAT.1.13	tasya sutO 'bOhud tasya suta ilIyAkIm tasya sutO'sOr|
MAT.1.14	asOraH sutaH sAdOk tasya suta AkhIm tasya suta ilIhUd|
MAT.1.15	tasya suta iliyAsar tasya sutO mattan|
MAT.1.16	tasya sutO yAkUb tasya sutO yUSaph tasya jAyA mariyam; tasya garbhE yIzurajani, tamEva khrISTam (arthAd abhiSiktaM) vadanti|
MAT.1.17	ittham ibrAhImO dAyUdaM yAvat sAkalyEna caturdazapuruSAH; A dAyUdaH kAlAd bAbili pravasanakAlaM yAvat caturdazapuruSA bhavanti| bAbili pravAsanakAlAt khrISTasya kAlaM yAvat caturdazapuruSA bhavanti|
MAT.1.18	yIzukhrISTasya janma kaththatE| mariyam nAmikA kanyA yUSaphE vAgdattAsIt, tadA tayOH saggamAt prAk sA kanyA  pavitrENAtmanA garbhavatI babhUva|
MAT.1.19	tatra tasyAH pati ryUSaph saujanyAt tasyAH kalaggaM prakAzayitum anicchan gOpanEnE tAM pArityaktuM manazcakrE|
MAT.1.20	sa tathaiva bhAvayati, tadAnIM paramEzvarasya dUtaH svapnE taM darzanaM dattvA vyAjahAra, hE dAyUdaH santAna yUSaph tvaM nijAM jAyAM mariyamam AdAtuM mA bhaiSIH|
MAT.1.21	yatastasyA garbhaH pavitrAdAtmanO'bhavat, sA ca putraM prasaviSyatE, tadA tvaM tasya nAma yIzum (arthAt trAtAraM) karISyasE, yasmAt sa nijamanujAn tESAM kaluSEbhya uddhariSyati|
MAT.1.22	itthaM sati, pazya garbhavatI kanyA tanayaM prasaviSyatE| immAnUyEl tadIyanjca nAmadhEyaM bhaviSyati|| immAnUyEl asmAkaM saggIzvara_ityarthaH|
MAT.1.23	iti yad vacanaM purvvaM bhaviSyadvaktrA IzvaraH kathAyAmAsa, tat tadAnIM siddhamabhavat|
MAT.1.24	anantaraM yUSaph nidrAtO jAgarita utthAya paramEzvarIyadUtasya nidEzAnusArENa nijAM jAyAM jagrAha,
MAT.1.25	kintu yAvat sA nijaM prathamasutaM a suSuvE, tAvat tAM nOpAgacchat, tataH sutasya nAma yIzuM cakrE|
MAT.2.1	anantaraM hErOd saMjnjakE rAjnji rAjyaM zAsati yihUdIyadEzasya baitlEhami nagarE yIzau jAtavati ca, katipayA jyOtirvvudaH pUrvvasyA dizO yirUzAlamnagaraM samEtya kathayamAsuH,
MAT.2.2	yO yihUdIyAnAM rAjA jAtavAn, sa kutrAstE? vayaM pUrvvasyAM dizi tiSThantastadIyAM tArakAm apazyAma tasmAt taM praNantum aाgamAma|
MAT.2.3	tadA hErOd rAjA kathAmEtAM nizamya yirUzAlamnagarasthitaiH sarvvamAnavaiH sArddham udvijya
