MAT.1.1	ibrāhīmaḥ santāno dāyūd tasya santāno yīśukhrīṣṭastasya pūrvvapuruṣavaṁśaśreṇī|
MAT.1.2	ibrāhīmaḥ putra ishāk tasya putro yākūb tasya putro yihūdāstasya bhrātaraśca|
MAT.1.3	tasmād yihūdātastāmaro garbhe perasserahau jajñāte, tasya perasaḥ putro hiṣroṇ tasya putro 'rām|
MAT.1.4	tasya putro 'mmīnādab tasya putro nahaśon tasya putraḥ salmon|
MAT.1.5	tasmād rāhabo garbhe boyam jajñe, tasmād rūto garbhe obed jajñe, tasya putro yiśayaḥ|
MAT.1.6	tasya putro dāyūd rājaḥ tasmād mṛtoriyasya jāyāyāṁ sulemān jajñe|
MAT.1.7	tasya putro rihabiyām, tasya putro'biyaḥ, tasya putra āsā:|
MAT.1.8	tasya suto yihośāphaṭ tasya suto yihorāma tasya suta uṣiyaḥ|
MAT.1.9	tasya suto yotham tasya suta āham tasya suto hiṣkiyaḥ|
MAT.1.10	tasya suto minaśiḥ, tasya suta āmon tasya suto yośiyaḥ|
MAT.1.11	bābilnagare pravasanāt pūrvvaṁ sa yośiyo yikhaniyaṁ tasya bhrātṛṁśca janayāmāsa|
MAT.1.12	tato bābili pravasanakāle yikhaniyaḥ śaltīyelaṁ janayāmāsa, tasya sutaḥ sirubbāvil|
MAT.1.13	tasya suto 'bohud tasya suta ilīyākīm tasya suto'sor|
MAT.1.14	asoraḥ sutaḥ sādok tasya suta ākhīm tasya suta ilīhūd|
MAT.1.15	tasya suta iliyāsar tasya suto mattan|
MAT.1.16	tasya suto yākūb tasya suto yūṣaph tasya jāyā mariyam; tasya garbhe yīśurajani, tameva khrīṣṭam (arthād abhiṣiktaṁ) vadanti|
MAT.1.17	ittham ibrāhīmo dāyūdaṁ yāvat sākalyena caturdaśapuruṣāḥ; ā dāyūdaḥ kālād bābili pravasanakālaṁ yāvat caturdaśapuruṣā bhavanti| bābili pravāsanakālāt khrīṣṭasya kālaṁ yāvat caturdaśapuruṣā bhavanti|
MAT.1.18	yīśukhrīṣṭasya janma kaththate| mariyam nāmikā kanyā yūṣaphe vāgdattāsīt, tadā tayoḥ saṅgamāt prāk sā kanyā  pavitreṇātmanā garbhavatī babhūva|
MAT.1.19	tatra tasyāḥ pati ryūṣaph saujanyāt tasyāḥ kalaṅgaṁ prakāśayitum anicchan gopanene tāṁ pārityaktuṁ manaścakre|
MAT.1.20	sa tathaiva bhāvayati, tadānīṁ parameśvarasya dūtaḥ svapne taṁ darśanaṁ dattvā vyājahāra, he dāyūdaḥ santāna yūṣaph tvaṁ nijāṁ jāyāṁ mariyamam ādātuṁ mā bhaiṣīḥ|
MAT.1.21	yatastasyā garbhaḥ pavitrādātmano'bhavat, sā ca putraṁ prasaviṣyate, tadā tvaṁ tasya nāma yīśum (arthāt trātāraṁ) karīṣyase, yasmāt sa nijamanujān teṣāṁ kaluṣebhya uddhariṣyati|
