GEN.1.1	Sintinoo ga, Irkoy na beenaa nda gandaa taka. 
GEN.1.2	Gandaa sii nda taka kul, nga koonoo no. Kubay goo guusu beeroo boŋ, de
GEN.1.3	Irkoy nee: «Gaayoo ma bangay!» De gaayoo bangay. 
GEN.1.4	Irkoy dii kaŋ gaayoo boori. A na gaayoo nda kubaa fay kʼi kaa cere ra. 
GEN.1.5	Irkoy na gaayoo maaɲoo daŋ «zaaroo», de a na kubaa maaɲoo daŋ «cijinoo». Cijin foo kaa, subbaahi foo kaa. Woo ti zaari jinaa.
GEN.1.6	Irkoy nee koyne: «Farru beeri ma tee haroo ra kaŋ ga haroo fay ihinka!» 
GEN.1.7	Irkoy na farroo tee. A na farroo tee ka beene haroo nda ganda haroo fay. Woo kaŋ a nʼa har tee. 
GEN.1.8	Irkoy na farroo din maaɲoo daŋ «beenaa». Cijin foo kaa, subbaahi foo kaa. Woo ti zaari hinkantoo.
GEN.1.9	Irkoy nee koyne: «Haroo kaŋ goo beenaa se ganda, ma marga nongu foo hala daw kogaa ma bangay!» Woo kaŋ a nʼa har tee. 
GEN.1.10	Irkoy na daw kogaa maaɲoo daŋ «laboo», de a na hari margantaa maaɲoo daŋ «teekoo». Irkoy dii kaŋ a boori. 
GEN.1.11	Irkoy yee ka nee: «Laboo ma dumari firzi hay. Subu kul ma nga dumiyoo hay. Tuuri dumi foo kul kaŋ ga ŋandi ma nga izoo hay, affoo kul nga dumiyoo ma bara a ga.» Woo kaŋ a nʼa har tee. 
GEN.1.12	Dumari firzi fatta laboo cire. Subu dumi kul na nga dumiyoo hay. Tuuri kul na nga izoo hay. Dumi kul nga dumiyoo goo a ga. Irkoy dii kaŋ a boori. 
GEN.1.13	Cijin foo kaa, subbaahi foo kaa. Woo ti zaari hinzantoo.
GEN.1.14	Irkoy nee koyne: «Hayayaŋ kaŋ ga gaay noo ma tee farroo ra kaŋ ti beenaa ka cijinoo nda zaaroo fay, i ma tee tammaasayaŋ waatey, nda zaarey, nda jiirey se. 
GEN.1.15	Beenaa farroo ra, hayey wey ma gandaa noo gaay!» Woo kaŋ a nʼa har tee. 
GEN.1.16	Irkoy na haya hinkaa tee kaŋ ga gaay noo. Ibeeroo kaŋ ga dii zaari here nda ikacca kaŋ ga dii cijin here. A na handarawey mo tee. 
GEN.1.17	A nʼi daŋ beenaa farroo ra hala i ma gandaa noo gaay. 
GEN.1.18	I ma dii zaaroo nda cijinoo ra, de i ma gaayoo nda kubaa fay kʼi kaa cere ra. Irkoy dii kaŋ a boori. 
GEN.1.19	Cijin foo kaa, subbaahi foo kaa. Woo ti zaari taacantoo.
GEN.1.20	Irkoy nee koyne: «Haroo ma too nda hundikoyni. Cirawyaŋ ma deeši gandaa boŋ beenaa farroo here!» 
GEN.1.21	Irkoy na adabba beerey nda hundikoyney kaŋ ga ɲuuriɲuuri haroo ra, a nʼi kul taka, affoo kul nda nga dumoo. A na cirawey kaŋ ga deeši mo kul taka, dumi nda dumi. Irkoy dii kaŋ a boori. 
GEN.1.22	Irkoy na albarka daŋ i ra ka nee: «Hayey kaŋ ga huna haroo ra ma hay ka cere hay ka boobo ka teekoo harey too. Cirawey mo ma hay ka cere hay gandaa ra!» 
GEN.1.23	Cijin foo kaa, subbaahi foo kaa. Woo ti zaari guwantoo.
GEN.1.24	Irkoy nee koyne: «Hundikoyni dumi kul ma fatta laboo cire: adabba, nda labukoy, nda ganjihooga dumi kul!» Woo kaŋ a nʼa har tee. 
GEN.1.25	Takaa woo nda Irkoy na ganjihooga, nda adabba, nda labukoy kul tee, affoo kul nda nga dumoo. Irkoy dii kaŋ a boori. 
GEN.1.26	Irkoy nee: «Ir ma boro tee, a ma hima nda ir. A ma tee ir cine! A ma tee jineboro teekoo hamiisaa se, nda ciraw, nda adabba, nda gandaa kul, nda labukoy kul kaŋ ga ziilam-ziilam laboo ga.»
GEN.1.27	Irkoy na boro taka hala a ma hima nda nga.
GEN.1.27	Nga himakasinaa no kaŋ a nʼa taka.
GEN.1.27	A nʼi taka kʼi tee aru nda woy.
