GEN.1.1	Jatíbi peokoonontianra, Diossen nai itan mai jonia iki.
GEN.1.2	Maira, ja anontian jaskara iti jisámabobi iká iki; jatíbi aniparo nemín kikinbires yamekan mapoara iká iki, jatianra Diossen shinan jene besenen koshia iki.
GEN.1.3	Jatianra Diossen yoia iki: “¡Joé iwé, akin. Jatianra joé iká iki!”
GEN.1.4	Diossen oinna joé jakon iketianra, yamé betan imayamakin janbiribi aká iki,
GEN.1.5	jatianra joé janea iki “nete”, akin, ja kikin jishtimara janea iki, “yamé”, akin. Jaskatax moa reken nete senena iki.
GEN.1.6	Japekáora Diossen yoia iki: “Jene janbiribi inon xabá ibanon, jaskáketianra janbiribi ibékonti iki”. Jatianra jaskara iká iki.
GEN.1.7	Diossen xabáaketianra jene janbiribi iká iki, wetsa tsama xabá, namanbi baneta iki, itan wetsa tsamára bochiki baneta iki.
GEN.1.8	Ja xabára Diossen janea iki, “nai”, akin. Jaskataxa moa jawen rabé nete iti senena iki.
GEN.1.9	Jatianra Diossen yoia iki: “Ja nai naman iká jenebo ja itinkobiribi jainbicho tsinkíkanwe, ibanon mai pikotax manxani”, akin. Jatianra jaskara iká iki.
GEN.1.10	Ja manxanara Diossen janea iki “mai”, akin, itan ja jene tsinkitara janea iki “aniparo”, akin. Jatianra Diossen oinna jatíbi jakon iketian,
GEN.1.11	neskata iki: “Ibanon nato main meskó keská jiwiabi xobibo xoxoi: Xobibo ibanon jawen xoxoti beroyabo, jainoaxibi jiwibo jawen xoxoti bimi beroyabo”, iki. Jatianra jaskara iká iki.
GEN.1.12	Ja mainra xoxoa iki, jiwiabi xobibo: Xobibo jawen beroyabo itan bimiai jiwibo, jaskarabiribi itiakin akábora iká iki. Jatianra Diossen oinna jatíbi jakon iká iki.
GEN.1.13	Jaskataxa moa jawen kimisha nete iti senena iki.
GEN.1.14	Jatianra Diossen yoia iki: “Jabánon nai xabakan joébo, jan tenaketian netea onanti, yameta onanti, jan netebo onanti, baritiataibo onanti, itan jenetiaiboribi onanti,
GEN.1.15	jaskáakin abánon ja joébaon nai xabakanxon mai tenakin”, iki. Jatianra jaskara iká iki.
GEN.1.16	Diossenra rabé joé aká iki: Bari aká iki jan neten tenati itan oxe aká iki, jan yamé tenati. Wishtínboribi aká iki.
GEN.1.17	Diossenra ja nai xabakan mai tenati joébo aká iki,
