GEN.1.1	Na počiatku stvoril Boh nebo a zem.
GEN.1.2	Zem bola pustá a prázdna, tma bola nad prahlbinou a Boží duch sa vznášal nad vodami.
GEN.1.3	Boh povedal: „Nech je svetlo!“ A bolo svetlo.
GEN.1.4	Boh videl, že svetlo je dobré, a oddelil svetlo od tmy.
GEN.1.5	Boh nazval svetlo dňom a tmu nazval nocou. Bol večer, bolo ráno, prvý deň.
GEN.1.6	Boh povedal: „Nech je obloha uprostred vôd a nech oddeľuje vody od vôd!“
GEN.1.7	Boh utvoril oblohu a oddelil vody pod oblohou od vôd nad oblohou. Tak sa aj stalo.
GEN.1.8	Boh nazval oblohu nebom. Bol večer a bolo ráno, druhý deň.
GEN.1.9	Boh povedal: „Nech sa vody, ktoré sú pod nebom, nahromadia na jedno miesto a nech sa ukáže pevnina!“ Tak sa aj stalo.
GEN.1.10	Boh nazval pevninu zemou a nahromadené vody nazval morom. Boh videl, že je to dobré.
GEN.1.11	Boh povedal: „Nech zem vydá sviežu zeleň, semenné rastliny a ovocné stromy, ktoré rodia na zemi ovocie so semenom svojho druhu!“ Tak sa aj stalo.
GEN.1.12	Zem vydala sviežu zeleň, semenné rastliny svojho druhu a ovocné stromy so semenom svojho druhu. Boh videl, že je to dobré.
GEN.1.13	Bol večer a bolo ráno, tretí deň.
GEN.1.14	Boh povedal: „Nech sú svetlá na nebeskej oblohe, aby oddeľovali deň od noci a označovali obdobia, dni a roky!
GEN.1.15	Nech svietia na nebeskej oblohe a osvetľujú zem!“ Tak sa aj stalo.
GEN.1.16	Boh utvoril dve veľké svetlá: väčšie, aby vládlo dňu, a menšie, aby vládlo noci; urobil aj hviezdy.
GEN.1.17	Boh ich umiestnil na nebeskej oblohe, aby svietili na zem, 
GEN.1.18	aby vládli vo dne i v noci a oddeľovali svetlo od tmy. Boh videl, že je to dobré.
GEN.1.19	Bol večer a bolo ráno, štvrtý deň.
GEN.1.20	Boh povedal: „Nech sa hmýria vody živými tvormi a vtáky nech lietajú nad zemou pod nebeskou oblohou!“
GEN.1.21	Boh stvoril veľké morské zvieratá a všetky živé tvory, ktorými sa hmýria vody, a všetky druhy okrídlených vtákov. Boh videl, že je to dobré.
GEN.1.22	Boh ich požehnal a povedal: „Ploďte sa a množte sa a naplňte vodu v moriach; vtáctvo nech sa množí na zemi!“
GEN.1.23	Bol večer a bolo ráno, piaty deň.
GEN.1.24	Boh povedal: „Nech vydá zem rôzne druhy živých tvorov: dobytok, plazy a divú zver!“ Tak sa aj stalo.
GEN.1.25	Boh utvoril rôzne druhy divej zveri, dobytka a plazov. Boh videl, že je to dobré.
GEN.1.26	Boh povedal: „Utvorme človeka na svoj obraz, na svoju podobu. Nech ľudia vládnu nad morskými rybami, nebeským vtáctvom, dobytkom, nad celou zemou a nad všetkými plazmi, čo sa hýbu po zemi!“
GEN.1.27	Boh stvoril človeka na svoj obraz;
GEN.1.27	na Boží obraz ho stvoril.
GEN.1.27	Stvoril ich ako muža a ženu.
GEN.1.28	Boh ich požehnal a povedal im: „Ploďte sa a množte sa, naplňte zem a podmaňte si ju! Panujte nad morskými rybami, nad nebeským vtáctvom a nad všetkou zverou, čo sa pohybuje na zemi!“
GEN.1.29	Potom Boh povedal: „Dal som vám všetky semenné rastliny na zemi a všetky stromy, prinášajúce ovocie, v ktorom je semeno, aby vám boli pokrmom.
GEN.1.30	No všetkým suchozemským živočíchom, všetkému nebeskému vtáctvu a všetkému živému tvorstvu, čo sa pohybuje po zemi, dávam za potravu všetky zelené byliny.“ Tak sa aj stalo.
GEN.1.31	Boh videl, že všetko, čo utvoril, bolo veľmi dobré. Bol večer a bolo ráno, šiesty deň.
GEN.2.1	Takto boli dokončené nebesia, zem i všetky ich zástupy.
GEN.2.2	Siedmeho dňa Boh dokončil svoje dielo, ktoré konal, a v siedmy deň si Boh odpočinul od všetkého, čo utvoril.
GEN.2.3	Boh požehnal siedmy deň a posvätil ho, lebo v ten deň Boh prestal vykonávať celé svoje stvoriteľské dielo, ktoré utvoril.
GEN.2.4	Takto sa udialo stvorenie neba a zeme.
GEN.2.4	Keď Hospodin, Boh, utvoril zem i nebo,
GEN.2.5	ešte nebol na zemi nijaký poľný ker a nerástla nijaká poľná bylina, lebo Hospodin, Boh, nezoslal na zem dážď a nebolo ani človeka, ktorý by obrábal zem.
GEN.2.6	Spodná voda však vyvierala zo zeme a zavlažovala celý zemský povrch. 
GEN.2.7	Vtedy Hospodin, Boh, stvárnil človeka, prach zo zeme, a vdýchol mu do nozdier dych života. Tak sa stal človek živou bytosťou.
GEN.2.8	Hospodin, Boh, vysadil záhradu v Edene na východe a postavil do nej človeka, ktorého stvárnil.
GEN.2.9	Hospodin, Boh, dal vyrásť zo zeme stromom všetkých druhov, na pohľad lákavým a na jedenie chutným. Uprostred záhrady dal vyrásť stromu života a stromu poznania dobra a zla.
GEN.2.10	Z Edenu vytekala rieka, aby zavlažovala záhradu. Odtiaľ sa rozdeľovala na štyri hlavné toky.
GEN.2.11	Meno prvého je Pišón; ten obteká celú krajinu Chavila, kde sa vyskytuje zlato.
GEN.2.12	Zlato tej krajiny je rýdze. Tam sa nachádza bdéliová živica a ónyxový kameň.
GEN.2.13	Meno druhej rieky je Gichón. Tá obteká celú krajinu Kúš.
GEN.2.14	Meno tretej rieky je Tigris
GEN.2.15	Hospodin, Boh, vzal človeka a umiestnil ho v záhrade Eden, aby ju obrábal a strážil.
GEN.2.16	Hospodin, Boh, prikázal človekovi: „Môžeš jesť zo všetkých stromov záhrady,
GEN.2.17	ale nejedz zo stromu poznania dobra a zla, lebo v deň, v ktorom by si z neho jedol, určite zomrieš.“
GEN.2.18	Potom Hospodin, Boh, povedal: „Nie je dobré človekovi byť samému. Urobím mu pomoc, ktorá mu bude rovnocenná.“
GEN.2.19	Keď Hospodin, Boh, stvárnil z hliny všetku poľnú zver a všetko nebeské vtáctvo, priviedol ich k človekovi, aby videl, ako ich pomenuje. Ako človek pomenoval každú živú bytosť, tak sa volá.
GEN.2.20	Človek dal mená všetkému dobytku, všetkým nebeským vtákom a všetkým poľným zvieratám, ale rovnocennú pomoc nenašiel. 
GEN.2.21	Hospodin, Boh, dopustil na človeka tvrdý spánok, takže zaspal. Vybral mu jedno z rebier a miesto uzavrel mäsom.
GEN.2.22	Z rebra, ktoré vybral Hospodin, Boh, človekovi, utvoril ženu a priviedol ju k nemu.
GEN.2.23	Tu človek zvolal:
GEN.2.23	„Toto je konečne kosť z mojich kostí
GEN.2.23	a telo z môjho tela!
GEN.2.23	Bude sa volať mužena,
GEN.2.23	lebo bola vzatá z muža!“
GEN.2.24	Preto opustí muž svojho otca i matku a priľne k svojej žene a budú jedno telo.
