GEN.1.1	En el principio Dios creó los cielos y la tierra. 
GEN.1.2	La tierra estaba sin orden y vacía, y las tinieblas cubrían la superficie del abismo, y el Espíritu de Dios se movía sobre la superficie de las aguas. 
GEN.1.3	Entonces dijo Dios: «Sea la luz». Y hubo luz. 
GEN.1.4	Dios vio que la luz 
GEN.1.5	Y Dios llamó a la luz día y a las tinieblas llamó noche. Y fue la tarde y fue la mañana: un día.
GEN.1.6	Entonces dijo Dios: «Haya expansión
GEN.1.7	Dios hizo la expansión
GEN.1.8	Y Dios llamó a la expansión cielos. Y fue la tarde y fue la mañana: el segundo día.
GEN.1.9	Entonces dijo Dios: «Júntense en un lugar las aguas 
GEN.1.10	Dios llamó a lo seco «tierra», y al conjunto de las aguas llamó «mares». Y Dios vio que 
GEN.1.11	Entonces dijo Dios: «Produzca la tierra vegetación: hierbas que den semilla, 
GEN.1.12	Y produjo la tierra vegetación: hierbas que dan semilla según su especie, y árboles que dan su fruto con semilla, según su especie. Y Dios vio que 
GEN.1.13	Y fue la tarde y fue la mañana: el tercer día.
GEN.1.14	Entonces dijo Dios: «Haya lumbreras en la expansión de los cielos para separar el día de la noche, y sean para señales y para estaciones y para días y 
GEN.1.15	y sean por luminarias en la expansión de los cielos para alumbrar sobre la tierra». Y así fue. 
GEN.1.16	Dios hizo las dos grandes lumbreras, la lumbrera mayor para dominio del día y la lumbrera menor para dominio de la noche. 
GEN.1.17	Dios las puso en la expansión de los cielos para alumbrar sobre la tierra, 
GEN.1.18	y para dominar el día y la noche, y para separar la luz de las tinieblas. Y Dios vio que 
GEN.1.19	Y fue la tarde y fue la mañana: el cuarto día.
GEN.1.20	Entonces dijo Dios: «Llénense las aguas de multitudes de seres vivientes, y vuelen las aves sobre la tierra en la abierta expansión de los cielos». 
GEN.1.21	Y Dios creó los grandes monstruos marinos y todo ser viviente que se mueve, de los cuales, según su especie, están llenas las aguas, y toda ave según su especie. Y Dios vio que 
GEN.1.22	Dios los bendijo, diciendo: «Sean fecundos y multiplíquense, y llenen las aguas en los mares, y multiplíquense las aves en la tierra». 
GEN.1.23	Y fue la tarde y fue la mañana: el quinto día.
GEN.1.24	Entonces dijo Dios: «Produzca la tierra seres vivientes según su especie: ganados, reptiles y animales de la tierra según su especie». Y así fue. 
GEN.1.25	Dios hizo las bestias de la tierra según su especie, y el ganado según su especie, y todo lo que se arrastra sobre la tierra según su especie. Y Dios vio que 
GEN.1.26	Y dijo Dios: «Hagamos al hombre a Nuestra imagen, conforme a Nuestra semejanza; y ejerza dominio sobre los peces del mar, sobre las aves del cielo, sobre los ganados, sobre toda la tierra, y sobre todo reptil que se arrastra sobre la tierra». 
GEN.1.27	Dios creó al hombre a imagen Suya, a imagen de Dios lo creó; varón y hembra los creó. 
