GEN.1.1	En el principio creó Dios los cielos y la tierra. 
GEN.1.2	La tierra estaba desordenada y no tenía forma. La oscuridad cubría el profundo abismo, mientras que el Espíritu de Dios se movía sobre las aguas.
GEN.1.3	Entonces Dios dijo: «¡Que aparezca la luz!». Y apareció la luz. 
GEN.1.4	Dios vio que la luz era hermosa, y la separó de la oscuridad. 
GEN.1.5	A la luz Dios la llamó «día», y a la oscuridad la llamó «noche». Pasó la tarde y pasó la mañana, y se completó, así, el primer día.
GEN.1.6	Después Dios dijo: «Que aparezca el firmamento en medio de las aguas, para que las separe».
GEN.1.7	Así que Dios hizo el firmamento, para separar las aguas. De modo que una parte de las aguas quedó arriba del firmamento y otra, debajo de él. 
GEN.1.8	Al firmamento Dios lo llamó «cielo». Pasó la tarde y pasó la mañana, y se completó, así, el segundo día.
GEN.1.9	Después Dios dijo: «Que las aguas que están debajo del cielo se junten en un solo lugar, de modo que la otra parte quede seca». Y así ocurrió. 
GEN.1.10	A la parte seca Dios le dio el nombre de «tierra», y a las aguas las llamó «mares». Dios vio que todo esto era hermoso. 
GEN.1.11+GEN.1.12	Así que dijo: «Que de la tierra brote toda clase de vegetación, es decir, plantas que se reproduzcan por medio de semillas, y árboles frutales en cuyos frutos estén sus semillas». Y, tal como Dios lo dijo, de la tierra brotaron las plantas y árboles frutales con sus respectivas semillas para su reproducción. Y Dios vio que todo esto era hermoso. 
GEN.1.13	Pasó la tarde y pasó la mañana, y se completó, así, el tercer día.
GEN.1.14+GEN.1.15	Después Dios dijo: «Que haya luces en el cielo, para que alumbren la tierra y separen el día de la noche, y para que marquen también las estaciones, los días y los años». Y así ocurrió. 
GEN.1.16	Entonces Dios hizo dos grandes luces: la más grande para que alumbre durante el día, y la más pequeña, para que brille en la noche. También Dios hizo las estrellas. 
GEN.1.17+GEN.1.18	Dios puso estas luces en el cielo para que alumbraran la tierra de día y de noche, y para que separaran la luz de la oscuridad. Y Dios vio que esto era hermoso. 
GEN.1.19	Pasó la tarde y pasó la mañana, y se completó, así, el cuarto día.
GEN.1.20	Después Dios dijo: «Que las aguas se llenen de peces y de otros animales acuáticos, y que también haya aves que vuelen sobre la tierra, en el inmenso firmamento».
GEN.1.21	Fue así como Dios creó los grandes animales que hay en el mar, y todos los demás seres vivos que hay en el agua. También Dios creó todas las clases de aves que existen. Y Dios vio que todo esto era hermoso. 
GEN.1.22	Luego Dios los bendijo y les dijo: «Tengan muchas, pero muchas crías, para que llenen los mares». Además, dijo: «¡Que las aves se reproduzcan en grandes cantidades!». 
GEN.1.23	Pasó la tarde y pasó la mañana, y se completó, así, el quinto día.
GEN.1.24	Después Dios dijo: «Que en la tierra haya toda especie de animales: domésticos, salvajes y reptiles».
GEN.1.24	Y así ocurrió. 
GEN.1.25	Así que Dios hizo todos los animales domésticos, los salvajes y los reptiles, todos según su propia especie. Y vio Dios que todo esto era hermoso.
GEN.1.26	Entonces Dios dijo: «Hagamos a los seres humanos a nuestra imagen, a nuestra semejanza, para que ejerzan poder sobre los peces, las aves, los animales domésticos y salvajes, y sobre los reptiles».
GEN.1.27	De modo que Dios creó a los seres humanos a su imagen. Sí, a su imagen Dios los creó. Y Dios los creó hombre y mujer.
GEN.1.28	Luego Dios los bendijo y les dijo: «Tengan muchos hijos, para que llenen toda la tierra, y la administren. Ustedes dominarán a los peces del mar, a las aves del cielo, y a todos los animales que hay en la tierra». 
GEN.1.29	También les dijo: «Ustedes se alimentarán de toda planta que se reproduzca por medio de semillas, y de todos los árboles frutales. 
GEN.1.30	Las bestias del campo, las aves del cielo, y todos los seres vivos que se arrastran sobre la tierra se alimentarán de vegetales».
GEN.1.31	Entonces Dios contempló todo lo que había hecho, y vio que era muy, pero muy hermoso. Pasó la tarde y pasó la mañana, y se completó, así, el sexto día.
GEN.2.1	De este modo fueron creados los cielos y la tierra, y todo lo que hay en ellos.
GEN.2.2	Después de haber terminado todo lo que se había propuesto hacer, Dios descansó el séptimo día. 
GEN.2.3	Y bendijo el séptimo día y lo instituyó como día santo, porque en ese día descansó después de haber creado todo.
GEN.2.4	Aquí termina la historia de la creación del cielo y de la tierra.
GEN.2.4	Cuando Dios el 
GEN.2.5	todavía no había ninguna clase de vegetación en la tierra, porque Dios el 
GEN.2.6	Sin embargo, de la tierra brotaba agua que regaba el suelo.
GEN.2.7	Entonces Dios el 
GEN.2.8	Luego Dios el 
GEN.2.9	Dios el 
GEN.2.10	De la tierra de Edén salía un río que corría a través del huerto para regarlo. Después el río se dividía en cuatro brazos. 
GEN.2.11+GEN.2.12	El primero se llamaba Pisón, el cual recorría toda la región de Javilá, donde había oro de muy buena calidad. También allí había plantas con las que se hacen perfumes muy finos, y piedras de ónice. 
GEN.2.13	El segundo se llamaba Guijón, y atravesaba toda la región de Cus. 
GEN.2.14	El tercero era el río Tigris, que es el que pasa al oriente de Asiria. Y el cuarto era el río Éufrates.
GEN.2.15	Dios el 
GEN.2.16	y a la vez le dio esta orden: «Puedes comer del fruto de todos los árboles que hay en el jardín, 
GEN.2.17	pero del árbol del conocimiento del bien y del mal no podrás comer, porque el día que comas del fruto de ese árbol, morirás».
GEN.2.18	Dios el 
GEN.2.19+GEN.2.20	Dios el 
GEN.2.21	Entonces Dios el 
GEN.2.22	Con la costilla hizo a la mujer y se la llevó al hombre. 
GEN.2.23	Al verla, el hombre exclamó: «¡Esta sí es hueso de mis huesos y carne de mi carne! Se llamará “mujer”
GEN.2.24	Es por eso que el hombre deja a su padre y a su madre y se casa con su mujer, y los dos llegan a ser como una sola persona.
GEN.2.25	Aunque en ese tiempo el hombre y la mujer estaban desnudos, no se sentían avergonzados.
GEN.3.1	La serpiente, que era el más astuto de todos los animales del campo creados por Dios el 
GEN.3.1	―¿Es verdad que Dios no les permite comer de ningún árbol que hay en el jardín?
GEN.3.2	La mujer le contestó:
GEN.3.2	―Sí podemos comer los frutos de cualquier árbol, 
GEN.3.3	menos del que está en el centro del jardín. Dios nos dijo que si comemos o tocamos el fruto de ese árbol, moriremos.
GEN.3.4	―¡Mentira! —silbó la serpiente—. ¡No morirán! 
GEN.3.5	Lo que pasa es que Dios sabe que, cuando ustedes coman del fruto de ese árbol, obtendrán todo el conocimiento, pues podrán conocer el bien y el mal. ¡Ese día ustedes serán como Dios!
GEN.3.6	La mujer contempló el árbol y se convenció de que su fruto era bueno para comer. Además, lo vio muy hermoso, y pensó que era su oportunidad para conseguir la sabiduría. Así que agarró el fruto y comió. Luego le dio de comer a su marido, el cual estaba con ella. 
GEN.3.7	Tan pronto lo comieron, se dieron cuenta de que estaban desnudos y sintieron vergüenza. Entonces cosieron hojas de higuera para cubrir su desnudez.
GEN.3.8	Aquella tarde, a la hora en que sopla la brisa, el hombre y la mujer oyeron que Dios andaba por el jardín. Entonces corrieron a esconderse entre los árboles, para que Dios el 
GEN.3.9	Pero Dios el 
GEN.3.9	―¿Dónde estás?
GEN.3.10	El hombre le contestó:
GEN.3.10	―Oí que andabas por el jardín y me dio miedo, pues estoy desnudo. Así que me escondí.
GEN.3.11	―¿Quién te dijo que estás desnudo? —le preguntó Dios el 
GEN.3.12	El hombre contestó:
GEN.3.12	―La mujer que me diste para que me acompañara me dio del fruto de ese árbol, y yo lo comí.
GEN.3.13	Entonces Dios el 
GEN.3.13	―¿Qué es lo que has hecho?
GEN.3.13	Ella respondió:
GEN.3.13	―La serpiente me engañó, y por eso comí de ese fruto.
GEN.3.14	Entonces Dios el 
GEN.3.14	―Por haber hecho esto, te maldeciré. Serás la más desdichada de todos los animales, incluyendo los domésticos y los salvajes. A partir de este momento andarás arrastrándote sobre tu vientre y comerás polvo durante toda tu vida. 
GEN.3.15	Habrá siempre enemistad entre ti y la mujer, y entre tu descendencia y la de ella. El descendiente de la mujer te aplastará la cabeza, mientras tú solamente le morderás el talón.
GEN.3.16	Luego Dios le dijo a la mujer:
GEN.3.16	―Haré que sufras bastante durante tus embarazos y que al tener tus hijos sientas mucho dolor. Y a pesar de eso, seguirás deseando a tu marido, y él tendrá dominio sobre ti.
GEN.3.17	Después Dios le dijo al hombre:
GEN.3.17	―La tierra estará bajo maldición por tu culpa, pues le hiciste caso a tu mujer y comiste del fruto que te prohibí. Por eso, de aquí en adelante tendrás que trabajar muy duro para conseguir tu alimento. 
GEN.3.18	La tierra te producirá espinas y cardos, y tendrás que comer plantas silvestres. 
GEN.3.19	Para obtener tu alimento tendrás que trabajar mucho, hasta el día de tu muerte; ese día volverás a la tierra de la cual fuiste hecho, pues eres polvo y al polvo tendrás que volver.
GEN.3.20	Luego el hombre le puso a su mujer el nombre de Eva, pues ella sería la madre de todos los seres humanos.
GEN.3.21	Dios el 
GEN.3.22	Y dijo: «Ahora el ser humano es como uno de nosotros, pues sabe lo que es bueno y lo que es malo, no conviene que tome del fruto del árbol de la vida y viva para siempre». 
GEN.3.23	Entonces Dios el 
GEN.3.24	Después de haber expulsado al hombre y a la mujer, Dios puso al oriente del jardín de Edén a los querubines, y una espada encendida que giraba en todas las direcciones, para evitar que nadie pudiera llegar hasta el árbol de la vida.
GEN.4.1	Adán tuvo relaciones con su esposa Eva, y ella quedó embarazada, y dio a luz a su hijo Caín, y dijo: «Gracias al 
GEN.4.2	Después volvió a tener otro hijo al cual le puso por nombre Abel. Abel fue pastor de ovejas, en cambio Caín fue un agricultor.
GEN.4.3	Después de algún tiempo, Caín le dio al 
GEN.4.4	También Abel le dio una ofrenda al 
GEN.4.5	pero no se agradó de Caín ni de su ofrenda. Por eso Caín se enojó muchísimo y andaba amargado.
GEN.4.6	Entonces el 
GEN.4.7	Si hicieras lo correcto podrías andar con tu frente en alto. Pero si actúas mal, el pecado, como una fiera, está listo a lanzarse sobre ti y destruirte. Sin embargo, tú puedes dominarlo».
GEN.4.8	Un día Caín invitó a su hermano a dar un paseo. Cuando estaban en el campo, Caín atacó a su hermano y lo mató.
GEN.4.9	Poco tiempo después el 
GEN.4.9	―¿Dónde está Abel, tu hermano?
GEN.4.9	Caín le contestó:
GEN.4.9	―No lo sé. ¿Acaso tengo la obligación de cuidar a mi hermano?
GEN.4.10	Pero el 
GEN.4.10	―¿Qué hiciste? Desde la tierra, la sangre de tu hermano me pide justicia. 
GEN.4.11	Por eso, quedarás bajo la maldición de la tierra, la cual se ha tragado la sangre de tu hermano, al que tú mataste. 
GEN.4.12	Cuando trabajes la tierra, no te dará cosechas. Vivirás en el mundo como un fugitivo, sin poder encontrar descanso.
GEN.4.13	Caín le dijo al 
GEN.4.13	―Ese castigo es más de lo que puedo soportar. 
GEN.4.14	Hoy me echas de esta tierra, y tendré que vivir lejos de tu presencia. Tendré que vivir huyendo como un fugitivo, expuesto a que cualquiera que me encuentre me mate.
GEN.4.15	El 
GEN.4.15	―Eso no sucederá. Si alguien te mata, será castigado siete veces.
GEN.4.15	Luego el 
GEN.4.16	Entonces Caín se alejó de la presencia del 
GEN.4.17	Caín tuvo relaciones con su esposa, la cual quedó embarazada y dio a luz a Enoc. Caín fundó una ciudad y le puso el nombre de Enoc, en honor a su hijo.
GEN.4.18	Enoc fue el padre de Irad,
GEN.4.18	Irad fue padre de Mejuyael,
GEN.4.18	Mejuyael fue padre de Metusael,
GEN.4.18	y este fue el padre de Lamec.
GEN.4.19	Lamec tuvo dos esposas: Ada y Zila. 
GEN.4.20	Ada dio a luz a Jabal, que es el antepasado de los que viven en carpas y se dedican a la cría de ganado. 
GEN.4.21	Jabal tuvo un hermano llamado Jubal, que es el antepasado de los que tocan el arpa y la flauta. 
GEN.4.22	También Zila, la otra esposa de Lamec, dio a luz a Tubal Caín, que hacía toda clase de objetos de bronce y de hierro. Tubal Caín tuvo una hermana que se llamaba Noama.
GEN.4.23	Un día, Lamec les dijo a sus esposas:
GEN.4.23	«¡Escúchenme, mujeres de Lamec!
GEN.4.23	¡Oigan bien lo que les digo!
GEN.4.23	A un hombre que me hirió, lo maté,
GEN.4.23	y lo mismo hice con un muchacho que me golpeó.
GEN.4.24	»Si el que mate a Caín
GEN.4.24	será vengado siete veces,
GEN.4.24	entonces, el que mate a Lamec
GEN.4.24	será vengado setenta y siete veces».
GEN.4.25	Adán volvió a tener relaciones con su esposa, la cual dio a luz un hijo al que le puso por nombre Set, pues dijo: «Dios me ha dado otro hijo en lugar de Abel, al que Caín mató». 
GEN.4.26	También Set tuvo un hijo, al que llamó Enós. Desde ese tiempo la gente comenzó a invocar el nombre del 
GEN.5.1	Esta es la lista de los descendientes de Adán.
GEN.5.1	El día en que los seres humanos fueron creados, Dios los creó a su propia imagen. 
GEN.5.2	Los creó hombre y mujer, y los bendijo. Ese mismo día los llamó «seres humanos».
GEN.5.3+GEN.5.4+GEN.5.5	Adán tenía ciento treinta años cuando le nació un hijo, a su imagen y semejanza, y le puso el nombre de Set. Adán vivió ochocientos años más, tuvo hijos e hijas, y murió a los novecientos treinta años de edad.
GEN.5.6+GEN.5.7+GEN.5.8	Set tenía ciento cinco años cuando nació Enós. Después de esto, vivió otros ochocientos siete años, tuvo hijos e hijas, y murió a la edad de novecientos doce años.
GEN.5.9+GEN.5.10+GEN.5.11	Enós tenía noventa años cuando nació su hijo Cainán. Después de esto, vivió ochocientos quince años, tuvo hijos e hijas, y murió a la edad de novecientos cinco años.
GEN.5.12+GEN.5.13+GEN.5.14	Cainán tenía setenta años cuando nació su hijo Malalel. Después de esto, vivió ochocientos cuarenta años, tuvo hijos e hijas, y murió a la edad de novecientos diez años.
GEN.5.15+GEN.5.16+GEN.5.17	Malalel tenía sesenta y cinco años cuando nació su hijo Jared. Después de esto, vivió ochocientos treinta años, tuvo hijos e hijas, y murió a la edad de ochocientos noventa y cinco años.
GEN.5.18+GEN.5.19+GEN.5.20	Jared tenía ciento sesenta y dos años cuando nació su hijo Enoc. Después de esto, vivió ochocientos años, tuvo hijos e hijas, y murió a la edad de novecientos sesenta y dos años.
GEN.5.21+GEN.5.22+GEN.5.23+GEN.5.24	Enoc tenía sesenta y cinco años cuando nació su hijo Matusalén. Después de Matusalén, tuvo otros hijos e hijas, y vivió trescientos años más. Durante toda su vida, Enoc vivió de acuerdo con la voluntad de Dios, y cuando tenía trescientos sesenta y cinco años desapareció, porque Dios se lo llevó sin que muriera.
GEN.5.25+GEN.5.26+GEN.5.27	Matusalén tenía ciento ochenta y siete años cuando nació su hijo Lamec. Después de esto, vivió setecientos ochenta y dos años, tuvo hijos e hijas, y murió a los novecientos sesenta y nueve años de edad.
GEN.5.28+GEN.5.29+GEN.5.30+GEN.5.31	Lamec tenía ciento ochenta y dos años cuando nació su hijo Noé. Lamec lo llamó Noé, porque dijo: «Él nos aliviará del duro trabajo que significa labrar la tierra que Dios maldijo». Después de esto, Lamec vivió quinientos noventa y cinco años, tuvo hijos e hijas, y murió a la edad de setecientos setenta y siete años.
GEN.5.32	Noé tenía quinientos años cuando tuvo tres hijos: Sem, Cam y Jafet.
GEN.6.1	La población comenzó a multiplicarse sobre la tierra. 
GEN.6.2	Entonces los hijos de Dios
GEN.6.3	Por eso el 
GEN.6.4	En aquellos días y aun después, cuando los hijos de Dios tuvieron relaciones con mujeres, nacieron gigantes que fueron famosos por su valentía. 
GEN.6.5+GEN.6.6	Cuando el 
GEN.6.7	Entonces Dios dijo: «Voy a borrar de la tierra todo lo que he creado, hombres, animales, reptiles y aves. ¡Lamento haberlos creado!».
GEN.6.8	Pero Noé contaba con la aprobación del 
GEN.6.9	Esta es la historia de Noé y de sus descendientes.
GEN.6.9	Noé era un hombre justo y bueno, y todo el tiempo vivía conforme a la voluntad de Dios. 
GEN.6.10	Noé tuvo tres hijos: Sem, Cam y Jafet.
GEN.6.11+GEN.6.12+GEN.6.13	Dios vio que la humanidad se había degenerado, y practicaba la violencia. La depravación llegó a tal extremo que un día Dios le dijo a Noé: «He decidido destruir a la humanidad, porque por su culpa hay mucha violencia y corrupción en la tierra. Sí, voy a destruir a toda la gente junto con lo que hay en el mundo. 
GEN.6.14	Hazte un barco de madera de pino, cubre todas sus hendijas con alquitrán, y hazle cubiertas y camarotes a todo lo largo. 
GEN.6.15	Hazlo de ciento treinta y cinco metros de largo, veintidós metros y medio de ancho y trece metros y medio de alto. 
GEN.6.16	Permite que entre el techo y la pared alrededor de todo el barco haya un espacio libre de unos cuarenta y cinco centímetros para que tanto la luz como el aire puedan circular. Hazle tres cubiertas: una cubierta inferior, una intermedia y una superior, y hazle una puerta al costado. 
GEN.6.17	Porque voy a inundar la tierra con un diluvio para destruir a todos los seres vivos. Todos morirán. 
GEN.6.18	Pero contigo haré un pacto, de modo que entrarás en el barco junto con tus hijos, tu esposa, y tus nueras, para que no mueran.
GEN.6.19+GEN.6.20	»De cada animal trae un macho y una hembra, y hazlos entrar en el barco contigo, para que sobrevivan al diluvio. Haz entrar una pareja de cada especie de animal, ave y reptil. 
GEN.6.21	También guarda en el barco todo el alimento que tú y ellos necesitarán».
GEN.6.22	Y Noé hizo todo lo que Dios le mandó.
GEN.7.1	Después el 
GEN.7.2	Mete en el barco siete machos y siete hembras de todos los animales que se consideran puros; pero de los que se consideran impuros sólo lleva un macho y una hembra. 
GEN.7.3	Lleva también siete machos y siete hembras de todas las aves que existen, para conservar su especie en la tierra. 
GEN.7.4	Porque dentro de siete días haré que comience una lluvia que durará cuarenta días con sus noches, y todo lo que vive en la tierra morirá».
GEN.7.5	Y Noé hizo todo lo que Dios le mandó.
GEN.7.6+GEN.7.7	Cuando comenzó el diluvio, Noé tenía seiscientos años de edad. Entonces entró en el barco con sus hijos, su esposa, y sus nueras, para librarse del diluvio. 
GEN.7.8+GEN.7.9	También entraron con Noé los animales puros e impuros, las aves y los reptiles, macho y hembra, tal como Dios se lo había ordenado.
GEN.7.10	Luego de siete días, las aguas del diluvio comenzaron a inundar la tierra. 
GEN.7.11	Eso ocurrió el día diecisiete del mes segundo, es decir, cuando Noé cumplió sus seiscientos años de vida. Ese día se reventaron todas las fuentes del mar que está debajo de la tierra, y se abrieron las compuertas del cielo dejando caer una lluvia torrencial. 
GEN.7.12	Llovió, sin parar, durante cuarenta días y cuarenta noches. 
GEN.7.13	Fue en aquel día que Noé entró en el barco con su esposa, sus hijos Sem, Cam y Jafet, y sus nueras. 
GEN.7.14+GEN.7.15	Con ellos había en el barco parejas de toda clase de animales, domésticos y silvestres, reptiles y aves. 
GEN.7.16	Habían entrado de dos en dos, macho y hembra, tal como Dios lo había ordenado. Después el 
GEN.7.17	Estuvo lloviendo sobre la tierra durante cuarenta días. Como el nivel de las aguas subió, el barco comenzó a flotar sobre las aguas. 
GEN.7.18	A medida que el agua subía, el barco flotaba sin peligro sobre ellas. 
GEN.7.19	Las aguas subieron tanto, que cubrieron hasta las montañas más altas de la tierra. 
GEN.7.20	Las aguas subieron unos siete metros por encima de las montañas. 
GEN.7.21+GEN.7.22	Por eso, murieron todos los seres vivos que había en la tierra: las aves, los animales salvajes y los domésticos, todos los reptiles, y todos los seres humanos. 
GEN.7.23	Tan sólo Noé y los que estaban con él en el barco quedaron vivos. Todos los demás seres humanos murieron, junto con los animales domésticos, las aves y los reptiles. 
GEN.7.24	Las aguas inundaron la tierra durante unos ciento cincuenta días.
GEN.8.1	Entonces Dios se acordó de Noé y de todos los animales que estaban con él en el barco. Dios hizo soplar un fuerte viento sobre la tierra, de modo que las aguas comenzaron a bajar. 
GEN.8.2	Se cerraron tanto las fuentes del mar profundo como las compuertas de los cielos, y dejó de llover. 
