GEN.1.1	En el principio, Dios creó los cielos y la tierra.
GEN.1.2	La tierra no tenía forma y estaba vacía, y la oscuridad cubría las aguas profundas; y el Espíritu de Dios se movía en el aire sobre la superficie de las aguas.
GEN.1.3	Entonces Dios dijo: «Que haya luz»; y hubo luz. 
GEN.1.4	Y Dios vio que la luz era buena. Luego separó la luz de la oscuridad. 
GEN.1.5	Dios llamó a la luz «día» y a la oscuridad «noche».
GEN.1.5	Y pasó la tarde y llegó la mañana, así se cumplió el primer día.
GEN.1.6	Entonces Dios dijo: «Que haya un espacio entre las aguas, para separar las aguas de los cielos de las aguas de la tierra»; 
GEN.1.7	y eso fue lo que sucedió. Dios formó ese espacio para separar las aguas de la tierra de las aguas de los cielos 
GEN.1.8	y Dios llamó al espacio «cielo».
GEN.1.8	Y pasó la tarde y llegó la mañana, así se cumplió el segundo día.
GEN.1.9	Entonces Dios dijo: «Que las aguas debajo del cielo se junten en un solo lugar, para que aparezca la tierra seca»; y eso fue lo que sucedió. 
GEN.1.10	Dios llamó a lo seco «tierra» y a las aguas «mares». Y Dios vio que esto era bueno. 
GEN.1.11	Después Dios dijo: «Que de la tierra brote vegetación: toda clase de plantas con semillas y árboles que den frutos con semillas. Estas semillas producirán, a su vez, las mismas clases de plantas y árboles de los que provinieron»; y eso fue lo que sucedió. 
GEN.1.12	La tierra produjo vegetación: toda clase de plantas con semillas y árboles que dan frutos con semillas. Las semillas produjeron plantas y árboles de la misma clase. Y Dios vio que esto era bueno.
GEN.1.13	Y pasó la tarde y llegó la mañana, así se cumplió el tercer día.
GEN.1.14	Entonces Dios dijo: «Que aparezcan luces en el cielo para separar el día de la noche; que sean señales para que marquen las estaciones, los días y los años. 
GEN.1.15	Que esas luces en el cielo brillen sobre la tierra»; y eso fue lo que sucedió. 
GEN.1.16	Dios hizo dos grandes luces: la más grande para que gobernara el día, y la más pequeña para que gobernara la noche. También hizo las estrellas. 
GEN.1.17	Dios puso esas luces en el cielo para iluminar la tierra, 
GEN.1.18	para que gobernaran el día y la noche, y para separar la luz de la oscuridad. Y Dios vio que esto era bueno.
GEN.1.19	Y pasó la tarde y llegó la mañana, así se cumplió el cuarto día.
GEN.1.20	Entonces Dios dijo: «Que las aguas se colmen de peces y de otras formas de vida. Que los cielos se llenen de aves de toda clase». 
GEN.1.21	Así que Dios creó grandes criaturas marinas y todos los seres vivientes que se mueven y se agitan en el agua y aves de todo tipo, cada uno produciendo crías de la misma especie. Y Dios vio que esto era bueno. 
GEN.1.22	Entonces Dios los bendijo con las siguientes palabras: «Sean fructíferos y multiplíquense. Que los peces llenen los mares y las aves se multipliquen sobre la tierra».
GEN.1.23	Y pasó la tarde y llegó la mañana, así se cumplió el quinto día.
GEN.1.24	Entonces Dios dijo: «Que la tierra produzca toda clase de animales, que cada uno produzca crías de la misma especie: animales domésticos, animales pequeños que corran por el suelo y animales salvajes»; y eso fue lo que sucedió. 
GEN.1.25	Dios hizo toda clase de animales salvajes, animales domésticos y animales pequeños; cada uno con la capacidad de producir crías de la misma especie. Y Dios vio que esto era bueno.
GEN.1.26	Entonces Dios dijo: «Hagamos a los seres humanos
GEN.1.27	Así que Dios creó a los seres humanos
GEN.1.27	A imagen de Dios los creó;
GEN.1.27	hombre y mujer los creó.
GEN.1.28	Luego Dios los bendijo con las siguientes palabras: «Sean fructíferos y multiplíquense. Llenen la tierra y gobiernen sobre ella. Reinen sobre los peces del mar, las aves del cielo y todos los animales que corren por el suelo».
GEN.1.29	Entonces Dios dijo: «¡Miren! Les he dado todas las plantas con semilla que hay sobre la tierra y todos los árboles frutales para que les sirvan de alimento. 
GEN.1.30	Y he dado toda planta verde como alimento para todos los animales salvajes, para las aves del cielo y para los animales pequeños que corren por el suelo, es decir, para todo lo que tiene vida»; y eso fue lo que sucedió.
GEN.1.31	Entonces Dios miró todo lo que había hecho, ¡y vio que era muy bueno!
GEN.1.31	Y pasó la tarde y llegó la mañana, así se cumplió el sexto día.
GEN.2.1	Así quedó terminada la creación de los cielos y de la tierra, y de todo lo que hay en ellos. 
GEN.2.2	Cuando llegó el séptimo día, Dios ya había terminado su obra de creación, y descansó
GEN.2.3	Dios bendijo el séptimo día y lo declaró santo, porque ese fue el día en que descansó de toda su obra de creación.
GEN.2.4	Este es el relato de la creación de los cielos y la tierra.
GEN.2.4	Cuando el 
GEN.2.5	no crecían en ella plantas salvajes ni grano porque el 
GEN.2.6	En cambio, del suelo brotaban manantiales que regaban
GEN.2.7	Luego el 
GEN.2.8	Después, el 
GEN.2.9	El 
GEN.2.10	Un río salía de la tierra del Edén que regaba el huerto y después se dividía en cuatro ramales. 
GEN.2.11	El primero, llamado Pisón, rodeaba toda la tierra de Havila, donde hay oro. 
GEN.2.12	El oro de esa tierra es excepcionalmente puro; también se encuentran allí resinas aromáticas y piedras de ónice. 
GEN.2.13	El segundo, llamado Gihón, rodeaba toda la tierra de Cus. 
GEN.2.14	El tercero, llamado Tigris, corría al oriente de la tierra de Asiria. El cuarto se llama Éufrates.
GEN.2.15	El 
GEN.2.16	pero el 
GEN.2.17	excepto del árbol del conocimiento del bien y del mal. Si comes de su fruto, sin duda morirás».
GEN.2.18	Después, el 
GEN.2.19	Entonces el 
GEN.2.20	Puso nombre a todos los animales domésticos, a todas las aves del cielo y a todos los animales salvajes; pero aún no había una ayuda ideal para él.
GEN.2.21	Entonces el 
GEN.2.22	Entonces el 
GEN.2.23	«¡Al fin! —exclamó el hombre—.
GEN.2.23	¡Esta es hueso de mis huesos
GEN.2.23	y carne de mi carne!
GEN.2.23	Ella será llamada “mujer”
GEN.2.23	porque fue tomada del hombre».
GEN.2.24	Esto explica por qué el hombre deja a su padre y a su madre, y se une a su esposa, y los dos se convierten en uno solo.
GEN.2.25	Ahora bien, el hombre y su esposa estaban desnudos, pero no sentían vergüenza.
GEN.3.1	La serpiente era el más astuto de todos los animales salvajes que el 
GEN.3.1	—¿De veras Dios les dijo que no deben comer del fruto de ninguno de los árboles del huerto?
GEN.3.2	—Claro que podemos comer del fruto de los árboles del huerto —contestó la mujer—. 
GEN.3.3	Es solo del fruto del árbol que está en medio del huerto del que no se nos permite comer. Dios dijo: “No deben comerlo, ni siquiera tocarlo; si lo hacen, morirán”.
GEN.3.4	—¡No morirán! —respondió la serpiente a la mujer—. 
GEN.3.5	Dios sabe que, en cuanto coman del fruto, se les abrirán los ojos y serán como Dios, con el conocimiento del bien y del mal.
GEN.3.6	La mujer quedó convencida. Vio que el árbol era hermoso y su fruto parecía delicioso, y quiso la sabiduría que le daría. Así que tomó del fruto y lo comió. Después le dio un poco a su esposo que estaba con ella, y él también comió. 
GEN.3.7	En ese momento, se les abrieron los ojos, y de pronto sintieron vergüenza por su desnudez. Entonces cosieron hojas de higuera para cubrirse.
GEN.3.8	Cuando soplaba la brisa fresca de la tarde, el hombre
GEN.3.9	Entonces el 
GEN.3.9	—¿Dónde estás?
GEN.3.10	El hombre contestó:
GEN.3.10	—Te oí caminando por el huerto, así que me escondí. Tuve miedo porque estaba desnudo.
GEN.3.11	—¿Quién te dijo que estabas desnudo? —le preguntó el 
GEN.3.12	El hombre contestó:
GEN.3.12	—La mujer que tú me diste fue quien me dio del fruto, y yo lo comí.
GEN.3.13	Entonces el 
GEN.3.13	—¿Qué has hecho?
GEN.3.13	—La serpiente me engañó —contestó ella—. Por eso comí.
GEN.3.14	Entonces el 
GEN.3.14	«Por lo que has hecho, eres maldita
GEN.3.14	más que todos los animales, tanto domésticos como salvajes.
GEN.3.14	Andarás sobre tu vientre,
GEN.3.14	arrastrándote por el polvo durante toda tu vida.
GEN.3.15	Y pondré hostilidad entre tú y la mujer,
GEN.3.15	y entre tu descendencia y la descendencia de ella.
GEN.3.15	Su descendiente te golpeará la cabeza,
GEN.3.15	y tú le golpearás
GEN.3.16	Luego le dijo a la mujer:
GEN.3.16	«Haré más agudo el dolor de tu embarazo,
GEN.3.16	y con dolor darás a luz.
GEN.3.16	Y desearás controlar a tu marido,
GEN.3.16	pero él gobernará sobre ti
GEN.3.17	Y al hombre le dijo:
GEN.3.17	«Dado que hiciste caso a tu esposa y comiste del fruto del árbol
GEN.3.17	del que te ordené que no comieras,
GEN.3.17	la tierra es maldita por tu culpa.
GEN.3.17	Toda tu vida lucharás para poder vivir de ella.
GEN.3.18	Te producirá espinos y cardos,
GEN.3.18	aunque comerás de sus granos.
GEN.3.19	Con el sudor de tu frente
GEN.3.19	obtendrás alimento para comer
GEN.3.19	hasta que vuelvas a la tierra
GEN.3.19	de la que fuiste formado.
GEN.3.19	Pues fuiste hecho del polvo,
GEN.3.19	y al polvo volverás».
