GEN.1.1	EN el 
GEN.1.2	Y la tierra estaba 
GEN.1.3	Y dijo Dios: 
GEN.1.4	Y vió Dios que la luz era buena: y apartó Dios la luz de las tinieblas.
GEN.1.5	Y llamó Dios á la luz Día, y á las tinieblas llamó Noche: y fué la tarde y la mañana un día.
GEN.1.6	Y dijo Dios: Haya expansión en medio de las aguas, y separe las aguas de las aguas.
GEN.1.7	E hizo Dios la expansión, y apartó las aguas que estaban debajo de la expansión, de las aguas que estaban sobre la expansión: y fué así.
GEN.1.8	Y llamó Dios á la expansión Cielos: y fué la tarde y la mañana el día segundo.
GEN.1.9	Y dijo Dios: 
GEN.1.10	Y llamó Dios á la seca Tierra, y á la reunión de las aguas llamó Mares: y vió Dios que era bueno.
GEN.1.11	Y dijo Dios: Produzca la tierra hierba verde, hierba que dé simiente; árbol de fruto que dé fruto según su género, que su simiente esté en él, sobre la tierra: y fué así.
GEN.1.12	Y produjo la tierra hierba verde, hierba que da simiente según su naturaleza, y árbol que da fruto, cuya simiente está en él, según su género: y vió Dios que era bueno.
GEN.1.13	Y fué la tarde y la mañana el día tercero.
GEN.1.14	Y dijo Dios: Sean lumbreras en la expansión de los cielos para apartar el día y la noche: y sean por señales, y para las estaciones, y para días y años;
GEN.1.15	Y sean por lumbreras en la expansión de los cielos para alumbrar sobre la tierra: y fué así.
GEN.1.16	E hizo 
GEN.1.17	Y púsolas Dios en la expansión de los cielos, para alumbrar sobre la tierra,
GEN.1.19	Y fué la tarde y la mañana el día cuarto.
GEN.1.20	Y dijo Dios: Produzcan las aguas reptil de ánima viviente, y aves que vuelen sobre la tierra, en la abierta expansión de los cielos.
GEN.1.21	Y 
GEN.1.22	Y Dios los bendijo diciendo: 
GEN.1.23	Y fué la tarde y la mañana el día quinto.
GEN.1.24	Y dijo Dios: Produzca la tierra seres vivientes según su género, bestias y serpientes y animales de la tierra según su especie: y fué así.
GEN.1.25	E hizo Dios animales de la tierra según su género, y ganado según su género, y todo animal que anda arrastrando sobre la tierra según su especie: y vió Dios que era bueno.
GEN.1.26	Y dijo Dios: 
GEN.1.27	Y crió Dios al hombre á su imagen, á imagen de Dios lo crió; 
GEN.1.29	Y dijo Dios: He aquí que os he dado toda hierba que da simiente, que está sobre la haz de toda la tierra; y todo árbol en que hay fruto de árbol que da simiente, 
GEN.2.1	Y FUERON acabados los cielos y la tierra, 
GEN.2.3	Y bendijo Dios al día séptimo, y santificólo, porque en él reposó de toda su obra que había Dios criado y hecho.
GEN.2.5	Y toda 
GEN.2.6	Mas subía de la tierra un vapor, que regaba toda la faz de la tierra.
GEN.2.7	Formó, pues, Jehová Dios al hombre del 
GEN.2.8	Y había Jehová Dios plantado un 
GEN.2.9	Y había Jehová Dios hecho nacer de la tierra todo árbol delicioso á la vista, y bueno para comer: 
GEN.2.10	Y salía de Edén un río para regar el huerto, y de allí se repartía en cuatro ramales.
GEN.2.11	El nombre del uno era Pisón: éste es el que cerca 
GEN.2.12	Y el oro de aquella tierra es bueno: hay allí 
GEN.2.13	El nombre del segundo río es Gihón: éste es el que rodea toda la tierra de Etiopía.
GEN.2.14	Y el nombre del tercer río es Hiddekel: éste es el que va delante de Asiria. Y el cuarto río es el Eufrates.
GEN.2.15	Tomó, pues, Jehová Dios al hombre, y le puso en el huerto de Edén, para que lo labrara y lo guardase.
GEN.2.16	Y mandó Jehová Dios al hombre, diciendo: De todo árbol del huerto comerás;
GEN.2.17	Mas del árbol de ciencia del bien y del mal no comerás de él; porque el día que de él comieres, 
GEN.2.18	Y dijo Jehová Dios: No es bueno que el hombre esté solo; haréle ayuda idónea para él.
GEN.2.19	Formó, pues, Jehová Dios de la tierra toda bestia del campo, y toda ave de los cielos, y trájolas á Adam, para que viese cómo les había de llamar; y todo lo que Adam llamó á los animales vivientes, ese es su nombre.
GEN.2.20	Y puso Adam nombres á toda bestia y ave de los cielos y á todo animal del campo: mas para Adam no halló ayuda que 
GEN.2.21	Y Jehová Dios 
GEN.2.22	Y de la costilla que Jehová Dios tomó del hombre, hizo una mujer, y trájola al hombre.
GEN.2.23	Y dijo Adam: Esto es ahora hueso de mis huesos, y carne de mi carne: ésta será llamada Varona, porque del varón fué tomada.
GEN.2.25	Y estaban ambos desnudos, Adam y su mujer, y no se avergonzaban.
GEN.3.1	EMPERO 
GEN.3.2	Y la mujer respondió á la serpiente: Del fruto de los árboles del huerto comemos;
GEN.3.4	Entonces la serpiente dijo á la mujer: No moriréis;
GEN.3.5	Mas sabe Dios que el día que comiereis de él, serán abiertos vuestros ojos, y seréis como dioses sabiendo el bien y el mal.
GEN.3.6	Y vió la mujer que el árbol era bueno para comer, y que era agradable á los ojos, y árbol codiciable para alcanzar la sabiduría; 
GEN.3.8	Y oyeron la voz de Jehová Dios que se paseaba en el huerto al aire del día: y escondióse el hombre y su mujer de la presencia de Jehová Dios entre los árboles del huerto.
