GEN.1.1	I muan tan tatanik, tan nainy te kat faruak e Gov a gormirmir an puputaa, 
GEN.1.2	an puputaa to aya gima faarei to te tagei fi rora ya roman. Sikia. U puputaa babainy an kat fuainy. A uurup te kookop a namaan, an Aaven ten Gov taan to patsun na namaam. 
GEN.1.3	Ai Gov tsue to, “Arasan ruak,” ana arasan ruak to. 
GEN.1.4	Gov te tagei a arasan sa paparaa fiisok iny ya. Ai Gov kibei to na arasan ana uurup. 
GEN.1.5	Ya koo to na arasan, “U Nainy” ya koo to na uurup, “A Voiny”. Voiny te kap na ana voinyvoiny ruak to ayein vaamuan nan nainy.
GEN.1.6+GEN.1.7	Ai Gov tsue to, “Isen ta bei tap ma ruak a kibei to na aurom, ana aurom te takibaa tana fuan a pan.” Ana kat to ruak to kat to ai Gov kat to na bei tap sa kibei na aurom sa kat tap iny a aurom i fain ana aurom jias. 
GEN.1.8	Gov te koo na bei tap to aya na “Korosuu”. Voiny te kap na, ana voinyvoiny ruak to, ayei fafuan nan nainy.
GEN.1.9	Ai Gov tsue to, “Aurom iny fainy na korosuu ma faavot tan seiny pan, ma ruak a pan a parak,” ana pan a parak ruak to. 
GEN.1.10	Ai Gov koo to na pan a parak “Puputaa”, ana fo aurom to te faavot tan seiny pan te koo ya na “Namaan”. Gov te tagei a fo mamatsiny ka te kat fakap ya, sa paparaa iny Ya.
GEN.1.11	Ai Gov tsue to, “Puputaa ma fagiainy a fo vir fareevreev, ana aufing to te natiny fuei non fua, an viirviir nau te natiny fuei non fua,” ana ri ruak to. 
GEN.1.12	An puputaa fagiainy to na fo viir fareevreev, ai Gov tagei towa sa paparaa. 
GEN.1.13	Voiny te kap na ana voinyvoiny ruak to, ayein fafofopis nan nainy.
GEN.1.14	Ai Gov tsue pis to, “Nuaf ma ruak korosuu ma kibei yan nainy ana voiny, ai te faatok iny nainy tana fo nainy, ana fo iifaa, ana fo ingainy, an fo viirviir nainy tana ingainy. 
GEN.1.15	A fo kurun to ari nan te ka ror i korosuu te fa'arasainy miror puputaa,” ana ri ruak to. 
GEN.1.16	Sen Gov kat fuan kurun tsian, kurun tsian a nuaf kainy faan iny a arasan tan nainy ana iifaa faan iny non a arasan tana voiny, ai Gov kat kainy to na fo kootsits.
GEN.1.17	Gov fakei kainy to na fo kurun i korosuu ma fa'arasainy yan puputaa. 
GEN.1.18	Ma tagaa ot iny ya nu nainy ana voiny, a nat iny kibei ton nainy ana voiny. Gov tagei to na fo mamatsiny ka te kat fakap ya sa paparaa fiisok tsun en nato. 
GEN.1.19	Voiny te kap naa ana voinyvoiny ruak to, ayein fafats nan nainy.
GEN.1.20	Ai Gov tsue to, “A namaan ma via men a fo mamatsiny viir jian a fasus fakinai to. Ana fo marei ma ruak, a ruaf vavis to korosuu,” ana fo mamatsiny ka ruak to. 
GEN.1.21	Kat to sen Gov kat faruak a fo jian a fo tsian iny namaan, ana fo viir ka na fo kakaii iny tana aurom, ana fo viirviir marei. Gov tagei a fo mamatsiny ka te kat fakap ya, sa paparaa fiisok tsun en nato. 
GEN.1.22	Ai Gov faparits ratuari, sa tsue, “Fo viirviir jian te nat iny ka ror namaan ma faagiir a piriats to na namaan. Ana fo marei roruaf kan ma faagiir fakinai a piriats to patsun puputaa.” 
GEN.1.23	Voiny te kap naa ana voinyvoiny ruak to, ayein fangim nan nainy.
GEN.1.24	Ai Gov tsue to, “Puputaa ma kamen viirviir marei sensen te kaa miror a toto, marei raif, an fo marei tsian vouts an fo marei kakaiin vouts,” ana ri ruak to. 
GEN.1.25	Te kat fakap e Gov a fo viirviir marei sensen te kaa miror a toto, ya tagei ratuarin rof fiisok ovei tsun.
GEN.1.26	Ai Gov tsue to, “Roman ra kat ror a mes a faarei ratua ra, ra ma bobot ya, ana ayei te tagaa ot ir fo jian an fo marei roruaf, an fo marei raif an fo marei sensen tsian an marei sensen kakaii iny ratsuu”. 
GEN.1.27	Sen Gov kat a mes sa mamatan faarei e Gov, a Gov kat to na tsoiny ana moun. 
GEN.1.28	Sen Gov faparits i rari, ya tsue to, “Ami na ina fuan fafaagiir rom guei kinai er piriats to na pan, ana ri te gum tana fo mamatsiny pan tan puputaa, ri te tagaa ot iny a foka te kanon tan puputaa. Nyo faan maromi na parits iny tagaa ot ir jian, an fo marei roruaf, an fo marei sensen tsian an marei sensen kakaii iny ratsuu.” 
GEN.1.29	Ai Gov tsue to, “Nyo faan mami na fo viirviir fua te natiny kaa miror kainy ainy, ana fo viirviir nau te kaa miror kainy ainy natiny fua ror, a foka to aya kainy ainy tsumi. 
GEN.1.30	San anyo te faan ir marei sensen tsian an kakaii iny ratsuu, ana fokinai marei roruaf a aufing a vuwiir, an noun nan nau fo fareevreev, faarei non a kainy ainy tsuri.” Ana foka to ruak to. 
GEN.1.31	Gov te tagei a fo mamatsiny ka te kat ya. Sa paparaa i fiisok tsun en. Voiny te kap na, ana voinyvoiny ruak to. Ayein fagonom nan nainy.
GEN.2.1+GEN.2.2	Tan nainy te kat faruak fakap e Gov a gormirmir an puputaa ana fo mamatsiny ka, Gov fakap to na fo mamatsiny binun Tsunia, an tan fafits nan nainy, Gov favusuan to tan nainy to aya nan. 
GEN.2.3	Gov faparits ton fafits nan nainy, ai Gov bobot ton nainy to aya ma agaagon ya, kainy faatouf e Gov. Tana sa Gov te kat fakap a fo mamatsiny ka, an tan nainy to aya nan Gov favusuan to.
GEN.2.4+GEN.2.5	Te kat e Gov a gormirmir an puputaa ana fo mamatsiny ka, Gov kat faruak to na gormirmir an puputaa, te sikia farokot ya ta fo nau ana aufing tan puputaa, tan sa, e Gov te sikia farokot ma faan iny me na ruat, ana sikia farokot ta mes iny kat tanun. 
GEN.2.6	Man pas koraa a sikia farokot ta ruat, san tan nainy to aya, a aurom te ruak me tan puputaa sa koor na tana fo mamatsiny pan sa fabub puputaa. 
GEN.2.7	Vou ai Gov nom ton puputaa ya kat towa na mes, ai Gov fuas of to na mes i uusun ya, ya kaa mito na toto.
GEN.2.8	Ai Gov kat to na isen na tanun i Iden, tana pan te ruak ising minon a nuaf, ai tana tanun to aya i Iden, a pan te fakei ya na mes te kat Ya. 
GEN.2.9	Gov kat a fo viir viir nau sa gian, fo nau a fo savits, ser fua na fo kainy ainy a fo rof, ai i fapoopoan nan na tanun pan te fakei e Gov nau, a vainy ainy ror kainy ainy nan ya ri te toto. Te kaa minon mes nau te ainy non a mes kainy ainy nan ya, ya te natiny a fo mamatsiny ka, kana rof, ana kana iring.
GEN.2.10	A isen na aurom te poo me koman puputaa tana tanun iny Iden kainy fa aurom a tanun to aya. A aurom to aya te takibaa ya kat to na fats a naan aurom. 
GEN.2.11	Vaamuan na na aurom te koo rori na Pison, te natiny koor faafis non a gum iny fan tsian iny Havila. 
GEN.2.12	A fan to aya te kaa minon gol rof te sab ari na aya, kaa kan minon sen nau, potsing nan yan tauf tsuraf te natiny koo rori Deliam. An te kaa kan minon na isen na viir fats a gautsiroun te natiny koo rori Oniks. Fuan na ka to aya, foiny nan ya nai jias fiisok. 
GEN.2.13	Fafuan nana aurom te koo rori Gihon, te natiny afis non a gum iny fan tsian iny Kus. 
GEN.2.14	Fafofopis nana aurom te koo rori Taigris, te koor fina non tana pan te ruak minon na nuaf i Asiria. Ana fafats nana aurom te koo rori na Yufreitis.
GEN.2.15	Sen Gov nom a mes sa fakei ya tana tanun to aya i Iden ma binun ya, ana ayei te tagaa ot iny a tanun ana fo mamatsiny ka koman ya. 
GEN.2.16	Sen Gov tsue of fi na mes nei, “Nyi onot iny ainy fua nan fo mamatsiny nau iny tana tanun to aya. 
GEN.2.17	San anyi gim on rom ma ainy fua nan nau te kat non na mes ya te nat iny a saf a ka na rof, ana saf a ka na iring, agaagon non tsumanyi tan ainy fua nan nau to aya, te ainy romanyi ya, nyi mat rom.”
GEN.2.18	Ai Gov fakats to sa tsue, “Te gim non ma rof te kaa tsivon non na mes, Nyo ma kat ta isen ta vaatau kainy faakouts ya.” 
GEN.2.19	Kat to sen Gov nom puputaa sa kat yan marei sensen an marei roruaf. Sen Gov a ton ir a fokinai marei sensen an marei roruaf tana mes ma fakei ya na asanga rari. Kat to ana mes faan isiseiny raton a fokinai marei sensen an marei roruaf asangan ri na fokinai kaa miton asangan te faan rari na mes. 
GEN.2.20	Kat to ana mes faan iny ton asangar fokinai marei sensen iny fan an fokinai marei sensen iny ratsuu, an fokinai marei roruaf. San a mes a sikia farokot ta vaatau kainy faakouts ya.
GEN.2.21	Gov kat to na mes ana mes goros ya maguu enato, ai to te goros farokot a mes. Gov nom ton sen tsuan ririkin na mes ya faa'ngamuts fatabiny ton venoo tana pan te nom ya tsuan i ririkin na mes. 
GEN.2.22	Gov te kat a isen a moun tan as te nom ya ririkin na mes sen Gov mei naa na moun tana mes.
GEN.2.23	Ana mes tsue to, “Ai bus nan na vaatau faman tsonyo, ton tsuan nan ya te kat ari tan tsuan navanyo, an venoo nan ya te kat ari tan venoo navanyo. Gov te kat ya tan tsuan navanyo, to tsonyo koo rou ya na moun.” 
GEN.2.24	Tan kat tsun to aya nan, ana mes onot iny naus osing e tsinan me taman ya, ya te nai kaa fisen me na moun tsunia, ana ri ina fuan te ruak iny isen.
GEN.2.25	Tsoiny ana moun te sikia ta kainy fatakop a pua rari na ina fuan, arin beerbeer san ari na ina fuan te gima rejiaf.
GEN.3.1	E Gov te kat a fo mamatsiny marei sensen, san a sikia ta ina isen tsuri te onot non ma fabiu na koraa, ana koraa rangats to na moun, “Kat fei, toroman e Gov te fa agagoiny mami na ina fuan ma ainy vaare mi na fo mamatsiny fua nan nau koman na tanun?”
GEN.3.2	Ana moun biny to na koraa sa tsue, “Mam ma ina fuan onot iny ainy fua nan fo mamatsiny nau te kanon tana tanun to aya. 
GEN.3.3	San isen nau te tsutsuun non fapoopoan nan na tanun, mam ina fuan agaagon rom tan ainy fua nania, tsue fi Gov. ‘Te ainy romin fua nan nau to aya, ge te saras romi ya, mi na ina fuan mat rom’.”
GEN.3.4	Ana koraa biny to na moun sa tsue, “Gima man mi na ina fuan gim on rom ma mat. 
GEN.3.5	Te ainy romin fua nan nau to aya nan, mi na ina fuan natiny rom a ka na iring, ana ka na rof, ana mi na ina fuan te faarei e Gov. Gov nat iny non a ka to aya nan, to sen Gov fa agaagon i mami na ina fuan.”
GEN.3.6	Ana moun tagei ton nau, an nau to ayan mamatoong faarof an fua nanian rof fiisok tsun. Kat to ana moun fakats fi to nei, te nom ronyon fua nyo te ainy ya, nyo nom rou viir nat ai te rof fiisok. Kat to ana moun nom ton fua nan nau to aya sa ainy ya. Vou ya nom ton fua nan nau sa fainy ya natsoiny ya, sa ainy kainy ya. 
GEN.3.7	Sen tsun, ana ri na ina fuan tagaa fanatnat i ratuari na ina fuan na berber, kat to ser kuiny noun nan fik, ana ri na ina fuan ravrav towa.
GEN.3.8	San tana touraf te kour a pan, ana ri na ina fuan nongoiny to Gov te tatan non tanun, ana ri na ina fuan takop to fapoopoan na na fo nau. 
GEN.3.9	San a Tsunaun e Gov te fikoo na mes sa tsue, “Fei te ka romanyi ei?”
GEN.3.10	Ana mes biny towa sa tsue, “Nyo te nongon i manyi te tatan i tanun. Nyo oraav to, nyo takop to, tana sa nyo na berber.”
GEN.3.11	Ai Gov rangats towa, “Sei te tsue of i manyi ee, anyi na berber, toroman anyi te ainy bus fua nan nau te fa agaagon im ma ainy vaare nyi ya?”
GEN.3.12	Ana mes biny towa sa tsue, “A moun a vatau tsonyo te faan iny anyi tsonyo, ayei te faan vanyon fua nan nau, tsonyo ainy ya.”
GEN.3.13	Ana Tsunaun e Gov rangats to na moun, “Sei tsue of i manyi ee, ma kat a ka to ee,” ana moun biny towa sa tsue, “A koraa te gam i vanyo, tsonyo ainy fua nan nau.”
GEN.3.14	Ana Tsunaun e Gov tsue to tan koraa, “Anyi te kat a ka to aya, ai tovei nyi nom rom a patang tsunia. Patang te govets romanyi, te fis pis non a patang tan fokinai mes marei. Roman an tan fokinai nainy te naa minon, nyi sensen iny rom a komam manyi, ana nyi ainy rom a fo nungan iny tan puputaa. 
GEN.3.15	Nyo kat maromanyi na tafisuan tana moun, ana moun a tafisuan tsumanyi, vun tsumanyi tafisuan miror vun tana moun. Ayei pitei non a patsuu manyi, ana nyi te kots a moun ya.”
GEN.3.16	Ana Tsunaun e Gov tsue to tana moun, “Nyo faan maromanyi na patang te kaa miromanyin kura, ana nyi te kamen na kamits tsian te fagiir romanyi, san anyi kaa farokot mirom koman tana tsoiny tsumanyi ma tagaa ot manyi ya.”
GEN.3.17	Ana Tsunaun e Gov tsue to ten Adam, “Anyi te nongoiny tsue tana moun tsumanyi, ana nyi ainy ton fua nan nau, Anyo te fa agaagon manyi ya, ma ainy vaare nyi ya. Nyi kat firom nei aya, Nyo kat firing rou puputaa, ana kainy ainy te gima ruak faarof on. Anyi patsukanem binun fapaparits rom tan, kat a kainy ainy ma ruak ya tan puputaa. 
GEN.3.18	Ana fo nau te kamiror kakarits, ana fo aufing a iring gian miror tan puputaa ana nyi ainy vavis rom a fo noun iny ratsuu. 
GEN.3.19	Nyi binun rom an siva te buts ana kainy ainy te gian tan puputaa, nyi nag vaurep rom tana binun, onot non te mat romanyi, ana nyi te tabin tan puputaa. Tana sa, anyo te kat manyi tan puputaa, ana nyi tabin pis rom tan puputaa.”
GEN.3.20	A mes te asang e natsun ya e Ivi, tana sa, ayei a tsinar fokinai tsoiny an moun. 
GEN.3.21	Vou ana Tsunaun e Gov kat ton vau tana pempem nan na marei a sensen, Gov fainy towa Adam me natsun ya ana ri na ina fuan vau towa.
GEN.3.22	Vou ana Tsunaun e Gov tsue to, “Tagaa a mes te naat bus iny a saf a ka na rof, ana saf a ka na iring, ana ayei faarei ratuara. Ara gim ror ma famanat iny ya ma naa fasiru ya panan nau te natiny faan iny non a toto. Kat non tsunia ainy fua nan nau to aya sa kaa ovei.” 
GEN.3.23	Kat to ana Tsunaun e Gov gargar to na mes tana tanun i Iden. Sa faan iny naa towa ma binun ya tan puputaa te kat e Gov. 
GEN.3.24	Te gargar fakap e Gov a tsoiny ana moun Ya faka raton na fomes a fo morenan parits tana pan te natiny ruak ising minon a nuaf tana tanun iny Iden. Ya fakei ton sen kirat te mamatan faarei non guaf, ana ayei natiny takopis vavis non tan fo mamatsiny pan. A fo morena to ari nan fisen mena fo kirat te tagaa ot ror, kat non an ta isen ta mes te nai ruak tan nau to aya nan te natiny faan toto non.
GEN.4.1	Kat to sen Adam fiinot fiisen me natsun ya e Ivi, ai natsun ya kuraa to, sa faagiir a isen na guei tsoiny, ya tsue to, “A Tsunaun te faakouts i vanyo, ana nyo faagiir to na guei tsoiny.” Ai Ivi koo tona guei to aya e Kein. 
GEN.4.2	Vou ana ayei faagiir to Ebol, a famuinyasiny ten Kein. Ebol ayei a tsoiny veis tan siip, ai Kein ayei a tsoiny katkat tanun. 
GEN.4.3	I vou te agio fakap me Kein a kainy ainy i tanu ya atoiny to na fo mes, ya kat towan fifaan tana Tsunaun. 
GEN.4.4	Ebol nom ton vaamuan na agiir tan fo siipsiip, ya atsun famat ratuari. Ana ayei nom ton na fo pan a fo rof a karap, sa kat yan fifaan. A Tsunaun te paparaa iny fifaan ten Ebol. 
GEN.4.5	San e Gov te baainy iny fifaan ten Kein. E Kein te peits fiisok tsun en, ana matan ya matoong iny peits fiisok tsun en nato. 
GEN.4.6	Ana Tsunaun tsue to ten Kein, “A saa te peits iny romanyi na? Ana saa te matoong iny peits of non a mata manyi na? 
GEN.4.7	Te kat romanyin fifaan rof tana sanaan a toobing, Nyo paparaa iny rou ya, san te kat bus anyin kat iring, sa komainy fabiu maromanyi kat iring te faarei non na marei a sensen te soon non, kakoun non tan atsun i manyi, fakats non ma fabiu manyi, san anyi ma fabiu ya.”
GEN.4.8	Ai Kein tsue to ten Ebol a famuinyasiny tsunia, “Nai vavis ara.” Te tataan na ri, Kein takopis of to e famuinyasiny tsunia e Ebol sa atsuiny famat ya.
GEN.4.9	Ana Tsunaun rangats to Kein, “E Ebol ei, a famuinyasiny tsumanyi?” Ai Kein tsue to, “Anyo gim rou ma nat. Nyi pon i vanyo na saa, ma tagaa ot iny anyo na famuinyasiny tsonyo?”
GEN.4.10	Kat to ana Tsunaun tsue to ten Kein, “Saa te kat anyi na? To san rafatsiny ten famuinyasiny tsumanyi tatsiiu tan puputaa, Anyo te nongoiny rafatsiny to aya te kuu faarei na isen na mes te fikoo Vanyo. 
GEN.4.11	Roman Nyo kat rou tsuen parits iny kat fiiring i manyi, anyi ma naus osing a painy puputaa to aya. Tana saa, anyi fatoobing te atsuiny famat e famuinyasiny tsumanyi tana nimam, an rafatsiny tatsiiu nato, an puputaa to aya te faarei non ngue te pangang non sa jiun rafatsiny to aya. 
GEN.4.12	Te binun romanyi, ana nyi te tanaf iny reev a kainy ainy, kainy ainy gim non ma gian ai te fua faarof. Ana nyi sikia rom ma kaa me ta fan tsuam fatoobing, nyi taan afafis tsun rom tan puputaa.”
GEN.4.13	Ai Kein tsue to tana Tsunaun, “U fasaraa to aya te faan iny romanyi tsonyo, na kaatsian fiisok. 
GEN.4.14	Anyi te tsue ma gargar vanyo tana painy puputaa to aya, an tana mata Manyi kan. Ana nyo sikia rou ma kaa me ta fan, nyo vavis babainy tsun rou tan puputaa. Ai to te sab varonyo ta isen ta mes, ayei atsuiny famat varonyo.” 
GEN.4.15	San a Tsunaun te tsue, “Sikia. A isen ta mes te atsun maromanyi, Nyo tsue faman rou, Nyo pangis rou ya tan fasaraan tsian.” Ana Tsunaun fakei to na isen na mak nain e Kein, te sab fi rori yan na vainy ri te tagei a mak to aya, ri te gima atsuiny ya.” 
GEN.4.16	Ai Kein bus osing to na matan na Tsunaun, sa nai kaa tan puputaa iny Not (kifon ya vavavis vavis) tana pan tan men panaainy Iden te ruak minon a nuaf.
GEN.4.17	E Kein te fiinot me natsun ya, ai natsun ya kuraa to ya faagiir to na isen na guei tsoiny ya koo towa Inok. Ai Kein kat to na isen na ngats fan, ya koo tsuktsuk towa na guei tsoiny tsuan. 
GEN.4.18	Ai Inok faruak to na guei tsoiny ya koo towa Irat. Ai Irat faruak to na guei tsoiny ya koo towa Meyujel. Vou ai Meyujel faruak to na guei tsoiny ya koo towa Metusel. Vou ai Metusel faruak to na guei tsoiny, ya koo towa Lemek. 
GEN.4.19	Lemek te fanging a ina fuan a moun asangan na ina isen e Eda, ana mesmes e Sila. 
GEN.4.20	Eda te faagiir e Jebel, E Jebel tsuvur vainy te natiny tagaa ot iny ror bulmakau, ana ri natiny kaa ror tana fo tovaar kandis. 
GEN.4.21	Famuinyasiny ten Jebel asangan ya e Jubal. E Jubal ayein tsuvur vainy te natiny saksak fatangis ror a gita, ri te puuf kobi/gopi. 
GEN.4.22	Ai Sila faagiir to Tubal-Kein. E Tubal-Kein ayein tsuvur vainy te natiny kat ror a foka tan bras an aiyan. Fafinen e Tubal-Kein asangan ya e Nama.
GEN.4.23	Ai Lemek tsue to tana ina fuan a moun tsunia, “Ere Eda me Sila, nongon yam mi na ina fuan a moun ten Lemek. Mi na ina fuan nongon faarof yam te vegiau ronyo. Anyo te atsuiny famat a isen a mes a vurots, tana saa ayei te sapan (wounded/fatafisuan) i vanyo. 
GEN.4.24	Mes te atsuiny non e Kein ayei nom non a patang tsian, san a mes te a tsun varonyo, nom non a patang te karap fafis pis no.”
GEN.4.25	Vou ai Adam me natsun ya fiinot pis to ai natsun ya faagiir to na guei tsoiny ya tsue to, “Gov te faan pis i vanyo na mes a guei, a pangis ten Ebol, e Kein te atsuiny famat ya.” Ana ayei koo towa Set. 
GEN.4.26	Vou ai Set faruak to na guei tsoiny ya koo towa Inos. Tan nainy tsun to aya, ana vainy tanik iny asang to na asangan na Tsunaun ana ri faatouf Towa.
GEN.5.1	Tovein asangar aatai te tapogaar me ten Adam: Gov te kat e Adam, sa ruak faarei ya. 
GEN.5.2	Gov te kat a isen a tsoiny ana isen a moun. Te kat fakap rari ya na ina fuan, ya faparits ratuari na ina fuan, ya koo ratuari na ina fuan a Mes. 
GEN.5.3	E Adam te kaakaa sa onots sen natus an fopis saafunu na ingainy, sa ruak iny taman a isen a guei te senviir faarei non ya. Sai Adam koo ya, e Set. 
GEN.5.4	Voun e Set te agir ya, ai Adam kaakaa to sa onots pis jian natus a ingainy, sa ka pis men guei tsoiny an guei moun. 
GEN.5.5	E Adam te kaakaa sa onots sian natus an fopis saafunu na ingainy, ya mat to.
GEN.5.6	Set te kaakaa sa onots sen natus ana ngim a ingainy sa ruak iny taman a isen a guei tsoiny e Enos. 
