GEN.1.1	U početku stvori Bog nebo i zemlju. 
GEN.1.2	Međutim, zemlja je bila pusta i bezoblična, i tama se prostirala nad bezdanom, a Duh Božiji je lebdeo nad vodama.
GEN.1.3	Tada reče Bog: „Neka bude svetlost!“ I postade svetlost. 
GEN.1.4	Bog je video da je svetlost dobra, pa je razdelio svetlost od tame. 
GEN.1.5	Svetlost je Bog nazvao „dan“, a tamu je nazvao „noć“. Prođe veče, svanu jutro – dan prvi.
GEN.1.6	Zatim reče Bog: „Neka se prostre svod posred voda da deli 
GEN.1.7	Bog načini svod, te odvoji vode pod svodom od voda nad svodom. Tako se i zbilo. 
GEN.1.8	Svod nazva Bog „nebo“. Prođe veče, svanu jutro – dan drugi.
GEN.1.9	Zatim reče Bog: „Vode pod svodom neka se saberu na jedno mesto i neka se pokaže kopno!“ Tako se i zbilo. 
GEN.1.10	Kopno je Bog nazvao „zemlja“, a vodena zborišta „more“. Vide Bog da je to dobro.
GEN.1.11	Zatim reče Bog: „Neka iz zemlje nikne bilje: ono koje u sebi nosi zrnevlje i drveta koja rađaju plod; sve bilje koje, svako prema svojoj vrsti, rađa na zemlji, i u sebi nosi svoje seme!“ Tako se i zbilo. 
GEN.1.12	Iz zemlje iznikne bilje koje u sebi nosi zrnevlje, svako prema svojoj vrsti i drveta koja rađaju plodove sa semenom, svako prema svojoj vrsti. Vide Bog da je to dobro. 
GEN.1.13	Prođe veče, svanu jutro – dan treći.
GEN.1.14	Zatim reče Bog: „Neka budu svetila na nebeskom svodu da dele dan od noći, i da označavaju utvrđena doba, dane i godine, 
GEN.1.15	te da svetle na nebeskom svodu osvetljavajući zemlju!“ Tako se i zbilo. 
GEN.1.16	Bog je stvorio dva velika svetila: veće svetilo da upravlja danom i manje svetilo da upravlja noću – i zvezde. 
GEN.1.17	Bog ih je postavio na nebeski svod da osvetljavaju zemlju, 
GEN.1.18	da upravljaju danom i noći i da dele svetlo od tame. Vide Bog da je to dobro. 
GEN.1.19	Prođe veče, svanu jutro – dan četvrti.
GEN.1.20	Zatim reče Bog: „Neka provrve vodom živa bića, i ptice nek polete nad zemljom po nebeskom svodu!“ 
GEN.1.21	Bog je stvorio i morske nemani i svakojaka živa bića što se kreću i vrve u vodi, te sve ptice krilate po svojim vrstama. Vide Bog da je to dobro. 
GEN.1.22	Bog ih blagoslovi govoreći: „Plodite se i množite i napunite morske vode! Tako i ptice neka se namnože na zemlji!“ 
GEN.1.23	Prođe veče, svanu jutro – dan peti.
GEN.1.24	Zatim reče Bog: „Neka zemlja proizvede živa bića, svako prema svojoj vrsti: stoku, gmizavce i divlje životinje svake vrste!“ Tako se i zbilo. 
GEN.1.25	Bog stvori svakovrsne divlje životinje, svakovrsnu stoku i svakovrsne gmizavce što puze po zemlji. Vide Bog da je to dobro.
GEN.1.26	Zatim reče Bog: „Načinimo čoveka
GEN.1.27	Tako stvori Bog čoveka po svom liku,
GEN.1.27	po Božijem liku ga stvori,
GEN.1.27	stvori ih – muško i žensko.
GEN.1.28	I blagoslovi ih Bog govoreći: „Plodite se i množite se i napunite zemlju! Podložite je sebi i vladajte ribama morskim, pticama na nebu i svim živim bićima što puze po zemlji!“
GEN.1.29	Zatim reče Bog: „Evo, dajem vam za hranu sve bilje na zemlji što u sebi nosi zrnevlje
GEN.1.30	A divljim životinjama na zemlji, pticama u vazduhu i gmizavcima što puze po zemlji u kojima je dah života – dajem za hranu sve zeleno bilje.“ Tako se i zbilo.
GEN.1.31	Bog pogleda sve što je stvorio i sve je bilo veoma dobro. Prođe veče, svanu jutro – dan šesti.
GEN.2.1	Tako je dovršeno nebo i zemlja sa svim svojim mnoštvom.
GEN.2.3	Tada je Bog blagoslovio sedmi dan i posvetio ga, jer je do tog dana dovršio stvaranje svih svojih dela koja je stvorio.
GEN.2.4	To je izveštaj o poreklu neba i zemlje kad su bili stvoreni.
