MAT.1.1	Detta är förfäderna till Jesus Kristus
MAT.1.2	Abraham, Isak, Jakob (pappa till Juda och hans bröder), 
MAT.1.3	Juda, Peres (tvillingbror till Serach, mamman hette Tamar), Hesron, 
MAT.1.4	Ram, Amminadav, Nachshon, 
MAT.1.5	Salma, Boas (mamman hette Rachav), Oved (mamman hette Rut), Jishaj (pappa till kung David), 
MAT.1.6	Salomo (mamman hette Batsheba, änka efter Uria), 
MAT.1.7	Rehabeam, Avia, Asa, 
MAT.1.8	Joshafat, Joram, Ussia, 
MAT.1.9	Jotam, Achas, Hiskia, 
MAT.1.10	Manasse, Amon, 
MAT.1.11	Josia (pappa till Jojakin och hans bröder, som föddes vid den tid då folket fördes bort i fångenskap till Babylon), Jojakin.
MAT.1.12	Efter bortförandet till Babylon: Shealtiel, Serubbabel, 
MAT.1.13	Avihud, Eljakim, Asor, 
MAT.1.14	Sadok, Akim, Elihud, 
MAT.1.15	Elasar, Mattan, Jakob, 
MAT.1.16	och Josef. Josef var Marias man, och hon var mamma till Jesus Kristus.
MAT.1.17	Dessa personer utgör 14 släktled från Abraham fram till kung David, 14 släktled från kung David fram till bortförandet till Babylon och 14 släktled från bortförandet till Babylon fram till Jesus Kristus.
MAT.1.18	När Jesus Kristus föddes gick det till så här: Hans mamma Maria var förlovad och skulle gifta sig med Josef. Men redan innan de gift sig blev hon med barn genom Guds heliga Ande.
MAT.1.19	Josef, hennes blivande man, såg då ingen annan utväg än att i tysthet bryta förlovningen. Han ville leva efter Guds bud men ändå inte skämma ut Maria offentligt.
MAT.1.20	Ängeln sa: "Josef, du ättling till kung David, tveka inte att gifta dig med Maria, för barnet hon bär har blivit till genom Guds heliga Ande. 
MAT.1.21	Hon ska få en son, och du ska låta honom heta Jesus, för han ska rädda sitt folk från deras synder.
MAT.1.22	Genom detta blev det som Gud förutsagt genom profeten Jesaja verklighet: 
MAT.1.23	'Lyssna! Den unga flickan ska bli med barn och föda en son, och man ska kalla honom Immanuel (det betyder "Gud är med oss").'
MAT.1.24	När Josef vaknade gjorde han som ängeln hade befallt och gifte sig med Maria, 
MAT.1.25	men de hade inget sexuellt samliv förrän sonen hade fötts. Och Josef lät honom heta Jesus.
MAT.2.1	Jesus föddes i staden Betlehem i Judeen under kung Herodes regeringstid. Och efter ett tag kom några österländska stjärntydare till Jerusalem och frågade: 
MAT.2.2	"Var finns judarnas nyfödda kung? Vi har sett hans stjärna gå upp i vårt eget land och har kommit för att hylla honom."
MAT.2.3	Kung Herodes blev alldeles skräckslagen av deras fråga, och hela Jerusalem började surra av rykten. 
MAT.2.4	Han kallade därför samman folkets överstepräster och laglärare
MAT.2.5	"I Betlehem i Judeen", svarade de, "för Gud har sagt genom det som profeten Mika skrev: 
MAT.2.6	'Du Betlehem i Judas land, du är inte alls någon obetydlig stad, för en härskare ska komma från dig, en som blir en herde för mitt folk Israel.
MAT.2.7	Då kallade Herodes i hemlighet till sig stjärntydarna igen, och vid det mötet lyckades han få reda på den exakta tidpunkten då de först hade sett stjärnan. Han sa till dem: 
MAT.2.8	"Res till Betlehem och leta efter barnet. Och när ni har hittat det, kom då tillbaka och tala om det för mig, så att jag också kan resa dit och hylla det."
MAT.2.9	Efter samtalet med kungen gav stjärntydarna sig iväg, och då visade sig den stjärna igen som de hade sett gå upp i deras eget land. Den gick före dem tills den stannade över det ställe där barnet fanns i Betlehem
MAT.2.10	Stjärntydarna blev mycket glada då de fick se stjärnan, 
MAT.2.11	och de gick in i huset och fann barnet och hans mamma, Maria. Där föll de ner på knä för honom och hyllade honom. Sedan tog de fram sina kistor och gav barnet gåvor. Det var guld, rökelse och myrra
MAT.2.12	Men när de skulle återvända till sitt eget land reste de aldrig genom Jerusalem för att rapportera till kung Herodes. Gud hade varnat dem genom en dröm, och därför tog de en annan väg.
MAT.2.13	När stjärntydarna hade rest sin väg visade sig en Herrens ängel i en dröm för Josef. Ängeln sa: "Stig upp och fly till Egypten med barnet och hans mamma och stanna där tills jag säger till, för kung Herodes kommer att leta efter barnet och försöka döda det."
MAT.2.14	Medan det fortfarande var natt gav sig Josef därför iväg till Egypten tillsammans med Maria och barnet, 
MAT.2.15	och de stannade där tills kung Herodes hade dött. Genom detta blev det verklighet som Gud förutsagt genom profeten Hosea: "Jag har fört min son ut ur Egypten."
MAT.2.16	Herodes blev rasande när han förstod att stjärntydarna hade lurat honom. Och han skickade soldater till Betlehem med order om att döda alla pojkar som var två år eller yngre, både i staden och på landsbygden runt omkring. Detta eftersom stjärntydarna hade sagt att stjärnan första gången hade visat sig för dem två år tidigare. 
MAT.2.17	Genom Herodes grymma handling blev det verklighet som Gud förutsagt genom profeten Jeremia: 
MAT.2.18	"Ett rop hörs i Rama, gråt och högljudd klagan. Rakel gråter över sina barn och låter sig inte tröstas, för de finns inte mer."
MAT.2.19	När Herodes hade dött visade sig en Herrens ängel i en dröm för Josef i Egypten och sa till honom: 
MAT.2.20	"Gör dig klar, ta med dig barnet och hans mamma och res tillbaka till Israels land, för de som försökte döda barnet är döda."
MAT.2.21	Josef återvände då genast till sitt eget land med Maria och barnet. 
MAT.2.22	Men på vägen tillbaka blev han rädd, eftersom han fick veta att Herodes son, Archelaos, nu hade blivit kung i Judeen. I en annan dröm blev han därför uppmanad att resa till Galileen, 
MAT.2.23	där familjen bosatte sig i staden Nasaret. Genom detta blev det verklighet som Gud förutsagt om Jesus genom profeterna: "Han ska kallas nasaré."
MAT.3.1	Lite senare började Johannes döparen undervisa ute i den judiska ödemarken. Och hans budskap var: 
MAT.3.2	"Lämna synden och vänd om till Gud, för han har kommit för att rädda människor och göra dem till sitt eget folk!
MAT.3.3	Det var honom Gud talade om genom profeten Jesaja, när han sa: "En röst ropar i ödemarken: 'Bana väg för Herren! Gör stigarna raka för honom!
MAT.3.4	Johannes hade kläder som var gjorda av kamelhår, och han hade ett läderbälte runt midjan. Den mat han åt var gräshoppor och vildhonung. 
MAT.3.5	Folk från Jerusalem, från alla delar av Judeen och från hela Jordandalen kom ut i ödemarken för att höra honom tala, 
MAT.3.6	och när de hade bekänt sina synder döpte han dem i Jordanfloden.
MAT.3.7	Men när Johannes såg att många fariseer och saddukeer
MAT.3.8	Nej, först måste ni bevisa att ni vänt er bort från synden genom att göra det som är rätt. 
MAT.3.9	Inbilla er inte att ni kan komma undan. Tänk inte: 'Vi är trygga, för vi är judar och Abraham är vår stamfar.' Jag försäkrar er att det inte hjälper. Gud kan förvandla de här stenarna till judar! 
MAT.3.10	Domen hänger över er, yxan har redan börjat hugga i trädstammarna. Varje träd som inte bär god frukt ska huggas ner och kastas i elden!
MAT.3.11	Den som erkänner sina synder och vänder om till Gud, honom döper jag med vatten. Men det ska komma en som är större än jag. Han är så mäktig att jag inte ens är värdig att ta av honom hans sandaler!
MAT.3.12	Det är han som ska döma världen. Han står färdig att skilja de onda människorna från dem som följer Guds vilja, på samma sätt som bonden skiljer agnarna från vetet. Och sedan han har rensat upp på tröskplatsen, ska han samla vetet i ladan, men agnarna ska han bränna upp i en eld som aldrig slocknar."
MAT.3.13	Jesus lämnade nu Galileen och kom till Jordanfloden för att bli döpt av Johannes, 
MAT.3.14	Han sa: "Det kan inte vara riktigt. Egentligen borde jag bli döpt av dig." 
MAT.3.15	Men Jesus svarade: "Gör det i alla fall, för vi måste göra allt som Gud vill." Och då döpte Johannes honom.
MAT.3.16	När Jesus hade blivit döpt, steg han genast upp ur vattnet. Då öppnade sig himlen och han
MAT.3.17	Och en röst från himlen sa:
MAT.3.17	 "Detta är min älskade Son, han är min glädje."
MAT.4.1	Sedan fördes Jesus ut i ödemarken av Guds Ande för att djävulen skulle fresta honom. 
MAT.4.2	Under 40 dagar och 40 nätter åt han ingenting, och han blev till slut hungrig. 
MAT.4.3	Då kom djävulen fram till honom och sa: "Gör bröd av de här stenarna, om du nu är Guds Son!" 
MAT.4.4	Men Jesus sa till honom: "Nej! Det står i Skriften
MAT.4.5	Sedan tog djävulen honom med till Guds stad, Jerusalem, och ställde honom högst uppe på tempelmuren, 
MAT.4.6	och sa: "Hoppa ner, om du nu är Guds Son! Det står ju i Skriften: 'Gud ska befalla sina änglar att skydda dig. De ska bära dig på sina händer, så att du inte skadar dig mot någon sten.
MAT.4.7	Men Jesus svarade honom: "Det står också i Skriften: 'Du ska inte sätta Herren, din Gud, på prov.
MAT.4.8	Efter det tog djävulen med honom upp till toppen av ett mycket högt berg och visade honom världens alla länder och deras härlighet. 
MAT.4.9	"Allt detta ska jag ge dig ", sa han, "om du bara faller ner och tillber mig."
MAT.4.10	"Försvinn, Satan", svarade Jesus honom. "Det står ju i Skriften: 'Det är Herren, din Gud, du ska tillbe, och bara honom du ska tjäna.
MAT.4.11	Då lät djävulen honom vara, och änglar kom till Jesus för att betjäna honom.
MAT.4.12+MAT.4.13	När Jesus hörde att Johannes hade blivit fängslad, lämnade han Judeen och återvände till Galileen. Men han slog sig inte ner i sin hemstad Nasaret, utan flyttade till Kafarnaum vid Galileiska sjön, nära det område där de båda stammarna Sebulon och Naftali levde. 
MAT.4.14	Genom detta blev det verklighet som Gud förutsagt genom profeten Jesaja:
MAT.4.15	"Sebulons land och Naftalis land utmed sjön, området bortom floden Jordan, övre Galileen med dess många olika folk - 
MAT.4.16	dessa människor som bodde där i mörkret fick se ett stort ljus. De levde i dödens land, men ett strålande ljus gick upp över dem."
MAT.4.17	Från och med nu började Jesus tala till folket och säga: "Lämna synden och vänd om till Gud, för han har kommit för att rädda människor och göra dem till sitt eget folk!
MAT.4.18	En dag när han vandrade längs Galileiska sjön fick han se två bröder: Simon, som kallas Petrus, och Andreas. De höll på att kasta ut nät i sjön, för de var fiskare.
MAT.4.19	Jesus ropade till dem: "Kom och bli mina efterföljare, så ska jag visa er hur man fiskar människor istället!" 
MAT.4.20	Och de lämnade genast sina nät och följde honom.
MAT.4.21	När han gick vidare fick han se två andra bröder, Jakob och Johannes, sitta i en båt tillsammans med sin pappa Sebedaios och göra i ordning sina nät. Han ropade på dem också, och 
MAT.4.22	genast lämnade de båten och sin pappa och följde honom.
MAT.4.23	Jesus vandrade nu omkring i hela Galileen och undervisade i synagogorna
