PRO.1.1	Detta är ordspråk 
PRO.1.1	av Israels kung Salomo, Davids son.
PRO.1.2	De ger visdom och undervisning 
PRO.1.2	De gör att man ska förstå 
PRO.1.3	De ger undervisning om hur man agerar med vishet 
PRO.1.3	rättfärdighet 
PRO.1.3	rättvisa 
PRO.1.3	integritet 
PRO.1.4	De ger:
PRO.1.4	den oerfarne 
PRO.1.4	den unge kunskap för att planera sitt liv 
PRO.1.5	Men även den som redan är vis kan lyssna och ta till sig mer kunskap.
PRO.1.5	En förståndig människa tar till sig goda 
PRO.1.6	De gör att man kan förstå 
PRO.1.6	de visas ord och talesätt.
PRO.1.7	Att i vördnadsfull tillbedjan frukta Herren är början till 
PRO.1.7	Bara dårar föraktar visdom och tillrättavisning 
PRO.1.8	Min son 
PRO.1.8	förkasta 
PRO.1.9	För de är som en ljuvlig krans av favör 
PRO.1.9	och som en kedja runt din hals 
PRO.1.10	Min son 
PRO.1.10	följ inte med dem 
PRO.1.11	Om de säger:
PRO.1.11	”Kom med oss,
PRO.1.11	vi ska överfalla oskyldiga utan orsak.
PRO.1.12	Låt oss sluka dem levande, som Sheol 
PRO.1.12	fast de är mitt i livet får de sänkas ner i graven.
PRO.1.13	Vi letar upp allt av värde
PRO.1.13	och vi fyller våra hus med stöldgods.
PRO.1.14	Bli en av oss,
PRO.1.14	vi delar allt 
PRO.1.15	Min son 
PRO.1.15	avhåll din fot ifrån deras stig.
PRO.1.16	För deras fötter skyndar till allt vad ont är,
PRO.1.16	de är kvicka att utgjuta blod.
PRO.1.17	För visst är det lönlöst att breda ut 
PRO.1.17	inför ögonen på en fågel.
PRO.1.18	Det är precis vad de gör, de sätter upp en fälla för andra,
PRO.1.18	men det är deras egen undergång de förbereder.
PRO.1.19	Så går det för varje människa som är girig för orätt vinning,
PRO.1.19	livet kommer att tas ifrån honom.
PRO.1.20	Visheten går ut på gatan och ropar,
PRO.1.20	på torgen 
PRO.1.21	I stökiga korsningar ropar hon ut,
