GEN.1.1	I början skapade Gud himlarna och jorden.
GEN.1.2	Jorden var öde och tom, mörker låg över djupet, och Guds Ande
GEN.1.3	Gud sa: ”Ljus, bli till!” Då blev det ljust. 
GEN.1.4	Gud såg att ljuset var gott och skilde det från mörkret. 
GEN.1.5	Han kallade ljuset dag, och mörkret kallade han natt. Det blev kväll och det blev morgon. Det var den första dagen
GEN.1.6	Gud sa: ”Vattnet ska dela sig för att forma himlavalvet där uppe och haven där nere.” 
GEN.1.7	Gud skapade på så sätt himlavalvet, och skilde vattnet ovanför från vattnet nedanför. Det blev så. 
GEN.1.8	Gud kallade valvet himmel. Det blev kväll och det blev morgon. Det var den andra dagen.
GEN.1.9	Sedan sa Gud: ”Vattnet under himlen ska samlas till en enda plats, så att torrt land kommer fram.” Det blev så, 
GEN.1.10	och Gud kallade det torra jord, och vattnet kallade han hav. Gud såg att det var gott. 
GEN.1.11	Gud sa: ”Jorden ska producera grönska: det ska växa fram alla slags fröbärande växter och fruktträd med kärnor i frukten.” Det blev så. 
GEN.1.12	Jorden grönskade: det växte fram fröbärande växter och träd, allt efter sina respektive sorter
GEN.1.13	Det blev kväll och det blev morgon. Det var den tredje dagen.
GEN.1.14	Gud sa: ”Det ska bli ljus på himlen som ska skilja dagen från natten. De ska bestämma tiderna på jorden och utmärka dagarna och åren. 
GEN.1.15	De ska vara ljus på himlen som lyser över jorden.” Det blev så. 
GEN.1.16	Gud skapade två stora ljus
GEN.1.17	Gud placerade dem alla på himlen för att lysa upp jorden, 
GEN.1.18	härska över dagen och natten och skilja ljuset från mörkret. Gud såg att det var gott. 
GEN.1.19	Det blev kväll och det blev morgon. Det var den fjärde dagen.
GEN.1.20	Gud sa: ”Vattnet ska vimla av levande varelser och fåglar flyga under himlavalvet över marken.” 
GEN.1.21	Gud skapade de stora havsdjuren efter sina sorter, likaså alla levande varelser som vattnen vimlar av och fåglar av alla slag. Gud såg att det var gott. 
GEN.1.22	Han välsignade dem och sa: ”Var fruktsamma och föröka er och fyll haven! Fåglarna ska också föröka sig och uppfylla jorden.” 
GEN.1.23	Det blev kväll och det blev morgon. Det var den femte dagen.
GEN.1.24	Gud sa: ”Jorden ska bära fram djur av alla slag, boskap, kräldjur och vilda djur.” Det blev så. 
GEN.1.25	Gud skapade alla slags vilda djur och boskap och kräldjur, och Gud såg att det var gott.
GEN.1.26	Sedan sa Gud: ”Vi ska göra människor till vår avbild, lika oss själva. De ska härska över fiskarna i havet och fåglarna i luften och boskapen, över hela jorden, och alla kräldjuren på jorden.”
GEN.1.27	Och Gud skapade människan till sin egen avbild,
GEN.1.27	lik sig själv skapade Gud människan,
GEN.1.27	till man och kvinna skapade han dem.
GEN.1.28	Gud välsignade dem och sa: ”Var fruktsamma och föröka er, uppfyll jorden och lägg den under er! Härska över fiskarna, fåglarna och alla djur som rör sig på jorden!” 
GEN.1.29	Gud sa: ”Jag ger er de fröbärande växterna på hela jorden och alla fruktträden med frö i sin frukt. De ska vara er mat. 
GEN.1.30	Åt markens djur, himlens fåglar, alla kräldjur på marken, och åt allt som lever ger jag alla gröna växter som föda.” Det blev så. 
GEN.1.31	Sedan såg Gud att allt som han hade skapat var mycket gott. Det blev kväll och det blev morgon. Det var den sjätte dagen.
GEN.2.1	Så blev himlen och jorden fullständiga med hela sin härskara. 
GEN.2.2	Gud avslutade på den sjunde dagen det verk han hade fullbordat och han vilade på den sjunde dagen från allt det verk han hade skapat. 
GEN.2.3	Gud välsignade denna sjunde dag och gjorde den helig, eftersom han denna dag vilade efter sitt skapelseverk.
GEN.2.4	Här följer berättelsen
GEN.2.5	Först fanns det inga buskar och ingen ört hade spirat på jorden, för 
GEN.2.6	men vatten bröt fram ur marken och vattnade jorden.
GEN.2.7	Då formade 
GEN.2.10	En flod rann upp i Eden. Den bevattnade trädgården och delade sig sedan i fyra floder. 
GEN.2.11	Den första heter Pishon, och den flyter runt hela Havilas land, där det finns guld. 
GEN.2.12	Det landets guld är gott och där finns också harts och onyxsten. 
GEN.2.13	Den andra floden kallas Gichon och flyter omkring hela landet Kush. 
GEN.2.14	Den tredje floden heter Tigris
GEN.2.16	Och 
GEN.2.17	utom av trädet som ger kunskap om gott och ont. Den dag
GEN.2.18	Sedan sa 
GEN.2.19	 Gud hade format markens djur och alla slags fåglar av jord och förde dem nu till mannen för att se vad han skulle kalla de levande varelserna och det han kallade dem fick de heta. 
GEN.2.20	Så gav han alltså namn åt all boskap, alla himlens fåglar och alla vilda djur. Men fortfarande fanns det ingen lämplig hjälp för Adam
GEN.2.21	 Gud lät då mannen falla i djup sömn och medan han sov, tog han ut ett av hans revben och slöt till stället där han hade tagit ut det med kött. 
GEN.2.22	Och 
GEN.2.23	Adam sa:
GEN.2.23	”Hon är mitt eget kött och mina egna ben!
GEN.2.23	Hon är tagen ur en man,
GEN.2.23	och hon ska kallas kvinna
GEN.2.24	Det är därför en man lämnar sin far och mor och håller sig till sin hustru, så att de blir ett kött.
GEN.2.25	Mannen och hans hustru var nakna, och de var inte blyga för varandra.
GEN.3.1	Ormen var det listigaste av alla vilda djur som 
GEN.3.2	”Vi får äta frukt av träden”, svarade kvinnan. 
GEN.3.3	”Det är bara av trädet mitt i trädgården som vi inte får äta. Gud har sagt att vi inte får äta eller ens röra dess frukt, för då kommer vi att dö.” 
GEN.3.4	Ormen svarade: ”Ni kommer visst inte att dö! 
GEN.3.5	Gud vet att den dag ni äter av frukten kommer era ögon att öppnas och ni blir som Gud
GEN.3.6	Kvinnan såg att trädet var gott att äta av, och det var vackert och lockande, eftersom det gav vishet. Hon åt av frukten och gav också till sin man, som var med henne, och han åt. 
GEN.3.7	Då öppnades deras ögon, och de insåg att de var nakna. Därför band de ihop fikonlöv runt höfterna för att skyla sig.
GEN.3.8	När de den kvällen, i den svala kvällsvinden, hörde 
GEN.3.9	 Gud ropade till Adam: ”Adam, var är du?” 
GEN.3.10	Adam svarade: ”Jag hörde dig i trädgården, och blev rädd eftersom jag är naken. Därför gömde jag mig.” 
GEN.3.11	”Vem har talat om för dig att du är naken?” frågade Gud. ”Har du ätit av frukten från trädet som jag förbjöd dig att äta av?” 
GEN.3.12	Adam svarade: ”Kvinnan, som jag fick av dig, gav mig av trädet, och jag åt.”
GEN.3.13	Då sa 
GEN.3.14	 Gud sa till ormen: ”Eftersom du gjorde detta,
GEN.3.14	ska du vara förbannad
GEN.3.14	och skild från alla husdjur
GEN.3.14	och vilda djur på hela jorden.
GEN.3.14	På din buk ska du kräla
GEN.3.14	och jord ska du äta så länge du lever.
GEN.3.15	Jag ska sätta fiendskap
GEN.3.15	mellan dig och kvinnan
GEN.3.15	och mellan din avkomma
GEN.3.15	Han kommer att krossa ditt huvud,
GEN.3.15	och du kommer att hugga
GEN.3.16	Till kvinnan sa han:
GEN.3.16	”Din möda under havandeskapet ska jag göra stor.
GEN.3.16	Du kommer att föda barn under smärta.
GEN.3.16	Du kommer att åtrå din man,
GEN.3.16	och han kommer att råda över dig.”
GEN.3.17	Till Adam sa han: ”Eftersom du lyssnade till din hustru och åt av trädet, fast jag förbjudit dig och sagt att du inte fick,
GEN.3.17	låter jag en förbannelse vila över marken för din skull.
GEN.3.17	Hela ditt liv kommer du att få skaffa ditt uppehälle med möda.
GEN.3.18	Marken ska ge dig tistlar och törnen,
GEN.3.18	och du ska äta dess växter.
GEN.3.19	Hela livet ända tills du dör
GEN.3.19	kommer du att få svettas och kämpa för ditt bröd.
GEN.3.19	Sedan kommer du att återvända
GEN.3.19	till den jord du kommit ifrån,
GEN.3.19	för du formades av jord,
GEN.3.19	och jord ska du en gång åter bli.”
GEN.3.20	Mannen kallade sin hustru Eva
GEN.3.21	Och 
GEN.3.23	Därför visade 
GEN.3.24	Herren drev ut människan och öster om Edens trädgård placerade han keruberna
GEN.4.1	Adam låg med sin hustru Eva, och hon blev gravid och födde en son som fick namnet Kain
GEN.4.2	Hennes nästa barn var Abel, Kains bror. Abel blev herde, medan Kain blev lantbrukare. 
GEN.4.3	En gång kom Kain med en del av sin skörd av frukt som offergåva till 
GEN.4.4	Också Abel kom med de feta köttstyckena från sina förstfödda lamm. 
GEN.4.5	men inte på Kain och hans offer. Detta gjorde Kain vred, och han sänkte blicken.
GEN.4.6	”Varför är du så vred?” frågade 
GEN.4.7	Om du gör rätt är du ju accepterad, men om du inte gör rätt, lurar synden vid dörren. Synden åtrår dig, men du ska råda över den!”
GEN.4.8	Kain föreslog sin bror att de skulle gå ut på fälten tillsammans
