GEN.1.2	Wakati huu dunia ilikuwa haina umbo, tena ilikuwa tupu. Giza lilikuwa juu ya uso wa vilindi vya maji, naye Roho wa Mungu alikuwa ametulia juu ya maji.
GEN.1.4	Mungu akaona ya kuwa nuru ni njema, ndipo Mungu akatenganisha nuru na giza. 
GEN.1.5	Mungu akaiita nuru “mchana,” na giza akaliita “usiku.” Ikawa jioni, ikawa asubuhi, siku ya kwanza.
GEN.1.7	Kwa hiyo Mungu akafanya nafasi, akatenganisha maji yaliyo chini ya hiyo nafasi na maji yaliyo juu yake. Ikawa hivyo. 
GEN.1.8	Mungu akaiita hiyo nafasi “anga.” Ikawa jioni, ikawa asubuhi, siku ya pili.
GEN.1.9	Mungu akasema, “Maji yaliyopo chini ya anga na yakusanyike mahali pamoja, pawepo na nchi kavu.” Ikawa hivyo. 
GEN.1.10	Mungu akaiita nchi kavu “ardhi,” nalo lile kusanyiko la maji akaliita “bahari.” Mungu akaona kuwa ni vyema.
GEN.1.12	Ardhi ikachipua mimea: Mimea itoayo mbegu kulingana na aina zake, na miti itoayo matunda yenye mbegu kulingana na aina zake. Mungu akaona ya kuwa hili ni jema. 
GEN.1.13	Ikawa jioni, ikawa asubuhi, siku ya tatu.
GEN.1.15	nayo iwe mianga kwenye nafasi ya anga ya kutia nuru juu ya dunia.” Ikawa hivyo. 
GEN.1.16	Mungu akafanya mianga miwili mikubwa: mwanga mkubwa utawale mchana, na mwanga mdogo utawale usiku. Pia Mungu akafanya nyota. 
GEN.1.17	Mungu akaiweka katika nafasi ya anga iangaze dunia, 
GEN.1.18	itawale usiku na mchana, na ikatenganishe nuru na giza. Mungu akaona kuwa hili ni jema. 
GEN.1.19	Ikawa jioni, ikawa asubuhi, siku ya nne.
GEN.1.21	Kwa hiyo Mungu akaumba viumbe wakubwa wa baharini na kila kiumbe hai kiendacho majini kulingana na aina zake, na kila ndege mwenye mabawa kulingana na aina yake. Mungu akaona kuwa hili ni jema. 
GEN.1.22	Mungu akavibariki, akasema, “Zaeni mwongezeke, mkayajaze maji ya bahari, nao ndege waongezeke katika dunia.” 
GEN.1.23	Ikawa jioni, ikawa asubuhi, siku ya tano.
GEN.1.25	Mungu akafanya wanyama pori kulingana na aina zake, wanyama wa kufugwa kulingana na aina zake, na viumbe vyote vitambaavyo juu ya ardhi kulingana na aina zake. Mungu akaona kuwa hili ni jema.
GEN.1.27	kwa mfano wa Mungu alimuumba;
GEN.1.27	mwanaume na mwanamke aliwaumba.
GEN.1.30	Nao wanyama wote wa dunia, ndege wote wa angani, na viumbe vyote viendavyo juu ya ardhi: yaani kila kiumbe chenye pumzi ya uhai, ninawapa kila mche wa kijani kuwa chakula.” Ikawa hivyo.
GEN.2.3	Mungu akaibariki siku ya saba akaifanya takatifu, kwa sababu katika siku hiyo alipumzika kutoka kazi zote za kuumba alizokuwa amefanya.
GEN.2.5	hapakuwepo na mche wa shambani uliokuwa umejitokeza ardhini, wala hapakuwepo na mmea wa shamba uliokuwa umeota, kwa kuwa 
GEN.2.6	lakini umande ulitokeza kutoka ardhini na kunyesha uso wote wa nchi: 
GEN.2.7	 Mungu alimuumba mtu kutoka mavumbi
GEN.2.9	 Mungu akafanya aina zote za miti ziote kutoka ardhini, miti yenye kupendeza macho na mizuri kwa chakula. Katikati ya bustani ulikuwepo mti wa uzima na mti wa kujua mema na mabaya.
GEN.2.11	Mto wa kwanza uliitwa Pishoni, nao huzunguka nchi yote ya Havila ambako kuna dhahabu. 
GEN.2.12	(Dhahabu ya nchi hiyo ni nzuri, bedola na vito shohamu pia hupatikana huko.) 
GEN.2.13	Jina la mto wa pili ni Gihoni, ambao huzunguka nchi yote ya Kushi. 
GEN.2.14	Jina la mto wa tatu ni Tigrisi, unaopita mashariki ya Ashuru. Mto wa nne ni Frati.
GEN.2.16	 Mungu akamwagiza huyo mtu, akamwambia, “Uko huru kula matunda ya mti wowote katika bustani, 
GEN.2.17	lakini kamwe usile matunda ya mti wa kujua mema na mabaya, kwa maana siku utakapokula matunda yake, hakika utakufa.”
GEN.2.20	Hivyo Adamu akawapa majina wanyama wote wa kufugwa, ndege wa angani, na wanyama wote wa porini.
GEN.2.20	Lakini kwa Adamu hakupatikana msaidizi wa kumfaa. 
GEN.2.21	Hivyo 
GEN.2.22	Kisha 
GEN.2.23	“Huyu sasa ni mfupa wa mifupa yangu
GEN.2.23	na nyama ya nyama yangu,
GEN.2.23	ataitwa ‘mwanamke,’
GEN.2.23	kwa kuwa alitolewa katika mwanaume.”
GEN.3.3	lakini Mungu alisema, ‘Kamwe msile tunda la mti ulio katikati ya bustani, wala kuugusa, la sivyo mtakufa.’ ”
GEN.3.5	Kwa maana Mungu anajua ya kuwa wakati mtakapoyala, macho yenu yatafumbuliwa, nanyi mtakuwa kama Mungu, mkijua mema na mabaya.”
GEN.3.7	Ndipo macho yao wote wawili yakafumbuliwa, wakajiona kwamba walikuwa uchi; hivyo wakashona majani ya mtini, wakajifunika.
GEN.3.9	Lakini 
GEN.3.14	“Umelaaniwa kuliko wanyama wote
GEN.3.14	wa kufugwa na wa porini!
GEN.3.14	Utatambaa kwa tumbo lako
GEN.3.14	na kula mavumbi
GEN.3.14	siku zote za maisha yako.
GEN.3.15	kati yako na huyo mwanamke,
