MAT.1.1	Магьа Ибрагьимдин наслиан вуйи, Давудрин тухмиан вуйи Месигь Исайин ата-бабйир:
MAT.1.2	Ибрагьимдиз Исакь кӏуру бай гъахьну, Исакьдиз Якьуб, Якьубдиз Ягьудана дугъан чвйир гъахьну;
MAT.1.3	Ягьудайиз Тамар кӏуру хпирикан Перецна Зерагь гъахьну, Перецдиз Гьецрон, Гьецрондиз Арам гъахьну; 
MAT.1.4	Арамдиз Амминадаб, Амминадабдиз Нецрон, Нецрондиз Салман гъахьну; 
MAT.1.5	Салмандиз Рагьабдикан Воаз, Воаздиз Рутдикан Обед, Обеддиз Ессе гъахьну; 
MAT.1.6	Ессейиз Ягьудия уьлкейин паччагь гъахьи Давуд гъахьну. Давудриз сифте Урияйихь хьади гъаши хпирикан Сулейман гъахьну; 
MAT.1.7	Сулеймандиз Ригьаб, Ригьабдиз Абия, Абияйиз Аса гъахьну; 
MAT.1.8	Асайиз Юсафат, Юсафатдиз Юрам, Юрамдиз Уззия гъахьну; 
MAT.1.9	Уззияйиз Ятам, Ятамдиз Агьаз, Агьаздиз Гьизкия гъахьну; 
MAT.1.10	Гьизкияйиз Манассей, Манассейиз Амон, Амондиз Яшия гъахьну; 
MAT.1.11	Яшияйиз (жугьдар Вавилондиз адау девриъ) Ехония гъахьну; 
MAT.1.12	Ехонияйиз (Вавилондиз адаъхъан) Шалтиэл, Шалтиэлиз Зеруббабел гъахьну; 
MAT.1.13	Зеруббабелиз Абиуд, Абиуддиз Элияким, Элиякимдиз Азор гъахьну; 
MAT.1.14	Азориз Садок, Садокдиз Агьим, Агьимдиз Элиуд гъахьну; 
MAT.1.15	Элиуддиз Элизар, Элизариз Маттан, Маттандиз Якьуб гъахьну; 
MAT.1.16	Якьубдиз, Месигь Иса гъапӏу Мар’ямдин жилир Юсуф гъахьну. 
MAT.1.17	Гьаму саягъниинди, Ибрагьимдилан гъадабгъну Давудриина гъяйиз йицӏиюкьуб насил, Давудрилан гъадабгъну Вавилондиз адаайиз йицӏиюкьуб насил ва Вавилондиз адаъхъан Исайиина гъяйизра йицӏиюкьуб насил шула.
MAT.1.18	Месигь Иса гьамци бабкан гъахьну: Дугъан дада Мар’ям Юсуфдиз хъирснайи. Мар’ямдик швуваз гъягъяйиз Гирами Рюгьналан бицӏир кади шулу. 
MAT.1.19	Хъасин дугъан жилир гъахьи Юсуфдиз, учв гьялал кас вуди хьпаз лигну, Мар’ямдикан чӏуру аваза ипуз даккунди, чан дирчу лишнар жиниди кьяляхъ апӏуз ккун шулу. 
MAT.1.20	Дугъу гьамциб хиял гъапӏиган, нивкӏукди дугъахьна Агъайин малайик дуфну, гьамци гъапну: «Давудгъярин бай Юсуф! Мар’ям хпирди гъадагъуз гучӏ мапӏан, фицики Дугъак кайи Бицӏир Гирами Рюгьналан ву. 
MAT.1.21	Мар’ямди Бай апӏиди ва Дугъ’ин Иса кӏуру ччвур иливидива, фицики Дугъу Чан халкь гунгьарихьан уьрхиди». 
MAT.1.22	Хъа вари гьаму ляхнар Агъайи Пайгъамбрин мелзналан гъапи исихъайи гафар кӏулиз удучӏвуз тамам духьнайидар ву: 
MAT.1.23	«Магьа, шурак Бицӏир киршди, Бай апӏиди ва Дугъ’ин Эммануил, яна „Ухьухъди Аллагь хъа“, кӏуру ччвур иливиди».
MAT.1.24	Нивкӏ’ан хъиргиган, Юсуфди Агъайин малайикди гъаписи апӏуру, дугъу Мар’ям хпирди гъадагъуру.
MAT.1.25	Амма Мар’ямди чан сарпи Бай апӏайизкьан, Юсуф дугъахь гьучӏври гъахьундар; хъа Бай гъашиган, Дугъ’ин Иса кӏуру ччвур иливуру.
MAT.2.1	Иса Гьирод паччагьдин девриъ Ягьудия уьлкейиъ айи Вифлеем кӏуру шагьриъ бабкан гъахьнийи. Магьа, Ерусалимдиз ригъгьудубчӏвру терефнахъан аьяндрар гъюру. 
MAT.2.2	Дурари гьерхру: «Ягьудияйин паччагь хьуз пну бабкан гъашир нашди? Дугъкан хабар туврайи хяд ригъгьудубчӏвру терефнаъ кабхьну гъябкъюнчуз, ва Дугъаз икрам апӏуз гъафунча».
MAT.2.3	Му гафар гъеерхьган, Гьирод паччагьдик ва Ерусалимдин агьалйирик гъалабулугъ кабхъру. 
MAT.2.4	Думуган Гьиродди, жугьдарин вари аьхюну маллйир ва къанунчйир уч дапӏну, дурарихьан, Месигь наан бабкан духьну ккунир вуйи, – пну, гьерхру.
MAT.2.5	– Ягьудияйин Вифлеем шагьриъ, – жаваб тувру дурари, – фицики Пайгъамбрин Китабдиъ дибикӏна:
