MAT.1.1	Ñaã nixĩ ga yema nuxcümaxü̃güxü̃ ga duü̃xü̃gü ga Ngechuchu ya Cristu natanüwa ngóxü̃. Rü yematanüwa rü Dabí nixĩ ga wüxi, rü Abráü̃ nixĩ ga to.
MAT.1.2	Rü Abráü̃ rü Ichaánatü nixĩ.
MAT.1.2	Rü nüma ga Ichaá rü Acóbunatü nixĩ.
MAT.1.2	Rü nüma ga Acóbo rü Yudánatü rü naẽneẽgünatü nixĩ.
MAT.1.3	Rü Yudá rü Fárenatü rü Záranatü nixĩ. Rü Támara iyixĩ ga norü mamá.
MAT.1.3	Rü nüma ga Fáre rü Eróü̃natü nixĩ.
MAT.1.3	Rü nüma ga Eróü̃ rü Aráü̃natü nixĩ.
MAT.1.4	Rü Aráü̃ rü Aminadánatü nixĩ.
MAT.1.4	Rü nüma ga Aminadá rü Nachóü̃natü nixĩ.
MAT.1.4	Rü nüma ga Nachóü̃ rü Charmóü̃natü nixĩ.
MAT.1.5	Rü Charmóü̃ rü Boónatü nixĩ, rü Raá iyixĩ ga naẽ.
MAT.1.5	Rü nüma ga Boó rü Obénatü nixĩ, rü nae rü Rux iyixĩ.
MAT.1.5	Rü nüma ga Obé rü Ichaxínatü nixĩ.
MAT.1.6	Rü nüma ga Ichaxí rü ãẽ̱xgacü ga Dabínatü nixĩ.
MAT.1.6	Rü nüma ga ãẽ̱xgacü ga Dabí rü Charomóü̃natü nixĩ. Rü ngima ga Bechabé ga Uría namèxchirẽ́x ixĩcü iyixĩ ga naẽ ga Charomóü̃.
MAT.1.7	Rü Charomóü̃ rü Roboáü̃natü nixĩ.
MAT.1.7	Rü nüma ga Roboáü̃ rü Abíanatü nixĩ.
MAT.1.7	Rü nüma ga Abía rü Achánatü nixĩ.
MAT.1.8	Rü Achá rü Yochapánatü nixĩ.
MAT.1.8	Rü Yochapá rü Yoráü̃natü nixĩ.
MAT.1.8	Rü nüma ga Yoráü̃ rü Uchíanatü nixĩ.
MAT.1.9	Rü Uchía rü Yotáü̃natü nixĩ.
MAT.1.9	Rü Yotáü̃ rü Acánatü nixĩ.
MAT.1.9	Rü nüma ga Acá rü Echequíanatü nixĩ.
MAT.1.10	Rü Echequía rü Manachénatü nixĩ.
MAT.1.10	Rü Manaché rü Amóü̃natü nixĩ.
MAT.1.10	Rü nüma ga Amóü̃ rü Yochíanatü nixĩ.
MAT.1.11	Rü Yochía rü Yeconíanatü rü naẽneẽgünatü nixĩ. Rü yexguma nixĩ ga Babiróniãcü̱̃ã̱x ga churaragü Yudíugüxü̃ íyauxü̃xü̃ rü Babiróniããnewa nagagüãxü̃.
MAT.1.12	Rü yexguma Babiróniãwa Yudíugüxü̃ nagagüguwena, rü Yeconía nane ga Charatíe nabu. Rü nüma ga Charatíe rü Chorobabénatü nixĩ
MAT.1.13	Rü Chorobabé rü Abiúnatü nixĩ.
MAT.1.13	Rü Abiú rü Eriaquíü̃natü nixĩ.
MAT.1.13	Rü nüma ga Eriaquíü̃ rü Achónatü nixĩ.
MAT.1.14	Rü Achó rü Chadóxnatü nixĩ.
MAT.1.14	Rü Chadóx rü Aquíü̃natü nixĩ.
MAT.1.14	Rü nüma ga Aquíu rü Eriúnatü nixĩ.
MAT.1.15	Rü Eriú rü Ereachánatü nixĩ.
MAT.1.15	Rü Ereachá rü Matáü̃natü nixĩ.
