GEN.1.2	Ido ajai akwap atai, komam etiakak; kojai amuton kokuju kaidules; kintkum emoyo loka Edeke kuju akipi.
GEN.1.4	Koany Edeke aica ebe ejokuna; kotiak Edeke aica ka amuton. 
GEN.1.5	Komaik Edeke aica Apaaran, ka amuton da komaik Akuar. Kojau atiboŋ kojau da atupuruc, ŋin ŋes apaaran nasodit.
GEN.1.7	Kosub Edeke apak, kotiak akipi nuajaas kwap kapak, ka akipi nuajaas kuju kapak: kojau kwaŋin. 
GEN.1.8	Komaik Edeke apak Akuj. Kojau atiboŋ kojau da atupuruc, ŋin ŋes apaaran nakiareit.
GEN.1.10	Komaik Edeke neeonit Akwap: ka atukon nuka akipi da komaik Aŋololin: koany Edeke ebe ejokuka. 
GEN.1.11	Kobala Edeke ebe, “Kobwaŋ akwap anya, koraata ikui icok, kora ekitoi loka araito araito koponeke, nuejaas icokokec, kotoma akwap.” Kojaas kwaŋin. 
GEN.1.12	Kobwaŋ akwap anya, koraata ikui icok koponekec, ka ekitoi da loerai araito nuejaas icokokec, kotoma oponeke. Koany Edeke ebe ejokuka. 
GEN.1.13	Kojau atiboŋ kojau da atupuruc, ŋin ŋes apaaran nakiwuniet.
GEN.1.15	Kojaas kesi kanuka aica toma apak naka akuj, acaanakin akwap.” Kojau kwaŋin. 
GEN.1.16	Kosub Edeke luecaete iarei luepolok; aica naepol adepar ayait apaaran, ka aica naepol ayait akuar; kosub aacer da. 
GEN.1.17	Kibwaik Edeke kes apak naka akuj acaanakin akwap, 
GEN.1.18	ayait da apaaran ka akuar, ido aitiak aica ka amuton: koany Edeke ebe ejokuka. 
GEN.1.19	Kojau atiboŋ kojau da atupuruc, ŋin ŋes apaaran nakiwoŋonet.
GEN.1.21	Kosub Edeke itiaŋ lueiliilete luka aŋololin, ka iboro kere lukajarak luelosete, lukilwekete akip, koponesiokec, ka ŋinibore kere yeneporitoi yeneja abebenoka koponeke; koany Edeke ebe ejokuka. 
