GEN.1.1	Дар ибтидо Худо замину осмонро офарид. 
GEN.1.2	Замин бешаклу холӣ буд ва оби уқёнус рӯйи тамоми заминро мепӯшонд. Ҳама ҷоро торикӣ фаро гирифта буд ва Рӯҳи Худо бар рӯйи об парвоз мекард.
GEN.1.3	Худо гуфт: «Рӯшноӣ шавад» ва рӯшноӣ ба вуҷуд омад. 
GEN.1.4	Худо дид, ки рӯшноӣ хуб аст ва онро аз торикӣ ҷудо кард. 
GEN.1.5	Худо рӯшноиро «рӯз» ва торикиро «шаб» номид. Шом омад, субҳ дамид ва ин рӯзи аввал буд.
GEN.1.6	Сипас Худо гуфт: «Байни обҳо фазое бошад, то ки обҳоро аз ҳамдигар ҷудо кунад» 
GEN.1.7	ва ҳамин тавр шуд. Худо фазоро офарид ва оби поини фазоро аз оби болои он ҷудо намуд. 
GEN.1.8	Ӯ фазоро «осмон» номид. Шом омад, субҳ дамид ва ин рӯзи дуюм буд.
GEN.1.9	Худо гуфт: «Оби зери фазо дар як ҷо ҷамъ шаваду хушкӣ намудор гардад» ва ҳамин тавр шуд. 
GEN.1.10	Ӯ хушкиро «замин» ва оби ҷамъшударо «баҳр» номид. Худо дид, ки ин хуб аст.
GEN.1.11	Сипас Худо гуфт: «Замин ҳама гуна наботот, ба мисли растаниҳои тухмидор, инчунин дарахтонеро, ки мувофиқи навъашон меваҳои донадор медиҳанд, бирӯёнад» ва ҳамин тавр ҳам шуд. 
GEN.1.12	Замин наботот, ба мисли растаниҳое, ки мувофиқи навъашон тухмӣ медиҳанд ва дарахтоне, ки мувофиқи намудашон меваҳои донадор ба бор меоранд, рӯёнид. Худо дид, ки ин хуб аст. 
GEN.1.13	Шом омад, субҳ дамид ва ин рӯзи сеюм буд.
GEN.1.14	Баъд Худо гуфт: «Дар фазои осмон нурпошандаҳо бошанд, то ки рӯзро аз шаб ҷудо карда, ҳамчун аломатҳо барои нишон додани фаслу рӯзу сол хизмат кунанд. 
GEN.1.15	Бигзор онҳо аз фазои осмон дурахшида, заминро равшан гардонанд» ва ҳамин тавр шуд. 
GEN.1.16	Худо ду нурпошандаи бузургро офарид: яке бузургтар барои идора намудани рӯз ва дигаре хурдтар барои идора намудани шаб. Ӯ инчунин ситораҳоро офарид. 
GEN.1.17	Худо онҳоро дар фазои осмон гузошт, то ки ба замин рӯшноӣ диҳанд, 
GEN.1.18	шабу рӯзро идора кунанд ва рӯшноиро аз торикӣ ҷудо намоянд. Худо дид, ки ин хуб аст. 
GEN.1.19	Шом омад, субҳ дамид ва ин рӯзи чорум буд.
GEN.1.20	Сипас Худо гуфт: «Об аз ҷонварҳо пур шавад ва парандаҳо дар рӯйи замин дар фазои осмон парвоз кунанд». 
GEN.1.21	Ҳамин тавр Худо ҷонварҳои бузурги баҳрӣ, ҳама намуди ҷонваронеро, ки дар об зиндагиву ҳаракат мекунанд ва ҳама намуди парандаҳои болдорро офарид. Худо дид, ки ин хуб аст. 
GEN.1.22	Ӯ онҳоро баракат дода, гуфт: «Сернасл ва сершумор гардида, оби баҳрҳоро пур кунед. Инчунин парандаҳо дар рӯйи замин зиёд шаванд». 
GEN.1.23	Шом омад, субҳ дамид ва ин рӯзи панҷум буд.
GEN.1.24	Худо гуфт: «Замин ҳама гуна ҷонварҳоро ба вуҷуд оварад, ба мисли чорво, хазандаҳо, ҳайвоноти ваҳшӣ» ва ҳамин тавр ҳам шуд. 
GEN.1.25	Худо ҳар намуд ҳайвони ваҳшӣ, чорво ва хазандаро офарид. Худо дид, ки ин хуб аст.
GEN.1.26	Сипас Худо гуфт: «Одамро мисли Мо ва ба монанди Мо биофарем. Онҳо бар моҳиёни баҳр, парандаҳои осмон, чорво, тамоми замин ва тамоми хазандаҳо ҳукмрон бошанд». 
GEN.1.27	Худо одамро ба мисли Худ офарид. Ба мисли Худ Худо одамро офарид, онҳоро марду зан офарид.
GEN.1.28	Худо онҳоро баракат дода гуфт: «Сернасл ва сершумор шавед. Заминро пур намуда, онро таҳти фармони худ дароред. Бар моҳиёни баҳр, парандаҳои осмон ва ҳама ҳайвоноте, ки дар рӯйи замин ҳаракат мекунанд, ҳукмрон бошед».
GEN.1.29	Баъд Худо суханашро давом дода гуфт: «Ҳар растании тухмдори рӯйи тамоми замин ва ҳар дарахти мевадорро барои хӯрок ба шумо додаам. 
GEN.1.30	Ҳамчунин ба ҳама ҳайвоноти рӯйи замин, парандаҳои осмон, хазандаҳо, яъне ҳама ҷонвароне, ки нафас мекашанд, Ман ҳама гуна растаниро барои хӯрок додаам». Ҳар чи Худо гуфт, ҳамон шуд.
GEN.1.31	Худо ҳар он чиро, ки офарид аз назар гузаронд ва ҳамааш бисёр хуб буд. Шом омад, субҳ дамид ва ин рӯзи шашум буд.
GEN.2.1	Ҳамин тавр, офариниши замину осмон ва ҳама чизи дар онҳо буда ба охир расид. 
GEN.2.2	Худо то рӯзи ҳафтум кори офаринишро ба анҷом расонд ва дар рӯзи ҳафтум истироҳат кард. 
GEN.2.3	Худо рӯзи ҳафтумро баракат дод, яъне онро муқаддас гардонид, чунки дар ин рӯз Ӯ аз ҳамаи кори офаринишаш бозистода, истироҳат кард.
GEN.2.4	Ин таърихи офариниши замину осмон буд.
GEN.2.4	Вақте Худованд-Худо замину осмонро офарид, 
GEN.2.5	дар рӯйи замин ягон намуди растанӣ намерӯйид. Зеро Ӯ ҳанӯз боронро бар замин нафиристода буд ва касе набуд, ки заминро кишт кунад. 
GEN.2.6	Танҳо чашмаҳо аз зери замин баромада, тамоми заминро сероб мекарданд. 
GEN.2.7	Сипас Худованд-Худо одамро аз хоки замин сохта, ба биниаш нафаси ҳаётро дамид ва одам ҷони зинда гардид.
GEN.2.8	Инак, Худованд-Худо дар замини Адан, ки дар шарқ аст, боғе бунёд кард. Ӯ одами сохтаашро дар он боғ ҷойгир намуд. 
GEN.2.9	Ӯ ҳама гуна дарахтони хушнамуду хушмеваро аз замин рӯёнд. Дар мобайни боғ дарахти ҳаёт ва дарахти дониши некию бадӣ буд.
GEN.2.10	Аз Адан дарёе ҷорӣ буд, ки боғро обёрӣ менамуд ва аз он ҷо ба чор дарёи дигар тақсим мешуд. 
GEN.2.11	Номи дарёи якум Фишӯн буд ва он аз тамоми замини Ҳавило, ки аз тилло бой аст, ҷорӣ мешуд. 
GEN.2.12	Сифати тиллои он замин хуб аст. Дар он ҷо шилими хушбӯй ва санги ҷазъ мавҷуд аст. 
GEN.2.13	Номи дарёи дуюм Ҷиҳун буд. Он аз тамоми замини Куш ҷорӣ мешуд. 
GEN.2.14	Номи дарёи сеюм Даҷла буд, ки аз тарафи шарқии минтақаи Ашшур ҷорӣ мешуд. Номи дарёи чорум Фурот буд.
GEN.2.15	Худованд-Худо одамро гирифта, дар боғи Адан гузошт, то ба киштукори он машғул шавад ва онро нигоҳубин намояд. 
GEN.2.16	Сипас ба одам фармуд: «Ту метавонӣ аз меваи ҳамаи дарахтони боғ бемалол бихӯрӣ, 
