GEN.1.1	Nang 
GEN.1.2	At ang lupa ay walang anyo at 
GEN.1.3	At sinabi ng Dios 
GEN.1.4	At nakita ng Dios ang liwanag na mabuti, at inihiwalay ng Dios ang liwanag sa kadiliman.
GEN.1.5	At tinawag ng Dios ang liwanag na Araw, at tinawag niya ang kadiliman na Gabi. At nagkahapon at nagkaumaga ang unang araw.
GEN.1.6	At sinabi ng Dios, Magkaroon ng isang kalawakan sa gitna ng tubig, at mahiwalay ang tubig sa kapuwa tubig.
GEN.1.7	At ginawa ng Dios ang kalawakan, at inihiwalay ang tubig na nasa ilalim ng kalawakan, sa tubig na nasa itaas ng kalawakan: at nagkagayon.
GEN.1.8	At tinawag ng Dios ang kalawakan na Langit. At nagkahapon at nagkaumaga ang ikalawang araw.
GEN.1.9	At sinabi ng Dios, 
GEN.1.10	At tinawag ng Dios ang katuyuan na Lupa, at ang kapisanan ng tubig ay tinawag niyang mga Dagat: at nakita ng Dios na mabuti.
GEN.1.11	At sinabi ng Dios, Sibulan ang lupa ng damo, pananim na nagkakabinhi, 
GEN.1.12	At ang lupa ay sinibulan ng damo, pananim na nagkakabinhi, ayon sa kaniyang pagkapananim, at ng punong kahoy na namumunga, na taglay ang kaniyang binhi, ayon sa kaniyang pagkakahoy, at nakita ng Dios na mabuti.
GEN.1.13	At nagkahapon at nagkaumaga ang ikatlong araw.
GEN.1.14	At sinabi ng Dios, Magkaroon ng mga tanglaw sa kalawakan ng langit upang maghiwalay ng araw sa gabi; at maging pinakatanda, at pinakabahagi ng panahon, ng mga araw at ng mga taon:
GEN.1.15	At maging pinakatanglaw sa kalawakan ng langit, upang tumanglaw sa ibabaw ng lupa: at nagkagayon.
GEN.1.16	At nilikha ng 
GEN.1.17	At mga inilagay ng Dios sa kalawakan ng langit, upang tumanglaw sa ibabaw ng lupa,
GEN.1.19	At nagkahapon at nagkaumaga ang ikaapat na araw.
GEN.1.20	At sinabi ng Dios, Bukalan ng sagana ang tubig ng mga gumagalaw na kinapal na may buhay, at magsilipad ang mga ibon sa itaas ng lupa sa luwal na kalawakan ng himpapawid.
GEN.1.21	At 
GEN.1.22	At mga binasbasan ng Dios, na sinabi, Kayo'y 
GEN.1.23	At nagkahapon at nagkaumaga ang ikalimang araw.
GEN.1.24	At sinabi ng Dios, Bukalan ang lupa ng mga may buhay na kinapal, ayon sa kanikaniyang uri ng hayop at ng mga kinapal na umuusad, at ng mga ganid sa lupa, ayon sa kanikaniyang uri: at nagkagayon.
GEN.1.25	At nilikha ng Dios ang ganid sa lupa ayon sa kaniyang uri, at ang hayop ayon sa kaniyang uri, at ang bawa't umuusad sa ibabaw ng lupa ayon sa kanikaniyang uri: at nakita ng Dios na mabuti.
GEN.1.26	At sinabi ng Dios, 
GEN.1.27	At nilalang ng Dios ang tao ayon sa kaniyang sariling larawan, ayon sa larawan ng Dios siya nilalang; nilalang niya sila na 
GEN.1.29	At sinabi ng Dios, Narito, ibinigay ko sa inyo ang bawa't pananim na nagkakabinhi, na nasa ibabaw ng balat ng lupa, at ang bawa't punong kahoy na may bunga ng punong kahoy na nagkakabinhi; sa inyo'y 
GEN.2.1	At nayari ang langit at ang lupa, 
GEN.2.3	At binasbasan ng Dios ang ikapitong araw at kaniyang ipinangilin, sapagka't siyang ipinagpahinga ng Dios sa madlang gawang kaniyang nilikha at ginawa.
GEN.2.5	At wala pa sa lupang 
GEN.2.6	Nguni't may isang ulap na napaitaas buhat sa lupa at dinilig ang buong ibabaw ng lupa.
GEN.2.7	At nilalang ng Panginoong Dios ang tao sa 
GEN.2.8	At naglagay ang Panginoong Dios ng isang 
GEN.2.9	At pinatubo ng Panginoong Dios sa lupa ang lahat na punong kahoy na nakalulugod sa paningin, at mabubuting kanin; 
GEN.2.10	At may isang ilog na lumabas sa Eden na dumilig sa halamanan; at mula roo'y nabahagi at nagapat na sanga.
GEN.2.11	Ang pangalan ng una ay Pison: na siyang lumiligid sa 
GEN.2.12	At ang ginto sa lupang yao'y mabuti; mayroon 
GEN.2.13	At ang pangalan ng ikalawang ilog ay Gihon; na siyang lumiligid sa buong lupain ng Cush.
GEN.2.14	At ang pangalan ng ikatlong ilog ay Hiddecel, na siyang umaagos sa tapat ng Asiria. At ang ikaapat na ilog ay ang Eufrates.
GEN.2.15	At kinuha ng Panginoong Dios ang lalake at inilagay sa halamanan ng Eden, upang kaniyang alagaan at ingatan.
GEN.2.16	At iniutos ng Panginoong Dios sa lalake, na sinabi, Sa lahat ng punong kahoy sa halamanan ay makakakain ka na may kalayaan:
GEN.2.17	Datapuwa't sa kahoy ng pagkakilala ng mabuti at masama ay huwag kang kakain; sapagka't sa araw na ikaw ay kumain niyaon ay walang pagsalang 
GEN.2.18	At sinabi ng Panginoong Dios, Hindi mabuti na ang lalake ay magisa; siya'y ilalalang ko ng isang katulong niya.
GEN.2.19	At nilalang ng Panginoong Dios sa lupa ang lahat ng hayop sa parang at ang lahat ng ibon sa himpapawid; at pinagdadala sa lalake upang maalaman kung anong itatawag niya sa mga iyon: at ang bawa't itinawag ng lalake sa bawa't kinapal na may buhay ay yaon ang naging pangalan niyaon.
GEN.2.20	At pinanganlan ng lalake ang lahat ng mga hayop, at ang mga ibon sa himpapawid, at ang bawa't ganid sa parang; datapuwa't sa lalake ay walang nasumpungang maging katulong niya.
GEN.2.21	At 
GEN.2.22	At ang tadyang na kinuha ng Panginoong Dios sa lalake ay ginawang isang babae, at ito'y dinala niya sa lalake.
GEN.2.23	At sinabi ng lalake, Ito nga'y buto ng aking mga buto at laman ng aking laman: siya'y tatawaging Babae, sapagka't sa Lalake siya kinuha.
GEN.2.25	At sila'y kapuwa hubad, ang lalake at ang kaniyang asawa, at sila'y hindi nagkakahiyaan.
GEN.3.2	At sinabi ng babae sa ahas, Sa bunga ng mga punong kahoy sa halamanan ay makakakain kami:
GEN.3.4	At sinabi ng ahas sa babae, Tunay na hindi kayo mamamatay:
GEN.3.5	Sapagka't talastas ng Dios na sa araw na kayo'y kumain niyaon ay madidilat nga ang inyong mga mata, at kayo'y magiging parang Dios, na nakakakilala ng mabuti at masama.
GEN.3.6	At nang makita ng babae, na ang 
GEN.3.8	At narinig nila ang tinig ng Panginoong Dios na lumalakad sa halamanan sa kulimlim ng araw: at nagtago ang lalake at ang kaniyang asawa sa harapan ng Panginoong Dios sa pagitan ng mga punong kahoy sa halamanan.
GEN.3.9	At tinawag ng Panginoong Dios ang lalake at sa kaniya'y sinabi, Saan ka naroon?
GEN.3.10	At sinabi niya, Narinig ko ang iyong tinig sa halamanan, at ako'y natakot, sapagka't ako'y hubad; at ako'y nagtago.
GEN.3.11	At sinabi niya, Sinong nagsabi sa iyong ikaw ay hubad? nakakain ka ba 
GEN.3.12	At sinabi ng lalake, Ang babaing ibinigay mong aking kasamahin, ay siyang nagbigay sa akin 
GEN.3.13	At sinabi ng Panginoong Dios sa babae, Ano itong iyong ginawa? At sinabi ng babae, Dinaya ako ng ahas, at ako'y kumain.
GEN.3.14	At sinabi ng Panginoong Dios sa ahas, Sapagka't ginawa mo ito, ay sumpain ka ng higit sa lahat ng hayop, at ng higit sa bawa't ganid sa parang; ang iyong tiyan ang ilalakad mo, 
GEN.3.15	At papagaalitin ko ikaw at ang babae, at ang 
GEN.3.16	Sinabi niya sa babae, Pararamihin kong lubha ang iyong kalumbayan at ang iyong paglilihi; manganganak kang may kahirapan; at sa iyong asawa ay pahihinuhod ang iyong kalooban, 
GEN.3.17	At kay Adam ay sinabi, Sapagka't iyong dininig ang tinig ng iyong asawa, at kumain ka 
GEN.3.18	Ang isisibol niyaon sa iyo ay mga tinik at mga dawag; at kakain ka ng pananim sa parang;
GEN.3.19	Sa pawis ng iyong mukha ay kakain ka ng tinapay, hanggang sa ikaw ay mauwi sa lupa; sapagka't diyan ka kinuha: 
GEN.3.20	At tinawag na Eva ng lalake ang kaniyang asawa, sapagka't siya ang naging ina ng lahat ng mga nabubuhay.
GEN.3.21	At iginawa ng Panginoong Dios si Adam at ang kaniyang asawa ng mga kasuutang balat at sila'y dinamitan.
GEN.3.22	At sinabi ng Panginoong Dios, Narito't ang tao'y naging parang isa sa atin, na nakakakilala ng mabuti at ng masama; at baka ngayo'y iunat ang kaniyang kamay 
GEN.3.23	Kaya pinalayas siya ng Panginoong Dios sa halamanan ng Eden, upang kaniyang bukirin ang lupaing pinagkunan sa kaniya.
GEN.3.24	Ano pa't itinaboy ang lalake; at inilagay sa silanganan ng halamanan ng Eden ang mga 
GEN.4.1	At nakilala ng lalake si Eva na kaniyang asawa; at siya'y naglihi at ipinanganak si Cain, at sinabi, Nagkaanak ako ng lalake sa 
GEN.4.2	At sa muli ay ipinanganak ang kaniyang kapatid na si Abel. At si Abel ay tagapagalaga ng mga tupa; datapuwa't si Cain ay mangbubukid ng lupa.
GEN.4.3	At nangyari nang lumalakad ang panahon ay nagdala si Cain ng isang handog na mga 
GEN.4.4	At nagdala rin naman si Abel ng mga 
GEN.4.5	Datapuwa't hindi nilingap si Cain at ang kaniyang handog. At naginit na mainam si Cain, at namanglaw ang kaniyang mukha.
GEN.4.6	At sinabi ng Panginoon kay Cain, Bakit ka naginit? at bakit namanglaw ang iyong mukha?
GEN.4.7	Kung ikaw ay gumawa ng mabuti, di ba ikaw mamarapatin? at kung hindi ka gumawa ng mabuti, ay nahahandusay ang kasalanan sa pintuan: at 
GEN.4.8	At 
GEN.4.9	At sinabi ng Panginoon kay Cain, Saan naroon si Abel na iyong kapatid? At sinabi niya, 
GEN.4.10	At sinabi niya, Anong iyong ginawa? ang tinig ng dugo ng iyong kapatid ay 
GEN.4.11	At ngayo'y sinumpa ka sa lupa na siyang nagbuka ng bibig na tumanggap sa iyong kamay ng dugo ng iyong kapatid;
GEN.4.12	Pagbubukid mo ng lupa, ay di na ibibigay mula ngayon sa iyo ang kaniyang lakas; ikaw ay magiging palaboy at hampas-lupa sa lupa.
GEN.4.13	At sinabi ni Cain sa Panginoon, Ang aking kaparusahan ay higit kaysa mababata ko.
GEN.4.15	At sinabi sa kaniya ng Panginoon, Dahil dito'y sinomang pumatay kay Cain ay 
GEN.4.16	At umalis si Cain sa harapan ng Panginoon at tumahan sa lupain ng Nod, sa silanganan ng Eden.
GEN.4.17	At nakilala ni Cain ang kaniyang asawa, at siya'y naglihi at ipinanganak si Enoc: at siya'y nagtayo ng isang bayan at tinawag ang bayan ayon sa pangalan ng kaniyang anak, Enoc.
GEN.4.18	At naging anak ni Enoc si Irad; at naging anak ni Irad si Mehujael; at naging anak ni Mehujael si Metusael; at naging anak ni Metusael si Lamec.
GEN.4.19	At si Lamec ay nagasawa ng dalawa; ang pangalan ng isa'y Ada, at ang pangalan ng ikalawa ay Zilla.
GEN.4.20	At naging anak ni Ada si Jabal: na siyang naging magulang ng nangagsisitahan sa mga tolda at 
GEN.4.21	At ang pangalan ng kaniyang kapatid ay Jubal: na siyang naging magulang ng lahat na tumutugtog ng alpa at ng flauta.
GEN.4.22	At tungkol kay Zilla, ay ipinanganak naman niya si Tubal-Cain na mamamanday ng lahat na kagamitang patalim na tanso at bakal: at ang kapatid na babae ni Tubal-Cain ay si Naama.
GEN.4.23	At sinabi ni Lamec sa kaniyang mga asawa:
GEN.4.23	Ada at Zilla pakinggan ninyo ang aking tinig:
GEN.4.23	Kayong mga asawa ni Lamec ay makinig ng aking salaysay:
GEN.4.23	Sapagka't pumatay ako ng isang tao, dahil sa ako'y sinugatan,
GEN.4.23	At ng isang binata, dahil sa ako'y hinampas.
GEN.4.24	Kung 
GEN.4.25	At nakilalang muli ni Adam ang kaniyang asawa; at nanganak ng isang lalake, 
GEN.4.26	At 
