GEN.1.1	Nang pasimula, nilikha ng Dios ang langit at ang lupa. 
GEN.1.2	Ang mundo noon ay wala pang anyo at wala pang laman. Ang tubig na bumabalot sa mundo ay balot ng kadiliman. At ang Espiritu ng Dios
GEN.1.3	Sinabi ng Dios, “Magkaroon ng liwanag!” At nagkaroon nga ng liwanag. 
GEN.1.4	Nasiyahan ang Dios sa liwanag na nakita niya. Pagkatapos, inihiwalay niya ang liwanag sa kadiliman. 
GEN.1.5	Tinawag niyang “araw” ang liwanag, at “gabi” naman ang kadiliman. Lumipas ang gabi at dumating ang umaga. Iyon ang unang araw.
GEN.1.6	Pagkatapos, sinabi ng Dios, “Magkaroon ng pagitan na maghihiwalay sa tubig sa dalawang bahagi.” 
GEN.1.7	At nagkaroon nga ng pagitan na naghihiwalay sa tubig sa itaas at sa tubig sa ibaba. 
GEN.1.8	Ang pagitang itoʼy tinawag ng Dios na “kalawakan.” Lumipas ang gabi at dumating ang umaga. Iyon ang ikalawang araw.
GEN.1.9	Pagkatapos, sinabi ng Dios, “Magsama sa isang lugar ang tubig sa mundo para lumitaw ang tuyong bahagi.” At iyon nga ang nangyari. 
GEN.1.10	Tinawag niyang “lupa” ang tuyong lugar, at “dagat” naman ang nagsamang tubig. Nasiyahan ang Dios sa nakita niya.
GEN.1.11	Pagkatapos, sinabi ng Dios, “Magsitubo sa lupa ang 
GEN.1.12	Tumubo sa lupa ang 
GEN.1.13	Lumipas ang gabi at dumating ang umaga. Iyon ang ikatlong araw.
GEN.1.14	Pagkatapos, sinabi ng Dios, “Magkaroon ng mga ilaw sa kalangitan para ihiwalay ang araw sa gabi, at magsilbing palatandaan ng pagsisimula ng mga panahon,
GEN.1.15	Magningning ang mga ito sa kalangitan para magbigay-liwanag sa mundo.” At iyon nga ang nangyari. 
GEN.1.16	Nilikha ng Dios ang dalawang malaking ilaw: ang pinakamalaki ay magliliwanag kung araw, at ang mas malaki ay magliliwanag kung gabi. Nilikha rin niya ang mga bituin. 
GEN.1.17+GEN.1.18	Inilagay ng Dios ang mga ito sa kalangitan para magbigay-liwanag sa mundo kung araw at gabi, at para ihiwalay ang liwanag sa dilim. At nasiyahan ang Dios sa nakita niya. 
GEN.1.19	Lumipas ang gabi at dumating ang umaga. Iyon ang ikaapat na araw.
GEN.1.20	Pagkatapos, sinabi ng Dios, “Magkaroon ng ibaʼt ibang hayop sa tubig at magsilipad ang ibaʼt ibang hayop
GEN.1.21	Kaya nilikha ng Dios ang malalaking hayop sa dagat, at ang lahat ng uri ng hayop na nakatira sa tubig, at ang lahat ng uri ng hayop na lumilipad. Nasiyahan ang Dios sa nakita niya. 
GEN.1.22	At binasbasan niya ang mga ito. Sinabi niya, “Magpakarami kayo, kayong mga hayop sa tubig at mga hayop na lumilipad.” 
GEN.1.23	Lumipas ang gabi at dumating ang umaga. Iyon ang ikalimang araw.
GEN.1.24	Pagkatapos, sinabi ng Dios, “Magkaroon ng ibaʼt ibang uri ng hayop sa lupa: mga hayop na maamo at mailap, malalaki at maliliit.” At iyon nga ang nangyari. 
GEN.1.25	Nilikha ng Dios ang lahat ng ito at nasiyahan siya sa nakita niya.
GEN.1.26	Pagkatapos, sinabi ng Dios, “Likhain natin ang tao ayon sa ating wangis. Sila ang mamamahala sa 
GEN.1.27	Kaya nilikha ng Dios ang tao, lalaki at babae ayon sa wangis niya. 
GEN.1.28	Binasbasan niya sila at sinabi, “Magpakarami kayo para mangalat ang mga lahi ninyo at mamahala sa 
GEN.1.29	Pagkatapos, sinabi ng Dios, “Ibinibigay ko sa inyo ang mga tanim na namumunga ng butil pati ang mga punongkahoy na namumunga para inyong kainin. 
GEN.1.30	At ibinibigay ko sa lahat ng hayop ang lahat ng luntiang halaman bilang pagkain nila.” At iyon nga ang nangyari. 
GEN.1.31	Pinagmasdan ng Dios ang lahat niyang nilikha at lubos siyang nasiyahan. Lumipas ang gabi at dumating ang umaga. Iyon ang ikaanim na araw.
GEN.2.1	Natapos likhain ng Dios ang kalangitan, ang mundo at ang lahat ng naroon. 
GEN.2.2	Natapos niya ito sa loob ng anim na araw at nagpahinga siya sa ikapitong araw. 
GEN.2.3	Binasbasan niya ang ikapitong araw at itinuring na di-pangkaraniwang araw, dahil sa araw na ito nagpahinga siya nang matapos niyang likhain ang lahat. 
GEN.2.4	Ito ang salaysay tungkol sa paglikha ng Dios sa kalangitan at sa mundo.
GEN.2.4	Nang likhain ng 
GEN.2.5	wala pang tanim sa mundo at wala pang binhi ng anumang halaman ang nabubuhay, dahil hindi pa siya nagpapaulan at wala pang tao na mag-aalaga ng lupa. 
GEN.2.6	Pero kahit wala pang ulan, ang mga bukal sa mundo ang siyang bumabasa sa lupa.
GEN.2.7	Nilikha ng 
GEN.2.8	Pagkatapos, nilikha rin ng 
GEN.2.9	At pinatubo ng 
GEN.2.10	Sa Eden ay may ilog na dumadaloy na siyang nagbibigay ng tubig sa halamanan. Nagsanga-sanga ito sa apat na ilog. 
GEN.2.11	Ang pangalan ng unang ilog ay Pishon. Dumadaloy ito sa buong lupain ng Havila kung saan mayroong ginto. 
GEN.2.12	Sa lugar na iyon makikita ang purong ginto, ang 
GEN.2.13	Ang pangalan ng ikalawang ilog ay Gihon. Dumadaloy ito sa buong lupain ng Cush. 
GEN.2.14	Ang pangalan ng ikatlong ilog ay Tigris. Dumadaloy ito sa silangan ng Asiria. At ang ikaapat na ilog ay ang Eufrates.
GEN.2.15	Pinatira ng 
GEN.2.16	At sinabi niya sa tao, “Makakakain ka ng kahit anong bunga ng punongkahoy sa halamanan, 
GEN.2.17	maliban lang sa bunga ng punongkahoy na nagbibigay ng kaalaman kung ano ang mabuti at masama. Sapagkat sa oras na kainin mo ito, tiyak na mamamatay ka.”
GEN.2.18	Pagkatapos, sinabi ng 
GEN.2.19	Nilikha ng 
GEN.2.20	Kaya pinangalanan ng tao ang mga hayop na nakatira sa lupa pati ang mga hayop na lumilipad. Pero para kay Adan,
GEN.2.21	Kaya pinatulog ng 
GEN.2.22	Ang tadyang na kinuha ng 
GEN.2.23	Sinabi ng lalaki,
GEN.2.23	“Narito na ang isang tulad ko!
GEN.2.23	Buto na kinuha sa aking mga buto, at laman na kinuha sa aking laman.
GEN.2.23	Tatawagin siyang ‘babae,’ dahil kinuha siya mula sa lalaki.”
GEN.2.24	Iyan ang dahilan na iiwan ng lalaki ang kanyang amaʼt ina at makikipag-isa sa kanyang asawa, at silang dalawa ay magiging isa.
GEN.2.25	Nang panahong iyon, kahit huboʼt hubad silang dalawa, hindi sila nahihiya.
GEN.3.1	Sa lahat ng hayop na nilikha ng 
GEN.3.2	Sumagot ang babae, “Makakain namin ang kahit anong bunga ng puno rito sa halamanan, 
GEN.3.3	maliban lang sa bunga ng puno na nasa gitna ng halamanan. Sapagkat sinabi ng Dios na hindi kami dapat kumain o humipo man lang ng bunga ng punong iyon. Kapag ginawa namin iyon, mamamatay kami.”
GEN.3.4	Pero sinabi ng ahas, “Hindi totoong mamamatay kayo! 
GEN.3.5	Sinabi iyan ng Dios dahil alam niya na kapag kumain kayo ng bungang iyon, mabubuksan ang mga isip ninyo, at magiging katulad niya kayo na nakakaalam kung ano ang mabuti at masama.”
GEN.3.6	Nang pinagmasdan ng babae ang puno, napakaganda nitong tingnan at 
GEN.3.7	Pagkatapos nilang kumain, nalaman nila kung ano ang mabuti at ang masama, at napansin nila na hubad pala sila. Kaya pinagtagni-tagni nila ang mga dahon ng 
GEN.3.8	Pagdating ng hapon, narinig nila na lumalakad ang 
GEN.3.9	Pero tinawag ng 
GEN.3.10	Sumagot ang lalaki, “Narinig ko po kayo sa halamanan, kaya nagtago ako. Natatakot po ako dahil hubad ako.” 
GEN.3.11	Nagtanong ang 
GEN.3.12	Sumagot ang lalaki, “Ang babae po kasi na ibinigay nʼyo sa akin ay binigyan ako ng bunga ng punongkahoy na iyon at kinain ko.”
GEN.3.13	Tinanong ng 
GEN.3.14	Kaya sinabi ng 
GEN.3.15	Ikaw at ang babae ay mag-aaway. Ang lahi mo at ang lahi niya
GEN.3.16	Sinabi rin niya sa babae, “Dahil sa ginawa mo, dadagdagan ko ang paghihirap mo sa pagbubuntis at mararamdaman mo ang sobrang sakit sa iyong panganganak. Pero sa kabila niyan, hahangarin mo pa rin ang iyong asawa at maghahari siya sa iyo.”
GEN.3.17	Sinabi rin niya sa lalaki, “Dahil naniwala ka sa asawa mo at kumain ng bunga ng punongkahoy na ipinagbawal ko sa inyo, susumpain ko ang lupa! Kaya sa buong buhay mo ay magpapakahirap ka nang husto para makakain. 
GEN.3.18	Tutubo sa lupa ang mga damo at halamang may tinik. Ang kakainin moʼy manggagaling sa mga pananim sa bukid. 
GEN.3.19	Kinakailangang magpakahirap ka nang husto para makakain, hanggang sa bumalik ka sa lupa na iyong pinagmulan. Dahil sa lupa ka nagmula, sa lupa ka rin babalik.”
GEN.3.20	Pinangalanan ni Adan
GEN.3.21	Pagkatapos, gumawa ang 
GEN.3.22	Sinabi ng 
GEN.3.23	Kaya pinaalis siya ng 
GEN.3.24	Nang mapaalis na ng 
GEN.4.1	Pagkatapos noon, sumiping si Adan sa asawa niyang si Eva at nagbuntis ito. Nang manganak si Eva, sinabi niya, “Nagkaroon ako ng anak na lalaki sa pamamagitan ng tulong ng 
GEN.4.2	At muling nanganak si Eva ng lalaki at Abel ang ipinangalan sa kanya.
GEN.4.3	Isang araw, naghandog si Cain sa 
GEN.4.4	Si Abel naman ay kumuha ng isang panganay sa mga inaalagaan niyang hayop, kinatay ito at inihandog sa Dios ang pinakamagandang bahagi. Natuwa ang 
GEN.4.5	pero hindi siya natuwa kay Cain at sa handog nito. At dahil dito, sumimangot si Cain at labis ang kanyang galit. 
GEN.4.6	Kaya tinanong siya ng 
GEN.4.7	Kung mabuti lang ang ginawa mo, maligaya ka
GEN.4.8	Isang araw, sinabi ni Cain kay Abel, “Halika, pumunta tayo sa bukid.” Nang naroon na sila, pinatay ni Cain ang kapatid niyang si Abel.
GEN.4.9	Pagkatapos, nagtanong ang 
GEN.4.10	Sinabi ng 
GEN.4.11	Dahil sa ginawa mo, isusumpa ka. Mula ngayon, hindi ka na makakapagsaka sa lupa na sumipsip ng dugo ng iyong kapatid na pinatay mo. 
GEN.4.12	Kahit magtanim ka pa, ang lupa ay hindi na magbibigay sa iyo ng ani. At wala kang pirmihang matitirhan, kaya magpapagala-gala ka kahit saan.”
GEN.4.13	Sinabi ni Cain sa 
GEN.4.14	Itinataboy ninyo ako ngayon sa lupaing ito at sa inyong harapan. Wala na akong matitirhan, kaya kahit saan na lang ako pupunta. At kung may makakakita sa akin, tiyak na papatayin niya ako.”
GEN.4.15	Pero sinabi ng 
GEN.4.16	Pagkatapos, lumayo si Cain sa 
