GEN.1.1	Vowambeela Mulugu ahipaddusa odhulu ni elabo ya vati. 
GEN.1.2	Elaboya kayawomele naari kayanna dhego. Yaali mahinje ooddiiha, owoopiha yahuruwedhiwe ni yiihi. Muneba wa Mulugu
GEN.1.3	Vevale Mulugu ahiiraga: <<Okalewo waara!>> Vano waara wahikalawo. 
GEN.1.4	Mulugu ahoona wi waara waali wapama, ahigawa waara ni yiihi. 
GEN.1.5	Mulugu ahithwa waara ndina na <<mutana>>;
GEN.1.6	Mulugu teto ahiiraga: <<Ekalewo yego enaagawe mahinje dhipaddi biili>>. 
GEN.1.7	Mulugu ahisasanya yego ele, yagawa mahinje oodhulu ni a vati. 
GEN.1.8	Mulugu ahithwa yego ele ndina na <<odhulu>>. Wahiriba, osa; ndda naali nlabo na nabiili.
GEN.1.9	Mulugu teto ahiiraga: <<Mahinje a vati etugumane niburo nimohi wi wooneye niburo nowumma>>. Dhahiireya ndala ebaribareene. 
GEN.1.10	Mulugu ahithwa niburo nendde nowumma ndina na <<theya>>, ahithwa teto niburo na mahinje ndina na <<nyaza>>. Mulugu ahoona wi dhasasanyiliiye dhaali dhapama. 
GEN.1.11	Mulugu ahiiraga teto: <<Theya emele mithanko ni manasi a misawo-misawo. Mithanko nde dhivahege dhoovaha, manasi ekalegena bewu>>. Dhahiireya ndala ebaribareene. 
GEN.1.12	Mithanko ni manasi dhahunnuwa vatheyani, dhahivaha dhoovaha dhiwa dha misawo-misawo. Mulugu ahoona wi dhasasanyiliiye dhaali dhapama. 
GEN.1.13	Wahiriba, osa; ndda naali nlabo na neethaaru.
GEN.1.14	Mulugu teto ahiiraga: <<Dhikalewo dhoomoneya odhulu wi dhigawege mutana ni mahiyu. Nda dhikale dhitoonyihedho dha mudhidhi, malabo ni yaaka. 
GEN.1.15	Dhoomoneya nda dhikale odhulu, dhimoneyelege elabo ya vati>>. Dhahiireya ndala ebaribareene. 
GEN.1.16	Mulugu ahisasanya dhoomoneya biili dhuulubale, yoomoneya emohi yuulubale yoolamula
GEN.1.17	Mulugu ahihela dhaatedhene dhedhi odhulu wi dhimoneyelege elabo ya vati, 
GEN.1.18	dhilamulege mutana ni mahiyu ni ogawa waara ni yiihi. Vano Mulugu ahoona wi dhasasanyiliiye dhaali dhapama. 
GEN.1.19	Wahiriba, osa; ndda naali nlabo na nennayi.
GEN.1.20	Mulugu teto ahiiraga: <<Mmahinjeni dhidhaalemo dhoopaddusiwa dha misawo-misawo, dhikalewo balame dhoovava vaari va odhulu ni elabo ya vati>>. 
GEN.1.21	Mulugu ahaapaddusa aneenyama alubale ni owoopiha a mmahinjeni ni dhoopaddusiwa dhimohi dha misawo-misawo dhineedda mmahinjeni; ahipaddusa teto balame dha misawo-misawo. Mulugu ahoona wi dhasasanyiliiye dhaali dhapama. 
GEN.1.22	Ndala Mulugu ahireeliha, wiira: <<Murelane, mudhaale mmahinjeni balame dhirelane mwiilaboni>>. 
GEN.1.23	Wahiribaga, osa; ndda naaligi nlabo na neetanu.
GEN.1.24	Mulugu teto ahiiraga: <<Ekalewo aneenyama aatene a misawo-misawo vatheyani vaatevene oofuwiwa, a mukokolani, vamohi ni dhowaabadha dha misawo-misawo>>. Dhahiireya ndala ebaribareene. 
GEN.1.25	Mulugu ahaapaddusa aneenyama aatene a misawo-misawo a mukokolani, oofuwiwa vamohi ni dhowaabadha. Mulugu ahoona wi dhasasanyiliiye dhaali dhapama.
GEN.1.26	Mulugu ahiiraga: <<Nimusasanye oofwanafwana ni ooligana ni hiyo. Oyene alamulelege somba dha mmahinjeni, balame dha odhulu, aneenyama a elabo yaatene ni dhowaabadha dhaatedhene>>.
GEN.1.27	Ndala Mulugu ahimpaddusa muthu ooligana ni oliye,
GEN.1.27	ooligana ni Mulugu ebaribareene ahaapaddusa.
GEN.1.27	Ahimpaddusa mulobwana ni mwihiyana.
GEN.1.28	Mulugu ahaareeliha, wiira: <<Mbalanege, murelane mudhaale mwiilaboni ya vati vano musogolelege. Mulamulelege somba dha mmahinjeni, balame dha odhulu ni dhoopaddusiwa dhaatedhene dhineedda mwiilaboni ya vati>>. 
GEN.1.29	Mulugu teto ahiiraga: <<Guhuuvahani mwiilaboni ya vati manasi maatene oovaha bewu ni mithanko dhaatedhene dhinavaha dhoovaha wi mujege. 
GEN.1.30	Ginovaha teto aneenyama ni balame ni dhowaabadha, dhoopaddusiwa dhaatedhene dhinna egumi, thongwe wi dhijege>>. Dhahiireya ndala ebaribareene.
GEN.1.31	Mulugu ahoona wi dhaatedhene dhasasanyiliiye dhahitthabwa okala pama. Wahiriba, osa; ndda naali nlabo na neetanu nammohi.
GEN.2.1	Ndala dhahaakwanela osasanyiwa wa odhulu ni elabo ya vati ni dhaatedhene dha mwemo.
GEN.2.2	Mulugu agamarihe mabasa aaye maatene, ahivumaga nlabo na neetanu nabiili.
GEN.2.3	Nuwindo Mulugu ahireeliha nlabo ndde, aheeliha wi nikale naaye-naaye, vowi thi nlabo navumiliiye mwa mabasa aaye oopaddusa.
GEN.2.4	Mwaha wa oopaddusiwa wa odhulu ni elabo ya vati waali ndala. 
