MAT.1.1	Huā'mā' lista ū'tza' ixnapapna' Jesucristo lā' xla' ixtā'nat David lā' nā Abraham.
MAT.1.2	Lā' Abraham ixtāta' Isaac ixuanī't lā' ū'tza' ixtāta' Jacob lā' ū'tza' ixtāta'ca'n Judá lā' ixtā'timīn. 
MAT.1.3	Lā' Judá ixtāta'ca'n Fares lā' Zara ixuanī't lā' ixtzī'tca'n ixuanican Tamar. Lā' Fares ixtāta' Esrom ixuanī't lā' ū'tza' ixtāta' Aram. 
MAT.1.4	Lā' Aram ixtāta' Aminadab ixuanī't lā' ū'tza' ixtāta' Naasón a'ntī ixtāta' Salmón. 
MAT.1.5	Lā' Salmón ixtāta' Booz ixuanī't lā' ixtzī't Booz ū'tza' Rahab. Lā' Booz ixtāta' Obed ixuanī't lā' ixtzī't Obed ixuanican Rut. Lā' Obed ixtāta' Isaí ixuanī't. 
MAT.1.6	Lā' Isaí ixtāta' huan rey David ixuanī't. Lā' huan rey David lā' huan puscāt a'ntī pū'la ixpuscāt Urías ixuanī't, xlaca'n xanatātana' Salomón ixtahuanī't.
MAT.1.7	Lā' Salomón ixtāta' Roboam ixuanī't lā' ū'tza' ixtāta' Abías a'ntī ixtāta' Asa. 
MAT.1.8	Lā' Asa ixtāta' Josafat ixuanī't lā' Josafat ixtāta' Joram lā' ū'tza' ixtāta' Uzías. 
MAT.1.9	Lā' Uzías ixtāta' Jotam ixuanī't lā' ū'tza' ixtāta' Acaz lā' ū'tza' ixtāta' Ezequías. 
MAT.1.10	Lā' Ezequías ixtāta' Manasés ixuanī't lā' ū'tza' ixtāta' Amón a'ntī ixtāta' Josías. 
MAT.1.11	Lā' Josías ixtāta'ca'n Jeconías lā' ixtā'timīn ixuanī't lā' a'xni'ca' ixcāchī'canī't lā' cālē'nca huan israelitas nac ti'ya't a'nlhā huanican Babilonia.
MAT.1.12	Lā' a'xni'ca' cālē'ncanī'ttza' a'xni'ca' Jeconías ixka'lhī ixcaman Salatiel lā' ū'tza' ixtāta' Zorobabel ixuanī't. 
MAT.1.13	Lā' Zorobabel ixtāta' Abiud ixuanī't lā' ū'tza' ixtāta' Eliaquim a'ntī ixtāta' Azor. 
MAT.1.14	Lā' Azor ixtāta' Sadoc ixuanī't lā' ū'tza' ixtāta' Aquim a'ntī ixtāta' Eliud. 
MAT.1.15	Lā' Eliud ixtāta' Eleazar ixuanī't lā' ū'tza' ixtāta' Matán a'ntī ixtāta' Jacob. 
MAT.1.16	Lā' Jacob ixtāta' ixuanī't huan José a'ntī ixkōlu' huan María. Lā' María, xla' ixtzī't Jesús ixuanī't, ū'tza' a'ntī huanican huan Cristo.
MAT.1.17	Lā' chuntza' ixlīkalhacāujtā'ti' ī'xū'yātā'natna' Abraham a'xni'ca' tahuī'lh David. Lā' ixlīkalhacāujtā'ti' ī'xū'yātā'natna' David a'xni'ca' ixcālē'ncanī't israelitas nac huan ti'ya't a'nlhā huanican Babilonia. Lā' ixlīkalhacāujtā'ti' ī'xū'yātā'natna' huampala a'xni'ca' lacatuncuī'lh Cristo.
MAT.1.18	Lā' a'xni'ca' tahuī'lh Jesucristo, chuntza' pātle'kelh. Ixtzī't ixuanican María lā' xla' ixtalacāxlanī'ttza' para natā'tapūchahua huan José. Lā' a'xni'ca' tūna'j ixtalātā'tahui'la a'xni'ca' María ixcamalanī'ttza' lā' por ixlīmāpa'ksīn huan Espíritu Santo. 
MAT.1.19	Lā' a'xni'ca' José ca'tzīlh que María ixcamalanī't, xla' ixmakxtekcu'tun. Pero como tzeyā chi'xcu' ixuanī't, tū' ixmālacapū'cu'tun na ixlacapūnca'n tachi'xcuhuī't como tū' ixmāmāxanī'cu'tun. Xmān tzē'k ixmakxtekcu'tun. 
MAT.1.20	Lā' a'xni'ca' José ixpāstacmā' a'nchī nalīlacāxtlahua, a'xni'ca' lakahuāna'lh lā' tasu'yuni'lh kalhatin ángel a'ntī macamilh huan Māpa'ksīni' Dios lā' xla' huanilh:
MAT.1.20	―José, hui'x a'ntī ī'xū'yātā'nat David, tū' catilīmā'xa'na' natā'tapūchahua'ya' huan María como ka'lhīni'lh por ixpālacata huan Espíritu Santo. 
MAT.1.21	Naka'lhī ixcaman xachi'xcu' lā' nahui'lī'ni'ya' ixtacuīni' Jesús. Chuntza' namāpācuhuī'can como xla' nacāmāpūtaxtū ixtachi'xcuhuī't ―huanilh huan ángel.
MAT.1.22	Lā' huāk huā'mā' pātle'kelh para natlōkentaxtū a'ntū hualh huan Māpa'ksīni' Dios por ixpālacata huan a'cta'sana'. Chuntza' tzo'kli:
MAT.1.23	Huan tzu'ma'jāt naka'lhīni'n lā' naka'lhī ixcaman lā' namāpācuhuīcan Emanuel,
MAT.1.23	lā' huā'mā' tacuīni' huanicu'tun: Dios quincātā'lahui'lani'.
MAT.1.24	Lā' a'xni'ca' lakahualh José, tlahualh ixlīhuāk a'ntū māpa'ksīlh huan ixángel huan Māpa'ksīni' lā' tā'tapūchahualh María. 
MAT.1.25	Pero tū' xa'malh hasta a'xni'ca' xla' tahuī'lh ī'ska'ta' ixlīmaksāsti'. Lā' hui'līni'lh ixtacuīni' Jesús.
MAT.2.1	Lā' a'xni'ca' Herodes rey ixuanī't nac ti'ya't a'nlhā huanican Judea a'xni'ca' Jesús lacatuncuīlh a'ntza'. Lacatuncuīlh huan nac cā'lacchicni' a'nlhā huanican Belén. Lā' tachā'lh magosnu' huan nac xcānsipej a'nlhā huanican Jerusalén lā' xlaca'n tamincha' na ixtankēn 
MAT.2.2	lā' takalhasqui'nīlh:
MAT.2.2	―¿Lhachū huī' huan ixreyca'n israelitas a'ntīn tahuī'lhtza'? Quina'n iclaktzī'nī'tauj lakatin sta'cu na ixtankēn. Lā' ū'tza' quincāmāsu'ni'nī'ta'ni' palh tahuī'lhtza'. Lā' ū'tza' iclīmiujtza' huā'tzā' para na'icmācā'tanīyāuj.
MAT.2.3	Lā' a'xni'ca' kaxmatli huā'mā' tachihuīn, huan rey Herodes lej ixpāta'lamā' lā' nā chuntza' ixlīhuākca'n xalanī'n nac Jerusalén nā ixcāpāta'lamā'. 
MAT.2.4	Lā' huan rey cāmāta'satīnīni'lh lā' cāmākēstokli ixlīhuākca'n xanapuxcu'nu' sacerdotes israelitas lā' a'ntī tamāsu'yulh huan ley. Lā' cākalhasqui'nīca lhachū natahui'la huan Cristo 
MAT.2.5	lā' takalhtīni'lh:
MAT.2.5	―Natahui'la nac Belén xala' nac estado de Judea. Chuntza' tzo'kli huan a'cta'sana':
MAT.2.6	Lā' Belén xala' huan ti'ya't a'nlhā huanican Judá, a'yuj lej xati'na'j na ixlaclhni'ca'n huan municipios nac huā'mā' ti'ya't, pero līhua'ca' tasqui'nī como nalacatuncuīyācha' a'ntza' kalhatin māpa'ksīni'.
MAT.2.6	Lā' xla' nacāmaktaka'lha quintachi'xcuhuī't a'ntī cāhuanican israelitas.
MAT.2.7	Lā' Herodes lakatzē'k cāmāta'satīnīni'lh huan magosnu' lā' cākalhasqui'nīlh lhānīn tasu'yulh huan sta'cu lā' tūyā chi'chini' lā' tūyā mālhcuyu'. 
MAT.2.8	Lā' cāmacā'lh nac Belén lā' cāhuanilh:
MAT.2.8	―Capinchipitit lā' nalīhui'lī'yā'tit naputzayā'tit huan ska'ta'. Lā' a'xni'ca' nakaksā'tit, naquilāmāca'tzīnīyāuj para que quit nā tzē na'ica'n na'icmācā'tanī ―chuntza' cāhuanilh Herodes.
MAT.2.9	Lā' a'xni'ca' cātā'chihuīna'nkō'lh huan rey, ta'a'lh huan magosnu'. Lā' huan sta'cu a'ntū ixtalaktzī'nī't ixtankēn, ū'tza' cāpū'lani'lh lā' cāmāsu'ni'lh huan tej hasta lhā tāyalh tālhmā'n a'nlhā ixuī' huan ska'ta'.
MAT.2.10	Lā' a'xni'ca' huan magosnu' talaktzī'lh a'nchī tāyalh huan sta'cu, lej tapāxuhualh xlaca'n. 
MAT.2.11	Lā' a'xni'ca' tatanūlh huan nac chic, talaktzī'lh huan ska'ta' lā' María a'ntī ixtzī't. Lā' tatatzokostani'lh lā' tataquilhpūtani'lh lā' tamācā'tanīlh huan ska'ta'. Lā' tamakxcutli huan a'ntū ixtalē'ni' lā' ta'a'ksajli oro lā' pūm lā' perfume a'ntū huanican mirra. 
MAT.2.12	Lā' ā'calīstān tataspi'tchokolh por ā'kantin tej como ixtalakahuāna'nī't lā' chuntza' cālīmāca'tzīnīca que tū' catatētaxtulh a'ntza' na ixchic Herodes.
MAT.2.13	A'xni'ca' ixta'a'nī'ttza' huan magosnu', José lakahuāna'lh lā' tasu'yuni'lh kalhatin ángel a'ntū macamilh huan Māpa'ksīni' Dios. Lā' huan ángel huanilh:
MAT.2.13	―Catāqui'. Cacālī'pi huan ska'ta' lā' ixtzī't lā' catzā'la'tit nac huan país a'nlhā huanican Egipto. A'ntza' natachokoyā'tit hasta a'xni'ca' na'icmāca'tzīnīyāni' porque huan Herodes, xla' naputza huan ska'ta' como maknīcu'tun.
MAT.2.14	Lā' José tāquī'lh a'xni'ca' tzī'sacus ixuanī't lā' a'lh. Cālē'lh huan ska'ta' lā' ixtzī't. Ta'a'lh huan nac ti'ya't a'nlhā huanican Egipto. 
MAT.2.15	A'ntza' tatachokolh hasta a'xni'ca' nīlh huan Herodes. Huā'mā' pātle'kelh para natlōkentaxtū a'ntū huan Māpa'ksīni' Dios ixuanī't por ixpālacata huan a'cta'sana'. Chuntza' hualh: “Ixuī' nac Egipto qui'O'kxa' lā' icmāta'sīlh”.
MAT.2.16	Lā' a'xni'ca' Herodes ca'tzīlh palh ixta'a'kxokonī't huan magosnu', xla' lej a'kchā'lh. Lā' māpa'ksīni'lh que cacāmaknīca huan lakska'tā'n a'ntī xachi'xcu'. Cāmāmaknīnīni'lh ixlīhuākca'n huan camana' xachi'xcu' xalanī'n nac Belén lā' ixlīka'tla' huan cālacchicni'. Cāmāmaknīnīni'lh ixlīhuākca'n a'ntīn tūna'j ixtaka'lhī lakatu' cā'ta. Chuntza' māpa'ksīlh como ixtlahuanī'ttza' hua'chi lakatu' cā'ta desde a'xni'ca' ixlacatuncuīnī't huan ska'ta' chu a'nchī tahualh huan magosnu'. 
MAT.2.17	Chuntza' tlōkentaxtūlh a'ntū tzo'kli huan a'cta'sana' a'ntī ixuanican Jeremías. Chuntza' tzo'kli:
MAT.2.18	Kaxmatcan a'nchī calhuancan huan nac cā'lacchicni' a'nlhā huanican Ramá lā' lej ta'sacan.
MAT.2.18	Raquel ū'tza' a'ntī calhuamā' ixpālacata ixcamana'.
MAT.2.18	Lā' tūla māko'xamixīcan como ixtanīnī'ttza'.
MAT.2.18	Chuntza' tzo'kli.
MAT.2.19	Pero a'xni'ca' ixnīnī'ttza' huan Herodes, José lakahuāna'mpā a'nlhā ixuī' nac Egipto. Lā' tasu'yuni'lh kalhatin ángel a'ntī macamilh huan Māpa'ksīni' Dios lā' huanilh:
MAT.2.20	―Catāqui' lā' cacālī'pi huan ska'ta' lā' ixtzī't. Lā' cataspi'ttit huan nac ti'ya't a'nlhā huanican Israel porque tanīlhtza' xlaca'n a'ntī ixtamaknīcu'tun huan ska'ta' ―hualh huan ángel.
MAT.2.21	Lā' José tāquī'lh lā' a'lh lā' cālē'lh huan ska'ta' lā' ixtzī't hasta nac Israel. 
MAT.2.22	Pero Arquelao a'ntī ixlaktapalh ixtāta' Herodes ixuanī't lā' ixmāpa'ksīni'mā' a'nlhā huanican Judea. Lā' a'xni'ca' José ca'tzīlh huā'mā', ixjicua'n lā' tū' ixa'ncu'tun a'ntza'. Lā' a'xni'ca' lakahuāna'mpā, māca'tzīnīca a'nlhā ixta'a'lh lā' ū'tza' talī'a'lh huan nac ti'ya't a'nlhā huanican Galilea. 
MAT.2.23	Lā' a'xni'ca' tachā'lh a'ntza' nac Galilea, ta'a'lh huan nac cā'lacchicni' a'nlhā huanican Nazaret para natalatahui'la. Chuntza' pātle'kelh para natlōkentaxtū a'ntū tahualh huan a'cta'sana'nī'n. Tahualh: “Jesús namāpācuhuīcan nazareno”.
MAT.3.1	Lā' huanmā'na quilhtamacuj milh nac cā'lhpi'mpi'li' ti'ya't nac Judea huan Juan a'ntī ixmā'kpaxīni'n. Ixa'cta'sana'mā' 
MAT.3.2	lā' ixcāhuani huan tachi'xcuhuī't:
MAT.3.2	―Caxtāpalī'tit mintapāstacna'ca'n lā' camakxtektit mintalaclē'i'ca'n porque tapajtzūmā' a'xni'ca' Dios nacāmāpa'ksīkō' huan tachi'xcuhuī't.
MAT.3.3	Lā' huan a'cta'sana' Isaías tzo'kli a'nchī huan tachi'xcuhuī't nataxtāpalī ixtapāstacna'ca'n lā' natakalhlaka'ī'. Lā' tzo'kli ixpālacata huā'mā' Juan a'nlhā huan chuntza':
MAT.3.3	A'ntza' a'nlhā cā'lhpi'mpi'li' ti'ya't, nakaxmatcan catīhuā a'ntī palha' nachihuīna'n lā' nahuan: “Cacāxtlahua'tit huan tej como mimā' huan Māpa'ksīni'. Stu'nc camālakstu'nctit huan tej”.
MAT.3.4	Lā' ixlu'xu' huā'mā' Juan līcāxtlahualh ixchi'xit camello lā' ixlīchī'can de ko'xka' ixuanī't. Lā' xla' ixua' hui'qui'lī't lā' ta'xcāt xala' nac cā'qui'huī'n. 
