MAT.1.2	Abraham Aisaak vaa apa, Aisaak Jakop vaa apa, Jakop Judah leh anaovaa anpa. 
MAT.1.3	Che Judah Tamar soh Peres leh Jerah vaa anpa, Peres Hejaron vaa apa, Hejaron Raam vaa apa, 
MAT.1.4	Raam Aminadep vaa apa, Aminadep Nason vaa apa, Nason Salmon vaa apa, 
MAT.1.5	che Salmon Rahap soh Boas vaa anpa, Boas Ruth soh Obet vaa anpa, Obet Jesi vaa apa, 
MAT.1.6	che Jesi Devit kurungvaa apa.
MAT.1.6	Devit Uriah vaa akmeinata Solomon vaa apa, 
MAT.1.7	che Solomon Rehoboam vaa apa, Rehoboam Abia vaa apa, Abia Asa vaa apa, 
MAT.1.8	che Asa Jehosaphet vaa apa, Jehosaphet Joram vaa apa, Joram Ujiah vaa apa, 
MAT.1.9	che Ujiah Jotham vaa apa, Jotham Ahas vaa apa, Ahas Hejekiah vaa apa, 
MAT.1.10	che Hejekiah Manaseh vaa apa, Manaseh Amos vaa apa, Amos Josiah vaa apa. 
MAT.1.11	Che Josiah Jekoniah leh amah anaovaa anpa, mahlai Babilon na suura anphurhpei.
MAT.1.12	Che Babilon na suura anphurhnua: Jekoniah Saltiel vaa apa, Saltiel Jerubabel vaa apa, 
MAT.1.13	che Jerubabel Abihut vaa apa, Abihut Eliakim vaa apa, Eliakim Ajor vaa apa, 
MAT.1.14	che Ajor Jadok vaa apa, Jadok Akim vaa apa, 
MAT.1.15	Eliud Eliajar vaa apa, Eliajar Mathan vaa apa, Mathan Jakop vaa apa, 
MAT.1.16	che Jakop Meri amsal Joseph vaa apa, anmahnata Khrista antih Jisu kha poksa.
MAT.1.17	Chunna mah ringnatluun Abraham nata Devit phah anaamte i ringnatluun somlei manli, che Devit nata Babilon na suura anphurh phah i ringnatluun somlei manli; che Babilon na suura anphurhnata Misaiah phah i ringnatluun somlei manli.
MAT.1.19	Amah amsal Joseph vah akchimlamseh mii khat veia amah in atlannoh miikaara madangnoh a inrukte amdahnatu amdonpei. 
MAT.1.20	Mahchunanga tlohtsangta anchaang suung, Akpu vaa ringroi inkhat in akmanga mamuh a akuunga ason, “Devit vaa asa kupa Joseph, Meri ta nikmei maveia lou trihnohro, alamva amah in akpooi naoi Li Akseeng tingna; 
MAT.1.21	amah in kupasa inkhat apoktu, che nangin amahvaa akming Jisu niongtu, alamva amah in amiieita anlehnata akaltuei.
MAT.1.22	“Mah naamte i Akpu trong akson ringraan in asonkha atlungnatu veisa, mah chuvah:
MAT.1.23	“Anve akseeng rungaak inkhat in nao inpooia kupasa inkhat apoktu,
MAT.1.23	“che anmah in amahvaa akming Immanuel an ongtu.”
MAT.1.23	(Mahchu arthava, “Ringpu in inihta inimrui.”) 
MAT.1.24	Joseph in a ihnata inthoua Akpu vaa ringroin amahkuunga jathang amlankha amjuihpei, che amah in Meri ta akmei veia alohpei. 
MAT.1.25	Chuta Meri in asa kupa apoknohmiil amahta inchunpinoh, amah in naota akming Jisu aongpei.
MAT.2.2	“Judiei kurung pokkha ramnasame? Alamva kannih in amahvaa arsita kulkung tonga kanmuh, churella amahta amthruun thlengsung.” 
