MAT.1.1	Manjari, amu ini in usulan sin pangkat hi Īsa Almasi, hambuuk panubuꞌ hi Daud, amu in hambuuk panubuꞌ hi Ibrahim.
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Biyaꞌ ha ini in pangkat hi Īsa Almasi tagnaan dayn kan Ibrahim sampay naabut mawn kan Sultan Daud.
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Hi Ibrahim, in anak niya hi Isahak;
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	in hi Isahak, in anak niya hi Yaꞌkub;
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	in hi Yaꞌkub, in anak niya hi Yudah iban sin manga taymanghud niya.
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	Sakali in anak sin Yudah hi Piris kay Sira (in inaꞌ nila hi Tamar).
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	In hi Piris, in anak niya hi Hisdun;
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	in hi Hisdun, in anak niya hi Aram;
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	in hi Aram, in anak niya hi Amminadab;
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	in hi Amminadab, in anak niya hi Nassun;
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	in hi Nassun, in anak niya hi Salmun;
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	in hi Salmun, in anak niya hi Buwas (in inaꞌ hi Buwas hi Rahab);
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	in hi Buwas, in anak niya hi Ubid (in inaꞌ hi Ubid hi Rut);
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	in hi Ubid, in anak niya hi Jissi;
MAT.1.2+MAT.1.3+MAT.1.4+MAT.1.5+MAT.1.6	in hi Jissi, in anak niya hi Sultan Daud.
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	Na, biyaꞌ ha ini isab in usulan sin pangkat hi Īsa tagnaan dayn kan Sultan Daud sampay pa waktu narā in manga tau Israil pa hulaꞌ Babilun ha bukun nila kabayaan.
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	In hi Daud, in anak niya hi Sulayman (in inaꞌ hi Sulayman amuna in bakas asawa hi Uriyas);
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	in hi Sulayman, in anak niya hi Rubuwam;
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	in hi Rubuwam, in anak niya hi Abiyas;
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	in hi Abiyas, in anak niya hi Asa;
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	in hi Asa, in anak niya hi Jusapat;
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	in hi Jusapat, in anak niya hi Jihuram;
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	in hi Jihuram, in anak niya hi Usiyas;
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	in hi Usiyas, in anak niya hi Jutam;
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	in hi Jutam, in anak niya hi Ahas;
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	in hi Ahas, in anak niya hi Hijikiyas;
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	in hi Hijikiyas, in anak niya hi Manassi;
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	in hi Manassi, in anak niya hi Amun;
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	in hi Amun, in anak niya hi Jusiyas;
MAT.1.7+MAT.1.8+MAT.1.9+MAT.1.10+MAT.1.11	in hi Jusiyas, in anak niya hi Jihuyakin iban sin manga taymanghud niya.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	Hāti dayn na waktu narā in manga tau Israil pa hulaꞌ Babilun sampay pa waktu piyagꞌanak hi Īsa, biyaꞌ ha ini isab in usulan sin pangkat niya.
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	In hi Jihuyakin, in anak niya hi Salati;
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	in hi Salati, in anak niya hi Sirubbabil;
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	in hi Sirubbabil, in anak niya hi Abiyud;
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	in hi Abiyud, in anak niya hi Iliyakim;
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	in hi Iliyakim, in anak niya hi Asur;
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	in hi Asur, in anak niya hi Saduk;
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	in hi Saduk, in anak niya hi Akim;
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	in hi Akim, in anak niya hi Iliud;
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	in hi Iliud, in anak niya hi Iliyasar;
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	in hi Iliyasar, in anak niya hi Mattan;
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	in hi Mattan, in anak niya hi Yaꞌkub;
MAT.1.12+MAT.1.13+MAT.1.14+MAT.1.15+MAT.1.16	in hi Yaꞌkub, in anak niya hi Yusup. Hi Yusup amuna in nakaasawa kan Mariyam inaꞌ hi Īsa, amu in pagꞌiyanun Almasi.
MAT.1.17	Na, manjari awn hangpuꞌ tagꞌupat pangkat in nanubuꞌ tagnaan dayn kan Ibrahim sampay naabut mawn kan Daud. Hāti tagnaan dayn kan Daud sampay pa waktu narā in manga tau Israil pa hulaꞌ Babilun awn isab hangpuꞌ tagꞌupat pangkat in nanubuꞌ. Hāti awn isab hangpuꞌ tagꞌupat pangkat in nanubuꞌ dayn ha waktu narā in manga tau Israil pa hulaꞌ Babilun sampay naabut piyagꞌanak in Almasi.
MAT.1.18	Biyaꞌ ha ini in kahālan sin pagꞌanak kan Īsa Almasi. In hi Mariyam, inaꞌ niya, saꞌbu nagtutunang iban hi Yusup, sagawaꞌ ha walaꞌ pa sila nakapagtiyaun kiyananaman niya sin burus siya dayn ha kusug sin kudarat sin Rū sin Tuhan. 
MAT.1.19	In hi Yusup ini hambuuk tau miyamagad sadja ha daakan sin Tuhan. Pagga niya kiyaingatan sin burus hi Mariyam napikil niya baybarun na in pagtunang nila
MAT.1.20	Sakali ha saꞌbu hi Yusup namimikil sin pasal ini, nakalipat siya sartaꞌ nanagainup siya. Ha lawm tagainup niya nagpanyataꞌ mawn kaniya in hambuuk malāikat naraak sin Tuhan. Namung in malāikat, amu agi, “Yusup, hambuuk panubuꞌ hi Daud, ayaw kaw mahanggaw umasawa kan Mariyam. Karnaꞌ in siya yan naburus dayn ha kusug sin kudarat sin Rū sin Tuhan. 
MAT.1.21	Umanak siya hambuuk bataꞌ-bataꞌ usug iban ngānan mu in bataꞌ-bataꞌ yan hi Īsa, sabab siya na yan in manglappas ha tau niya dayn ha manga dusa nila.” (Amu yadtu in pamung kaniya sin malāikat.)
MAT.1.22	Na, nabunnal in kiyabaytaꞌ sin Tuhan amu in kiyasulat nakauna hi Nabi Isayas ha lawm Kitab, amu agi, 
MAT.1.23	“Ha susūngun awn hambuuk budjang magburus iban magꞌanak siya hambuuk bataꞌ-bataꞌ usug. In bataꞌ-bataꞌ usug ini amuna in pagtawagun Immanwil.” (In hāti sin Immanwil, “Yari in Tuhan limamud kātuꞌniyu.”)
MAT.1.24	Na, pagbatiꞌ hi Yusup iyagad niya in baytaꞌ sin malāikat kaniya. Tiyaunan niya na hi Mariyam. 
MAT.1.25	Sumagawaꞌ walaꞌ siya naghulid kay Mariyam ha salugay walaꞌ pa siya nagꞌanak. Pagꞌanak hi Mariyam, ngiyānan hi Yusup in bataꞌ-bataꞌ usug hi Īsa.
MAT.2.1	Manjari in hi Īsa piyagꞌanak duun ha kawman sin Baytlaham, ha hulaꞌ Yahudiya, ha waktu sin pagsultan hi Sultan Hirud. Bukun mawgay awn dimatung manga tau dayn ha subangan mawn pa Awrusalam (Baytal Makdis). In manga tau ini ilmuan, amu in nangangadjiꞌ pasal sin manga bituun ha langit. 
MAT.2.2	Pagdatung nila pa Awrusalam (Baytal Makdis), magtūy sila nangasubu, laung nila, “Ha unu in sultan sin manga bangsa Yahudi amu in baꞌgu piyagꞌanak? Kītaꞌ namuꞌ gimuwaꞌ dayn ha subangan in bituun amu in tandaꞌ sin piyagꞌanak na siya. Hangkan miyari kami mamudji kaniya.”
MAT.2.3	Pagdungug hi Sultan Hirud sin pasal ini miyugaꞌ tuud siya sambil da isab sin katān tau ha Awrusalam (Baytal Makdis). 
MAT.2.4	Piyatawag hi Sultan Hirud in katān manga nakuraꞌ kaimaman iban sin manga guru saraꞌ agama. Pagꞌubus ampa niya sila iyasubu, laung niya, “Ha unu hipagꞌanak in Almasi?”
MAT.2.5	In sambung nila, “Didtu ha Baytlaham, ha hulaꞌ Yahudiya, karnaꞌ in yan kiyabaytaꞌ hi Nabi (Mikas) ha lawm Kitab, amu agi,
MAT.2.6	‘Kamu manga tau ha kawman Baytlaham ha hulaꞌ Yahudiya,
MAT.2.6	minsan in kawman niyu asibiꞌ, in kamu, tau mataas,
MAT.2.6	sabab awn gumuwaꞌ dayn kaniyu hambuuk nakuraꞌ
MAT.2.6	amu in magꞌiipat ha manga tau ku, amu in bangsa Israil biyaꞌ sapantun tau magꞌiipat bili-bili.’”
MAT.2.6	(Amu yan in kiyasulat sin nabi ha lawm Kitab.)
MAT.2.7	Pagdungug hi Hirud sin bihādtu, magtūy niya piyakawaꞌ in manga bisita dayn ha subangan dāhun niya magbichara ha wayruun makaingat tau dugaing. Pagdatung nila mawn, iyasubu sila hi Hirud bang kaꞌnu nila tuud tagnaꞌ kītaꞌ in bituun. Sakali kiyabaytaan mayan siya sin manga bisita, 
MAT.2.8	piyakadtu niya sila pa Baytlaham iban laung niya kanila, “Kadtu kamu iban lawaga niyu marayaw in bataꞌ-bataꞌ. Iban bang niyu siya kabaakan na, balik kamu magtūy, baytai niyu aku bat isab aku makakadtu mamudji kaniya.”
MAT.2.9+MAT.2.10	Pagꞌubus sin sultan nagbichara, miyanaw na in manga tau dayn ha subangan. Ha saꞌbu pa sila miyamanaw, kītaꞌ nila isab nagbalik in bituun amu in bakas kītaꞌ nila didtu ha hulaꞌ nila ha subangan. Pagkitaꞌ nila, landuꞌ tuud sila kiyūgan. Miyanaw in bituun ha unahan nila ampa himundung ha lugal kiyabubutangan sin bataꞌ-bataꞌ. 
MAT.2.11	Simūd sila pa lawm bāy. Pagsūd nila, kītaꞌ nila in bataꞌ-bataꞌ iban sin inaꞌ niya hi Mariyam. Simujud sila ampa nila piyudji in bataꞌ-bataꞌ. Iyukab nila na in manga darāhan nila iban piyanghulmat nila na mawn pa bataꞌ-bataꞌ in bulawan, kamanyan, iban ubat mahalgaꞌ pagtawagun “mira”. 
MAT.2.12	Na, ha sūng nila muwiꞌ pa hulaꞌ nila, limabay sila dayn ha dugaing dān sabab asal sila biyandaan sin Tuhan ha lawm tagainup nila, diꞌ sila pabalikun madtu kan Hirud.
MAT.2.13	Pagꞌīg nila, awn hambuuk malāikat diyaak sin Tuhan nagpakitaꞌ mawn kan Yusup ha lawm tagainup niya. Namung in malāikat kaniya, amu agi, “Bangun kaw ampa mu dāha in bataꞌ-bataꞌ iban sin inaꞌ niya maguy pa hulaꞌ Misir, iban ayaw kamu mīg dayn didtu ha salugay diꞌ ta kamu baytaan paīgun. Karnaꞌ in bataꞌ-bataꞌ yan hipalawag hi Hirud hipapatay.”
MAT.2.14	Magtūy hi Yusup nagbangun. Sin dūm da yadtu diyā niya magtūy in bataꞌ-bataꞌ iban sin inaꞌ pa hulaꞌ Misir. 
MAT.2.15	Duun na sila himulaꞌ ha Misir sampay miyatay hi Hirud. Na, dayn duun nabunnal in baytaꞌ sin Tuhan kiyabaytaꞌ hi Nabi (Husiyas), amu agi, “Piyauwiꞌ ku in Anak ku dayn ha hulaꞌ Misir.”
MAT.2.16	Manjari ha waktu buhiꞌ pa hi Sultan Hirud, pagꞌingat niya sin iyakkalan siya sin manga tau ilmuan nanibaw dayn ha subangan, diyugalan tuud siya. Magtūy siya nagdaak hipapatay in katān bataꞌ-bataꞌ usug ha kawman Baytlaham sampay pa manga dugaing kawman ha pangdaig niya, dayn ha umul duwa tahun sampay pa manga baꞌgu piyagꞌanak sabab giyantaꞌ niya na dayn ha pagbaytaꞌ sin manga tau dayn ha subangan, bang kaꞌnu nila tagnaꞌ kītaꞌ in bituun.
MAT.2.17	Na, nabunnal tuud in bakas bichara hi Nabi Irmiyas, laung niya,
MAT.2.18	“Karungugan in tingug ha dāira Rama,
MAT.2.18	tingug sin pagtangis iban pagsilawak.
MAT.2.18	Duun in manga panubuꞌ hi Rakiya nagmamatay ha manga anak nila.
MAT.2.18	Diꞌ sila mabayaꞌ ūūhun
MAT.2.18	sabab miyatay in manga anak nila.”
MAT.2.19	Manjari miyatay mayan hi Hirud, nagpakitaꞌ na isab nagbalik in malāikat diyaak sin Tuhan mawn kan Yusup ha lawm tagainup, duun ha hulaꞌ Misir. 
MAT.2.20	Amu agi sin malāikat, “Bangun kaw ampa mu dāha in bataꞌ-bataꞌ iban inaꞌ niya magbalik pa hulaꞌ Israil, sabab in manga tau amu in mabayaꞌ mamatay ha bataꞌ-bataꞌ miyatay na.” (Na, amu yadtu in pamung sin malāikat kan Yusup.) 
MAT.2.21	Pagbangun hi Yusup, magtūy niya diyā in bataꞌ-bataꞌ iban sin inaꞌ nagbalik pa hulaꞌ Israil.
MAT.2.22	Sagawaꞌ, pagdungug hi Yusup sin hi Arkilas in nakagantiꞌ nagsultan ha amaꞌ niya hi Hirud ha hulaꞌ Yahudiya, miyugaꞌ hi Yusup magbalik madtu. Hangkan himarap sila madtu pa hulaꞌ Jalil, karnaꞌ biyaꞌ da isab ha yan in baytaꞌ kaniya ha lawm tagainup niya. 
MAT.2.23	Pagdatung nila pa hulaꞌ Jalil, duun sila himulaꞌ ha kawman Nasarit. Na, nabunnal tuud isab in baytaꞌ sin manga kanabihan pasal hi Īsa Almasi, laung nila, “In siya tawagun hambuuk tau Nasarit.”
MAT.3.1	Manjari ha waktu yadtu hi Yahiya amu in Mangliliguꞌ miyawn nagnasīhat pa hulaꞌ Yahudiya, duun ha hulaꞌ paslangan mahunit paghulaan. 
MAT.3.2	Laung niya ha manga tau, “Pagtawbati niyu na in manga dusa niyu sabab masuuk na dumatung mari in pamarinta sin Tuhan.” 
MAT.3.3	Bang paamuhun, hi Yahiya ini amuna in tau piyagꞌiyan hi Nabi Isayas, laung niya,
MAT.3.3	“Awn hambuuk tau ha lawm hulaꞌ paslangan mahunit paghulaan. Manawag-tawag siya ha manga tau, amu agi niya,
MAT.3.3	‘Parayawa niyu iban pabuntula niyu in dān sabab masuuk na lumabay in Panghuꞌ.’ ”
MAT.3.4	In tamungun hi Yahiya ini hīnang dayn ha bulbul untaꞌ iban nagsasabitan siya pais sapiꞌ, iban in pagkaunun niya hambuuk ginis sin ampan dulu iban gulaꞌ pussukan. 
MAT.3.5	Na, miyawn in manga tau dayn ha Awrusalam (Baytal Makdis) iban dayn ha katilingkal sin hulaꞌ Yahudiya iban na dayn ha katān hulaꞌ ha katilibut sin Subaꞌ Jurdan dimungug kan Yahiya. 
MAT.3.6	Miyawn sila kaniya nagsabunnal sin manga dusa nila, iban nagpaliguꞌ na sila kan Yahiya duun ha Subaꞌ Jurdan.
MAT.3.7	Sagawaꞌ pagkitaꞌ hi Yahiya mataud manga tau agad ha parhimpunan sin Parisi iban agad ha parhimpunan sin Sadduki in miyawn kaniya nagpaliguꞌ, laung niya kanila, “In kamu yan panipu! Magpabawꞌ-bawꞌ sadja kamu mabuntul, sagawaꞌ bingkuk in lawm atay niyu. Na, in pangannal niyu makapuas kamu dayn ha murkaꞌ sin Tuhan amu in masuuk na dumatung bang kamu magpaliguꞌ? 
MAT.3.8	Bang kamu diꞌ tuud mabayaꞌ pagmurkaan sin Tuhan pakitaan niyu dayn ha kawl-piil niyu marayaw sin piyagtawbatan niyu na tuud in manga dusa niyu. 
MAT.3.9	Ayaw kamu magpikil sin diꞌ kamu kugdanan sin murkaꞌ sin Tuhan sawkat kamu panubuꞌ hi Ibrahim sabab baytaan ta kamu, minsan in manga batu ini mapapanjari sin Tuhan tau, hinangun panubuꞌ hi Ibrahim higantiꞌ kaniyu. 
