MAT.1.1	Bwen, aj ntzanije' kye tijajil Jesukrist aj tijajil Dawid aj tijajil Abran:
MAT.1.2	Ntons, te Abran a tetz k'wa'lon ti'j Isak, b'ix te Isak k'wa'lon ti'j Jacob, b'ix te Jacob k'wa'lon ti'j Juda b'ix kyi'j kye txq'anky aj titz'in. 
MAT.1.3	Te Juda otzaj tk'wa'li' ti'j Tamar te Pars b'ix Sar.
MAT.1.4	Te Aran k'wa'lon ti'j Aminadab, b'ix te Aminadab k'wa'lon ti'j Naxhon, b'ix te Naxhon k'wa'lon ti'j Salmon. 
MAT.1.5	Te Salmon otzaj tk'wa'li' ti'j Rakab te Boxh, b'ix te Boxh otzaj tk'wa'li' ti'j Rut te Jobed, b'ix te Jobed k'wa'lon ti'j Jesay.
MAT.1.6	Te Jesay k'wa'lon ti'j Dawid aj twitzale' k'ulul mandad, b'ix te Dawid otzaj tk'wa'li' te Salomon ti'j te [Betsabe] aj txu'jel tuq Uriys. 
MAT.1.7	Te Salomon k'wa'lon ti'j Roboam, b'ix te Roboam k'wa'lon ti'j Abiys, b'ix te Abiys k'wa'lon ti'j Asa. 
MAT.1.8	Te Asa k'wa'lon ti'j Chospat, b'ix te Chospat k'wa'lon ti'j Joran, b'ix te Joran k'wa'lon ti'j Osiy.
MAT.1.9	Te Osiy k'wa'lon ti'j Jotan, b'ix te Jotan k'wa'lon ti'j Aka'xh, b'ix te Aka'xh k'wa'lon ti'j Esekiy. 
MAT.1.10	Te Esekiy k'wa'lon ti'j Manases, te Manases k'wa'lon ti'j Amon, b'ix te Amon k'wa'lon ti'j Josiy. 
MAT.1.11	Te Josiy k'wa'lon ti'j Jekoniys b'ix kyi'j kye txq'anky aj titz'in, tuj aj tyemp aj kxik in kye aj tijajil Israel tuj Babilony.
MAT.1.12	Aj akyeqet tuq tuj Babilony, te Jekoniys tetz otzaj tk'wa'li' Xhlatye'l, b'ix te Xhlatye'l k'wa'lon ti'j Xhbabe'l. 
MAT.1.13	Te Xhbabe'l k'wa'lon ti'j Abyuxh, b'ix te Abyuxh k'wa'lon ti'j Elyakim,
MAT.1.14	Te Asor tetz k'wa'lon ti'j Chok, b'ix te Chok tetz k'wa'lon ti'j Akim b'ix te Akim tetz k'wa'lon ti'j Elyu. 
MAT.1.15	Te Elyu k'wa'lon ti'j Elya'xh, b'ix te Elya'xh k'wa'lon ti'j Matan, b'ix te Matan k'wa'lon ti'j Jacob. 
MAT.1.16	B'ix te Jacob k'wa'lon ti'j Chep aj tichmil Liy, b'ix ti'j te Liy owitz'jik te Jesus, aj n'ok q'uma' Te Koloyon Aj Q'umankaj Oqtxi'.
MAT.1.17	Ntons ojetq tuq ky'ik kajlajuj chmanb'aj kxol te Abran b'ix max te Dawid. B'ix yaji oky'ik junky kajlajuj chmanb'aj kxol te Dawid max aj kxik in kye aj Tijajil Israel tuj Babilony, b'ix yaji junky kajlajuj chmanb'aj oky'ik atx aj kxiklen in kye tijajil Israel tuj Babilony max aj titz'jik Te Koloyon Aj Q'umankaj Oqtxi'.
MAT.1.18	Ntons, te Jesukrist owitz'jik ikxjani: Te Liy aj tnan te Jesus, ojetq tuq qet stzaq'b'e' tzan tok junan tuky'i Chep;
MAT.1.19	Te Chep, komo tetz jun b'an galan xjal tuq, k'on tgan tuq tzan tel tpakb'a' ti'j te Liy, astilji oqet tb'isu' tzan tkaj tsi' tuq te Liy ewj. 
MAT.1.20	B'ix tzunx tuq tetz nqet tb'isu' ikxji, yaji jun ángel tmandader Qajawil ojaw kanet twitz tuj twitzik' b'ix oxik tq'uma' tetz ikxjani: «Chep, yatz aj tijajil Dawid a'ich, k'on chb'isun tzan tjaw axujela' te Liy, tzan tpaj te tal aj owitz'jel, tk'wa'l Txew Dios. 
MAT.1.21	Te Liy owitz'jel jun tal b'ix yatz owokel asi' tb'i Jesus
MAT.1.22	Kyaqil ntzani oky'ik tzan tponkix te aj ojetq tuq tzaj tq'uma' te Qajawil tuky'i te [Chay] aj yolil tyol oqtxi' aj txik tq'uma' ikxjani: 
MAT.1.23	“Jun xuj aj mina' tok ten twitz ichan owokelten tal, b'ix otzajel jun tal ichan aj owokel si' tb'i Exhwe'l aj telponx te Qtata Dios atqet quky'i'l.”
MAT.1.24	Ya ma tzaj k'asik te Chep ti'j te twitzik', oqet tk'ulu' iktza'xkix ojetq tzaj tq'uma' te ángel aj tlajen Qajawil b'ix ojaw txujela' te Liy. 
MAT.1.25	Per k'onti'l oqet witan tuky'i'l maxkix aj titz'jik te tal, b'ix te Chep owok tsi' tb'i Jesus.
MAT.2.1	Te Jesus owitz'jik tuj Belen, jun tal amaq' tuj tkwentil Judey. Tuj aj tyempji nk'ulun mandad tuq te Eródes. Ntons eb'ajpon tuj Jerusalen txq'an xjal xnaq'tzal che'w twitz ka'j, kyetz tzajnaqe' tuq tuj palaj aj ja' njakul q'ij. 
MAT.2.2	Kyetz oxik kcha'o' [kxol kye xjal] ikxjani: «¿Ja' atqet te k'ulul mandad kyi'j kye aj tijajil Israel, te twitzale' k'ulul mandad aj ma'tx tz'itz'jik? Qetza ma'tx xik qena te che'w twitz ka'j aj telponx ti'j tetz, ma'tx xik qena aj ja' njakul q'ij. Astilji qetza ma'tx qo'ulna tzan tqet qna'o'.»
