MAT.1.1	Ǝntanay da esmawan n aljadan ǝn Ɣaysa Ǝlmǝsix, ahaya n ǝnnǝbi Dawǝd, d ǝnnǝbi Ibrahim:
MAT.1.2	Ibrahim eraw Isǝhaq.
MAT.1.2	Isǝhaq eraw Yaqub.
MAT.1.2	Yaqub eraw Yahuda ǝd mǝdrayan-net.
MAT.1.3	Yahuda eraw Farǝs ǝd Zarax,
MAT.1.3	anna-nasan esǝm-net Tamar.
MAT.1.3	Farǝs eraw Xasrun.
MAT.1.3	Xasrun eraw Ram.
MAT.1.4	Ram eraw Ɣaminadab.
MAT.1.4	Ɣaminadab eraw Našon.
MAT.1.4	Našon eraw Salmuna.
MAT.1.5	Salmuna eraw Boxaz was anna-net Rahab.
MAT.1.5	Boxaz eraw Ɣubayd was anna-net Rut.
MAT.1.5	Ɣubayd eraw Yasay.
MAT.1.6	Yasay eraw Dawǝd wa n ǝmǝnokal.
MAT.1.6	Dawǝd eraw Suliman was anna-net tantut n Urǝyya.
MAT.1.7	Suliman eraw Roxoboham.
MAT.1.7	Roxoboham eraw Abǝya.
MAT.1.7	Abǝya eraw Aza.
MAT.1.8	Aza eraw Yahušafat.
MAT.1.8	Yahušafat eraw Yuram.
MAT.1.8	Yuram eraw Ɣuzǝyas.
MAT.1.9	Ɣuzǝyas eraw Yutam.
MAT.1.9	Yutam eraw Axaz.
MAT.1.9	Axaz eraw Xizqǝyyas.
MAT.1.10	Xizqǝyyas eraw Manašša.
MAT.1.10	Manašša eraw Amun.
MAT.1.10	Amun eraw Yušǝya.
MAT.1.11	Yušǝya eraw Yakunǝya ǝd mǝdrayan-net.
MAT.1.11	Azzaman win den ǝntanay
MAT.1.11	a daɣ tawaɣan Kǝl-Israyil
MAT.1.11	ǝmmewayan s akal ǝn Babǝylon
MAT.1.11	ǝqqalan daɣ-as ikefǝlan.
MAT.1.12	Dǝffǝr adi, eraw Yakunǝya Šalatǝyel.
MAT.1.12	Šalatǝyel eraw Zǝrubabil.
MAT.1.13	Zǝrubabil eraw Abihud.
MAT.1.13	Abihud eraw Alyaqim.
MAT.1.13	Alyaqim eraw Yazur.
MAT.1.14	Yazur eraw Saduq.
MAT.1.14	Saduq eraw Xakim.
MAT.1.14	Xakim eraw Elǝyud.
MAT.1.15	Elǝyud eraw Elyazar.
MAT.1.15	Elyazar eraw Mattan.
MAT.1.15	Mattan eraw Yaqub.
MAT.1.16	Yaqub ǝnta a erawan Yusǝf
MAT.1.16	wa izlafan Maryama ta terawat Ɣaysa
MAT.1.16	was itawannu Ǝlmǝsix.
MAT.1.17	Daɣ adi maraw meddan d ǝkkoz a ǝllanen gǝr Dawǝd d ǝmaraw-net Ibrahim. Ǝllân-tu maraw d ǝkkoz gǝr Dawǝd d azzaman win ǝtǝwǝkfal ǝn Kǝl-Israyil ǝs Babǝylon, ǝllân-tu deɣ maraw d ǝkkoz gǝr ǝtǝwǝkfal ǝn Kǝl-Israyil ǝs Babǝylon ǝd tǝhǝwt ǝn Ɣaysa.
MAT.1.18	Ǝnta da ǝmmǝk was d-iggaz Ɣaysa Ǝlmǝsix ǝddǝnet: Maryama ta n anna ǝn Ɣaysa, imirakan dǝr-ǝs Yusǝf azalaf. Mišan harwa da wǝr tǝzlay ǝs Yusǝf, as tǝga tadist, ǝs tarna n Infas wa Zǝddigan. 
