MAT.1.1	ⵏ⵿ⵜⵏⵢ ⴹⴰ ⵙⵎⵓⵏ ⵏⵍⵌⴹⵏ ⵏ⵿ⵗⵢⵙⴰ ⵍⵎⵙⵈ ⵂⵢⴰ ⵏⵏⵀⵢ ⴹⵓⴹ ⴹⵏⵀⵢ ⵀⵔⵂⵎ
MAT.1.2	ⵀⵔⵂⵎ ⵔⵓ ⵙⵂⵆ⵰
MAT.1.2	ⵙⵂⵆ ⵔⵓ ⵢⵆⵀ⵰
MAT.1.2	ⵢⵆⵀ ⵔⵓ ⵢⵂⴹⴰ ⴹⵎⴹⵔⵢⵏⵜ⵰
MAT.1.3	ⵢⵂⴹⴰ ⵔⵓ ⴼⵔⵙ ⴹⵤⵔⵈ
MAT.1.3	ⵏⵏⵙⵏ ⵙⵎⵏⵜ ⵜⵎⵔ⵰
MAT.1.3	ⴼⵔⵙ ⵔⵓ ⵈⵙⵔⵏ⵰
MAT.1.3	ⵈⵙⵔⵏ ⵔⵓ ⵔⵎ⵰
MAT.1.4	ⵔⵎ ⵔⵓ ⵗⵎⵏⴹⵀ⵰
MAT.1.4	ⵗⵎⵏⴹⵀ ⵔⵓ ⵏⵛⵏ⵰
MAT.1.4	ⵏⵛⵏ ⵔⵓ ⵙⵍⵎⵏⴰ⵰
MAT.1.5	ⵙⵍⵎⵏⴰ ⵔⵓ ⵀⵈⵤ ⵓⵙ ⵏⵏⵜ ⵔⵂⵀ⵰
MAT.1.5	ⵀⵈⵤ ⵔⵓ ⵗⵀⵢⴹ ⵓⵙ ⵏⵏⵜ ⵔⵜ⵰
MAT.1.5	ⵗⵀⵢⴹ ⵔⵓ ⵢⵙⵢ⵰
MAT.1.6	ⵢⵙⵢ ⵔⵓ ⴹⵓⴹ ⵓⵏ ⵎⵏⴾⵍ⵰
MAT.1.6	ⴹⵓⴹ ⵔⵓ ⵙⵍⵎⵏ ⵓⵙ ⵏⵏⵜ ⵜⵏ⵿ⵜⵜ ⵏⵔⵢⴰ⵰
MAT.1.7	ⵙⵍⵎⵏ ⵔⵓ ⵔⵈⵀⵂⵎ⵰
MAT.1.7	ⵔⵈⵀⵂⵎ ⵔⵓ ⵀⵢⴰ⵰
MAT.1.7	ⵀⵢⴰ ⵔⵓ ⵤⴰ⵰
MAT.1.8	ⵤⴰ ⵔⵓ ⵢⵂⵛⴼⵜ⵰
MAT.1.8	ⵢⵂⵛⴼⵜ ⵔⵓ ⵢⵔⵎ⵰
MAT.1.8	ⵢⵔⵎ ⵔⵓ ⵗⵤⵢⵙ⵰
MAT.1.9	ⵗⵤⵢⵙ ⵔⵓ ⵢⵜⵎ⵰
MAT.1.9	ⵢⵜⵎ ⵔⵓ ⵈⵤ⵰
MAT.1.9	ⵈⵤ ⵔⵓ ⵈⵤⵆⵢⵙ⵰
MAT.1.10	ⵈⵤⵆⵢⵙ ⵔⵓ ⵎⵏⵛⴰ⵰
MAT.1.10	ⵎⵏⵛⴰ ⵔⵓ ⵎⵏ⵰
MAT.1.10	ⵎⵏ ⵔⵓ ⵢⵛⵢⴰ⵰
MAT.1.11	ⵢⵛⵢⴰ ⵔⵓ ⵢⴾⵏⵢⴰ ⴹⵎⴹⵔⵢⵏⵜ⵰
MAT.1.11	ⵤⵎⵏ ⵓⵏ ⴹⵏ ⵏ⵿ⵜⵏⵢ
MAT.1.11	ⴰ ⴹⵗ ⵜⵓⵗⵏ ⴾⵍⵙⵔⵢⵍ
MAT.1.11	ⵎⵓⵢⵏ ⵙⴾⵍ ⵏⵀⵀⵢⵍⵏ
MAT.1.11	ⵆⵍⵏ ⴹⵗⵙ ⴾⴼⵍⵏ⵰
MAT.1.12	ⴹⴼⵔ ⴹⵢ ⵔⵓ ⵢⴾⵏⵢⴰ ⵛⵍⵜⵢⵍ⵰
MAT.1.12	ⵛⵍⵜⵢⵍ ⵔⵓ ⵤⵔⵀⵀⵍ⵰
MAT.1.13	ⵤⵔⵀⵀⵍ ⵔⵓ ⵀⵂⴹ⵰
MAT.1.13	ⵀⵂⴹ ⵔⵓ ⵍⵢⵆⵎ⵰
MAT.1.13	ⵍⵢⵆⵎ ⵔⵓ ⵢⵤⵔ⵰
MAT.1.14	ⵢⵤⵔ ⵔⵓ ⵙⴹⵆ⵰
MAT.1.14	ⵙⴹⵆ ⵔⵓ ⵈⴾⵎ⵰
MAT.1.14	ⵈⴾⵎ ⵔⵓ ⵍⵢⴹ⵰
MAT.1.15	ⵍⵢⴹ ⵔⵓ ⵍⵢⵤⵔ⵰
MAT.1.15	ⵍⵢⵤⵔ ⵔⵓ ⵎⵜⵏ⵰
MAT.1.15	ⵎⵜⵏ ⵔⵓ ⵢⵆⵀ⵰
MAT.1.16	ⵢⵆⵀ ⵏ⵿ⵜⴰ ⵔⵓⵏ ⵢⵙⴼ
MAT.1.16	ⵓⴰ ⵤⵍⴼⵏ ⵎⵔⵢⵎⴰ ⵜⴰ ⵜⵔⵓⵜ ⵗⵢⵙⴰ
MAT.1.16	ⵓⵙ ⵜⵓⵏⵓ ⵍⵎⵙⵈ⵰
MAT.1.17	ⴹⵗ ⴹⵢ ⵎⵔⵓ ⵎⴹⵏ ⴹⴾⵤ ⵍⵏⵏ ⴶⵔ ⴹⵓⴹ ⴹⵎⵔⵓⵏⵜ ⵀⵔⵂⵎ⵰ ⵍⵏ⵿ⵜⵓ ⵎⵔⵓ ⴹⴾⵤ ⴶⵔ ⴹⵓⴹ ⴹⵤⵎⵏ ⵓⵏ ⵜⵓⴾⴼⵍ ⵏ⵿ⴾⵍⵙⵔⵢⵍ ⵙ ⵀⵀⵢⵍⵏ ⵍⵏ⵿ⵜⵓ ⴹⵗ ⵎⵔⵓ ⴹⴾⵤ ⴶⵔ ⵜⵓⴾⴼⵍ ⵏ⵿ⴾⵍⵙⵔⵢⵍ ⵙ ⵀⵀⵢⵍⵏ ⴹⵜⵂⵓⵜ ⵏ⵿ⵗⵢⵙⴰ⵰
