MAT.1.1	Nene pitiiŋ to Yesu Krisi pughu toni. Yesu, ye siŋ to kinik David, ve David, ye siŋ to Abaraam. 
MAT.1.2	Yesu pughu toni to Abaraam ve inim imuul izi David, tauto izadi tovene: Abaraam natu Isak, Isak natu Yakop, ve Yakop ndinatu, nene Yuda toman nditogha ve nditazi. 
MAT.1.3	Yuda yesuru Tamar tipoop ndinatudi ru, izadi Peres ve Sera. Peres natu Ezron, ve Ezron natu Ram. 
MAT.1.4	Ram natu Aminadap, Aminadap natu Nason, ve Nason natu Salmon. 
MAT.1.5	Salmon yesuru Reap tipoop Boas, ve Boas yesuru azuwa Rut tipoop Obet. Obet natu Yesi, 
MAT.1.6	ve Yesi natu, nene kinik David. David ivai Uraia azuwa Batseba, ve yesuru tipoop Solomon. 
MAT.1.7	Solomon natu Reoboam, Reoboam natu Abia, ve Abia natu Asa. 
MAT.1.8	Asa natu Yosapat, Yosapat natu Yoram, ve Yoram natu Usia, 
MAT.1.9	Usia natu Yotam, Yotam natu Aas, ve Aas natu Esekia. 
MAT.1.10	Esekia natu Manase. Manase natu Amon, ve Amon natu Yosia. 
MAT.1.11	Yosia ndinatu, nene Yekonia toman nditazi pida. Sawa tonenen, yes Babilona tinim tireu ndug tintina tisob to yes Yuda, ve tiyou di ve tigham di tila tivot ndug todi to ineep mala kat. 
MAT.1.12	Sawa to yes Israela tinepneep izi Babilon, Yekonia yesuru azuwa tipoop Sealtiel, ve Sealtiel yesuru azuwa tipoop Zerubabel. 
MAT.1.13	Zerubabel natu Abiut, Abiut natu Eliakim, ve Eliakim natu Azor. 
MAT.1.14	Azor natu Sadok, Sadok natu Akim, ve Akim natu Eliut. 
MAT.1.15	Eliut natu Eleasar, Eleasar natu Matan, ve Matan natu Yakop. 
MAT.1.16	Yakop natu Yosep. Yosep azuwa Maria to ipoop Yesu, ye to tiwaata tighaze Krisi 
MAT.1.17	Tovenen Abaraam natu Isak, Isak natu Yakop, ve siŋ todi tiparseŋgan di tovene itaghoni ila ila le imuul David ivot inim saaŋgul ve paaŋ (14). Ve sawa to David, le ila imuul sawa to yes Babilona tiyou yes Yuda ve tigham di tila tivot Babilon, nene siŋ to David tiparseŋgan di irau saaŋgul ve paaŋ (14) muul. Ve sawa to yes Yuda tipul Babilon ve timuul tila taudi ndug todi, le ila imuul sawa to Krisi tina ipoopa, nene siŋ to David tiparseŋgan di irau saaŋgul ve paaŋ (14).
MAT.1.18	Kamos to Yesu Krisi tina ipoopa, nene vene: Tina Maria, tisia pa ŋgeu eez, iza Yosep. Eemoghon yesuru tilup di sone, ve tighilaal tighaze Maria apo. Mbeb tonene ivot ila Avuvu Patabuaŋ tapiri. 
MAT.1.19	Yosep, ye ŋgeu deŋia eez, ve lolo pa igham Maria varu ivot ighazooŋ maau. Tovenen mata iŋgal ighaze irab motin vaiuuŋ todi inim ŋgozaaŋ. 
MAT.1.20	Ighamgham ŋgar sone, ve Maaron aŋela toni ivot toni ila vibiiŋ, ve isaav pani ighaze: “Yosep, yom siŋ to David, umatughez pa ugham Maria inim azuwam malep. Pasa, tamtoghon to ineep ila ye apo, nene ivot pa Avuvu Patabuaŋ tapiri. 
MAT.1.21	Ye pale ipoop pain tamoot. Ve yom irau uwaat iza Yesu.
MAT.1.21	Pasa, ye pale igham mulin tamtoghon toni pa pataŋani to sosor todi.” 
MAT.1.22	Mbeb tonenen tisob titaghon saveeŋ to muuŋ Maaron ivotia ila propet toni eez avo. Saveeŋ tovene:
MAT.1.24	Tovenen Yosep igheen le ndugizau, ghoro imundig ve itaghon saveeŋ to aŋela to Maaron isavia pani, ve igham Maria inim azuwa. 
MAT.1.25	Eemoghon igharaui maau le ye ipoop natu tamoot tonowen. Ve Yosep iwaat pain tonenen iza Yesu. 
MAT.2.1	Sawa to kinik Erod ighamgham pooz pa yes Israela, Yesu tina Maria ipoopa izi ndug Betelem to ineep taan suruvu to Yudea. Muri ghoro, ndiran pida to ledi ŋgar tintina pa pitum ne, tilaagh tila tivot Yerusalem. Ndiran tonowen, ndug todi ineep mala kat ila pa ndag iza. 
MAT.2.2	Yes tila tivot Yerusalem, ve tighason tighaze: “Kinik to yes Yuda to tina ipoopa aazne, ineep sine? Pasa, yei nineep izi ndug tiei to ndag iza we, ve nighita pitum paghu eez to inim ghilalooŋ payei pani. Tauto ninim nighaze nighita, ve niput aghemai pani, ve nipakuri.” 
MAT.2.3	Kinik Erod ilooŋ saveeŋ tonene le ruŋa iza ve igham ŋgar naol. Ve ival tiina to Yerusalem paam, tisob ruŋadi iza, ve tigham ŋgar naol. 
MAT.2.4	Tovenen Erod ipoi yes daba to watooŋrau toman ŋgara pida to tutuuŋ tinim tilup di, ve ighason di ighaze: “Laak, Mesia, pale tina ipoopa izi sine?”
MAT.2.5	Yes tipamuul aliŋa tighaze: “Pale ipoopa izi ndug Betelem to ineep taan suruvu to Yudea ne. Pasa muuŋ, propet eez imbood saveeŋa tovene:
MAT.2.7	Erod isavsaav toman di le isob, ghoro ipoi yes ŋgara to ndag iza tinim inimale yoŋgaaŋ, ve ighason poian di pa sawa sine kat to tighita pitum tonowen ivot. 
MAT.2.8	Ghoro imbaaŋ di tila pa ndug Betelem ighaze: “Ala akaal pain kainaŋen tonowen le ighaze aghita, ghoro amuul anim apaes payou. Leso you paam nala naghita, ve naput agheg pani, ve napaiti.”
MAT.2.9+MAT.2.10	Erod isavsaav toman di le isob, ghoro timundig ve tila. Ve pitum to muuŋ tighita izi ndug todi, nene ila imuuŋ padi, ve titaghoni tila. Yes tighita pitum tonowen muul, le lolodi poia kat. Pitum tonowen ila le ineep izala ruum to pain kainaŋen ighengheen pani ne pogho. 
MAT.2.11	Tila tivot tonowe, ve tilooŋ tila ruum lolo, ve tighita pain kainaŋen yesuru tina Maria. Tiput aghedi pani ve tipakuri, ghoro tikaak pelpeel todi, ve tiwaan mbaliiŋ pida to atiadi tintina, ve tigham pani inimale pakuruuŋi. Tigham yaam gol, ve naunauŋ pida to vuzidi popoia kat. 
MAT.2.12	Muri ghoro, Maaron ivot padi ila vibiiŋ, ve iŋgalsekin di ighaze timuul tila to kinik Erod muul malep. Tovenen titaghon ataam ite, ve timuul tila pa ndug todi.
MAT.2.13	Yes ŋgara to ndag iza timundig ve tila, ve mala maau, Maaron imbaaŋ aŋela toni eez ila ivot to Yosep ila vibiiŋ, ve isaav pani ighaze: “Ulooŋ. Erod pale ikaal pain kainaŋen tonene, leso irabi imaat. Tovenen yom irau umundig, ugham pain kainaŋen yesuru tina, ve aghau ala pa Isip. Ala aneep tonowe, le irau you nasaav payom muul.”
MAT.2.14	Tovenen Yosep imundig pa mboŋ, ve igham pain kainaŋen yesuru tina, ve tighau tila pa Isip. 
MAT.2.15	Tinepneep tonowe le Erod imaat.
MAT.2.15	Tauto saveeŋ to Maaron ivotia ila propet toni eez avo, anoŋa ivot. Saveeŋ tovene:
MAT.2.16	Erod isaŋan yes ŋgara to ndag iza le maau, ghoro ighilaal ighaze yes titombaana. Tovenen ate malmal kat. Ye mata iŋgal saveeŋ to yes ŋgara to ndag iza tisavia pa sawa to tighita pitum ivot, tovenen imbaaŋ ndaaba toni pida tila ndug Betelem ve ndug pida to tineep tigharau. Tila tivot tonowe, ve tirab ndinatudi nditamoot tisob to ndaman todi ruŋaruŋa ve izi. 
MAT.2.17	Tovenen Maaron aliŋa to muuŋ propet Yeremia ivotia, anoŋa ivot. Saveeŋ tovene:
MAT.2.19	Yosep yesuru Maria ve natudi Yesu tinepneep izi Isip, le Erod imaat. Ghoro aŋela eez to Maaron ila ivot to Yosep ila vibiiŋ, 
MAT.2.20	ve isaav pani ighaze: “Umundig, ugham pain kainaŋen yesuru tina, ve amuul ala pa taan to Israel. Pasa, ndiran to tikaal ataam pa tirab pain kainaŋen imaat, yes tisob timatmaat wa.” 
MAT.2.21	Tovenen Yosep imundig, igham pain kainaŋen yesuru tina, ve timuul tila pa taan to Israel. 
MAT.2.22	Eemoghon Yosep ilooŋ tighaze Erod natu Arkelaus igham tama ina, ve inim kinik pa taan suruvu to Yudea. Tovenen imatughez pa ila ineep izi Yudea. Ve mbeb ite, Maaron ivot toni ila vibiiŋ, ve iveivei pani ighaze tineep izi Yudea malep. Tovenen Yosep ipaghau pain kainaŋen yesuru tiina tila pa taan suruvu to Galilaia. 
MAT.2.23	Tila tivot tonowe, ve tineep izi ndug Nasaret. Tauto Maaron aliŋa to yes propeta toni tivotia, anoŋa ivot. Saveeŋ tovene:
MAT.3.1	Sawa to Yoan ŋgeu rughuzaaŋa ipamundigin uraat toni, ye ila ivot ndug balim to Yudea, ve ivovotia Maaron aliŋa pa tamtoghon ighaze: 
MAT.3.2	“Apul ŋgar tiam samsamia, ve atoor ŋgar tiam imuul ila pa Maaron! Pasa, mala maau pale pooz to ndug sambam ivot ighazooŋ.” 
MAT.3.3	Yoan tonene, to muuŋ propet Isaia isavia saveeŋ pida iŋarua ighaze:
MAT.3.4	Yoan indudi pa uli to tigharaata pa kamel oro, ve ipus ŋgali pa puus to tigharaata pa ŋgai uli. 
MAT.3.5	Ival tiina to Yerusalem, yesŋa ndug naol to Yudea toman taan suruvu to igharau ya Yordan, tiketkeet tila toni izi ya Yordan. 
MAT.3.6	Yes tivovotia sosor todi ila toni, ve ye irurughuuz di tonowe. 
MAT.3.7	Ndiran tutuuŋa 
MAT.3.8	Ighaze onoon yam apul ŋgar tiam samsamia ve atoor ŋgar tiam ila pa Maaron, ghoro apatooŋ anoŋa toni popoia pida tivot ve taghita. 
MAT.3.9	Yam aghaze Abaraam papaghu toni yam. Eemoghon anumeer mbeb tonenen malep. Pasa, you nasaav payam: Maaron, ye irau isaav pa yaam tonene, ve timundig tinim Abaraam papaghu toni. 
MAT.3.10	Alooŋ. Nakavas to Maaron ineep ila ai pughudi ve isaŋan wa. Ai tisob to anoŋadi popoia maau, nene pale nakavas ighan di tizi, ve tipiyaav di tila yab ighan di. 
MAT.3.11	Aazne, you narughuuz gham pa ya inim ghilalooŋ payam ighaze yam atoor ŋgar tiam ila pa Maaron wa. Eemoghon ŋgeu eez pale inim muri payou. Ye tapiri tiina. Ilib payou kat. You naghita taug naraua maau kat. Uraat sorok inimale badooŋ duduuŋa to aghe, nene paam, you poiag irau to nagham pani maau. Ye pale igham Avuvu Patabuaŋ payam toman yab. 
MAT.3.12	Mbeb to tiriiŋ wit, to ye ikisi ila nima ve isasaŋan. Pasa, ye pale iŋgabiiz tamtoghon, ve ivureer di inimale ŋgeu to ilos wit toni ve itiri iza. Leso yaghur iviviir wit uli ilale, ve wit anoŋa titaptap tizi taan. Wit anoŋa tonowen, ye pale ighur poiani ila ruum to aniiŋ. Eemoghon wit uli, ye pale ikori ila yab ighani. Yab tonowen, irau tirab matini maau. Ighanghan irau sawa isob.” 
MAT.3.13	Sawa tonenen, Yesu ipul taan suruvu to Galilaia, ve ilaagh ila ivot ya Yordan, leso Yoan irughuuza. 
MAT.3.14	Eemoghon Yoan iyok pani rikia maau. Isaav pani ighaze: “Yom unum tiou pasa? Yom urughuuz ghou, ghoro deŋia.”
MAT.3.15	Yesu ipamuul aliŋa ighaze: “Maau. Aazne, yom utaghon aliŋag, ghoro poia. Pasa, iit irau tataghon suvun ŋgar deŋia, ve tagham anoŋa toni ivot, ghoro poia.” Tovenen Yoan ilooŋ Yesu aliŋa, ve irughuuza. 
MAT.3.16	Yesu ipul ya ve iza, ve mala maau sambam ikaak, ve ye ighita Maaron Avuvu izi inim inimale man mbaluuz, ve izala pogho. 
MAT.3.17	Ghoro saveeŋ ineep sambam, ve izi inim ighaze: “Ŋgeu tonanan, you taug Natug ee moghon. You lolog pani kat, ve igham ghou lolog poia kat.” 
MAT.4.1	Muri ghoro, Maaron Avuvu ipamundigin Yesu ve ila ivot ndug balim. Leso Ŋgeu Samia itoova. 
MAT.4.2	Yesu ineep tonowe, ve iŋgun tau pa ghaniiŋ aniiŋ irau mboŋ tamoot ru. Sawa tonenen, ye ighan aniiŋ eta maau, le pitoola kat. 
MAT.4.3	Ghoro Ŋgeu To Watiiŋ ivot toni, ve isaav pani ighaze: “Laak, ighaze yom Maaron Natu, ghoro usaav pa yaam tonene, ve tinim am aniiŋ.”
MAT.4.4	Eemoghon Yesu ipamuul aliŋa ighaze: “Maaron aliŋa to timbooda, isaav ighaze:
MAT.4.5	Ghoro Ŋgeu Samia ighami ve tila ndug patabuaŋ Yerusalem, ve tizala tiyoon ila Rumai Tiina pogho to ineep sala kat. 
MAT.4.6	Ve isaav pani: “Ighaze onoon yom Maaron Natu, uneep sualen, ve uyatov ghom uzila. Pasa, Maaron aliŋa to timbooda, isaav ighaze:
MAT.4.7	Yesu ipamuul aliŋa ighaze: “Eemoghon Maaron aliŋa waaro ite to timbooda isaav tovene:
MAT.4.8	Tovenen Ŋgeu Samia igham Yesu muul, ve tizala lolooz tiina eez to daba izala kat, ve ipatooŋ ndug tisob to kinik to taan tiŋgin di, toman mbeb todi popoiadi ve tintina to tipakur di pani, ve isaav pani ighaze: 
MAT.4.9	“Laak, ighaze yom uput aghem payou ve upakur ghou, you pale napul mbeb tonowen tisob tinim lem.”
MAT.4.10	Eemoghon Yesu izuruni ighaze: “Sadan, yom ughau ula! Pasa, Maaron aliŋa to timbooda, isaav tovene:
MAT.4.11	Tovenen Ŋgeu Samia ipuli, ve aŋela pida tinim ve tiuuli. 
MAT.4.12	Yesu ilooŋ Yoan varu tighaze Erod ighuri ilooŋ ila ruum to yabyabuuŋ, tovenen imuul ila pa taan suruvu to Galilaia. 
MAT.4.13	Eemoghon ila ineep izi ndug toni pughu Nasaret muul maau. Ipuli, ve ila ineep izi ndug Kapernaum to ineep igharau naari to ya naliu Galilaia. Ndug tonowen ineep ila taan to yes Zebuluna ve yes Naptalia. 
MAT.4.14	Tovenen Maaron aliŋa to muuŋ propet Isaia ivotia, anoŋa ivot. Saveeŋ tovene:
