MAT.1.1	ابراهیم و داوود اُغلی بُلان عیسی مسیحینگ نِسلی اینه، شِیلِدیر:‏
MAT.1.2	ابراهیم اسحاقینگ آتاسیدی، اسحاق یعقوبینگ آتاسیدی، یعقوب یهودا و اُنونگ دُغانلارینینگ آتاسیدی.‏
MAT.1.3	یهودا فارِص بیلِن زارِحینگ آتاسیدی، اُلارینگ اِنه‌سی تاماردی.‏ فارِص حِصرونینگ، حِصرون هِم آرامینگ آتاسیدی.‏
MAT.1.4	آرام عمینادابینگ، عمیناداب نَحشونینگ، نَحشون هِم سالمونینگ آتاسیدی.‏
MAT.1.5	سالمون بوعَزینگ آتاسیدی، اُنونگ اِنه‌سی راحابدی.‏ بوعَز عوبیدینگ آتاسیدی، اُنونگ اِنه‌سی روتدی.‏ عوبید یَسانینگ آتاسیدی،
MAT.1.6	یَسا داوود پادیشاهینگ آتاسیدی.‏ داوود سلیمانینگ آتاسیدی.‏ سلیمانینگ اِنه‌سی اوریانینگ دول آیالی باتشِبادی.‏
MAT.1.7	سلیمان رِحُبعامینگ، رِحُبعام اَبیانینگ، اَبیا آسانینگ آتاسیدی.‏
MAT.1.8	آسا یِهوشافاطینگ، یِهوشافاط یورامینگ، یورام عُزیانینگ آتاسیدی.‏
MAT.1.9	عُزیا یوتامینگ، یوتام آحازینگ، آحاز حِزِقیانینگ آتاسیدی.‏
MAT.1.10	حِزِقیا ماناسینینگ، ماناسی آمونینگ، آمون یوشیانینگ آتاسیدی.‏
MAT.1.11	یوشیا بابِل تَبعیدینده دُغان یِکُنیانینگ و اُنونگ دُغانلارینینگ آتاسیدی.‏
MAT.1.12	یِکُنیا بابِل تَبعیدیندِن سُنگرا دُغان سالتیئیلینگ آتاسیدی.‏ سالتیئیل زِروبابِلینگ آتاسیدی.‏
MAT.1.13	زِروبابِل اَبیهودینگ، اَبیهود ایلیاقیمینگ، ایلیاقیم عازورینگ آتاسیدی.‏
MAT.1.14	عازور صادوقینگ، صادوق یاقیمینگ، یاقیم اِلیهودینگ آتاسیدی.‏
MAT.1.15	اِلیهود ایلعازَرینگ، ایلعازَر ماتانینگ، ماتان یعقوبینگ آتاسیدی.‏
MAT.1.16	یعقوب مریمینگ آدامسی یوسفینگ آتاسیدی، مریمدِن بُلسا مسیح دییّپ آدلاندیریلان عیسی دُغدی.‏
MAT.1.17	شِیلِلیکده، ابراهیمدان داوودا چِنلی بُلان نِسیل‍لِر جِمی اُن دُرت آرقادیر.‏ داوودّان بابِل تَبعیدینه چِنلی هِم اُن دُرت، بابِل تَبعیدیندِن مسیحه چِنلی هِم اُن دُرت آرقادیر.‏
MAT.1.18	عیسی مسیحینگ دُغومی شِیله بُلدی:‏ اُنونگ اِنه‌سی مریم بیلِن یوسف آداغیلیدی، اِمّا اُلار هِنیز بیرلِشمَکَلِر، مریم اُزونینگ مُقادِّس روح بیلِن گُورِلی بُلاندیغینی بیلدی.‏ 
MAT.1.19	اُنونگ آداغیلیسی یوسف دُغری بیر آدامدی، شُنگا گُرَه اُل مریمینگ ایله ماسغارا بُلماغینی ایسلِمَن، اُنی گوزگین آیریپ گُیبِرمِگی یورِگینه دوودی.‏ 
MAT.1.20	اِمّا یوسف مونی نییِتینه دووِندِن سُنگ، خودایینگ بیر پِریشده‌سی اُنونگ دیشینه گیریپ:‏ ‏«‏اِی داوود اُغلی یوسف!‏ سِن مریم بیلِن اُیلِنمِکدِن قُرقما، سِبَبی اُنونگ گُوره‌سیندَکی چاغا مُقادِّس روح اوستو بیلِندیر.‏ 
MAT.1.21	اُل بیر اُغول دُغرار، سِن اُنونگ آدینا عیسی
