MAT.1.1	Taki̱da ki̱kuwang Yesu Masiya, buke Dauda, wu n ki̱n buke Yibrayime.
MAT.1.2	Yibrayim a bi̱u Yichaku,
MAT.1.2	Yichaku a bi̱u Yakubu,
MAT.1.2	Yakubu a bi̱u Yafuda n ti kebu ki̱mu,
MAT.1.3	Yafuda a bi̱u Feresa n ti Sera,
MAT.1.3	wu n neki̱n n Tamare.
MAT.1.3	Farisa a bi̱u Asruna
MAT.1.3	Asruna a bi̱u Arama,
MAT.1.4	Arama a bi̱u Aminadab,
MAT.1.4	Aminadab a bi̱u Nasun,
MAT.1.4	Nasun a bi̱u Salmuna,
MAT.1.5	Salmuna a bi̱u Bwas, wu n ne ki̱n n Rahab
MAT.1.5	Bwas a bi̱u Obed, wu n ne ki̱n n Rute,
MAT.1.5	Wabida a bi̱u Yesse,
MAT.1.6	Yesse a bi̱u Mai Dauda
MAT.1.6	Dauda a bi̱u Solomon wu n ne ki̱n a no naye Wuriya.
MAT.1.7	Solomon a bi̱u Rabwam,
MAT.1.7	Rabwam a bi̱u Abusa,
MAT.1.7	Abusa a bi̱u Asa,
MAT.1.8	Asa a bi̱u Yawuchafa,
MAT.1.8	Yawuchafa a bi̱u Yoram,
MAT.1.8	Yoram a bi̱u Asariya,
MAT.1.9	Asariya a bi̱u Yotam,
MAT.1.9	Yotam a bi̱u Asa,
MAT.1.9	Asa a bi̱u Yisakiya
MAT.1.10	Yisakiya a bi̱u Mannasa,
MAT.1.10	Mannasa a bi̱u Amon,
MAT.1.10	Amon a bi̱u Yochiya.
MAT.1.11	Yochiya a bi̱u Yekoniya n ti kebu
MAT.1.11	ki̱mu a ki̱swi ni̱bu a wo chi
MAT.1.11	a yikan ti̱m Babilame.
MAT.1.12	A kuteng ki̱ku ni̱bu a wo chi a yikan ti̱m Babila,
MAT.1.12	n Yekoniya a bi̱u Chatila,
MAT.1.12	Chatila a bi̱u Sarubabel,
MAT.1.13	Sarubabel a bi̱u Abidu,
MAT.1.13	Abidu a bi̱u Aliyaki̱m,
MAT.1.13	Aliyaki̱m a bi̱u Asura.
MAT.1.14	Asura a bi̱u Saduka,
MAT.1.14	Saduka a bi̱u Akim,
MAT.1.14	Akim a bi̱u Aliyuda.
MAT.1.15	Aliyuda a bi̱u Aliyasar,
MAT.1.15	Aliyasar a bi̱u Matana,
MAT.1.15	Matana a bi̱u Yakubu,
MAT.1.16	Yakubu a bi̱u Yusufu kwarta
MAT.1.16	Maryamu wu a bi̱u Yesu wu
MAT.1.16	ni̱bu ki̱yal ki̱nu ko Masiya.
MAT.1.17	Ti̱kalaniti kub chiri taana, chi a tatuwe di̱Yibrayime a lanta Dauda, yinu ti̱kalaniti kub chiri taana we di̱Dauda a lanta woku chi̱yangu a Babilangu. We woku chi̱yangu a Babilangu a lanta beku Yesu Masiyangu ti̱kalaniti kub chiri taana ti̱n.
MAT.1.18	Tiyangu bi̱be Yesu Masiya a fwengu, m Maryamu wu a bwa̱u na Yusufu we, m Maryamu a ma lur di̱du a Fi̱ki̱m Kwamam, yo a tibu na ki̱ne. 
MAT.1.19	N Yusufu kwiye Maryamuwe ni wuyile, a kebu ka ni Maryamu dibwi we tibe ni̱be, a yo we ni̱r ki̱nu ka mari daan.
MAT.1.20	Yo n Yusufu we ti̱kuran ti̱te, naba di̱tumbi̱re Tewuduwe a be ki̱mi̱ne a dwakam ko, “Yusufu, buke Dauda, nwedu tayi we, da̱u Maryamu tiyang nayemo, di̱ne luru a fur ki̱ni̱nu di̱du a Fi̱ki̱m Kwaman. 
MAT.1.21	Maryamu ka bi̱u bwe, mwang yo ki̱mi̱n di̱nu n Yesu
MAT.1.22	Ti̱ti kwang a fwe di̱ne ke a ri chi n Tewuduwe a fwa a yii fa̱ku we ko, 
MAT.1.23	“Di̱kan fwa̱n ka ma lur, ka bi̱u bwe, ka chaki̱mi̱n di̱nu ko n Yimanuwel.” Ki̱yungdu ko, “N Kwama ware n ti chir.”
MAT.1.24	Tiyangu n Yusufu a kaban we dumangu, a bunti̱ chi naba di̱tumbi̱re Tewuduwe a fwa, a da̱u Maryamu a kau nayeko. 
MAT.1.25	Aya Yusufu a daangbuwe ware n ti ki̱n, a lanta yo n ki̱n a bi̱u bweko. Yinu a yo ki̱mi̱n di̱nu n Yesu.
MAT.2.1	A kuteng ki̱ku a bi̱u Yesu a bi̱n Beti̱lami di̱du a ti̱m Yafudiya, we ki̱dangu n Yiridu nang mai ki̱chau mati̱ne. Bi̱kam ni̱bu yingki̱m chi a twiye a chire a bwa twa̱re a be Wurchalima, a ma di̱bi̱du ko, 
MAT.2.2	“A bwa̱le Mai ni̱bu Yafudam wu fwiye ni̱bu a bi̱be? Di̱ne ni̱n kuwe ki̱swi ko we bwa twa̱re, ni̱n be nang sii ki̱nu.”
MAT.2.3	Yo m Mai Yiridu a nwe ya̱m bi̱be, ni̱r ki̱nu a ti̱ren, a bwinbu nii we Wurchalima. 
MAT.2.4	Yinu n ki̱n a mur bi̱dum fansetiye n ti ni̱bu yungku yili̱n Musantu, a bi̱u chi finu ni̱ba bi̱n Masiya.
MAT.2.5	N chi a yi ki̱n ko, “A bi̱n Beti̱lami di̱du a ti̱m Yafudiya, nangki̱n fa̱ku a mwal ko,
MAT.2.6	‘M mun Beti̱lami bi̱n
MAT.2.6	di̱du a ti̱m Yafudan,
MAT.2.6	m mun n ke bi̱n di̱ti̱ri̱n we
MAT.2.6	bi̱bu ka ma mati̱n Yafudati̱mu.
MAT.2.6	Mai ka chiredu we di̱mune,
MAT.2.6	wu ka kau naba tore ni̱bu mi̱me,
MAT.2.6	ka nang chikiye Yisrela.’ ”
MAT.2.7	N Yiridu a yale ni̱bu yinki̱m twiyemu i daan a swe ware n ti chi n chikun, a bi̱u chi ki̱dangu n chi a kuun ki̱swiyangu. 
MAT.2.8	N ki̱n a tum chi we Beti̱lami ko, “Yati̱ ta̱l miye ya̱m bwe wumu yinang. Kati̱ ya bi̱yili̱me, ti̱ki̱lawe be ti̱fwami, ke n ya, n sii ki̱n ti̱n.”
