MAT.1.1	Ngel evi naul ne metka se Iesu Kristo metka se Devet, ko metka se Epram.
MAT.1.2	Ko nise jinibb nir re metka nen: Epram womu jer. Ko Epram evesi Aesak, ko Aesak evesi Jekop, ko Jekop evesi Juta ko niaken sen nir. 
MAT.1.3	Ko Juta evesi Peres ko Sera, nuru ko tasu se nuru ko Tamar; ko Peres evesi Esron, ko Esron evesi Ram. 
MAT.1.4	Ko Ram evesi Aminatap, ko Aminatap evesi Nason, ko Nason evesi Salmon. 
MAT.1.5	Ko Salmon evesi Boas nga tasu sen Reap, ko Boas evesi Opet nga tasu sen Rut, ko Opet evesi Jese. 
MAT.1.6	Ko Jese evesi Numal Devet, ko Numal Devet elesi luwe kele nesevin se Uria, ko evesi Solomon. 
MAT.1.7	Ko Solomon evesi Reopoam, ko Reopoam evesi Apia, ko Apia evesi Asa. 
MAT.1.8	Ko Asa evesi Jeosapat, ko Jeosapat evesi Joram, ko Joram evesi Usia. 
MAT.1.9	Ko Usia evesi Jotam, ko Jotam evesi Eas, ko Eas evesi Esekia. 
MAT.1.10	Ko Esekia evesi Manasa, ko Manasa evesi Amon, ko Amon evesi Josia. 
MAT.1.11	Ko Josia evesi Jekonia ko niaken sen nir. Renge daron nen ko aron tertere nir arteka twenir van re Bapilon e suri nuval.
MAT.1.12	Arteka twenir jile osuw, ko Jekonia evesi Sealtiel, ko Sealtiel evesi Serupapel. 
MAT.1.13	Ko Serupapel evesi Apiut, ko Apiut evesi Eliakim, ko Eliakim evesi Asor. 
MAT.1.14	Ko Asor evesi Satok, ko Satok evesi Akim, ko Akim evesi Eliut. 
MAT.1.15	Ko Eliut evesi Eliesar, ko Eliesar evesi Matan, ko Matan evesi Jekop. 
MAT.1.16	Ko Jekop evesi Josep diwen se Merri, nga mivi tasu se Iesu nga marveruse Mesaea.
MAT.1.17	M̃itipatun re metka renge Epram, musuwsuw re Numal Devet, evi metka esngavöl drromon ivij (14). Ko m̃itipatun kele renge Devet, musuwsuw re daron nga marteka twenir van re Bapilon, evi metka esngavöl drromon ivij kele. Ko m̃itipatun kele renge daron nga marteka twenir van Bapilon mijpari daron nga Kristo m̃iak e, evi metka esngavöl drromon ivij kele.
MAT.1.18	Iesu Kristo errmali iel ngatan erpel. Arlingi ore Merri, Iesu tasu sen. Ko setewor evan ji diwen sen Josep, ko Merri etaole nga m̃ilesi nga ni m̃itetaur. Suri Nem̃in On ko esilvi ni. 
MAT.1.19	Ko Josep, Merri diwen sen, evi jinibb nga mumomsawos m̃irres, ko orrorrmi p̃ilinglingi silveni nesen sen bbong; omusus puwrai tevi jinibb nir, tuloli Merri non tiwis. 
MAT.1.20	Ko daron nga murrorrmi nanu ngel e nir, ko anglo san se Atua eplari jin renge bori san ko owrai owra “Josep, nik kuvi metka se Devet, sete kupmetutu kuptekai ko wor Merri pivi nesevin som. Suri bipi nga musloi ngok, Nem̃in On ko elai tevi. 
MAT.1.21	Mian ko vinok Merri pia-wosi natun norman san, ko kupa-lingi nisen piwajie Iesu. Suri ni pia-tekai tweni jinibb sen nir renge nololien ser.”
MAT.1.22	Nanu ngok eplari jile osorsan tevi nale san se Atua nga propet sen san owra wowomue tuwi pa: 
MAT.1.23	“Nesen m̃elakel osloi bipi mian ko pia-wosi natun norman san, ko para-lingi nisen piwajie Emanuel.” Ko nais nen arieni erpel: “Atua eptevi kerr.”
MAT.1.24	Mian ko Josep emra re meturen sen; ko ololi suri erpe nga anglo se Numal muwrai tevi ni, ko etkai nesevin sen. 
MAT.1.25	Ko sete evan jin ejpari daron nga muwosi natun norman m̃iak. Ko daron nga m̃iak jile musuw, ko elngi nisen ewajie Iesu.
MAT.2.1	Iesu eak renge Betliem ne Jutia, ko renge daron nen, Erot evi batu numal. Ko sete epriv, ko jinibb sopor nga norongwosien ser milep arivel re vanu m̃inij san nga muto ngasu renge Is, ko arini Jerusalem e. 
MAT.2.2	Ko arsusi arwera “Nibeni bipi wel nga m̃iak nga pivi numal se m̃eri Isrel nir? Namlesi moju sen eplari, ko namini tweni nablotoe ni.”
MAT.2.3	Daron nga numal Erot murnge nanu ngel e ko eririr elep, ko erpok kele re m̃eri Jerusalem kele nir aririr elep kele. 
MAT.2.4	Ko Erot everus kortoni jinibb nga marlelep ne sulsulen nir ko jinibb nevisvisenien ne nale nesesreien nir, ko osusi tevir owra “Nibeni lat nga Mesaea p̃iak ren?” 
MAT.2.5	Ko nir arij weli ni, arwera “Mesaea p̃iak renge Betliem re Jutia. Suri nale san se Atua nga propet san muli wowomue tuwi ngel, owra 
MAT.2.6	‘Ko nik, Betliem re Jutia, setete kuwelili renge jinibb nga marlelep nir renge Jutia. Natum san nga pia-pelari jim pivi numal nga pia-metmete jinibb suk nir m̃eri Isrel.’ ”
MAT.2.7	Mian ko vitunen vajin numal Erot everus silveni bbonge jinibb nen nir ne Is vini ji ni, ko osusi tevir owra “Moju nen eplari re daron sev?” 
MAT.2.8	Arwera suri jile tevi, ko Erot ekrekrasir owrai tevir, “Erres, kapan kappej bipi wel nen p̃irres, ko poro kaplesi ni, ko kaploli inu borongwose; ko inu kele ban bolotoe ni.” Ko Erot okoni twenir arivel van Betliem e.
MAT.2.9+MAT.2.10	Ko daron nga marivel kele vajin, ko arlesi kele moju nga; ko artaole, ko arir temijpal. Ko moju nga owowomu kele nir, ko nir arvijuri. Arvijuri moju nga mian ko oto jer mare momsawose naim nga Iesu m̃iak ren. 
MAT.2.11	Ko daron nga maran loloim e, arlesi bipi wel nen nuru tasu sen Merri. Ko arjipa van ngatan ko arlotoe ni. Arlotoe jile ko arsaro van renge nolo narr ser, ko arlai merrenien ser tevi ni, arla gol ko prangkinsens ko mir. 
MAT.2.12	Mian ko vitunen vajin arlesi bori san nga Atua ewer orer sete parkali lweni ji Erot e. Ko arkali lweni re sel m̃inij e van renge vanu ser e.
MAT.2.13	Ko daron nga lartul nga norongwosien ser milep marivel e vajin, ko anglo san se Atua eplari ji Josep renge bori san ko owrai tevi owra “Kuptur imare kupwosi bipi wolok ko tasu sen, kapwolu van Ijip mun e. Ko kaplik iok pijpari daron nga bea-wera lweni nale tevim. Suri Erot owra pirevji pini, ko otomori pa pipej.” 
