MAT.1.1	Caate Cana Coaunera Calaohi Jesocurisito foerateeurera Rabiri aina Abaraaun foeratenojoinuru foerateeurera curuaacurune.
MAT.1.2	Isaca inaca neein nenaalu jetao Abaraaun.
MAT.1.2	Jana Isaca calaohilu jetao Jacobo.
MAT.1.2	Jana Jodaa aina rai nocoalacuru inaca neein nenaalu jetao Jacobo.
MAT.1.3	Faresi aina Sara jetaote, Tamara que nebateein Jodaa bereecuru nelu.
MAT.1.3	Jana Faresi calaohilu jetao Esroon.
MAT.1.3	Jana Esroon calaohilu jetao Armi.
MAT.1.4	Jana Armi calaohilu jetao Aminadaba.
MAT.1.4	Jana Nasoon jetaote, Aminadaba calaohi nelu.
MAT.1.4	Jana Salomoon jetaote, Nasoon calaohinelu.
MAT.1.5	Jana Raba que nebateein Salomoon calaohilu jetao Bosi.
MAT.1.5	Jana Roto que nebateein Bosi calaohilu jetao Oberi.
MAT.1.5	Jana Oberi calaohilu jetao Isaihasi.
MAT.1.6	Jana Isaihasi jetaote, 
MAT.1.6	Jana Oriasi comasaineein nenaalu que nebateein, Rabiri calaohilu jetao Salomoon.
MAT.1.7	Jana Salomoon calaohilu jetao Roboam.
MAT.1.7	Jana Roboam calaohilu jetao Abiasa.
MAT.1.7	Jana Abiasa calaohilu jetao Asa.
MAT.1.8	Jana Asa calaohilu jetao Josafa.
MAT.1.8	Jana Josafa calaohilu jetao Joraam.
MAT.1.8	Jana Joraam calaohilu jetao Osiasi.
MAT.1.9	Jana Osiasi calaohilu jetao Jotaam.
MAT.1.9	Jana Jotaam calaohilu jetao Acasi.
MAT.1.9	Jana Acasi calaohilu jetao Esequiha.
MAT.1.10	Jana Esequiha calaohilu jetao Manasee.
MAT.1.10	Jana Manasee calaohilu jetao Amoon.
MAT.1.10	Jana Josiasi jetaote, Amoon calaohinelu.
MAT.1.11	Jana Jeconiasi aina rai nejeraauru inaca neein nenaalu jetao Josiasi.
MAT.1.11	Nii bana jetaote, Isaraelitaauru mucuhin amanajaaurelu, acaauru atane caje roconajaain, Babilonia batane que ichaaoru coina.
MAT.1.12	Nitohaneein mucuhin amanajaauruhane baiha jetaote, rai calaohi Salatieli sirilu Jeconiasi. Salatieli calaohilu jetao Sorobaberi.
MAT.1.13	Jana Sorobaberi calaohilu jetao Abiod.
MAT.1.13	Jana Abiod calaohilu jetao Eliaquiin.
MAT.1.13	Jana Eliaquiin calaohilu jetao Asoro.
MAT.1.14	Jana Asoro calaohilu jetao Sadoco.
MAT.1.14	Jana Sadoco calaohilu jetao Aquiin.
MAT.1.14	Jana Aquiin calaohilu jetao Elioon.
MAT.1.15	Jana Elioon calaohilu jetao Eleasar.
MAT.1.15	Jana Eleasar calaohilu jetao Mataan.
MAT.1.15	Jana Mataan calaohilu jetao Jacobo.
MAT.1.16	Nii jana Jacobo jetaote, Curisito Mesihasi neba Mariha lana Jose inacanelu.
MAT.1.17	Nitohaneein jetaote, niha Abaraaunne caje coaauneein lechoonca jena saain nichoalateeurelu, Abaraaun nefoerateeuru, niha Rabirine que tiaaojoaain.
MAT.1.17	Nii Rabiri caje coaauneein jetaote, lechoonca jena saain nefoerateeurelu, Babilonia batane Isaraelitaauru mucuhin amanajaauruhane que tiaaojoaain.
MAT.1.17	Nii mucunajaain amanajaauruhane baiha jetaote, lechoonca jena saain nefoerateeurelu, nejanoaa Curisitone que tiaaojoaain.
MAT.1.18	Naojoaainte nenaa nelu Jesocurisito. Nii bana jetaote Jose aina ita raauruhane rai niha Marihane jana jetaote, jaiti ita aina neeuruhane ajiniha Cana Coaunera Suujue ichanohineein inae ausirinelu Mariha. 
MAT.1.19	Nii jana esinae rauhijiriin jeriha Cana Coaunerane rijijieein cacha caohachaain suujua coaaraniha Josene jaun jetaote, nii chuni cacha rai canaanai siriha Marihane belanaala jianeein caje amunaa jerelu.
MAT.1.20	Nitohaneein inae amuhane coina suujua cuhane coaauca Josene jana jetaote, sinihu rai ococohin jetao: “Jiaoriha Mariha raai ii comasainu quene coasiinera Rabiri nefoerateneein nenaa Jose. Nii canaanai niicha siriite Cana Coaunera Suujue ichanohineein nenaanera. 
MAT.1.21	Inae leinjiin calaohirichaain Marihara. Inae nejanoaa nii rai canaanaine jana Jesosoneein curuaateeura. Osa caje rai cachaneein neeninuuru ichoteraanu nihane jaunte, Jesosoneein curuaareeincha,” nae jetao rai Cana Coaunera letono anjera.
MAT.1.22	Nitohaneein jetaote, rai nere bera inoaensi 
MAT.1.23	“Chariji bana
MAT.1.23	quicha aina ichoaelanaala nenaa ranunate,
MAT.1.23	inae ausirineein
MAT.1.23	leinjiin canaanai siricheein.
MAT.1.23	Inae nejanoaane janate,
MAT.1.23	Emanoel neein curuaateeurureein cachaaurura,”
MAT.1.23	naain nere bera inoaensi que beratiha Cana Coaunerane nainaelu.
MAT.1.23	“Emanoel,” naanete: “Cana Coaunerate cana aina ne,” nae.
MAT.1.24	Inae niritiin sinihocane caje nocohin jetaote, nii rai aitoha Cana Coaunera letono anjerane tonoraain, comasainu que Mariha raelu Jose. 
MAT.1.25	Nejetaote, nejanoaa nii Mariha calaohi- Jesoso neein Joseecha curuaatine reentiaain, nirijieein ita que turuelanaala ita aina ichaaorelu.
MAT.2.1	Nitohaneein jetaote, Jodea batane que nenaa Beleeun nejanoaelu Jesoso, jelai batane curuaanaaneein niha 
MAT.2.2	Inae ecu turuhin jetaote:
MAT.2.2	“Chu ne, nii Jorioocuru Curuaanaa 
MAT.2.3	Nii nejanoaane coitucuhin jetaote, jataain nererojoecae 
