MAT.1.1	Yisúʻ Masíh, ibn i Dáúd, ibn i Ibráhím ká nasabnáma.
MAT.1.2	Ibráhím se Izháq paidá húá; aur Izháq se Yaʻqúb paidá húá; aur Yaʻqúb se Yahúdáh aur us ke bháí paidá húe; 
MAT.1.3	aur Yahúdáh se Fáris aur Zárah Támár ke peṭ se paidá húe; aur Fáris se Hisron paidá húá; aur Hisron se Rám paidá húá; 
MAT.1.4	aur Rám se ʻAmmínádáb paidá húá; aur ʻAmmínádáb se Nahshon paidá húá; aur Nahshon se Salmon paidá húá; 
MAT.1.5	aur Salmon se Boʻaz Ráháb ke peṭ se paidá húá; aur Boʻaz se ʻObed Rút ke peṭ se paidá húá; aur ʻObed se Yishai paidá húá; 
MAT.1.6	aur Yishai se Dáúd bádsháh paidá húá.
MAT.1.6	Aur Dáúd se Sulaimán us ʻaurat se paidá húá, jo pahle Uriyyáh kí bíwí thí; 
MAT.1.7	aur Sulaimán se Rahabʻám paidá húá; aur Rahabʻám se Abiyyáh paidá húá; aur Abiyyáh se Ásá paidá húá; 
MAT.1.8	aur Ásá se Yahosháfát paidá húá; aur Yahosháfát se Yorám paidá húá; aur Yorám se ʻUzziyyáh paidá húá; 
MAT.1.9	aur ʻUzziyyáh se Yotám paidá húá; aur Yotám se Áház paidá húá; aur Áház se Hizqiyyáh paidá húá; 
MAT.1.10	aur Hizqiyyáh se Manashshih paidá húá; aur Manashshih se Ámon paidá húá; aur Ámon se Yoshiyyáh paidá húá; 
MAT.1.11	aur giriftár hokar Bábil jáne ke zamáne meṉ Yoshiyyáh se Yakunyáh aur us ke bháí paidá húe.
MAT.1.12	Aur giriftár hokar Bábil jáne ke baʻd Yakunyáh se Shaʼaltiyel paidá húá; aur Shaʼaltiyel se Zarubbábil paidá húá; 
MAT.1.13	aur Zarubbábil se Abíhúd paidá húá; aur Abíhúd se Ilyáqím paidá húá; aur Ilyáqím se ʻÁzor paidá húá; 
MAT.1.14	aur ʻÁzor se Sadoq paidá húá; aur Sadoq se Aḳhím paidá húá; aur Aḳhím se Ilíhúd paidá húá; 
MAT.1.15	aur Ilíhúd se Ilʻázár paidá húá; aur Ilʻázár se Mattán paidá húá; aur Mattán se Yaʻqúb paidá húá; 
MAT.1.16	aur Yaʻqúb se Yúsuf paidá húá; yih us Maryam ká shauhar thá, jis se Yisúʻ paidá húá jo Masíh kahlátá hai.
MAT.1.17	Pas sab pushteṉ Ibráhím se Dáúd tak chaudah pushteṉ húíṉ, aur Dáúd se lekar giriftár hokar Bábil jáne tak chaudah pushteṉ; aur giriftár hokar Bábil jáne se lekar Masíh tak chaudah pushteṉ húíṉ.
MAT.1.18	Ab Yisúʻ Masíh kí paidáish is tarah húí, kí jab us kí maṉ Maryam kí maṉgní Yúsuf ke sáth ho gayí, to un ke ikaṭṭhe hone se pahle, wuh Rúhuʼl Quds kí qudrat se hámila páí gayí. 
MAT.1.19	Pas us ke shauhar Yúsuf ne, jo rástbáz thá, aur use badnám karná nahíṉ cháhtá thá, chupke se us ke chhoṛ dene ká iráda kiyá. 
MAT.1.20	Wuh in bátoṉ ko soch hí rahá thá, ki Ḳhudáwand ke firishte ne use ḳhwáb meṉ dikháí dekar kahá; Ai Yúsuf ibn i Dáúd, apní bíwí Maryam ko apne háṉ le áne se na dar; kyúṉki jo us ke peṭ meṉ hai, wuh Rúhuʼl Quds kí qudrat se hai. 
MAT.1.21	Wuh beṭá janegí, aur tú us ká nám Yisúʻ rakhná; kyúṉki wuhí apne logoṉ ko un ke gunáhoṉ se naját degá. 
MAT.1.22	Yih sab kuchh is liye húá, ki jo Ḳhudáwand ne nabí kí maʻrifat kahá thá, wuh púrá ho, ki
MAT.1.23	Dekho, ek kuṉwárí hámila hogí, aur beṭá janegí,
MAT.1.23	Aur us ká nám ʻImmánúel rakkheṉge;
MAT.1.23	jis ká tarjuma yih hai; Ḳhudá hamáre sáth. 
MAT.1.24	Pas Yúsuf ne níṉd se jágkar waisá hí kiyá, jaisá Ḳhudáwand ke firishte ne use hukm diyá thá; aur apní bíwí ko apne háṉ le áyá; 
MAT.1.25	aur us ko na jáná, jab tak wuh beṭá na janí; aur us ká nám Yisúʻ rakkhá.
MAT.2.1	Jab Yisúʻ Herodes bádsháh ke zamáne meṉ Yahúdiya ke Baitlahm meṉ paidá húá, to dekho, kai Majúsi púrab se Yarúshalem meṉ yih kahte húe áe, ki 
MAT.2.2	Yahúdíoṉ ká bádsháh jo paidá húá hai, wuh kaháṉ hai? kyúṉki púrab meṉ us ká sitára dekhkar, ham use sijda karne áe haiṉ. 
MAT.2.3	Yih sunkar Herodes bádsháh, aur us ke sáth Yarúshalem ke sab log ghabrá gaye. 
MAT.2.4	Aur us ne qaum ke sab sardár káhinoṉ aur faqíhoṉ ko jamaʻ karke un se púchhá, ki Masíh kí paidáish kaháṉ honí cháhiye? 
MAT.2.5	Unhoṉ ne us se kahá, ki Yahúdiya ke Baitlahm meṉ; kyúṉki nabí kí maʻrifat yúṉ likhá gayá hai, ki
MAT.2.6	Ai Baitlahm, Yahúdáh ke ʻiláqe,
MAT.2.6	Tú Yahúdáh ke hákimoṉ meṉ hargiz sab se chhoṭá nahíṉ;
MAT.2.6	Kyúṉki tujh meṉ se ek sardár niklegá,
MAT.2.6	Jo merí ummat Isráíl ki gallabání karegá.
MAT.2.7	Is par Herodes ne Majúsíoṉ ko chupke se bulákar un se tahqíq kiyá, ki wuh sitára kis waqt dikháíi diyá thá; 
MAT.2.8	aur yih kahkar unheṉ Baitlahm ko bhejá, ki Jákar us bachche kí bábat ṭhík ṭhík daryáft karo, aur jab wuh mile, to mujhe ḳhabar do, táki maiṉ bhí ákar use sijda karúṉ. 
MAT.2.9	Wuh bádsháh kí bát sunkar rawána húe, aur dekho, jo sitára unhoṉ ne púrab meṉ dekhá thá, wuh un ke áge áge chalá, yaháṉ tak ki us jagah ke úpar jákar ṭhahr gayá, jaháṉ wuh bachcha thá. 
MAT.2.10	Wuh sitáre ko dekhkar niháyat hí ḳhush húe. 
MAT.2.11	Aur us ghar meṉ pahuṉchkar, bachche ko us kí máṉ Maryam ke pás dekhá, aur us ke áge girkar sijda kiyá; aur apne dibbe kholkar soná aur lubán aur murr us ko nazr kiyá. 
MAT.2.12	Aur Herodes ke pás phir na jáne kí hidáyat ḳhwáb meṉ pákar, dúsrí ráh se apne mulk ko rawána húe.
MAT.2.13	Jab wuh rawána ho gaye, to dekho, Ḳhudáwand ke firishte ne Yúsuf ko ḳhwáb meṉ dikháí dekar kahá, ki Uṭh, bachche aur us kí máṉ ko sáth lekar Misr ko bhág já; aur jab tak ki maiṉ tujh se na kahúṉ, wahíṉ rahná, kyúṉki Herodes is bachche ko talásh karne ko hai táki use halák kare. 
MAT.2.14	Pas wuh uṭhá, aur rát ke waqt bachche aur us kí máṉ ko sáth lekar, Misr ko rawána ho gayá; 
MAT.2.15	aur Herodes ke marne tak wahíṉ rahá; táki jo Ḳhudáwand ne nabí kí maʻrifat kahá thá, wuh púrá ho, kí Misr meṉ se maiṉ ne apne beṭe ko buláyá. 
MAT.2.16	Jab Herodes ne dekhá, ki Majúsíoṉ ne mere sáth haṉsí kí
MAT.2.17	Us waqt wuh bát púrí húí, jo Yirmayáh nabí kí maʻrifat kahí gayí thí, ki
MAT.2.18	Rámáh meṉ áwáz sunáí dí,
MAT.2.18	Roná aur baṛá mátam,
MAT.2.18	Ráhel apne bachchoṉ ko ro rahí hai,
MAT.2.18	Aur tasallí qubúl nahíṉ kartí, is liye ki wuh haiṉ nahíṉ.
MAT.2.19	Jab Herodes mar gayá, to dekho, Ḳhudáwand ke firishte ne Misr meṉ Yúsuf ko ḳhwáb meṉ dikháí dekar kahá; ki 
MAT.2.20	Uṭh, is bachche aur is kí máṉ ko lekar Isráíl ke mulk meṉ chalá já, kyúṉki jo bachche kí ján ke ḳhwáháṉ the, wuh mar gaye. 
MAT.2.21	Pas wuh uṭhá, aur bachche aur us kí máṉ ko sáth lekar, Isráíl ke mulk meṉ á gayá. 
MAT.2.22	Magar jab suná, ki Arḳhiláus apne báp Herodes kí jagah Yahúdiya meṉ bádsháhi kartá hai, to waháṉ jáne se dará; aur ḳhwáb meṉ hidáyat pákar Galíl ke ʻiláqe ko rawána ho gayá; 
MAT.2.23	aur Násarat nám ek shahr meṉ ja basá; táki jo nabíoṉ kí maʻrífat kahá gayá thá púrá ho, kí wuh Násarí kahláegá.
MAT.3.1	Un dinoṉ meṉ Yúhanná baptisma denewálá áyá, aur Yahúdiya ke biyábán meṉ yih manádí karne lagá, kí 
MAT.3.2	Tauba karo; kyúṉki ásmán kí bádsháhat nazdík á gayí hai. 
MAT.3.3	Yih wuhí hai jis ká zikr Yashaʻyáh nabí kí maʻrifat yúṉ húá, ki
MAT.3.3	Biyábán meṉ pukárnewále kí áwáz átí hai, ki
MAT.3.3	Ḳhudáwand kí ráh taiyár karo,
MAT.3.3	Us ke ráste sídhe banáo.
MAT.3.4	Yih Yúhanná úṉṭ ke báloṉ kí poshák pahine, aur chamṛe ká paṭká apní kamar se báṉdhe rahtá thá, aur is kí ḳhurák ṭiḍḍiyáṉ aur janglí shahd thá. 
MAT.3.5	Us waqt Yarúshalem, aur sáre Yahúdiya, aur Yardan ke girdnawáh ke sab log nikalkar us ke pás gaye; 
MAT.3.6	aur apne gunáhoṉ ká iqrár karke daryá e Yardan meṉ us se baptisma liyá. 
MAT.3.7	Magar jab us ne bahut se Farísíoṉ aur Sadúqíoṉ ko baptisma ke liye apne pás áte dekhá, to un se kahá, ki Ai sáṉp ke bachcho, tumheṉ kis ne jatá diyá, ki ánewále gazab se bhágo? 
MAT.3.8	Pas tauba ke muwáfiq phal láo; 
MAT.3.9	aur apne diloṉ meṉ yih kahne ká ḳhayál na karo, kí Ibráhím hamárá báp hai; kyúṉki maiṉ tum se kahtá húṉ, ki Ḳhudá in pattharoṉ se Ibráhím ke liye aulád paidá kar saktá hai. 
MAT.3.10	Aur ab daraḳhtoṉ kí jaṛ par kulháṛá rakkhá húá hai; pas jo darakht achchhá phal nahíṉ látá, wuh káṭá aur ág meṉ ḍálá játá hai. 
MAT.3.11	Maiṉ to tumheṉ tauba ke liye pání se baptisma detá húṉ; lekin jo mere baʻd átá hai, wuh mujh se zoráwar hai; maiṉ us kí jútiyáṉ uṭháne ke láiq nahíṉ: wuh tumheṉ Rúhuʼl Quds aur ág se baptisma degá: 
MAT.3.12	us ká chháj us ke háth meṉ hai, aur wuh apne khaliyán ko ḳhúb sáf karegá, aur apne gehúoṉ ko to khatte meṉ jamaʻ karegá, magar bhúsi ko us ág meṉ jaláegá, jo bujhne kí nahíṉ.
MAT.3.13	Us waqt Yisúʻ Galíl se Yardan ke kanáre Yúhanná ke pás us se baptisma lene áyá. 
MAT.3.14	Magar Yúhanná yih kahkar use manaʻ karne lagá, ki Maiṉ áp tujh se baptisma lene ká muhtáj húṉ, aur tú mere pás áyá hai? 
MAT.3.15	Yisúʻ ne jawáb meṉ us se kahá, ki Ab to hone hí de; kyúṉki hameṉ isí tarah sárí rástbází púrí karní munásib hai. Is par us ne hone diyá. 
MAT.3.16	Aur Yisúʻ baptisma lekar fiʼlfaur pání ke pás se úpar gayá; aur dekho, us ke liye ásmán khul gayá, aur us ne Ḳhudá kí Rúh ko kabútar kí mánind utarte, aur apne úpar áte dekhá. 
MAT.3.17	Aur dekho, ásmán se yih áwáz áí, ki Yih merá piyárá Beṭá hai, jis se maiṉ ḳhush húṉ.
MAT.4.1	Us waqt Rúh Yisúʻ ko jangal meṉ le gayí, táki Iblís se ázmáyá jáe. 
MAT.4.2	Aur chálís din aur chálís rát fáqa karke, áḳhir ko use bhúk lagí. 
MAT.4.3	Aur ázmánewále ne pás ákar us se kahá, ki Agar tú Ḳhudá ká Beṭá hai, to farmá ki yih patthar roṭiyáṉ ban jáeṉ. 
MAT.4.4	Us ne jawáb meṉ kahá; Likhá hai, ki Ádmí sirf rotí hí se jítá na rahegá, balki har bát sé, jo Ḳhudá ke muṉh se nikaltí hai. 
MAT.4.5	Tab Iblís use muqaddas shahr meṉ le gayá, aur haikal ke kangure
MAT.4.6	Agar tú Ḳhudá ká Beṭá hai, to apne taíṉ
MAT.4.6	Wuh terí bábat apne firishtoṉ ko hukm degá;
MAT.4.6	Aur wuh tujhe háthoṉ par uṭhá leṉge,
MAT.4.6	Aisá na ho, ki tere páṉw ko patthar ki ṭhes lage.
MAT.4.7	Yisúʻ ne us se kahá; Yih bhí likhá hai, ki Tú Ḳhudáwand apne Ḳhudá ki ázmáish na kar. 
MAT.4.8	Phir Iblís use ek bahut úṉche paháṛ par le gayá, aur dunyá ki sárí badsháhateṉ aur un kí shán o shaukat use dikháí, 
MAT.4.9	aur us se kahá, ki Agar tú jhukkar mujhe sijḍa kare, to yih sab kuchh tujhe de dúṉgá. 
MAT.4.10	Yisúʻ ne us se kahá; Ai Shaitán, dúr ho, ḳyúṉki likhá hai, ki Tú Ḳhudáwand apne Ḳhudá ko sijda kar, aur sirf usi kí ʻibádat kar. 
MAT.4.11	Tab Iblís us ke pás se chalá gayá; aur dekho, firishte ákar us kí ḳhidmat karne lage.
MAT.4.12	Jab us ne suná, ki Yúhánná pakaṛwá diyá gayá, to Galíl ko rawána húá; 
MAT.4.13	aur Násarat ko chhoṛkar Kafarnahúm meṉ já basá, jo jhíl ke kanáre, Zabúlún aur Naftálí kí sarhadd par hai; 
MAT.4.14	táki jo Yashaʻyáh nabí kí maʻrifat kahá gayá thá, wuh púrá ho, ki
MAT.4.15	Zabúlún ká ʻiláqa, aur Naftálí ká ʻiláqa,
MAT.4.15	Daryá kí ráh Yardan ke pár,
MAT.4.15	G̣airqaumoṉ kí Galíl,
MAT.4.16	Jo log andhere meṉ baiṭhe the,
MAT.4.16	Unhoṉ ne baṛí raushní dekhí;
MAT.4.16	Aur jo maut ke mulk aur sáye meṉ baiṭhe the,
MAT.4.16	Un par raushní chamkí.
MAT.4.17	Us waqt se Yisúʻ ne manádí karní aur yih kahná shurúʻ kiyá, ki Tauba karo, kyúṉki ásmán ki bádsháhat nazdík á gayí hai.
