MAT.1.1	Ri' ri jb'ijak yak jmam Kakaj Jesucristo ri rijajl David y Abraham. 
MAT.1.2	Abraham ri' ri jkaj Isaac, Isaac ri' ri jkaj Jacob y Jacob ri' ri jkaj Judá pach yak jk'un y ratz. 
MAT.1.3	Judá ri' ri jkajak Fares pach Zara y jchuchak ri' Tamar. Fares ri' ri jkaj Esrom y Esrom ri' ri jkaj Aram. 
MAT.1.4	Aram ri' ri jkaj Aminadab, Aminadab ri' ri jkaj Naasón y Naasón ri' ri jkaj Salmón. 
MAT.1.5	Salmón ri' ri jkaj Booz y jchuch ri' Rahab, Booz ri' ri jkaj Obed y jchuch ri' Rut y Obed ri' ri jkaj Isaí. 
MAT.1.6	Isaí ri' ri jkaj rey David, David ri' ri jkaj Salomón y jchuch Salomón ri' ri anm ri xwa'x pire rixokl Urías. 
MAT.1.7	Salomón ri' ri jkaj Roboam, Roboam ri' ri jkaj Abías y Abías ri' ri jkaj Asa. 
MAT.1.8	Asa ri' ri jkaj Josafat, Josafat ri' ri jkaj Joram y Joram ri' ri jkaj Uzías. 
MAT.1.9	Uzías ri' ri jkaj Jotam, Jotam ri' ri jkaj Acaz y Acaz ri' ri jkaj Ezequías. 
MAT.1.10	Ezequías ri' ri jkaj Manasés, Manasés ri' ri jkaj Amón y Amón ri' ri jkaj Josías. 
MAT.1.11	Josías ri' ri jkaj Jeconías pach yak jk'un y ratz la' mak junab' cuando yak rijajl Israel xc'amsajtakb'i prexil Babilonia. 
MAT.1.12	Cuando xk'ajtakch prexil yak rijajl Israel Babilonia, xwa'x jun jc'ajol Jeconías y xcoj jb'ij pi Salatiel. Salatiel ri' ri jkaj Zorobabel. 
MAT.1.13	Zorobabel ri' ri jkaj Abiud, Abiud ri' ri jkaj Eliaquim y Eliaquim ri' ri jkaj Azor. 
MAT.1.14	Azor ri' ri jkaj Sadoc, Sadoc ri' ri jkaj Aquim y Aquim ri' ri jkaj Eliud. 
MAT.1.15	Eliud ri' ri jkaj Eleazar, Eleazar ri' ri jkaj Matán y Matán ri' ri jkaj Jacob. 
MAT.1.16	Jacob ri' ri jkaj José ri richjil María, María ri' ri jchuch Kakaj Jesús y Kakaj Jesús ri' ri tib'ijsaj re chi ri' ri b'il jwi'l Kakaj Dios chi tina jtaknach wich ulew.
MAT.1.17	Y jilonli xwa'xi' cajlajuj (14) k'at ijajl ri xcholmajch chirij Abraham asta chirij David. Y xwa'xi' cajlajuj (14) k'at ijajl chic ri xcholmajch chirij David asta cuando yak rijajl Israel xc'amsajtakb'i prexil Babilonia. Y xwa'xi' cajlajuj (14) k'at ijajl chic ri xcholmajch cuando xk'ajtakch prexil yak rijajl Israel Babilonia asta chirij Kakaj Jesús.
MAT.1.18	Jilonri xq'uisi'y Kakaj Jesucristo, María ri jchuch Kakaj Jesucristo tz'onalchak jwi'l José pire tic'uli'y riq'uil, pero ajqui' chi jc'am rib'ak riq'uil cuando xan yaj anm jwi'lke jcwinel Lok'laj Jsantil Kakaj Dios. 
MAT.1.19	José ri tz'onawinak re María, juntir ri tran pi jcholajli'n, re ri' raj ta' tresaj jq'uixb' María ri nen jcholajl. Xchomorsaj roj xcan jye' chi mukukil. 
MAT.1.20	Re jilonli tijin tijchomorsaj, cuando xrichc'aj xpe jun anjl ri takalch jwi'l Kakaj Dios ri Kajawl, xij re: At José ri at rijajl David, mi tzaak ach'ol chi jc'amic María pi awixokl jwi'l man ra ric'lal ri tiq'uisi'y rechi' Lok'laj Jsantil Kakaj Dios. 
MAT.1.21	María tiq'uisi'y jun ra ric'lal winak y tacoj jb'ij pi Jesús. Jilonli jb'ij jwi'l ri' re ticolow rechak juntir yak jwinak laj jk'ab' jmacak, xche'.
MAT.1.22	Juntir li ri xaan pirechi' xtaw chiwch juntir Jyolj Kakaj Dios ri Kajawl ri xij jun ajk'asal Jyolj Kakaj Dios cuando xij jilonri:
MAT.1.23	Jun k'apoj anm ri ta' echb'el jwi'l ni jono winak tican yaj anm, tiq'uisi'y jun ra ric'lal winak y tijcojtak jb'ij pi Emanuel, xche'.
MAT.1.23	Ri jcholajl tielwi' man yoloj Emanuel, Kakaj Dios wi'chak kiq'uil.
MAT.1.24	Cuando xc'astaj jwich José, xan chapca' xijsaj re jwi'l anjl ri takalch jwi'l Kakaj Dios ri Kajawl. Jilonli xc'am María pire rixokl. 
MAT.1.25	Pero ta' xrechb'ej rib'ak asta xq'uisi'y ra ric'lal winak ri xcojsaj jb'ij pi Jesús jwi'l José, ajruc're' xrechb'ej rib'ak.
MAT.2.1	Kakaj Jesús xq'uisi'y Belén ri jun tilmit re Judea la' mak junab' cuando Nab'e Herodes wi' pire rey. La' mak k'ij li xpetak nic'j winak laj jsuc'lal lamas tielwi'ch k'ij, rechak tijojemi' rib'ak chirij ch'umil. Xtawtak Jerusalén chi rilic Kakaj Jesús. 
MAT.2.2	Xtz'onajtak jtaquil cla', xijtak: ¿Lamas wi' jreyak yak rijajl Israel ri xq'uisi'yc? Oj xkila'ch jch'umil cuando wojch laj jsuc'lal lamas tielwi'ch k'ij y xojpe chi jnimirsaj jk'ij, xche'tak.
MAT.2.3	Cuando man rey Herodes xta jtaquil chi jilonli tijb'ijtak, sub'laj xoc il chi jtaic y jilon juntir cristian ri wi'tak Jerusalén. 
MAT.2.4	Xpe Herodes, xtak jsiq'uijcak mak jb'ab'alak yak ajc'amaltak jb'eak cristian riq'ui Kakaj Dios pach yak ajtijoltak cristian re Jpixb' Kakaj Dios y xtz'onaj rechak lamas tiq'uisi'ywi' jun ri b'il jwi'l Kakaj Dios chi tina jtaknach wich ulew.
MAT.2.5	Rechak xijtak re man rey: Ji' tiq'uisi'y Belén ri jun tilmit re Judea jilon xcan jtz'ib'aj jun ajk'asal Jyolj Kakaj Dios ojr cuando xij chirij jilonri:
MAT.2.6	At tilmit Belén ri jun tilmit re Judea, ma' at ta' jun tilmit ri ta' cojol jk'ij chijxo'lak mak tilmit re Judea, jwi'l cla' tiq'uisi'ywi' jun rey ri tic'amow jb'eak yak rijajl Israel ri inwinak, xche', xche'tak re.
MAT.2.7	Xpe Herodes, xtak jsiq'uijcak chi mukukil mak winak ri tijojem rib'ak chirij ch'umil pire xijsaj re nen or xriltak man ch'umil. 
MAT.2.8	Ajruc're' xtaktakb'i Belén, xij rechak: Jattak, toctatak lamas wi' man ra ne' li y cuando tata'tak, tik'ax ab'ijtak chic chwe lamas wi' pire tib'e innimirsaj jk'ij, xche' rechak.
MAT.2.9	Mak winak ri tijojem rib'ak chirij ch'umil cuando xtatak ri xijsaj rechak jwi'l man rey, xe'tak. Y man ch'umil ri xriltakch laj jsuc'lal lamas tielwi'ch k'ij nab'eyi' chiwchak ajri' xe' wa'rok la' man luwar lamas wi' ra ne'. 
MAT.2.10	Mak winak li ri tijojem rib'ak chirij ch'umil cuando xriltak xwa'r man ch'umil sub'laj xqui'cottak. 
MAT.2.11	Cuando xoctak la ja, xriltak man ra ne' pach María ri jchuch, rechak laj or xxucb'a' rib'ak chiwch man ra ne' chi jnimirsaj jk'ij y xteb'a' jcaxak y xsipajtak oro, pom y mirra re ra ne'. 
MAT.2.12	Y mak winak li ri tijojem rib'ak chirij ch'umil xijsaj rechak laj richc'ak chi ta' chiqui' tik'axtak riq'ui man rey. Jwi'li'li ji'chak xk'axtakb'i li jun jalan b'e cuando xk'ajtakb'i laj richochak.
MAT.2.13	Cuando jorok b'i'taka' mak winak ri tijojem rib'ak chirij ch'umil, xrichc'aj José chi xwab'a' rib' jun ranjl Kakaj Dios ri Kajawl chiwch y xij re: B'iiten, c'amb'i man ra ne' pach jchuch, jattak Egipto. Wa'xentak cla' asta tina imb'ijna chawechak cuando ateltakch cla' jwi'l man rey Nab'e Herodes tijtoca' man ra ne' pire tijcamsaj, xche' anjl re José.
MAT.2.14	Y lak'ab' li cuando xc'astaj jwich José, xb'iitb'ic, xc'amb'i ra ne' pach jchuch xe'tak Egipto. 
MAT.2.15	Cla' xwa'xtak asta xtaw k'ij xcam Herodes. Jilonli xantak pire xtaw chiwch Jyolj Kakaj Dios ri Kajawl ri xij jun ajk'asal Jyolj Kakaj Dios cuando xij jilonri:
MAT.2.15	Egipto xinsiq'uij Inc'ajol, xche' Kakaj Dios.
MAT.2.16	Nab'e Herodes cuando xretemaj chi xsub'saji' jwi'lak mak winak ri tijojem rib'ak chirij ch'umil sub'laj xpe retzal, xtak jcamsajcak tra winak ri ajri' jq'uisi'ycak asta mak tra ri wi' cacab' junb'ak ri wi'tak Belén pach mak tra ri wi'tak chijc'ulel man tilmit li, jwi'l wi'chak quib' junab' jb'ij jwi'lak mak winak ri tijojem rib'ak chirijak mak ch'umil.
MAT.2.17	Jilonli xtaw chiwch Jyolj Kakaj Dios ri xcan jtz'ib'aj Jeremías ri ajk'asal Jyolj Kakaj Dios ri xij jilonri:
MAT.2.18	Li tilmit Ramá xtasaj sub'laj ok'ej y sub'laj ch'ejejem jwi'l b'is.
MAT.2.18	Y ri' Raquel ri tiok' chirijak yak ric'lal.
MAT.2.18	Ta' raj tiye'saj jcowil ranm jwi'l xcami' yak ric'lal, xche' Kakaj Dios.
MAT.2.19	Pero cuando jorok cami' man Nab'e Herodes, José wi' Egipto cuando xrichc'aj chi xwab'a' chic rib' jun ranjl Kakaj Dios ri Kajawl chiwch y xij re jilonri: 
MAT.2.20	B'iiten, c'amb'i man ra ne' pach jchuch, k'ajentak laj jluwrak yak rijajl Israel jwi'l lajori xcamtaka' mak ri rajak roj xcamsajtak ra ne', xche' re.
MAT.2.21	José xb'iitc, xc'amb'i ra ne' pach jchuch xe'tak laj jluwrak yak rijajl Israel. 
