GEN.1.1	Ha tinikangan, han pagtuha han Dyos han bug-os nga kalibutan ug han mga butang ha kalangitan
GEN.1.2	an tuna waray katuhayan ngan waray pa sulod nga bisan ano nga butang. Putos hin kasisidman an mabalod nga kalalawdan nga nakalukop han ngatanan nga mga butang, ngan nahanoy ha bawbaw han tubig an gahom han Dyos.
GEN.1.3	Niyan nagsiring an Dyos, “Magkamay-ada kapawa”—ngan pinmakita an kapawa. 
GEN.1.4	Nalipay an Dyos han iya hinkit-an. Ngan ginlain niya han kasisidman an kapawa, 
GEN.1.5	ngan ginngaranan niya nga “Adlaw” an kapawa ug “Gab-i” an kasisidman. Linmabay an kagab-ihon ngan inmabot an aga—amo adto an syahan nga adlaw.
GEN.1.6+GEN.1.7	Niyan nagsiring an Dyos, “Magkamay-ada panganoron nga magbubuhag han katubigan basi magkaduha ka lain nga dapit”—ngan natuman ini. Sanglit ginhimo han Dyos an panganoron nga amo an nagbuhag han katubigan; may katubigan ha ilarom han panganoron ngan may-ada liwat ha bawbaw hini. 
GEN.1.8	Ginngaranan niya nga “Langit” an panganoron. Linmabay an kagab-ihon ngan inmabot an aga—amo adto an ikaduha nga adlaw.
GEN.1.9	Niyan nagsiring an Dyos, “An katubigan ha ubos han langit magtirok ngadto hin usa nga dapit basi pumakita an kamad-an,”—ngan natuman ini. 
GEN.1.10	Ginngaranan niya nga “Tuna” an kamad-an, ngan “Dagat” an nagtirok nga katubigan. Ngan nalipay an Dyos han iya hinkit-an. 
GEN.1.11	Niyan nagsiring hiya, “Magpaturok an tuna han magkalainlain nga mga tanom, adton mga nahatag hin binhe ngan adton mga nahatag hin bunga”—ngan natuman ini. 
GEN.1.12	Sanglit tinmurok ha tuna an magkalainlain nga mga tanom, ngan nalipay an Dyos han iya hinkit-an. 
GEN.1.13	Linmabay an kagab-ihon ngan inmabot an aga—amo adto an ikatulo nga adlaw.
GEN.1.14	Niyan nagsiring an Dyos, “Magpakita didto ha langit in mga suga nga maglalain han adlaw ug han gab-i, ngan amo an panigamnan han pagtikang han mga adlaw, mga tuig, ngan mga siringbahan nga pyesta;
GEN.1.15	masiga ini hira didto ha langit basi makahatag ha tuna hin kapawa”—ngan natuman ini. 
GEN.1.16	Sanglit ginhimo han Dyos an duha nga dagko nga mga suga; an usa nga dako nga suga maghahatag hin kapawa ha bug-os nga adlaw ngan an ikaduha nga suga ha bug-os nga gab-i; naghimo liwat hiya han mga bitoon. 
GEN.1.17	Iginbutang niya an mga suga didto ha langit basi makalamrag han tuna, 
GEN.1.18	makapawa ha bug-os nga adlaw ug gab-i, ngan basi malain han kasisidman an kapawa. Ngan nalipay an Dyos han iya hinkit-an. 
GEN.1.19	Linmabay an kagab-ihon ngan inmabot an aga—amo adto an ikaupat nga adlaw.
GEN.1.20	Niyan nagsiring an Dyos, “Malukop hin magkalainlain nga buhi nga mga binuhat an katubigan, ngan maluob hin katamsihan an kahanginan.” 
GEN.1.21	Sanglit gintuha han Dyos an dagko nga kamanampan ha dagat, an magkalainlain nga mga binuhat nga nag-uokoy ha tubig, ngan an magkalainlain nga katamsihan. Ngan nalipay an Dyos han iya hinkit-an. 
GEN.1.22	Ginbendisyonan niya ini ngatanan ngan ginsiring an mga binuhat nga nag-uokoy ha tubig nga magdamo ini hira ngan pun-on nira an kadagatan, ngan ginsiring niya an katamsihan nga magdamo liwat hira. 
GEN.1.23	Linmabay an kagab-ihon ngan inmabot an aga—amo adto an ikalima nga adlaw.
GEN.1.24	Niyan nagsiring an Dyos, “Magkamay-ada an tuna magkalainlain nga kamanampan: ihayop ngan ihalas,
GEN.1.25	Sanglit ginhimo han Dyos ini ngatanan ngan nalipay hiya han iya hinkit-an.
GEN.1.26	Niyan nagsiring an Dyos, “Ngan yana paghihimoon ta an tawo;
GEN.1.27	Sanglit gintuha han Dyos an tawo, nga ginhimo hiya nga sugad ha iya ngahaw. Nagtuha hiya hin lalake ug babaye, 
GEN.1.28	ginbendisyonan hira ngan ginsiring, “Magkamay-ada kamo damo nga mga anak, basi mag-ukoy ha bug-os nga tuna an iyo mga tulin ngan paghadian nira ini. Iginbubutang ko kamo nga tinaporan han kaisdaan, han katamsihan, ngan han ngatanan nga ihalas nga kamanampan. 
GEN.1.29	Iginhatag ko an ngatanan nga magkalainlain nga mga binhe ngan an ngatanan nga magkalainlain nga mga bunga nga iyo kakaonon; 
GEN.1.30	kundi iginhatag ko an kabanwaan ngan an mga tanom para han ngatanan nga ihalas nga kamanampan ngan han ngatanan nga katamsihan”—ngan natuman ini. 
GEN.1.31	Nakita han Dyos an ngatanan nga iya ginhimo ngan nalipay hiya hin duro. Linmabay an kagab-ihon ngan inmabot an aga—amo adto an ikaunom nga adlaw.
GEN.2.1	Sanglit nahuman an bug-os nga kalibutan ngan an mga butang ha kalangitan. 
GEN.2.2	Dida han ikapito ka adlaw, nahuman han Dyos an iya mga gintuha, ngan pinmahuway hiya. 
GEN.2.3	Ginbendisyonan niya an ikapito nga adlaw ngan ginlain niya ini sugad nga usa nga talagsaon nga adlaw, kay hito nga adlaw nahuman niya an iya pagtuha
GEN.2.4	Ngan amo ini an paagi han pagtuhaa han bug-os nga kalibutan ngan han ngatanan nga aada ha langit.
GEN.2.4	Han paghimoa han 
GEN.2.5	waray pa mga tanom dida han tuna ngan waray pa naturok nga mga binhe, kay waray pa man hiya magpadara hin uran, ngan waray pa tawo nga nag-uuma han tuna. 
GEN.2.6	Kundi naawas in tubig tikang ha ilarom han tuna ngan amo an nagtutubig han tuna.
GEN.2.7	Niyan kinmuha an 
GEN.2.8	Niyan nagbutang an 
GEN.2.9	Ginpaturok niya didto an ngatanan nga magkalainlain nga magtahom nga mga kahoy nga nahatag hin magrasa nga mga bunga. Didto ha butnga han tanaman nakadto an kahoy nga nahatag hin kinabuhi, ngan an kahoy nga nahatag hin pakasabot han maupay ngan han maraot.
GEN.2.10	Naawas in usa nga salog didto ha Eden ngan nagtutubig han tanaman; ha unhan han Eden nagsasanga ini ngan nahihimo nga upat nga mga salog. 
GEN.2.11	An syahan nga salog amo an Pison; naawas ini palibot han katunaan han Havila. (
GEN.2.12	Aadto hiaagii an puraw nga bulawan ngan an talagsaon liwat nga pahamot ngan mahal nga mga bato.) 
GEN.2.13	An ikaduha nga salog amo an Gihon; naawas ini palibot han katunaan han Cus.
GEN.2.14	An ikatulo nga salog amo an Tigris nga naawas ha sinirangan han Asiria, ngan an ikaupat nga salog amo an Eufrates.
GEN.2.15	Niyan iginbutang han 
GEN.2.16	Ginsiring hiya han Dyos, “Makakakaon ka han bunga han bisan ano nga kahoy dinhe ha tanaman, 
GEN.2.17	labot han kahoy nga nahatag hin pakasabot han maupay ngan han maraot. Kinahanglan diri ka kumaon han bunga hito nga kahoy; kon kumaon ka hito, mapatay ka hito manta nga adlaw.”
GEN.2.18	Niyan nagsiring an 
GEN.2.19	Sanglit kinmuha hiya hin tuna ngan iya ginhimo an ngatanan nga kamanampan, ngan an ngatanan nga katamsihan, ngan gindara ini han Dyos ngadto han tawo basi pagngaranan niya ngatanan; sanglit amo ini an pagkamay-ada nira mga ngaran. 
GEN.2.20	Sanglit ginngaranan han tawo an ngatanan nga katamsihan, ngan an ngatanan nga kamanampan; kundi waray gud usa ha ira nga angay nga kaupod-upod hin pagbulig ha iya.
GEN.2.21	Niyan dida han pagkaturog han tawo ginpahimuok hiya han 
GEN.2.22	Ginhimo niya in usa nga babaye tikang han gusok nga ginkuha niya tikang han lalake, ngan gindara niya an babaye ngadto han lalake.
GEN.2.23	Niyan nagsiring an lalake,
GEN.2.23	“Iini na gud man in usa nga
GEN.2.23	sugad ha akon kapareho—
GEN.2.23	Tul-an nga tikang han akon tul-an,
GEN.2.23	ngan unod nga tikang han akon unod.
GEN.2.23	Tatawgon hiya nga ‘Babaye’ kay
GEN.2.23	kinuha hiya tikang han lalake.”
GEN.2.24	Sanglit amo ini an hinungdan nga an lalake kinahanglan bumaya han amay ug iroy niya ngan makigtampo han iya asawa, ngan hira nga duha uusa na la.
GEN.2.25	Mga hubo-lubas nga duha an lalake ngan an babaye, kundi waray hira pagkaawod.
GEN.3.1	Niyan an halas amo gud an labi ka listo han ngatanan nga mananap nga ginhimo han 
GEN.3.2	Binmaton an babaye, “Makakakaon kami han bunga hin bisan ano nga kahoy dinhe han tanaman, 
GEN.3.3	labot han kahoy nga aada ha butnga han tanaman. Gindid-an kami han Dyos hin pagkaon han bunga hito nga kahoy, o bisan pagkamkam hito; kon amon ini pagbuhaton, mapatay kami.”
GEN.3.4	Binmaton an halas, “Buwa ito; diri kamo mapatay. 
GEN.3.5	Ginsiring ito han Dyos kay maaram hiya nga kon kumaon kamo han bunga, masusugad kamo han Dyos,
GEN.3.6	Kinmita an babaye han kamatahom han kahoy ngan han kamarasa kaonon han bunga hini, ngan nakahunahuna hiya nga maupay gud an may-ada kinaadman. Sanglit kinmuha hiya hin pira ka bug-os nga bunga ngan kinmaon hiya. Niyan gintagan niya an iya bana ngan kinmaon liwat hiya hini. 
GEN.3.7	Han pakakaon gudla nira hini, nahibaro hira ngan nakasabot nga mga hubo hira; sanglit naghimo hira hin tapis hin mga dahon hin igos basi katabonan an ira lawas.
GEN.3.8	Hito ngahaw nga kulopay hinbatian nira an 
GEN.3.9	Kundi gintawag han 
GEN.3.10	Binmaton hiya, “Hinbatian ko ikaw dinhe han tanaman; nahadlok ako ngan tinmago ako ha imo, kay hubo ako.”
GEN.3.11	“Hin-o an nagsumat ha imo nga hubo ka?” nagpakiana an Dyos. “Kinmaon ka ba han bunga nga igindiri ko ha imo?”
GEN.3.12	Binmaton an lalake, “Gintagan ako han babaye nga imo iginbutang dinhe nga kaupod nakon, ngan kinmaon ako.”
GEN.3.13	Ginpakianhan han 
GEN.3.13	Binmaton hiya, “Ginlimbongan ako han halas hin pagkaon hini.”
GEN.3.14	Niyan ginsiring han 
GEN.3.15	Hihimoon ko nga magkaaway kamo—hi ikaw ngan han babaye; dayuday magkaaway an iya ngan an imo mga tulin. An iya mga tulin amo an madugmok han imo ulo, ngan pagtutukbon man nimo an iya tikod.”
GEN.3.16	Ngan nagsiring hiya ngadto han babaye, “Dudugangan ko an imo kakurian dida ha imo pagburod ngan an imo kasakitan dida ha imo pag-anak. Bisan pa ngani hini, mahigugma ka la gihapon han imo bana, ngan hiya magpapangulo ha imo.”
GEN.3.17	Ngan nagsiring hiya ngadto han lalake, “Namati ka han imo asawa ngan kinmaon ka han bunga nga igindiri ko ha imo. Tungod han imo ginbuhat, higagabaan an tuna. Magkakabudlay ka hin duro ha bug-os mo nga kinabuhi hin pagpabunga hini hin igo nga pagkaon para ha imo. 
GEN.3.18	Maturok ha tuna in katungkan ngan kasapinitan, ngan an imo kakaonon amo an mga tanom ha kapatagan. 
GEN.3.19	Igbabalhas ka gud ngan gugul-a ka hin tinuod hin pagpabunga han tuna hin pagkaon ngada han pagbalik mo ngadto han tuna nga ginhimo ha imo. Ginhimo ka tikang hin tuna, ngan mabalik ka liwat hin ka tuna.”
GEN.3.20	Ginngaranan ni Adan
GEN.3.21	Ngan naghimo an 
GEN.3.22	Niyan nagsiring an 
GEN.3.23	Sanglit ginpaiwas hiya han 
GEN.3.24	Niyan ginbutangan niya didto han sinirangan nga dapit han tanaman hin buhi nga mga binuhat,
GEN.4.1	Niyan nakighilawas hi Adan kan Eva nga iya asawa. Nagburod hi Eva ngan nag-anak hin lalake ngan nagsiring, “Tungod han bulig han 
GEN.4.2	Ngan nag-anak liwat hi Eva hin lain nga lalake, hi Abel. Nahimo hi Abel nga usa nga magmarangno hin mga karnero, kundi parauma hi Cain. 
GEN.4.3	Usa ka adlaw nagdara hi Cain hin mga abot han iya inani ngan iya iginhalad ini ngadto han 
GEN.4.4	Niyan nagdara hi Abel han suhag nga nati nga karnero nga igin-anak hin usa han iya mga karnero, gin-ihaw ini, ngan iginhatag an gimamay-upayi nga mga bahin hini. Nalipay an 
GEN.4.5	kundi iginsikway niya hi Cain ngan an iya halad. Napungot hin duro hi Cain ngan nagkuriot hiya hin kasina. 
GEN.4.6	Niyan nagsiring an 
GEN.4.7	Kon maupay an imo ginbuhat, mahiyomhiyom ka unta;
GEN.4.8	Niyan nagsiring hi Cain kan Abel nga iya bugto, “Tana, pakadto kita didto ha kaumhan.”
GEN.4.9	Pinmakiana kan Cain an 
GEN.4.9	Binmaton hiya, “Ambot. Ako ba an magmarangno han akon bugto?”
GEN.4.10	Niyan nagsiring an 
GEN.4.11	Yana gagabaan ka ngan diri ka na makakag-uma han tuna nga hinumban han dugo han imo bugto ngan an tuna daw binmuka han iya baba basi makausop han dugo han imo bugto nga imo ginpatay. 
GEN.4.12	Kon mag-uma ka, diri mahatag hin bisan ano nga abot an tuna; maglilinayawlayaw ka nga waray himangkaagan ug urokyan ha bawbaw han tuna.”
GEN.4.13	Ngan ginsiring ni Cain an 
GEN.4.14	Ginpapaiwas mo ako tikang han tuna ngan tikang ha imo atubangan. Maglilinayawlayaw ako nga waray urokyan ha bawbaw han tuna, ngan pagpapatayon ako han bisan hin-o nga makaagi ha akon.”
GEN.4.15	Kundi binmaton an 
GEN.4.16	Ngan pinmahirayo hi Cain han 
GEN.4.17	Nag-anak hin usa nga lalake hira Cain ngan han iya asawa, ngan ginngaranan hiya nga Enoc. Niyan nagtindog hi Cain hin syudad ngan isinangay ini han iya anak. 
GEN.4.18	May-ada usa nga anak nga lalake hi Enoc nga ginngaranan nga Irad nga amo an amay ni Mehujael nga amay ni Matusael nga amay ni Lamec. 
GEN.4.19	May duha nga mga asawa hi Lamec: hira Ada ug Zila. 
GEN.4.20	Nag-anak hi Ada kan Jabal nga amo an ginikanan hadton mga magmarangno hin kahayopan ngan nag-uokoy dida hin mga tulda. 
