MAT.1.1	Ini ne ban tepuʹun tepun Yesus Keristus cen mela Daut, iaʹ ina mela Ibrahim.
MAT.1.2	Ibrahim iaʹ amai Isak, ngan Isak iaʹ amai Yakup, ngan Yakup iaʹ amai Yahuda ngan toʹ de pemadeʹ de. 
MAT.1.3	Yahuda iaʹ amai Paris ngan Serah. Tamar iaʹ ueʹ de dua. Ngan Paris iaʹ amai Hisrun. Hisrun iaʹ amai Ram. 
MAT.1.4	Ram iaʹ amai Aminadap, ngan Aminadap iaʹ amai Nasun. Nasun iaʹ amai Salmun. 
MAT.1.5	Kun Salmun iaʹ amai Buas, ngan ueʹ e Rakap. Ngan Buas iaʹ amai Ubit, ngan ueʹ e Rut, ngan Ubit iaʹ amai Isai. 
MAT.1.6	Ngan Isai iaʹ amai Laja Daut.
MAT.1.6	Daut iaʹ amai Suliman, ngan ueʹ Suliman cen kena ban leto Uria. 
MAT.1.7	Suliman iaʹ amai Rabiam, ngan Rabiam amai Abia, ngan Abia amai Asa. 
MAT.1.8	Ngan Asa iaʹ amai Yusapat, ngan Yusapat amai Yuram, ngan Yuram amai Usia. 
MAT.1.9	Usia iaʹ amai Yutam, ngan Yutam amai Akas, ngan Akas amai Hiskia. 
MAT.1.10	Ngan Hiskia amai Manase, ngan Manase amai Amun, ngan Amun amai Yusia. 
MAT.1.11	Yusia iaʹ amai Yekunia ngan ida neng pemadeʹ de, iaʹ ina dalau dulu nyalut lepoʹ Israil kaʹ lepoʹ Babil.
MAT.1.12	Lepa lepoʹ Babil nyalut ida, un Yekunia amai Satil, ngan Satil amai Seru-babil. 
MAT.1.13	Seru-babil amai Abihut, ngan Abihut amai Iliakim, ngan Iliakim amai Asur. 
MAT.1.14	Ngan Asur amai Saduk, ngan Saduk amai Akim, ngan Akim amai Iliut, 
MAT.1.15	ngan Iliut amai Iliasar, ngan Iliasar amai Matan, ngan Matan amai Yakup. 
MAT.1.16	Kun Yakup amai Yusup, iaʹ ina laki Mariam. Ia lete iaʹ ueʹ Yesus iaʹ ilu pisiu Keristus.
MAT.1.17	Ini ban mung tepun cen Ibrahim pabeʹ udip Daut nuyan puloʹ pat puhoʹ. Ngan pekina pe cen udip Daut pabeʹ dulu ngkin ida salut kaʹ Babil, puloʹ pat puhoʹ. Ngan cen dalau dulu ngkin ida salut kaʹ Babil pabeʹ kenai pempet Keristus, ngan ina pelaʹa puloʹ pat puhoʹ.
MAT.1.18	Pekini ne ban puyan Yesus Keristus nai pempet. Lepa Yusup matep Mariam ueʹ Yesus ina, abeʹ lepe ida dua pemung, lepa lemaleʹ ne Mariam kuʹun nyingan Berua Buheʹ. 
MAT.1.19	Yusup iaʹ matep Mariam ina, ca kelunan iaʹ lemuto ti puyan iaʹ teneng. Moʹ Yusup malap Mariam ke saʹe dulu, ina tuman ne ubaʹ ke peteto ia ngan puyan iaʹ selem. 
MAT.1.20	Dalau Yusup pekimet puyan ina are, ia taʹan dalem kenupi ie ca melikat Tuhan nai pisiu ngan ne. Un dau melikat ina neng ia: “Ahaʹ Yusup iaʹ mela Daut, nyen neoʹ takut alaʹ Mariam ne leto hoʹ, uban temaleʹ e ina nuyan kuʹun nyingan Berua Buheʹ. 
MAT.1.21	Mariam ke nganak ca anak laki, ngan tiga hoʹ uyan ngadan ne Yesus, uban ia ne kenai nakau diaʹ anun ne cen penyalaʹ de.”
MAT.1.22	Mung pemuyan ini are lepa nuyan apan dau isiu Tuhan, iaʹ baʹan pegawa are, ketai palup. Pekini dau ue: 
MAT.1.23	“Ca dekiʹit leto ke lemaleʹ ngan ke muga ca anak laki. Un ngadan ne Imanuil” (iaʹ sen ne, “Allah pemung ngan le”).
MAT.1.24	Dalau nai Yusup taga, sulo ho bayaʹ dau melikat Tuhan ina, penco ho alaʹ Mariam nai ngiban ia. 
MAT.1.25	Abeʹ Yusup pemung ngan Mariam kena ha muga anak laki ina. Yusup uyan ngadan anak ina, Yesus.
MAT.2.1	Herudis iaʹ paren bioʹ dalau Yesus nai pempet kaʹ lepoʹ Bitlahim kaʹ tanaʹ Yudia. Abeʹ majan ʹo ina nai palai kelunan iaʹ mencam ngetisen sen betuʹen, nai re cen sek tau kaʹ Yerusalim. 
MAT.2.2	Kun nte lemutu: “Kempi anak iaʹ nai pempet, iaʹ ke nuyan paren bioʹ lepoʹ Yahudi ini? Uban ne meʹ lepa taʹan betuʹen ne tahaʹ sek tau, ina iaʹ ukoʹ meʹ nai, ubaʹ ke tunuk ngan nyelama ia.”
