GEN.1.1	Nemetva seilva owai, mani mani lohvnamoa, wo Sesoava sism vena ovm petham manam manam. 
GEN.1.2	Pethava seilva beswonamba lohvnamoa, osva memba daipotava lohvpa. Owai, nis lohvna, mendah andrava eunumbulva lohvna. Pomba vavawonam livna pethasrava. Okombava owai, wo upsilva lohvnamoa, singas kilvralohvna, wo Sesoasongolva posra sena lohmana vevna.
GEN.1.3	Doa Sesoava ona, upsil lovhoara, wo noinda upsilva wohlovhoana. 
GEN.1.4	Sesoava nonglana, lehra besal. Doa himba henga ona, upsilva lohv, simba lohv, hovra kava moang vethav samblam, sia eva upsil. 
GEN.1.5	Upsilmba himba ona, okomba, wo simba himba ona, sia. Doa simba kilvranamba, lingil lihanamba, wo os doa simba mongasal vena.
GEN.1.6	Doa Sesoava henga ona, doa pomba pethara vavawonam liv, doa pooa mongo sena lira, wo ambsa hovra lohra. 
GEN.1.7	Wo himba osangas vena, venamba, ona, nomba pomba livnamba, doa kava momong vindai, sena eva pethara, wo ambsava hovrava lohv, 
GEN.1.8	os nengthai, ov. Doa sia kilvranamba, lingil lihanamba, wo os simba sambla doa vewolna.
GEN.1.9	Doa Sesoava henga ona, pomba pethara vavawonam liv, doa hivraprara, hovrangas lira, pethaoa mongnahalmoa wohhivhoara. Doa noinda pomba os wohlina, 
GEN.1.10	wo Sesoava ona, doa pethava hivhoai, pomba mongnahalva doa hivrangai, wo noinda himba osva sevrana, wanplomb. Sesoava ona nonglana, besal lehra.
GEN.1.11	Doa Sesoava henga ona, mani mani vlelna phora pethara. Nelus phora, hlalm, ti phora movolnahonam. 
GEN.1.12	Wo noinda mani mani vlelna phona, wo Sesoava nonglana, lehra. 
GEN.1.13	Doa sia kilvranamba, lingil lihanamba, wo os simba samblamong doa penngiliha vungana.
GEN.1.14	Doa Sesoava henga ona, upsiloa ovraoa lovahvra. Mongo okombanam lohra, wo mongova sinim lovahvra. Upsilva nomba si indhanamba indthueinvav mingum, wo tahonm, wo tihvohm. 
GEN.1.15	Upsilva sena lovahvra ovra, wo petharam lovhoapuv vevra.
GEN.1.16	Wo osoa Sesoa vewolna upsilmba mendeklimba sambla. Mendekliva okomba, eusilva weis. Mendekliva okombahul lohv, wo eusilva sinim lohv. Doa hengava Sesoava paim mindnam vewol vena. 
GEN.1.17	Honamba Sesoava ovra wosana, okombam, weism, paim. Upsilva honamba sena ovrava lovahvna, petharam lovhoapuv vevna, 
GEN.1.18	okombanam sinim. Doa Sesoava nonglana, lehra. 
GEN.1.19	Doa sia kilvranamba, lingil lihanamba, wo os simba samblasambla doa penngiliha vungana.
GEN.1.20	Doa henga Sesoava ona, wanplombra lohra mani mani, snanovna snanovna lohra mindkombaiwonam. Tuawaoa mindnam ovra senamonam ahallohvra. 
GEN.1.21	Wo honamba os phona. Wanplombrava Sesoava vena tambkomba mendeklim eva eusilm, wo manatuawom, manatuawom nerava os vena. Sesoava ona nongalna, beswonam lehra kava vei.
