MAT.1.1	Wya ka tva saba mndəra taŋ ma Yesu Kristi zivra Dawuda. Dawuda guli ná, zivra Abraham ya. 
MAT.1.2	Abraham ta yatá Izak, Izak ta yatá Yakubu, Yakubu ta yatá Yuda nda zwanamani. 
MAT.1.3	Yuda ta yatá i Peres nda Zara (Tamar na ma taŋ,) Peres ta yatá Isrum, Isrum ta yatá Aram, 
MAT.1.4	Aram ta yatá Aminadap, Aminadap ta yatá Nasuŋ, Nasuŋ ta yatá Salmuŋ, 
MAT.1.5	Salmuŋ ta yatá Buwaz (Rahab na mani,) Buwaz ta yatá Ubet (Rut na mani,) Ubet ta yatá Yesay, 
MAT.1.6	Yesay ta yatá Dawuda.
MAT.1.6	Ka yatá mgham Dawuda ta Salumuŋ (si markwa Uriya na mani,) 
MAT.1.7	Salumuŋ ta yatá Rubuwam, Rubuwam ta yatá Abiya, Abiya ta yatá Asa, 
MAT.1.8	Asa ta yatá Yusafat, Yusafat ta yatá Yuram, Yuram ta yatá Uziyas, 
MAT.1.9	Uziyas ta yatá Yuwatam, Yuwatam ta yatá Akaz, Akaz ta yatá Izekiyas, 
MAT.1.10	Izekiyas ta yatá Manasa, Manasa ta yatá Amuŋ, Amuŋ ta yatá Yuziyas, 
MAT.1.11	Yuziyas ta yatá Yukwaniyas nda zwanamani. Ta tsa fitik ya, hlaghata lu ta la Israʼila ta haɗika Babila.
MAT.1.12	Tahula hlaghata lu ta həŋ ta haɗika Babila, ka yatá Yukwaniyas ta Salatiyel, Salatiyel ta yatá Zwarubabel, 
MAT.1.13	Zwarubabel ta yatá Abiyuda, Abiyuda ta yatá Iliyakim, Iliyakim ta yatá Azura, 
MAT.1.14	Azura ta yatá Saduka, Saduka ta yatá Akim, Akim ta yatá Iliyuda, 
MAT.1.15	Iliyuda ta yatá Iliyazar, Iliyazar ta yatá Mataŋ, Mataŋ ta yatá Yakubu, 
MAT.1.16	Yakubu ta yatá Yusufu ta nzakway ka zəʼala Mari. Tsa Mari ya ta yatá Yesu ta hgə lu ka Kristi
