GEN.1.1	Ekuqalekeni uThixo wadala amazulu nehlabathi.
GEN.1.2	Ke ehlabathini kwakusenyanyeni, kuselubala; kwakumnyama phezu kwamanzi enzonzobila. UMoya kaThixo wafukama phezu kwamanzi lawo. 
GEN.1.3	Wathi uThixo, Makubekho ukukhanya. 
GEN.1.4	Kwabakho ke ukukhanya. Wakubona ke uThixo ukukhanya ukuba kulungile, wahlula uThixo phakathi kokukhanya nobumnyama. 
GEN.1.5	Wathi uThixo ukukhanya yimini, wathi ubumnyama bubusuku. Kwahlwa, kwasa: yangumhla wokuqala.
GEN.1.6	Wathi uThixo, Makubekho isibhakabhaka phakathi kwawo amanzi, sibe ngumahlulo wokwahlula amanzi kumanzi. 
GEN.1.7	Wasenza uThixo isibhakabhaka, wawahlula amanzi angaphantsi kwesibhakabhaka kuwo amanzi angaphezu kwesibhakabhaka. Kwaba njalo. 
GEN.1.8	Wathi uThixo isibhakabhaka ngamazulu. Kwahlwa, kwasa: yangumhla wesibini.
GEN.1.9	Wathi uThixo, Amanzi angaphantsi kwamazulu makahlanganiselwe ndaweni-nye, kubonakale okomileyo. Kwaba njalo. 
GEN.1.10	Wathi uThixo okomileyo ngumhlaba, wathi intlanganisela yamanzi ziilwandle. Wabona uThixo ukuba kulungile.
GEN.1.11	Wathi uThixo, Umhlaba mawuphume uhlaza, imifuno evelisa imbewu, imithi yeziqhamo, eyenza iziqhamo ngohlobo lwayo, embewu ikuyo, emhlabeni. 
GEN.1.12	Kwaba njalo. Umhlaba waphuma uhlaza, nemifuno evelisa imbewu ngohlobo lwayo, nemithi eyenza iziqhamo, embewu ikuyo, ngohlobo lwayo. Wabona uThixo ukuba kulungile. 
GEN.1.13	Kwahlwa kwasa: yangumhla wesithathu.
GEN.1.14	Wathi uThixo, Makubekho izikhanyiso esibhakabhakeni samazulu, zibe ngumahlulo wokwahlula imini kubusuku; zibe zezemiqondiso, zibe zezamaxesha amisiweyo, zibe zezemihla neminyaka; 
GEN.1.15	mazibe zizikhanyiso esibhakabhakeni samazulu, zikhanyise ehlabathini. Kwaba njalo. 
GEN.1.16	Wenza uThixo izikhanyiso ezikhulu zazibini, esona sikhulu isikhanyiso ukuba silawule imini, esona sincinane isikhanyiso ukuba silawule ubusuku; wenza neenkwenkwezi. 
GEN.1.17	Wazibeka uThixo esibhakabhakeni samazulu, ukuba zikhanyise ehlabathini, 
GEN.1.18	zilawule imini nobusuku, zahlule ukukhanya kubumnyama. Wabona uThixo ukuba kulungile. 
GEN.1.19	Kwahlwa, kwasa: yangumhla wesiné.
GEN.1.20	Wathi uThixo, Amanzi la makanyakazele inyakanyaka, imiphefumlo ephilileyo; zithi neentaka ziphaphazele ehlabathini, esibhakabhakeni sezulu. 
