MAT.1.1	Yesus Kristus, opirati Daud muno Abraham aya ajavip, avaki no susye so rai:
MAT.1.2	Abraham po Isak avaki,
MAT.1.2	Isak po Yakob avaki,
MAT.1.2	Yakob po Yehuda muno apa arakove mavaki,
MAT.1.3	Yehuda po Peres muno Zera yavaki
MAT.1.3	(aya akoya mi Tamar),
MAT.1.3	Peres po Hezron avaki,
MAT.1.3	Hezron po Ram avaki,
MAT.1.4	Ram po Aminadab avaki,
MAT.1.4	Aminadab po Nahason avaki,
MAT.1.4	Nahason po Salmon avaki,
MAT.1.5	Salmon po Boas avaki
MAT.1.5	(apa akoya mi Rahap),
MAT.1.5	Boas po Obed avaki
MAT.1.5	(apa akoya mi Rut),
MAT.1.5	Obed po Isai avaki,
MAT.1.6	Isai po Akarijo Titi Daud avaki.
MAT.1.6	Daud po Salomo avaki
MAT.1.6	(apa akoya mi Uria apa anamu),
MAT.1.7	Salomo po Rehabeam avaki,
MAT.1.7	Rehabeam po Abia avaki,
MAT.1.7	Abia po Asa avaki,
MAT.1.8	Asa po Yosafat avaki,
MAT.1.8	Yosafat po Yoram avaki,
MAT.1.8	Yoram po Uzia avaki,
MAT.1.9	Uzia po Yotam avaki,
MAT.1.9	Yotam po Ahas avaki,
MAT.1.9	Ahas po Hizkia avaki,
MAT.1.10	Hizkia po Manasye avaki,
MAT.1.10	Manasye po Amon avaki,
MAT.1.10	Amon po Yosia avaki,
MAT.1.11	Yosia po Yekonya
MAT.1.11	arono naito Babel wo vatano Yahudi maugavo arove uta no Babel.
MAT.1.12	Arono vatano Yahudi maugave uta no Babel rai to, umbawe:
MAT.1.12	Yekonya po Seatiel avaki,
MAT.1.12	Seatiel po Zerubabel avaki,
MAT.1.13	Zerubabel po Abihud avaki,
MAT.1.13	Abihud po Eliakim avaki,
MAT.1.13	Eliakim po Azor avaki,
MAT.1.14	Azor po Zadok avaki,
MAT.1.14	Zadok po Akim avaki,
MAT.1.14	Akim po Eliud avaki,
MAT.1.15	Eliud po Eleazar avaki,
MAT.1.15	Eleazar po Matan avaki,
MAT.1.15	Matan po Yakob avaki,
MAT.1.16	Yakob po Yusup avaki.
MAT.1.16	Yusup apa anamu mi Maria,
MAT.1.16	omi mo Yesus avaki opi awaino Mesias,
MAT.1.16	Opamo Amisye po apatimu indamu Po vatano mine so mapaya ayao kakaije rai.
MAT.1.17	Weti ratode vintabo, no Abraham aija ndeo Daud ai, awa susye abusyinara eane mambisy. Muno Daud aija ndea arono vatano Yahudi ube arove no Babel rai, awa susye abusyinara eane mambisy. Muno arono vatano Yahudi ube arove no Babel raija ndeo Mesias ai, awa susye abusyinara eane mambisy.
MAT.1.18	Yesus Kristus ano raije maisyare so: Maria, omamo Yesus Kristus apa akoya mije, ama vainye raveo Yusup ai. Weramu yana ibaunam dainy, Maria mbe ranakeave, weye Amisye po apa Anawayo Vambunine raugaje Maria rai indamu mbe ranakeave. 
MAT.1.19	Yusup, ama anap, opamo tavondi Ananyao Musa rai mavabe, weti pare po rauguje aora. Weramu pare po rauguje maninimbe indamu vemo vatane wo raen ti Maria nsamane nora.
MAT.1.20	Yusup po anakotare umaso ratantona no anuga, arono naije nikimarive, po naito Amisye inta aeno de aiji. Umba naito Amisye umaso po raura pare, “Yusup, Daud apa ajavijo winy, vemo njanivo nyo Maria raovani nora! Weye Amisye po Anawayo Vambunine raugaje rai indamu mbe ranakeave. 
MAT.1.21	Indati mo arikainye inta avaki, umba nyo Apa tame veano awainamo Yesus, weye indati Po apa kawasae mapaya awa ayao kakaije rai.”
MAT.1.22	Anakotare umaso nande indamu mamaisyo ayao Amisye po raura Apa anawae aijo wusyimbe rai no taiso:
MAT.1.23	“Wanya kamurame inta mbe ranakeave,
MAT.1.23	mo arikainyo anya inta avaki,
MAT.1.23	umba wo Apa tame veano awainamo Imanuel.”
MAT.1.23	Tamo Imanuel umaso ama ine mare “Amisye tuna wansautan.”
MAT.1.24	Yusup nikija seo, umba beto naito Amisy apa ayao uma po raura we rai. Weti umba po Maria rauga ti po raovan, 
MAT.1.25	weramu nikijo rarijate ramu ava ntuna ama arikainyo anya autan. Umba Yusup po Apa tame veano awainamo Yesus.
MAT.2.1	Yesus ano no munijo Betlehem no no Yudea, arono Herodes be akarijo titive. Arono naije vatano majus una no ranijo wanamuram ude no Yerusalem. Onawamo vatano wo anainame rakani no tumo naumo warae. 
MAT.2.2	Ude no Yerusalem umba wo ranajo ware, “Rui rati Akarijo Titi Yahudi wanyino umba ano kai? Reamo Apa tumo bare aen no ranijo muram ti reamare wande ra wamo ararimbe.”
MAT.2.3	Arono Akarijo Titi Herodes po ayao umaso ranaun, anuga nseo majeve, muno kawasaeyo Yerusalem mansautan tenambe. 
MAT.2.4	Weti po syeno akokoe utantuna no Yavaro Amisye rai muno kuruno Yahudi manugande tenambe. Umba po manajo pare, “Rui rati Amisye po raurairive pare Mesias anori?”
MAT.2.5	Wo raura akanande ai ware, “Mesias ano no munijo Betlehem no no Yudea. Maisyare muno anawae Mika po raurairive omaisy, pare:
MAT.2.6	‘Winyirati munijo Betlehem no no Yudea,
MAT.2.6	winyamo munijo mamaun,
MAT.2.6	yara nya tame mamo makoeve no Yudea,
MAT.2.6	weye winyirati indati nyo Akarijo Titi inta aroron
MAT.2.6	indamu be akarive Amisye apa kawasae Israel mansai.’
MAT.2.7	Herodes po ayao umaso ranaun, umba po vatano majus umawe mawainde maninimbe. Po manajo pare, “Nanduija pirati wapo tume umawe aen?” 
MAT.2.8	Arono wo raura kakavimbe aija jewen, umba naije Herodes po matutir pare, “Wata no Betlehem, wapo arikainye umaso akani mavabe. Arono wananta Aija jewen, wapavave wapakare rinai, wapo Apa norije raura kakavimbe rinai indamu syoroto ribeaje Ai tavon.”
MAT.2.9	Herodes po raura mansaija jewen, umba vatano majus umaso wuje wuruta. Wuruta nava tumo uma wo aeno manasyimbe seo no wanamuramewe pui kobe to no no Arikainye umaso anorijoe ama von. 
MAT.2.10	Arono wo tume umaso aen, manayanambe rave!
MAT.2.11	Usisa no yavare ama uga, umba wo Arikainye umaso pe akoyo Maria me yaen. Naije ubeaje no Arikainye umaso amun indamu wo ararimbe. Umba wo awa romane rauguje indamu wo raunanto Ai, omamo emasije, kemenyane, muno muri. Ananuge umaso ama mangke nseo rave. 
MAT.2.12	Naije Amisye po rarorono mai no awa nikimarije rai indamu vemo wakare no Herodesa nui jinya, yara unajivo unanuijo kaijinta rai jakato.
MAT.2.13	Vatano majus wuruta kobe, umba naito Amisye de arorono Yusup ai no apa nikimarije rai, pare, “Winseo indamu nyo Arikainye so pe akoya me yaugav indamu wanaji da wata no Mesir. Herodes pare po Arikainye so akani indamu po aubaisy, ti wata wano no ratuije yava syo raura wasai jakato rati.”
MAT.2.14	Weti Yusup nikija seo, po Arikainye umaso pe akoya me yaugav, pare, “Namane so wanaji da wanta no Mesir.” 
MAT.2.15	Una no ratuije yava Akarijo Titi Herodes kakai. Ana nande umaso mamo mamaisyo ayao Amisy anawae Hosea po raura we rai pare, “Amisye po raura pare, ‘Syo sya Arikainye awain puje no Mesir.’ ”
MAT.2.16	Umba Herodes po raenamo vatano majus umawe wo aponae to, ti pari rave. Weti po apa naite matutir indamu wo arikainyo anya awa tume rurumara makaje una no munijo Betlehem muno ama varodore mansaubaisy, weye aemen irati vatano majus awa ayao wo raura we rai, mare wo tume umawe aeno tumo rurumo nandijawe. 
MAT.2.17	Herodes apa ana po rave no Betlehem umaso mamo mamaisyo ayao Amisy anawae Yeremia po raura rai pare:
MAT.2.18	“Danito no munijo Rama
MAT.2.18	Rahel moyo daveo ama arikainye mai.
MAT.2.18	Muno monayo vatan inta wo rayovei,
MAT.2.18	weye ama arikainye ugwenen to.”
MAT.2.19	Arono Herodes kakai to, Yusup pamo ta no no Mesirija nene. Umba naito Amisye inta de arorono ai jakato no apa nikimarije rai. 
MAT.2.20	Naito Amisye umaso po raura pare, “Vatano ubeker ware wo Arikainye so aubaisye ugwenen to. Weti winseo, nyo Arikainye so pe akoya me yauga da wapakata no Israel.”
MAT.2.21	Weti Yusup nikija seo, umba po Arikainye umaso pe akoya me yaugav kobe wakare no Israel. 
MAT.2.22	Weramu naije akato Yusup po ranaun Arkelaus, Herodes apa kavo, po aja anigwan be akarijo titive no Yudea. Weti Yusup janivo poroto no Yudea raiji. Umba Amisye po rarorono ai no apa nikimarije rai jakato indamu wakata no Galilea. 
MAT.2.23	Weti wakata no Galilea rai, usisa no munije ama tame mirati Nasaret. Ana nande umaso mamo mamaisyo ayao Amisy anawae wo raura rai ware, “Indati vatane wo Mesias aura ware Opamo vatano Nasaret.”
MAT.3.1	Noa nugoenta, umba Yohanes Pembaptis poroto no nugo vabukane vono maninimbe no Yudea. Naije po ayao Amisye raura pare, 
MAT.3.2	“Wasakinav irati wapa ayao kakaije rai, weye masyoto Amisye de be akarive no mine vone so nandea mararai to.” 
MAT.3.3	Yohanes umaso pamo anawae Yesaya po aurairive to pare,
MAT.3.3	“Vatane inta ugwaimbe no nugo vabukane vono maninimbe pare:
MAT.3.3	‘Wapo unanuije ratayao irati Amisye ai,
MAT.3.3	wapo ratayao da nsarokir inda panya rai.’ ”
MAT.3.4	Yohanes umaso pamo po unta apa ananemane rave ansumbe, muno po sapije apa kea rave tarandimbe. Apa ana daisye mamo kao syankerem muno po anyauene ama mana ramanam tavon.
MAT.3.5	Vatane wanui rave ude no Yohanesa nui. Vatano una no Yerusalem muno vatano una no Yudea ama munije rai tenambe muno vatano una no varodoro mana Yordan, ude tenambe wo Yohanes anaun. 
MAT.3.6	Wo awa ayao kakaije raura Amisye ai umba Yohanes po maugasyo kuvuni no mana Yordan rai.
MAT.3.7	Vatano Parisi muno Saduki wanui inta ude no Yohanesa nui tavon, ubeker indamu po maugasyo kuvuni mana rai. Weramu arono Yohanes po maeno udei, po raura pare, “Weapamo vatano mamun maisyare tawae mamunoe! Wabeanimaibe wade no so? Wapo rakarae wapare syo wasaugasya kuvuni mana rai, wea indati wanajivo Amisye apa pari mangke makare akatoe rai. Weramu wapa ana wapo ratantona mamaisye ramu. 
MAT.3.8	Syare wasakinavo wapa ayao kakaije rai rati, umba ana ngkove obo mi wapo rarijat, wea umba mamaisy. 
MAT.3.9	Weramu vemo wasararin wapare, ‘Abraham opamo wama anena pije, ti munije ama akari indati Amisye po mangke raugaje wansai jewen,’ wemai nora! Syo raura wasai: Amisye pamo bambunin po orame wato ranigwan ube vatanbe ti Abraham apa ajavi waino mai. 
MAT.3.10	Amisye apa mangke po ratayao vatane mai mamo mararai kobe to. Apa tama mawes, pare Po inyoe rate no ama ruke rai. Weti inyowo rui mirati mo mano kove rauguje ramu, weamo tama veano rate ti ramaugasyo taname rai.
MAT.3.11	Syo wasaugasyo kuvuni mana rai indamu mbe rarorombe weapamo wasakinavo wapa ayao kakaije rai to. Yara indati Vatane inta de opamo panakoe irati inakivan, weti Apa ajo kokome mamo syo raugave kakai weye risyamo imamaisye ramu. Indati Opamo po wasaugasya kuvuni mana rai jewen, yara Po Anawayo Vambunine ratutir maje wasai muno taname ntavon.
MAT.3.12	Opamo aurata irati Vatano po bayaije raijar no anem, Po veano gandume rarayan bintabo. Po ama ine ranugan siso tuna no Apa yavare rai, yara Po ama kea ramero tanamo nen tutire rai.”
MAT.3.13	Arono naije Yesus no no Galilea de no mana Yordan indamu Yohanes po augasyo kuvuni mana rai. 
MAT.3.14	Weramu Yohanes pare po ansopi, pare, “Risyamo vatano mamaun, yara Winyamo vatano akoe. Weti Nyo inaugasyo kuvuni mana rai, wea umba mamaisy, yara syo naugasyo kuvuni, weamo mamaisye ramu.”
MAT.3.15	Umba Yesus po raura nakananto ai pare, “Nyo inaugasyo kuvuni kai, indamu rintavondi Amisye apa bekere rai vintabo.” Weti Yohanes po Yesus augasyo kuvuni mana rai.
MAT.3.16	Yesus no no mana uga tipuga akaeyo, umba kavuratawe naume nsaneka, umba peraseo Po Anawayo Vambunine raeno maje tuna Aiji, maisyare insanijo punamoe. 
MAT.3.17	Umba danito Po Amisye anamote ranaun ngkinde no no munijo ntiti mare, “Sopamo Sya Arikainyo inanuga no Ai. Inanayanambe Ai rave.”
MAT.4.1	Umba Anawayo Vambunine mo Yesus augav poroto no nugo vabukane vono maninimbe indamu Anakakai Akoe po aponae. 
MAT.4.2	Masyote tename jirum Yesus sambayambe muno atawandijo marore rai. Masyote umaso mewen, umba Yesus maror. 
MAT.4.3	Weti Anakakai Akoe de po raura nanto Ai pare, “Ranivara Winyamo Arikainyo Amisye pi Winy, weamo Nyo orame wato raura aje indamu mbe anaibea Nyo raisy.”
MAT.4.4	Weramu Yesus po raura akananto ai pare, “Syonae, weye Ayao Amisye mo ratoe mare,
MAT.4.4	‘Anaisye bo mi vatane wo rai da umano raije ramu.
MAT.4.4	Yara utavondijo Amisye apa ayao po raura rai tenambe, weamo vatane ujaisyo rai.’
MAT.4.5	Umba Anakakai Akoe po Yesus augav to seo te no Yavaro Amisye ama tati rai jakato no Yerusalem. 
MAT.4.6	Naije Anakakai Akoe po raura nanto Yesus ai pare, “Ranivara Winyamo Arikainyo Amisye pi Winy, weamo nsopa da ntemasyo no mine waraya. Indati nanasine mamo inta ranepate ramu, weye Ayao Amisye mo ratoe mare,
MAT.4.6	‘Amisye po apa naite matutir wo naman;
