GEN.1.2	Umhlaba wawuyihlane elingenalutho; kwakungubumnyama phezu kotwa, kepha uMoya kaNkulunkulu wehla wenyuka phezu kwamanzi.
GEN.1.3	UNkulunkulu wathi: “Makube khona ukukhanya,” kwaba khona ukukhanya. 
GEN.1.4	UNkulunkulu wabona ukukhanya ukuthi kuhle; uNkulunkulu wahlukanisa ukukhanya nobumnyama. 
GEN.1.5	UNkulunkulu wabiza ukukhanya ngokuthi imini; ubumnyama wabubiza ngokuthi ubusuku. Kwaba ngukuhlwa, kwaba ngukusa, usuku lokuqala.
GEN.1.7	UNkulunkulu wenza umkhathi, wahlukanisa amanzi aphansi komkhathi namanzi aphezu komkhathi; kwaba njalo. 
GEN.1.8	UNkulunkulu wabiza umkhathi ngokuthi izulu. Kwaba ngukuhlwa, kwaba ngukusa, usuku lwesibili.
GEN.1.10	Okomileyo uNkulunkulu wakubiza ngokuthi umhlaba, nokuqoqeka kwamanzi wakubiza ngokuthi ulwandle; uNkulunkulu wabona ukuthi kuhle. 
GEN.1.11	UNkulunkulu wathi: “Umhlaba mawuveze utshani, nemifino ethela imbewu, nemithi yezithelo ethela izithelo ngezinhlobo zayo, ekuyo imbewu yayo, emhlabeni,” kwaba njalo. 
GEN.1.12	Umhlaba wawusuveza utshani nemifino ethela imbewu ngezinhlobo zayo, nemithi ethela izithelo ngezinhlobo zayo, ekuyo imbewu yayo; uNkulunkulu wabona ukuthi kuhle. 
GEN.1.13	Kwaba ngukuhlwa, kwaba ngukusa, usuku lwesithathu.
GEN.1.15	zibe yizinkanyiso emkhathini wezulu zokukhanyisa emhlabeni,” kwaba njalo. 
GEN.1.16	UNkulunkulu wazenza izinkanyiso ezimbili ezinkulu, inkanyiso enkulu ukuba ibuse imini, nenkanyiso encane ukuba ibuse ubusuku, kanye nezinkanyezi. 
GEN.1.17	UNkulunkulu wazifaka emkhathini wezulu ukuba zikhanyise emhlabeni, 
GEN.1.18	zibuse imini nobusuku, zahlukanise ukukhanya nobumnyama. UNkulunkulu wabona ukuthi kuhle. 
GEN.1.19	Kwaba ngukuhlwa, kwaba ngukusa, usuku lwesine.
GEN.1.20	UNkulunkulu wathi: “Amanzi mawagcwale uswebezane lwezilwane eziphilayo, kundize izinyoni phezu komhlaba emkhathini wezulu.” 
GEN.1.21	UNkulunkulu wadala imikhomo emikhulu nezilwane zonke eziphilayo ezihambayo, amanzi agcwala zona ngezinhlobo zazo, nezinyoni zonke ezinamaphiko ngezinhlobo zazo. UNkulunkulu wabona ukuthi kuhle. 
GEN.1.22	UNkulunkulu wazibusisa, wathi: “Zalani, nande, nigcwalise amanzi aselwandle, nezinyoni zande emhlabeni.” 
GEN.1.23	Kwaba ngukuhlwa, kwaba ngukusa, usuku lwesihlanu.
GEN.1.24	UNkulunkulu wathi: “Umhlaba mawuveze izilwane eziphilayo ngezinhlobo zazo, izinkomo, nezilwanyana ezinwabuzelayo, nezilo zomhlaba ngezinhlobo zazo,” kwaba njalo. 
GEN.1.25	UNkulunkulu wazenza izilo zomhlaba ngezinhlobo zazo, nezinkomo ngezinhlobo zazo, nezilwanyana zonke ezinwabuzelayo emhlabeni ngezinhlobo zazo. UNkulunkulu wabona ukuthi kuhle. 
GEN.1.26	UNkulunkulu wathi: “Masenze abantu ngomfanekiso wethu, basifuze, babuse phezu kwezinhlanzi zolwandle, nezinyoni zezulu, nezinkomo, nomhlaba wonke, nezilwanyana zonke ezinwabuzelayo emhlabeni.”
GEN.1.28	UNkulunkulu wababusisa; uNkulunkulu wathi kubo: “Zalani, nande, nigcwalise umhlaba, niwunqobe, nibuse phezu kwezinhlanzi zolwandle, nezinyoni zezulu, nezilwanyana ezinwabuzelayo emhlabeni.” 
GEN.1.29	UNkulunkulu wathi: “Bhekani, ngiyaninika yonke imifino ethela imbewu, esemhlabeni wonke, nemithi yonke okukuyo izithelo zomuthi oveza imbewu, kube ngukudla kwenu. 
GEN.1.30	Kepha zonke izilwane zomhlaba, nezinyoni zonke zezulu, nezilwanyana ezinwabuzelayo emhlabeni, eziphefumulayo, zona nginike yonke imifino eluhlaza ibe ngukudla,” kwaba njalo. 
GEN.1.31	UNkulunkulu wabona konke akwenzileyo; bheka, kwakukuhle kakhulu. Kwaba ngukuhlwa, kwaba ngukusa, usuku lwesithupha.
GEN.2.1	Kwase kupheleliswa izulu nomhlaba kanye nombuthano wakho wonke.
GEN.2.3	UNkulunkulu wabusisa usuku lwesikhombisa, walungcwelisa, ngokuba ngalolo suku waphumula emisebenzini yonke abeyidalile uNkulunkulu, wayenza.
GEN.2.4	Lokhu kungumlando wokudalwa kwezulu nomhlaba ekudalweni kwakho mhla uJehova uNkulunkulu ewenza umhlaba nezulu. 
GEN.2.5	Kwakungakabikho sihlahla endle, namifino yayingakamili emhlabathini, ngokuba uJehova uNkulunkulu wayengakanisi imvula emhlabeni, kungakabikho muntu wokulima umhlabathi. 
GEN.2.6	Kepha kwenyuka inkungu ivela emhlabathini, yanisela ubuso bonke bomhlaba. 
GEN.2.7	UJehova uNkulunkulu wambumba umuntu ngomhlabathi, waphefumulela emakhaleni akhe umoya wokuphila; kanjalo umuntu waba umphefumulo ophilayo.
GEN.2.8	UJehova uNkulunkulu watshala insimu e-Edene ngasempumalanga; wambeka khona umuntu amenzileyo. 
GEN.2.9	UJehova uNkulunkulu wahlumisa emhlabathini imithi yonke ebukekayo, emihle, edliwayo, nomuthi wokuphila phakathi nensimu, nomuthi wokwazi okuhle nokubi.
GEN.2.10	E-Edene kwavela umfula owamanzisa insimu; wahlukana khona, waba yizimbaxa ezine. 
GEN.2.11	Eyokuqala inegama lokuthi iPishoni; yiyo ezungeza izwe lonke laseHavila, lapho kukhona igolide. 
GEN.2.12	Lihle igolide lalelo zwe. Kukhona nenhlaka yebedola* netshe leshohamu* lapho. 
GEN.2.13	Igama leyesibili linguGihoni; yiyo ezungeza lonke izwe laseKushe. 
GEN.2.14	Igama leyesithathu linguHidekeli; yiyo egobhoza ngasempumalanga kwase-Asiriya. Eyesine ingu-Ewufrathe.
GEN.2.15	UJehova uNkulunkulu wayesemthatha umuntu, wambeka ensimini yase-Edene ukuba ayilime, ayigcine. 
GEN.2.16	UJehova uNkulunkulu wamyala umuntu, wathi: “Ungadla kuyo yonke imithi yensimu ngokuthanda kwakho, 
GEN.2.17	kepha ungadli kuwo umuthi wokwazi okuhle nokubi, ngokuba mhla udla kuwo uyakufa nokufa.”
GEN.2.19	UJehova uNkulunkulu wabumba ngomhlabathi zonke izilwane zasendle nezinyoni zonke zezulu, waziyisa kumuntu ukuba abone ukuthi umuntu angaziqamba ngokuthini, ukuze kuthi, njengalokhu umuntu eziqamba zonke izilwane eziphilayo, lokhu kube ngamagama azo. 
GEN.2.20	Umuntu waziqamba amagama zonke izinkomo, nezinyoni zezulu, nezilwane zasendle. Kepha umuntu akatholelwanga umsizi onjengaye. 
GEN.2.21	UJehova uNkulunkulu wamehlisela umuntu ubuthongo obunzima, walala; wayesethatha olunye lwezimbambo zakhe, wavala indawo ngenyama. 
GEN.2.22	UJehova uNkulunkulu wakha owesifazane ngobambo abeluthathile kumuntu, wamyisa kumuntu.
